Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Scott Arnott,Ravenmoon Crocker,Chris Galas,Larry R. Heather,Shuv Majumdar,Becki Zimmerman,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48008,"Calgary Heritage/Calgary Heritage"," 19","Calgary",62,1,0,0,98,9,0,170,496
48008,"Calgary Heritage/Calgary Heritage"," 20","Calgary",51,4,2,0,83,11,0,151,486
48008,"Calgary Heritage/Calgary Heritage"," 21","Calgary",58,2,0,1,108,4,0,173,487
48008,"Calgary Heritage/Calgary Heritage"," 22","Calgary",56,1,1,0,86,0,0,144,487
48008,"Calgary Heritage/Calgary Heritage"," 23","Calgary",62,3,0,1,99,2,0,167,441
48008,"Calgary Heritage/Calgary Heritage"," 24","Calgary",72,1,1,0,121,2,2,199,493
48008,"Calgary Heritage/Calgary Heritage"," 25","Calgary",70,0,0,1,83,3,1,158,415
48008,"Calgary Heritage/Calgary Heritage"," 26","Calgary",42,2,1,1,128,2,1,177,546
48008,"Calgary Heritage/Calgary Heritage"," 27","Calgary",50,1,1,0,91,8,1,152,383
48008,"Calgary Heritage/Calgary Heritage"," 28","Calgary",77,2,3,0,126,3,0,211,514
48008,"Calgary Heritage/Calgary Heritage"," 29","Calgary",78,0,1,0,102,1,0,182,457
48008,"Calgary Heritage/Calgary Heritage"," 30","Calgary",92,1,3,0,90,8,1,195,465
48008,"Calgary Heritage/Calgary Heritage"," 31","Calgary",57,0,0,0,145,3,0,205,575
48008,"Calgary Heritage/Calgary Heritage"," 32","Calgary",81,2,1,0,98,7,0,189,531
48008,"Calgary Heritage/Calgary Heritage"," 33","Calgary",71,1,1,1,128,9,0,211,515
48008,"Calgary Heritage/Calgary Heritage"," 34","Calgary",87,2,1,5,116,4,1,216,495
48008,"Calgary Heritage/Calgary Heritage"," 35","Calgary",95,2,1,0,148,7,0,253,505
48008,"Calgary Heritage/Calgary Heritage"," 36","Calgary",83,1,0,0,142,7,1,234,530
48008,"Calgary Heritage/Calgary Heritage"," 37","Calgary",63,3,2,1,76,7,0,152,439
48008,"Calgary Heritage/Calgary Heritage"," 38","Calgary",49,1,2,1,57,4,0,114,372
48008,"Calgary Heritage/Calgary Heritage"," 39","Calgary",44,1,0,0,70,5,0,120,412
48008,"Calgary Heritage/Calgary Heritage"," 40","Calgary",62,0,0,1,93,4,0,160,449
48008,"Calgary Heritage/Calgary Heritage"," 41","Calgary",50,1,1,2,104,13,0,171,462
48008,"Calgary Heritage/Calgary Heritage"," 42","Calgary",61,3,1,2,105,2,0,174,437
48008,"Calgary Heritage/Calgary Heritage"," 43","Calgary",54,3,1,2,111,4,0,175,387
48008,"Calgary Heritage/Calgary Heritage"," 44","Calgary",49,3,0,0,81,3,2,138,351
48008,"Calgary Heritage/Calgary Heritage"," 45","Calgary",57,2,6,1,107,10,1,184,471
48008,"Calgary Heritage/Calgary Heritage"," 46","Calgary",66,4,3,0,101,6,0,180,595
48008,"Calgary Heritage/Calgary Heritage"," 47","Calgary",64,0,0,1,101,7,2,175,507
48008,"Calgary Heritage/Calgary Heritage"," 48","Calgary",46,0,1,0,71,7,1,126,404
48008,"Calgary Heritage/Calgary Heritage"," 49","Calgary",79,1,0,0,99,3,0,182,485
48008,"Calgary Heritage/Calgary Heritage"," 50","Calgary",68,0,0,1,81,9,1,160,405
48008,"Calgary Heritage/Calgary Heritage"," 51","Calgary",46,1,0,2,80,7,1,137,404
48008,"Calgary Heritage/Calgary Heritage"," 52","Calgary",50,0,0,0,125,2,0,177,470
48008,"Calgary Heritage/Calgary Heritage"," 53","Calgary",55,1,1,0,91,2,1,151,391
48008,"Calgary Heritage/Calgary Heritage"," 54","Calgary",78,1,1,1,106,8,1,196,471
48008,"Calgary Heritage/Calgary Heritage"," 55","Calgary",89,2,1,0,125,12,0,229,498
48008,"Calgary Heritage/Calgary Heritage"," 56","Calgary",51,2,0,1,102,4,0,160,419
48008,"Calgary Heritage/Calgary Heritage"," 57","Calgary",66,0,0,0,87,8,1,162,522
48008,"Calgary Heritage/Calgary Heritage"," 58","Calgary",62,5,0,0,114,6,2,189,586
48008,"Calgary Heritage/Calgary Heritage"," 59","Calgary",75,4,0,0,81,7,0,167,507
48008,"Calgary Heritage/Calgary Heritage"," 60","Calgary",56,1,3,0,110,6,3,179,655
48008,"Calgary Heritage/Calgary Heritage"," 61","Calgary",58,0,0,1,81,5,2,147,456
48008,"Calgary Heritage/Calgary Heritage"," 62","Calgary",61,3,1,0,132,9,1,207,479
48008,"Calgary Heritage/Calgary Heritage"," 63","Calgary",48,7,0,1,109,7,0,172,420
48008,"Calgary Heritage/Calgary Heritage"," 64","Calgary",77,3,2,0,137,8,0,227,512
48008,"Calgary Heritage/Calgary Heritage"," 65","Calgary",79,1,2,1,153,4,0,240,461
48008,"Calgary Heritage/Calgary Heritage"," 66","Calgary",60,1,0,0,107,15,0,183,444
48008,"Calgary Heritage/Calgary Heritage"," 67","Calgary",58,1,0,0,99,7,0,165,444
48008,"Calgary Heritage/Calgary Heritage"," 68","Calgary",94,4,1,0,142,12,1,254,524
48008,"Calgary Heritage/Calgary Heritage"," 69","Calgary",75,3,1,6,143,6,2,236,521
48008,"Calgary Heritage/Calgary Heritage"," 70","Calgary",83,4,0,4,147,6,2,246,552
48008,"Calgary Heritage/Calgary Heritage"," 71","Calgary",77,4,0,2,154,4,2,243,524
48008,"Calgary Heritage/Calgary Heritage"," 72","Calgary",73,1,1,1,112,13,0,201,477
48008,"Calgary Heritage/Calgary Heritage"," 73","Calgary",72,2,1,1,140,7,0,223,488
48008,"Calgary Heritage/Calgary Heritage"," 74","Calgary",66,2,4,1,112,7,0,192,483
48008,"Calgary Heritage/Calgary Heritage"," 75","Calgary",74,2,1,0,75,4,4,160,450
48008,"Calgary Heritage/Calgary Heritage"," 76","Calgary",58,2,2,2,120,12,0,196,476
48008,"Calgary Heritage/Calgary Heritage"," 77","Calgary",68,1,1,0,165,5,1,241,601
48008,"Calgary Heritage/Calgary Heritage"," 78","Calgary",63,0,2,1,125,7,1,199,489
48008,"Calgary Heritage/Calgary Heritage"," 79","Calgary",59,1,0,1,144,1,0,206,506
48008,"Calgary Heritage/Calgary Heritage"," 80","Calgary",90,4,2,2,162,4,0,264,619
48008,"Calgary Heritage/Calgary Heritage"," 81","Calgary",68,2,1,0,145,6,2,224,484
48008,"Calgary Heritage/Calgary Heritage"," 82","Calgary",77,3,0,1,102,8,0,191,483
48008,"Calgary Heritage/Calgary Heritage"," 83","Calgary",60,0,1,2,103,1,1,168,432
48008,"Calgary Heritage/Calgary Heritage"," 84","Calgary",61,0,2,0,134,5,2,204,475
48008,"Calgary Heritage/Calgary Heritage"," 85","Calgary",63,2,0,1,131,5,0,202,601
48008,"Calgary Heritage/Calgary Heritage"," 86","Calgary",66,4,1,1,121,10,1,204,520
48008,"Calgary Heritage/Calgary Heritage"," 87","Calgary",70,3,1,0,118,9,1,202,474
48008,"Calgary Heritage/Calgary Heritage"," 88","Calgary",89,1,3,1,131,6,0,231,525
48008,"Calgary Heritage/Calgary Heritage"," 89","Calgary",117,4,2,0,144,9,0,276,613
48008,"Calgary Heritage/Calgary Heritage"," 90","Calgary",82,3,1,2,117,9,0,214,544
48008,"Calgary Heritage/Calgary Heritage"," 91","Calgary",75,1,0,2,130,11,1,220,533
48008,"Calgary Heritage/Calgary Heritage"," 92","Calgary",93,2,0,3,162,7,0,267,617
48008,"Calgary Heritage/Calgary Heritage"," 93","Calgary",105,2,1,2,175,9,0,294,588
48008,"Calgary Heritage/Calgary Heritage"," 94","Calgary",106,2,2,0,130,3,0,243,529
48008,"Calgary Heritage/Calgary Heritage"," 95","Calgary",84,2,0,0,137,3,0,226,494
48008,"Calgary Heritage/Calgary Heritage"," 96","Calgary",78,0,3,0,157,5,0,243,540
48008,"Calgary Heritage/Calgary Heritage"," 97","Calgary",71,2,0,1,114,6,1,195,464
48008,"Calgary Heritage/Calgary Heritage"," 98","Calgary",57,3,0,1,108,1,1,171,466
48008,"Calgary Heritage/Calgary Heritage"," 99","Calgary",81,3,1,0,135,5,1,226,478
48008,"Calgary Heritage/Calgary Heritage"," 100","Calgary",51,0,1,1,128,2,0,183,484
48008,"Calgary Heritage/Calgary Heritage"," 101","Calgary",68,2,1,2,156,4,1,234,547
48008,"Calgary Heritage/Calgary Heritage"," 102","Calgary",86,1,0,1,123,2,2,215,495
48008,"Calgary Heritage/Calgary Heritage"," 103","Calgary",59,2,1,1,145,8,1,217,480
48008,"Calgary Heritage/Calgary Heritage"," 104","Calgary",62,1,3,0,121,6,0,193,511
48008,"Calgary Heritage/Calgary Heritage"," 105","Calgary",68,4,1,2,89,5,0,169,552
48008,"Calgary Heritage/Calgary Heritage"," 106","Calgary",101,4,6,3,139,8,2,263,598
48008,"Calgary Heritage/Calgary Heritage"," 107","Calgary",84,2,0,0,142,8,0,236,538
48008,"Calgary Heritage/Calgary Heritage"," 108","Calgary",77,0,0,0,108,7,1,193,412
48008,"Calgary Heritage/Calgary Heritage"," 109","Calgary",74,0,1,2,127,0,0,204,516
48008,"Calgary Heritage/Calgary Heritage"," 110","Calgary",97,6,1,2,175,18,0,299,606
48008,"Calgary Heritage/Calgary Heritage"," 111","Calgary",28,0,0,0,83,4,1,116,444
48008,"Calgary Heritage/Calgary Heritage"," 112","Calgary",31,0,0,0,94,2,0,127,361
48008,"Calgary Heritage/Calgary Heritage"," 113","Calgary",40,0,1,2,130,3,0,176,466
48008,"Calgary Heritage/Calgary Heritage"," 114","Calgary",41,0,0,1,80,0,1,123,474
48008,"Calgary Heritage/Calgary Heritage"," 115","Calgary",47,0,1,0,87,3,3,141,538
48008,"Calgary Heritage/Calgary Heritage"," 116","Calgary",57,2,2,0,129,1,3,194,462
48008,"Calgary Heritage/Calgary Heritage"," 117","Calgary",39,0,1,0,116,5,0,161,503
48008,"Calgary Heritage/Calgary Heritage"," 118","Calgary",52,4,0,3,75,5,0,139,412
48008,"Calgary Heritage/Calgary Heritage"," 119","Calgary",70,1,0,0,148,1,0,220,544
48008,"Calgary Heritage/Calgary Heritage"," 120","Calgary",82,0,0,0,129,11,0,222,552
48008,"Calgary Heritage/Calgary Heritage"," 121","Calgary",74,0,0,2,151,6,0,233,550
48008,"Calgary Heritage/Calgary Heritage"," 122","Calgary",45,3,0,1,107,4,1,161,454
48008,"Calgary Heritage/Calgary Heritage"," 123","Calgary",44,1,2,1,119,2,2,171,483
48008,"Calgary Heritage/Calgary Heritage"," 124","Calgary",81,0,2,2,184,9,0,278,785
48008,"Calgary Heritage/Calgary Heritage"," 125","Calgary",143,1,0,0,361,9,0,514,1354
48008,"Calgary Heritage/Calgary Heritage"," 126","Calgary",90,0,2,4,118,9,0,223,537
48008,"Calgary Heritage/Calgary Heritage"," 127","Calgary",59,1,1,0,164,6,0,231,527
48008,"Calgary Heritage/Calgary Heritage"," 128","Calgary",38,1,1,1,114,11,0,166,498
48008,"Calgary Heritage/Calgary Heritage"," 129","Calgary",54,0,0,0,125,6,4,189,473
48008,"Calgary Heritage/Calgary Heritage"," 130","Calgary",86,2,1,0,169,11,2,271,582
48008,"Calgary Heritage/Calgary Heritage"," 131","Calgary",88,1,1,1,131,4,0,226,655
48008,"Calgary Heritage/Calgary Heritage"," 132","Calgary",62,0,4,1,160,5,1,233,586
48008,"Calgary Heritage/Calgary Heritage"," 133","Calgary",54,2,0,1,134,9,1,201,511
48008,"Calgary Heritage/Calgary Heritage"," 134","Calgary",82,0,0,1,132,10,1,226,512
48008,"Calgary Heritage/Calgary Heritage"," 135","Calgary",71,5,4,1,194,3,1,279,559
48008,"Calgary Heritage/Calgary Heritage"," 136","Calgary",70,1,1,4,143,5,1,225,523
48008,"Calgary Heritage/Calgary Heritage"," 137","Calgary",50,0,0,0,133,3,0,186,490
48008,"Calgary Heritage/Calgary Heritage"," 138","Calgary",43,0,0,0,87,3,0,133,496
48008,"Calgary Heritage/Calgary Heritage"," 139","Calgary",66,0,0,1,125,1,1,194,500
48008,"Calgary Heritage/Calgary Heritage"," 140","Calgary",36,1,0,1,143,4,1,186,517
48008,"Calgary Heritage/Calgary Heritage"," 141","Calgary",67,3,1,2,129,3,2,207,464
48008,"Calgary Heritage/Calgary Heritage"," 142","Calgary",50,1,0,3,132,5,2,193,559
48008,"Calgary Heritage/Calgary Heritage"," 143","Calgary",62,0,1,0,147,5,0,215,601
48008,"Calgary Heritage/Calgary Heritage"," 144","Calgary",64,3,0,2,133,5,0,207,548
48008,"Calgary Heritage/Calgary Heritage"," 145","Calgary",65,1,2,0,125,5,0,198,439
48008,"Calgary Heritage/Calgary Heritage"," 146","Calgary",66,0,5,1,154,6,2,234,490
48008,"Calgary Heritage/Calgary Heritage"," 147","Calgary",80,2,1,0,161,5,1,250,455
48008,"Calgary Heritage/Calgary Heritage"," 148","Calgary",48,0,3,1,150,2,0,204,512
48008,"Calgary Heritage/Calgary Heritage"," 149","Calgary",68,1,1,1,151,7,1,230,495
48008,"Calgary Heritage/Calgary Heritage"," 150","Calgary",78,1,1,4,137,8,0,229,659
48008,"Calgary Heritage/Calgary Heritage"," 151","Calgary",48,1,1,0,120,12,1,183,463
48008,"Calgary Heritage/Calgary Heritage"," 152","Calgary",51,4,0,0,111,1,2,169,491
48008,"Calgary Heritage/Calgary Heritage"," 153","Calgary",66,4,2,0,135,1,4,212,494
48008,"Calgary Heritage/Calgary Heritage"," 154","Calgary",99,1,2,0,123,11,0,236,496
48008,"Calgary Heritage/Calgary Heritage"," 155","Calgary",58,1,2,0,147,2,1,211,601
48008,"Calgary Heritage/Calgary Heritage"," 156","Calgary",68,1,0,2,150,2,0,223,503
48008,"Calgary Heritage/Calgary Heritage"," 157","Calgary",52,1,0,3,124,4,2,186,482
48008,"Calgary Heritage/Calgary Heritage"," 158","Calgary",57,2,1,0,148,4,1,213,502
48008,"Calgary Heritage/Calgary Heritage"," 159","Calgary",51,1,2,1,169,5,1,230,543
48008,"Calgary Heritage/Calgary Heritage"," 160","Calgary",65,1,2,0,124,8,0,200,575
48008,"Calgary Heritage/Calgary Heritage"," 161","Calgary",69,2,2,1,137,3,0,214,513
48008,"Calgary Heritage/Calgary Heritage"," 162","Calgary",70,3,0,0,92,10,0,175,433
48008,"Calgary Heritage/Calgary Heritage"," 163","Calgary",80,1,4,3,159,5,3,255,542
48008,"Calgary Heritage/Calgary Heritage"," 164","Calgary",74,3,2,1,182,10,0,272,607
48008,"Calgary Heritage/Calgary Heritage"," 165","Calgary",58,2,1,2,175,10,1,249,522
48008,"Calgary Heritage/Calgary Heritage"," 166","Calgary",91,3,1,2,161,6,4,268,549
48008,"Calgary Heritage/Calgary Heritage"," 167","Calgary",68,5,0,1,141,8,1,224,487
48008,"Calgary Heritage/Calgary Heritage"," 168","Calgary",67,1,1,1,151,3,3,227,585
48008,"Calgary Heritage/Calgary Heritage"," 169","Calgary",77,4,2,1,194,14,1,293,584
48008,"Calgary Heritage/Calgary Heritage"," 170","Calgary",80,3,2,1,142,11,1,240,686
48008,"Calgary Heritage/Calgary Heritage"," 171","Calgary",42,0,1,0,120,4,1,168,396
48008,"Calgary Heritage/Calgary Heritage"," 172","Calgary",52,1,2,1,166,7,2,231,564
48008,"Calgary Heritage/Calgary Heritage"," 173","Calgary",80,1,4,1,175,1,0,262,457
48008,"Calgary Heritage/Calgary Heritage"," 174","Calgary",89,3,0,0,158,7,2,259,614
48008,"Calgary Heritage/Calgary Heritage"," 175","Calgary",77,1,2,0,147,3,3,233,597
48008,"Calgary Heritage/Calgary Heritage"," 176","Calgary",86,6,2,1,205,4,6,310,614
48008,"Calgary Heritage/Calgary Heritage"," 177","Calgary",79,1,1,0,178,5,2,266,607
48008,"Calgary Heritage/Calgary Heritage"," 178","Calgary",64,3,2,2,160,3,1,235,488
48008,"Calgary Heritage/Calgary Heritage"," 179","Calgary",107,2,2,3,170,4,3,291,610
48008,"Calgary Heritage/Calgary Heritage"," 180","Calgary",98,0,0,1,169,10,2,280,618
48008,"Calgary Heritage/Calgary Heritage"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,,167
48008,"Calgary Heritage/Calgary Heritage"," 501","Mobile poll/Bureau itinérant",76,5,1,1,99,10,3,195,211
48008,"Calgary Heritage/Calgary Heritage"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,,122
48008,"Calgary Heritage/Calgary Heritage"," 503","Mobile poll/Bureau itinérant",29,4,2,2,57,1,2,97,187
48008,"Calgary Heritage/Calgary Heritage"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,,74
48008,"Calgary Heritage/Calgary Heritage"," 505","Mobile poll/Bureau itinérant",59,3,3,0,65,8,2,140,122
48008,"Calgary Heritage/Calgary Heritage"," 506","Mobile poll/Bureau itinérant",54,1,2,3,117,5,5,187,259
48008,"Calgary Heritage/Calgary Heritage"," 507","Mobile poll/Bureau itinérant",49,6,2,7,111,5,7,187,195
48008,"Calgary Heritage/Calgary Heritage"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,,123
48008,"Calgary Heritage/Calgary Heritage"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,,77
48008,"Calgary Heritage/Calgary Heritage"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,,170
48008,"Calgary Heritage/Calgary Heritage"," 600","Calgary",620,11,3,1,979,28,5,1647,
48008,"Calgary Heritage/Calgary Heritage"," 601","Calgary",505,3,0,4,689,17,0,1218,
48008,"Calgary Heritage/Calgary Heritage"," 602","Calgary",525,5,5,3,1071,22,8,1639,
48008,"Calgary Heritage/Calgary Heritage"," 603","Calgary",728,10,4,3,952,43,7,1747,
48008,"Calgary Heritage/Calgary Heritage"," 604","Calgary",408,10,3,5,615,28,2,1071,
48008,"Calgary Heritage/Calgary Heritage"," 605","Calgary",675,11,4,2,937,37,4,1670,
48008,"Calgary Heritage/Calgary Heritage"," 606","Calgary",664,15,9,5,881,42,11,1627,
48008,"Calgary Heritage/Calgary Heritage"," 607","Calgary",504,5,7,4,881,31,4,1436,
48008,"Calgary Heritage/Calgary Heritage"," 608","Calgary",520,3,2,4,818,30,4,1381,
48008,"Calgary Heritage/Calgary Heritage"," 609","Calgary",567,5,5,3,936,34,1,1551,
48008,"Calgary Heritage/Calgary Heritage"," 610","Calgary",518,4,1,3,677,36,0,1239,
48008,"Calgary Heritage/Calgary Heritage"," 611","Calgary",570,6,3,9,1243,26,5,1862,
48008,"Calgary Heritage/Calgary Heritage"," 612","Calgary",469,7,6,8,875,18,7,1390,
48008,"Calgary Heritage/Calgary Heritage"," 613","Calgary",439,9,6,5,753,24,5,1241,
48008,"Calgary Heritage/Calgary Heritage"," 614","Calgary",588,6,3,2,1291,24,5,1919,
48008,"Calgary Heritage/Calgary Heritage"," 615","Calgary",417,6,2,6,874,35,6,1346,
48008,"Calgary Heritage/Calgary Heritage"," 616","Calgary",330,1,2,8,702,32,8,1083,
48008,"Calgary Heritage/Calgary Heritage"," 617","Calgary",468,7,4,8,1009,24,11,1531,
48008,"Calgary Heritage/Calgary Heritage",,Group 1/Groupe 1, 713,34,4,8,898,42,69,1768,601
48008,"Calgary Heritage/Calgary Heritage",,Group 2/Groupe 2, 752,11,3,6,1567,50,45,2434,
