Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Rolf Gerstenberger,Lisa Hepfner,Ken Hewitt,Monique Taylor,Bing Wong,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35038,"Hamilton Mountain/Hamilton Mountain"," 94","Hamilton",0,70,105,30,3,0,208,502
35038,"Hamilton Mountain/Hamilton Mountain"," 95","Hamilton",0,43,53,12,3,0,111,387
35038,"Hamilton Mountain/Hamilton Mountain"," 96","Hamilton",5,74,75,5,2,0,161,411
35038,"Hamilton Mountain/Hamilton Mountain"," 97","Hamilton",0,107,98,23,7,0,235,534
35038,"Hamilton Mountain/Hamilton Mountain"," 98","Hamilton",2,129,135,15,2,4,287,591
35038,"Hamilton Mountain/Hamilton Mountain"," 99","Hamilton",1,91,144,19,1,4,260,614
35038,"Hamilton Mountain/Hamilton Mountain"," 100","Hamilton",1,89,126,23,3,2,244,608
35038,"Hamilton Mountain/Hamilton Mountain"," 101","Hamilton",0,84,97,11,4,0,196,636
35038,"Hamilton Mountain/Hamilton Mountain"," 102","Hamilton",0,111,120,12,0,6,249,585
35038,"Hamilton Mountain/Hamilton Mountain"," 103","Hamilton",0,100,133,31,3,0,267,643
35038,"Hamilton Mountain/Hamilton Mountain"," 104","Hamilton",1,91,99,28,4,1,224,532
35038,"Hamilton Mountain/Hamilton Mountain"," 105","Hamilton",0,108,85,18,0,0,211,501
35038,"Hamilton Mountain/Hamilton Mountain"," 106","Hamilton",0,107,92,24,5,2,230,555
35038,"Hamilton Mountain/Hamilton Mountain"," 107","Hamilton",0,127,138,28,2,0,295,580
35038,"Hamilton Mountain/Hamilton Mountain"," 108","Hamilton",2,101,110,30,8,1,252,617
35038,"Hamilton Mountain/Hamilton Mountain"," 109","Hamilton",2,129,151,34,1,0,317,647
35038,"Hamilton Mountain/Hamilton Mountain"," 110","Hamilton",2,112,129,47,2,0,292,585
35038,"Hamilton Mountain/Hamilton Mountain"," 111","Hamilton",1,95,98,20,2,2,218,479
35038,"Hamilton Mountain/Hamilton Mountain"," 112","Hamilton",0,124,129,7,0,0,260,561
35038,"Hamilton Mountain/Hamilton Mountain"," 113","Hamilton",0,127,115,25,1,0,268,602
35038,"Hamilton Mountain/Hamilton Mountain"," 114","Hamilton",1,120,123,16,4,0,264,564
35038,"Hamilton Mountain/Hamilton Mountain"," 115","Hamilton",0,78,89,17,4,0,188,381
35038,"Hamilton Mountain/Hamilton Mountain"," 116","Hamilton",0,131,147,10,1,6,295,565
35038,"Hamilton Mountain/Hamilton Mountain"," 117","Hamilton",1,96,140,12,0,0,249,557
35038,"Hamilton Mountain/Hamilton Mountain"," 118","Hamilton",2,117,100,21,1,0,241,506
35038,"Hamilton Mountain/Hamilton Mountain"," 119","Hamilton",0,93,129,23,1,0,246,534
35038,"Hamilton Mountain/Hamilton Mountain"," 120","Hamilton",0,91,77,14,3,0,185,546
35038,"Hamilton Mountain/Hamilton Mountain"," 121","Hamilton",1,90,73,20,0,1,185,533
35038,"Hamilton Mountain/Hamilton Mountain"," 122","Hamilton",1,78,131,13,3,0,226,578
35038,"Hamilton Mountain/Hamilton Mountain"," 123","Hamilton",0,107,118,14,2,0,241,642
35038,"Hamilton Mountain/Hamilton Mountain"," 124","Hamilton",0,90,114,7,0,1,212,522
35038,"Hamilton Mountain/Hamilton Mountain"," 125","Hamilton",0,95,122,10,6,0,233,509
35038,"Hamilton Mountain/Hamilton Mountain"," 126","Hamilton",1,133,122,24,0,3,283,560
35038,"Hamilton Mountain/Hamilton Mountain"," 127","Hamilton",2,134,121,23,2,5,287,543
35038,"Hamilton Mountain/Hamilton Mountain"," 128","Hamilton",1,102,125,12,1,3,244,584
35038,"Hamilton Mountain/Hamilton Mountain"," 129","Hamilton",0,80,100,12,2,2,196,563
35038,"Hamilton Mountain/Hamilton Mountain"," 130","Hamilton",1,128,138,14,5,1,287,539
35038,"Hamilton Mountain/Hamilton Mountain"," 131","Hamilton",0,53,69,4,1,0,127,385
35038,"Hamilton Mountain/Hamilton Mountain"," 132","Hamilton",2,73,70,20,0,0,165,496
35038,"Hamilton Mountain/Hamilton Mountain"," 133","Hamilton",3,58,108,15,6,4,194,498
35038,"Hamilton Mountain/Hamilton Mountain"," 134","Hamilton",0,111,114,28,4,2,259,618
35038,"Hamilton Mountain/Hamilton Mountain"," 135","Hamilton",0,100,110,21,1,3,235,558
35038,"Hamilton Mountain/Hamilton Mountain"," 136","Hamilton",0,80,110,30,0,2,222,629
35038,"Hamilton Mountain/Hamilton Mountain"," 137","Hamilton",1,88,102,24,2,3,220,561
35038,"Hamilton Mountain/Hamilton Mountain"," 138","Hamilton",0,131,138,22,1,0,292,657
35038,"Hamilton Mountain/Hamilton Mountain"," 139","Hamilton",0,117,94,25,2,7,245,579
35038,"Hamilton Mountain/Hamilton Mountain"," 140","Hamilton",1,101,130,24,1,3,260,586
35038,"Hamilton Mountain/Hamilton Mountain"," 141","Hamilton",0,65,90,17,1,1,174,409
35038,"Hamilton Mountain/Hamilton Mountain"," 142","Hamilton",0,119,95,33,1,0,248,597
35038,"Hamilton Mountain/Hamilton Mountain"," 143","Hamilton",1,116,101,32,3,1,254,593
35038,"Hamilton Mountain/Hamilton Mountain"," 144","Hamilton",2,77,101,21,1,4,206,448
35038,"Hamilton Mountain/Hamilton Mountain"," 145","Hamilton",1,60,116,24,1,2,204,415
35038,"Hamilton Mountain/Hamilton Mountain"," 146","Hamilton",0,133,115,36,2,1,287,555
35038,"Hamilton Mountain/Hamilton Mountain"," 147","Hamilton",1,112,122,25,4,3,267,503
35038,"Hamilton Mountain/Hamilton Mountain"," 148","Hamilton",0,71,81,26,4,1,183,453
35038,"Hamilton Mountain/Hamilton Mountain"," 149","Hamilton",0,130,98,18,2,1,249,418
35038,"Hamilton Mountain/Hamilton Mountain"," 150","Hamilton",1,101,109,19,0,2,232,533
35038,"Hamilton Mountain/Hamilton Mountain"," 151","Hamilton",3,190,73,20,3,2,291,420
35038,"Hamilton Mountain/Hamilton Mountain"," 152","Hamilton",0,156,94,34,0,2,286,416
35038,"Hamilton Mountain/Hamilton Mountain"," 153","Hamilton",0,123,137,10,3,3,276,543
35038,"Hamilton Mountain/Hamilton Mountain"," 154","Hamilton",1,75,108,7,2,2,195,342
35038,"Hamilton Mountain/Hamilton Mountain"," 155","Hamilton",0,121,164,23,3,1,312,540
35038,"Hamilton Mountain/Hamilton Mountain"," 156","Hamilton",0,137,146,15,1,3,302,610
35038,"Hamilton Mountain/Hamilton Mountain"," 157","Hamilton",0,78,82,8,0,1,169,400
35038,"Hamilton Mountain/Hamilton Mountain"," 158","Hamilton",1,59,87,20,2,0,169,451
35038,"Hamilton Mountain/Hamilton Mountain"," 159","Hamilton",2,100,134,16,3,3,258,688
35038,"Hamilton Mountain/Hamilton Mountain"," 160","Hamilton",0,105,119,23,2,1,250,619
35038,"Hamilton Mountain/Hamilton Mountain"," 161","Hamilton",1,97,126,14,4,0,242,616
35038,"Hamilton Mountain/Hamilton Mountain"," 162","Hamilton",0,121,153,21,1,5,301,658
35038,"Hamilton Mountain/Hamilton Mountain"," 400","Hamilton",Combined with No./Résultats combinés à ceux du n°16,,,,,,,178
35038,"Hamilton Mountain/Hamilton Mountain"," 401","Hamilton",2,111,65,47,0,1,226,288
35038,"Hamilton Mountain/Hamilton Mountain"," 402","Hamilton",Combined with No./Résultats combinés à ceux du n°53,,,,,,,243
35038,"Hamilton Mountain/Hamilton Mountain"," 403","Hamilton",0,61,83,37,2,8,191,312
35038,"Hamilton Mountain/Hamilton Mountain"," 404","Hamilton",Combined with No./Résultats combinés à ceux du n°55,,,,,,,166
35038,"Hamilton Mountain/Hamilton Mountain"," 405","Hamilton",2,67,36,37,3,0,145,215
35038,"Hamilton Mountain/Hamilton Mountain"," 500","Mobile poll/Bureau itinérant",2,52,32,32,2,3,123,264
35038,"Hamilton Mountain/Hamilton Mountain"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,155
35038,"Hamilton Mountain/Hamilton Mountain"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,26
35038,"Hamilton Mountain/Hamilton Mountain"," 503","Mobile poll/Bureau itinérant",3,49,25,28,2,5,112,156
35038,"Hamilton Mountain/Hamilton Mountain"," 504","Hamilton",Combined with No./Résultats combinés à ceux du n°133,,,,,,,119
35038,"Hamilton Mountain/Hamilton Mountain"," 505","Mobile poll/Bureau itinérant",0,129,62,29,0,6,226,39
35038,"Hamilton Mountain/Hamilton Mountain"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,381
35038,"Hamilton Mountain/Hamilton Mountain"," 600","Hamilton ",5,594,318,95,7,3,1022,
35038,"Hamilton Mountain/Hamilton Mountain"," 601","Hamilton ",3,625,424,146,6,6,1210,
35038,"Hamilton Mountain/Hamilton Mountain"," 602","Hamilton ",4,481,338,140,5,4,972,
35038,"Hamilton Mountain/Hamilton Mountain"," 603","Hamilton ",3,680,450,143,9,5,1290,
35038,"Hamilton Mountain/Hamilton Mountain"," 604","Hamilton ",5,490,355,139,4,2,995,
35038,"Hamilton Mountain/Hamilton Mountain"," 605","Hamilton ",2,614,447,183,12,4,1262,
35038,"Hamilton Mountain/Hamilton Mountain"," 606","Hamilton ",4,373,298,115,6,3,799,
35038,"Hamilton Mountain/Hamilton Mountain"," 607","Hamilton ",1,697,401,110,5,6,1220,
35038,"Hamilton Mountain/Hamilton Mountain"," 608","Hamilton ",2,545,439,128,6,8,1128,
35038,"Hamilton Mountain/Hamilton Mountain"," 609","Hamilton ",5,743,557,169,10,8,1492,
35038,"Hamilton Mountain/Hamilton Mountain"," 610","Hamilton ",1,457,358,90,4,16,926,
35038,"Hamilton Mountain/Hamilton Mountain"," 611","Hamilton ",4,754,561,120,8,6,1453,
35038,"Hamilton Mountain/Hamilton Mountain"," 612","Hamilton ",1,846,590,114,10,12,1573,
35038,"Hamilton Mountain/Hamilton Mountain"," 613","Hamilton ",1,680,462,87,9,3,1242,
35038,"Hamilton Mountain/Hamilton Mountain"," 614","Hamilton ",5,632,520,84,6,7,1254,
35038,"Hamilton Mountain/Hamilton Mountain"," 615","Hamilton ",2,645,458,61,5,6,1177,
35038,"Hamilton Mountain/Hamilton Mountain",,Group 1/Groupe 1, 2,425,281,88,7,61,864,224
35038,"Hamilton Mountain/Hamilton Mountain",,Group 2/Groupe 2, 4,1101,730,323,9,57,2224,
