Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Amber Murray,Clara Piedalue,Marc Slingerland,Chris Spearman,Nathan Svoboda,Rachael Thomas,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48029,"Lethbridge/Lethbridge"," 106","Lethbridge",2,3,0,83,13,78,0,179,438
48029,"Lethbridge/Lethbridge"," 107","Lethbridge",3,3,0,51,12,73,0,142,470
48029,"Lethbridge/Lethbridge"," 108","Lethbridge",3,2,0,65,10,62,0,142,439
48029,"Lethbridge/Lethbridge"," 109","Lethbridge",2,0,2,72,4,59,0,139,428
48029,"Lethbridge/Lethbridge"," 110","Lethbridge",0,0,1,65,4,122,0,192,485
48029,"Lethbridge/Lethbridge"," 111","Lethbridge",0,0,1,49,7,101,0,158,467
48029,"Lethbridge/Lethbridge"," 112","Lethbridge",2,0,1,59,6,100,0,168,449
48029,"Lethbridge/Lethbridge"," 113","Lethbridge",1,0,0,53,4,83,0,141,388
48029,"Lethbridge/Lethbridge"," 114","Lethbridge",1,2,1,54,2,89,1,150,400
48029,"Lethbridge/Lethbridge"," 115","Lethbridge",0,0,0,61,3,118,1,183,566
48029,"Lethbridge/Lethbridge"," 116","Lethbridge",1,1,1,55,4,86,0,148,400
48029,"Lethbridge/Lethbridge"," 117","Lethbridge",3,1,0,51,9,96,0,160,506
48029,"Lethbridge/Lethbridge"," 118","Lethbridge",0,0,0,45,3,61,0,109,385
48029,"Lethbridge/Lethbridge"," 119","Lethbridge",1,0,1,40,9,67,2,120,378
48029,"Lethbridge/Lethbridge"," 120","Lethbridge",0,2,0,40,4,81,0,127,395
48029,"Lethbridge/Lethbridge"," 121","Lethbridge",3,2,0,59,11,81,1,157,496
48029,"Lethbridge/Lethbridge"," 122","Lethbridge",1,0,0,52,8,66,1,128,374
48029,"Lethbridge/Lethbridge"," 123","Lethbridge",1,0,0,57,9,61,0,128,367
48029,"Lethbridge/Lethbridge"," 124","Lethbridge",2,0,1,63,7,55,0,128,361
48029,"Lethbridge/Lethbridge"," 125","Lethbridge",2,0,0,67,6,95,0,170,526
48029,"Lethbridge/Lethbridge"," 126","Lethbridge",0,0,1,39,6,54,2,102,398
48029,"Lethbridge/Lethbridge"," 127","Lethbridge",0,1,0,37,6,60,2,106,398
48029,"Lethbridge/Lethbridge"," 128","Lethbridge",4,3,0,71,9,82,2,171,485
48029,"Lethbridge/Lethbridge"," 129","Lethbridge",1,0,0,27,7,68,0,103,368
48029,"Lethbridge/Lethbridge"," 130","Lethbridge",0,3,2,65,3,42,0,115,423
48029,"Lethbridge/Lethbridge"," 131","Lethbridge",0,0,0,25,2,35,1,63,423
48029,"Lethbridge/Lethbridge"," 132","Lethbridge",1,0,0,38,7,96,1,143,426
48029,"Lethbridge/Lethbridge"," 133","Lethbridge",2,0,0,57,7,97,0,163,405
48029,"Lethbridge/Lethbridge"," 134","Lethbridge",1,1,1,57,9,68,0,137,451
48029,"Lethbridge/Lethbridge"," 135","Lethbridge",2,0,0,54,7,99,1,163,414
48029,"Lethbridge/Lethbridge"," 136","Lethbridge",1,0,0,39,2,75,0,117,392
48029,"Lethbridge/Lethbridge"," 137","Lethbridge",1,1,0,86,8,115,1,212,526
48029,"Lethbridge/Lethbridge"," 138","Lethbridge",0,2,0,54,0,84,0,140,421
48029,"Lethbridge/Lethbridge"," 139","Lethbridge",1,0,1,37,14,90,1,144,401
48029,"Lethbridge/Lethbridge"," 140","Lethbridge",2,1,0,43,7,89,2,144,445
48029,"Lethbridge/Lethbridge"," 141","Lethbridge",2,2,1,51,3,88,0,147,487
48029,"Lethbridge/Lethbridge"," 142","Lethbridge",0,3,1,63,4,95,0,166,464
48029,"Lethbridge/Lethbridge"," 143","Lethbridge",4,3,0,99,13,93,1,213,523
48029,"Lethbridge/Lethbridge"," 144","Lethbridge",0,0,1,40,7,71,0,119,426
48029,"Lethbridge/Lethbridge"," 145","Lethbridge",2,0,2,67,6,67,0,144,495
48029,"Lethbridge/Lethbridge"," 146","Lethbridge",1,2,2,75,9,98,0,187,520
48029,"Lethbridge/Lethbridge"," 147","Lethbridge",5,3,2,68,9,114,1,202,514
48029,"Lethbridge/Lethbridge"," 148","Lethbridge",3,0,1,43,4,85,0,136,380
48029,"Lethbridge/Lethbridge"," 149","Lethbridge",3,4,1,65,18,66,1,158,484
48029,"Lethbridge/Lethbridge"," 150","Lethbridge",0,0,0,62,8,68,0,138,365
48029,"Lethbridge/Lethbridge"," 151","Lethbridge",3,0,0,70,3,100,0,176,438
48029,"Lethbridge/Lethbridge"," 152","Lethbridge",0,0,1,30,2,78,0,111,300
48029,"Lethbridge/Lethbridge"," 153","Lethbridge",2,1,1,63,3,101,0,171,411
48029,"Lethbridge/Lethbridge"," 154","Lethbridge",9,1,0,74,7,102,2,195,541
48029,"Lethbridge/Lethbridge"," 155","Lethbridge",0,1,0,64,14,63,1,143,388
48029,"Lethbridge/Lethbridge"," 156","Lethbridge",1,0,0,41,3,83,0,128,308
48029,"Lethbridge/Lethbridge"," 157","Lethbridge",3,1,1,46,5,88,0,144,433
48029,"Lethbridge/Lethbridge"," 158","Lethbridge",1,0,1,79,4,74,1,160,400
48029,"Lethbridge/Lethbridge"," 159","Lethbridge",2,3,3,74,15,118,1,216,481
48029,"Lethbridge/Lethbridge"," 160","Lethbridge",3,0,0,70,6,79,0,158,375
48029,"Lethbridge/Lethbridge"," 161","Lethbridge",3,0,0,71,11,64,0,149,411
48029,"Lethbridge/Lethbridge"," 162","Lethbridge",1,2,0,38,11,86,1,139,470
48029,"Lethbridge/Lethbridge"," 163","Lethbridge",3,1,2,45,9,68,0,128,380
48029,"Lethbridge/Lethbridge"," 164","Coaldale",1,2,3,21,1,105,0,133,474
48029,"Lethbridge/Lethbridge"," 165","Coaldale",0,3,3,15,3,94,0,118,338
48029,"Lethbridge/Lethbridge"," 166","Coaldale",1,0,2,18,7,103,0,131,389
48029,"Lethbridge/Lethbridge"," 167","Coaldale",0,1,1,15,5,132,0,154,364
48029,"Lethbridge/Lethbridge"," 168","Coaldale",3,2,3,26,0,92,0,126,336
48029,"Lethbridge/Lethbridge"," 169","Lethbridge",2,0,0,55,12,89,1,159,405
48029,"Lethbridge/Lethbridge"," 170","Lethbridge",0,1,0,43,8,74,0,126,364
48029,"Lethbridge/Lethbridge"," 171","Lethbridge",0,0,0,46,6,55,0,107,368
48029,"Lethbridge/Lethbridge"," 172","Lethbridge",1,1,0,40,3,81,0,126,378
48029,"Lethbridge/Lethbridge"," 173","Lethbridge",0,0,1,36,7,69,0,113,377
48029,"Lethbridge/Lethbridge"," 174","Lethbridge",0,1,4,79,5,86,0,175,438
48029,"Lethbridge/Lethbridge"," 175","Lethbridge",4,1,2,48,5,118,1,179,457
48029,"Lethbridge/Lethbridge"," 176","Lethbridge",2,0,1,53,5,116,0,177,444
48029,"Lethbridge/Lethbridge"," 177","Lethbridge",0,0,0,53,6,103,2,164,411
48029,"Lethbridge/Lethbridge"," 178","Lethbridge",3,0,0,40,9,82,1,135,374
48029,"Lethbridge/Lethbridge"," 179","Lethbridge",3,4,0,52,8,118,0,185,389
48029,"Lethbridge/Lethbridge"," 180","Lethbridge",3,0,0,21,2,38,1,65,306
48029,"Lethbridge/Lethbridge"," 181","Lethbridge",1,1,5,30,9,59,0,105,334
48029,"Lethbridge/Lethbridge"," 182","Lethbridge",0,2,0,65,11,114,0,192,415
48029,"Lethbridge/Lethbridge"," 183","Lethbridge",1,6,0,55,7,107,1,177,408
48029,"Lethbridge/Lethbridge"," 184","Lethbridge",0,1,0,67,5,92,2,167,414
48029,"Lethbridge/Lethbridge"," 185","Lethbridge",3,0,1,85,6,148,0,243,589
48029,"Lethbridge/Lethbridge"," 186","Lethbridge",1,3,0,93,4,99,0,200,495
48029,"Lethbridge/Lethbridge"," 187","Lethbridge",2,2,1,69,6,151,0,231,544
48029,"Lethbridge/Lethbridge"," 188","Lethbridge",2,0,0,91,10,139,0,242,641
48029,"Lethbridge/Lethbridge"," 189","Lethbridge",0,2,0,54,1,143,0,200,528
48029,"Lethbridge/Lethbridge"," 190","Lethbridge County",0,3,0,71,5,134,0,213,607
48029,"Lethbridge/Lethbridge"," 191","Lethbridge",0,4,5,108,9,211,0,337,541
48029,"Lethbridge/Lethbridge"," 192","Coaldale",2,2,2,29,3,87,0,125,410
48029,"Lethbridge/Lethbridge"," 193","Coaldale",2,2,2,20,2,90,1,119,366
48029,"Lethbridge/Lethbridge"," 194","Coaldale",0,1,2,15,1,75,0,94,338
48029,"Lethbridge/Lethbridge"," 195","Coaldale",2,1,7,31,4,99,0,144,480
48029,"Lethbridge/Lethbridge"," 196","Coaldale",0,1,3,49,4,204,0,261,616
48029,"Lethbridge/Lethbridge"," 197","Coaldale",0,1,0,26,5,103,2,137,459
48029,"Lethbridge/Lethbridge"," 198","Broxburn",1,1,10,21,3,144,0,180,366
48029,"Lethbridge/Lethbridge"," 199","Tempest",0,2,6,9,1,122,0,140,320
48029,"Lethbridge/Lethbridge"," 200","Coaldale",0,2,0,25,5,89,2,123,394
48029,"Lethbridge/Lethbridge"," 201","Coaldale",0,1,3,11,3,52,0,70,251
48029,"Lethbridge/Lethbridge"," 202","Chin",0,3,2,13,2,75,0,95,229
48029,"Lethbridge/Lethbridge"," 203","Chin",1,0,6,8,3,72,0,90,374
48029,"Lethbridge/Lethbridge"," 204","Lethbridge",2,3,0,47,6,78,0,136,367
48029,"Lethbridge/Lethbridge"," 205","Lethbridge",0,0,0,39,5,98,0,142,381
48029,"Lethbridge/Lethbridge"," 206","Lethbridge",1,1,1,33,3,83,0,122,364
48029,"Lethbridge/Lethbridge"," 207","Lethbridge County",0,0,1,28,2,87,0,118,310
48029,"Lethbridge/Lethbridge"," 208","Lethbridge County",0,2,3,16,1,71,0,93,285
48029,"Lethbridge/Lethbridge"," 209","Lethbridge County",0,3,2,80,1,178,5,269,569
48029,"Lethbridge/Lethbridge"," 210","Lethbridge",1,1,0,64,4,100,0,170,488
48029,"Lethbridge/Lethbridge"," 211","Lethbridge",1,0,1,56,6,138,1,203,581
48029,"Lethbridge/Lethbridge"," 212","Lethbridge",0,2,0,74,8,128,0,212,469
48029,"Lethbridge/Lethbridge"," 213","Lethbridge",0,3,0,54,1,100,1,159,548
48029,"Lethbridge/Lethbridge"," 214","Stewart",3,1,3,33,3,127,0,170,515
48029,"Lethbridge/Lethbridge"," 215","Lethbridge",1,0,0,72,9,145,1,228,542
48029,"Lethbridge/Lethbridge"," 216","Lethbridge County",0,0,1,41,6,143,0,191,517
48029,"Lethbridge/Lethbridge"," 217","Lethbridge County",0,1,0,46,6,124,0,177,445
48029,"Lethbridge/Lethbridge"," 218","Lethbridge County",0,1,0,22,2,113,0,138,291
48029,"Lethbridge/Lethbridge"," 219","Lethbridge County",0,2,0,11,3,124,1,141,301
48029,"Lethbridge/Lethbridge"," 400","Lethbridge",0,0,0,7,1,22,0,30,156
48029,"Lethbridge/Lethbridge"," 401","Lethbridge",1,1,0,6,2,18,0,28,171
48029,"Lethbridge/Lethbridge"," 402","Lethbridge",0,0,2,16,3,32,0,53,229
48029,"Lethbridge/Lethbridge"," 403","Lethbridge",0,0,0,33,3,41,0,77,331
48029,"Lethbridge/Lethbridge"," 500","Mobile poll/Bureau itinérant",0,2,1,34,4,56,1,98,6
48029,"Lethbridge/Lethbridge"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,,6
48029,"Lethbridge/Lethbridge"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,,8
48029,"Lethbridge/Lethbridge"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°522,,,,,,,,64
48029,"Lethbridge/Lethbridge"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,,33
48029,"Lethbridge/Lethbridge"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,,34
48029,"Lethbridge/Lethbridge"," 506","Mobile poll/Bureau itinérant",5,2,2,26,4,44,2,85,75
48029,"Lethbridge/Lethbridge"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°513,,,,,,,,30
48029,"Lethbridge/Lethbridge"," 508","Mobile poll/Bureau itinérant",0,0,0,27,6,55,4,92,52
48029,"Lethbridge/Lethbridge"," 509","Mobile poll/Bureau itinérant",1,0,2,52,3,75,3,136,148
48029,"Lethbridge/Lethbridge"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,,,74
48029,"Lethbridge/Lethbridge"," 511","Mobile poll/Bureau itinérant",2,1,0,62,12,90,7,174,121
48029,"Lethbridge/Lethbridge"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,,,,65
48029,"Lethbridge/Lethbridge"," 513","Mobile poll/Bureau itinérant",3,1,0,18,8,23,1,54,72
48029,"Lethbridge/Lethbridge"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,,,,59
48029,"Lethbridge/Lethbridge"," 515","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°517,,,,,,,,61
48029,"Lethbridge/Lethbridge"," 516","Mobile poll/Bureau itinérant",2,5,4,35,10,64,0,120,322
48029,"Lethbridge/Lethbridge"," 517","Mobile poll/Bureau itinérant",1,3,6,68,6,63,0,147,130
48029,"Lethbridge/Lethbridge"," 518","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,,89
48029,"Lethbridge/Lethbridge"," 519","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°516,,,,,,,,48
48029,"Lethbridge/Lethbridge"," 520","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°516,,,,,,,,8
48029,"Lethbridge/Lethbridge"," 521","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°523,,,,,,,,43
48029,"Lethbridge/Lethbridge"," 522","Mobile poll/Bureau itinérant",3,2,2,30,7,43,0,87,83
48029,"Lethbridge/Lethbridge"," 523","Mobile poll/Bureau itinérant",0,1,0,34,6,42,0,83,112
48029,"Lethbridge/Lethbridge"," 600","Lethbridge County--Picture Butte",1,1,17,25,5,164,0,213,
48029,"Lethbridge/Lethbridge"," 601","Lethbridge County--Picture Butte",1,5,43,69,8,534,4,664,
48029,"Lethbridge/Lethbridge"," 602","Lethbridge County--Coalhurst",5,6,43,229,28,825,2,1138,
48029,"Lethbridge/Lethbridge"," 603","Lethbridge",11,10,2,315,27,740,8,1113,
48029,"Lethbridge/Lethbridge"," 604","Lethbridge",5,7,9,287,36,585,0,929,
48029,"Lethbridge/Lethbridge"," 605","Lethbridge",6,12,7,408,55,710,2,1200,
48029,"Lethbridge/Lethbridge"," 606","Lethbridge",4,6,3,431,34,545,2,1025,
48029,"Lethbridge/Lethbridge"," 607","Lethbridge County",9,2,1,599,36,716,0,1363,
48029,"Lethbridge/Lethbridge"," 608","Lethbridge",6,18,3,604,52,765,0,1448,
48029,"Lethbridge/Lethbridge"," 609","Lethbridge",3,4,8,549,36,655,0,1255,
48029,"Lethbridge/Lethbridge"," 610","Lethbridge",10,4,1,718,50,943,2,1728,
48029,"Lethbridge/Lethbridge"," 611","Lethbridge",4,10,2,626,61,812,0,1515,
48029,"Lethbridge/Lethbridge"," 612","Lethbridge",2,7,4,715,32,934,5,1699,
48029,"Lethbridge/Lethbridge"," 613","Lethbridge",13,8,3,729,39,819,2,1613,
48029,"Lethbridge/Lethbridge"," 614","Lethbridge",16,11,6,640,45,899,3,1620,
48029,"Lethbridge/Lethbridge"," 615","Lethbridge",11,6,2,743,54,716,3,1535,
48029,"Lethbridge/Lethbridge"," 616","Lethbridge County",6,6,14,282,30,675,13,1026,
48029,"Lethbridge/Lethbridge"," 617","Lethbridge County",0,2,5,38,2,250,0,297,
48029,"Lethbridge/Lethbridge"," 618","Coaldale",9,12,22,332,51,1440,2,1868,
48029,"Lethbridge/Lethbridge"," 619","Lethbridge County--Coaldale",2,3,32,108,20,534,0,699,
48029,"Lethbridge/Lethbridge"," 620","Lethbridge County",6,13,7,544,25,1020,0,1615,
48029,"Lethbridge/Lethbridge",,Group 1/Groupe 1, 11,4,4,232,28,289,22,590,248
48029,"Lethbridge/Lethbridge",,Group 2/Groupe 2, 27,30,32,2006,228,2815,12,5150,
