Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Eric-Abel Baland,Ariane Charbonneau,Vincent Leroux,George Mogiljansky,Karine Steinberger,Tim Watchorn,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 40","Sainte-Adèle",3,64,46,3,7,76,1,200,444
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 41","Saint-Hippolyte",2,67,39,1,2,28,2,141,401
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 42","Saint-Hippolyte",2,75,28,4,1,46,4,160,533
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 43","Saint-Hippolyte",3,65,43,2,2,66,3,184,438
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 44","Saint-Hippolyte",4,33,53,2,3,57,3,155,418
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 45","Sainte-Adèle",4,58,36,2,6,67,5,178,503
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 46A","Sainte-Adèle",Combined with No./Résultats combinés à ceux du n°47A,,,,,,,,177
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 46B","Sainte-Adèle",Combined with No./Résultats combinés à ceux du n°47B,,,,,,,,213
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 47A","Sainte-Adèle",2,72,35,1,4,72,5,191,326
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 47B","Sainte-Adèle",5,72,41,2,3,100,0,223,357
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 48","Sainte-Adèle",7,86,38,4,3,63,1,202,582
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 49","Sainte-Adèle",9,72,36,5,8,53,0,183,587
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 50A","Sainte-Adèle",6,94,45,6,10,60,5,226,382
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 50B","Sainte-Adèle",9,92,35,3,3,82,0,224,390
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 51A","Sainte-Adèle",Combined with No./Résultats combinés à ceux du n°50A,,,,,,,,188
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 51B","Sainte-Adèle",Combined with No./Résultats combinés à ceux du n°50B,,,,,,,,220
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 52","Saint-Adolphe-d'Howard",1,88,23,0,3,77,0,192,394
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 53","Saint-Adolphe-d'Howard",1,43,21,2,4,104,0,175,373
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 54","Saint-Adolphe-d'Howard",5,49,24,4,6,47,0,135,320
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 55","Saint-Adolphe-d'Howard",4,62,31,2,0,65,2,166,382
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 56","Saint-Adolphe-d'Howard",2,52,23,4,2,75,2,160,337
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 57","Sainte-Adèle",14,74,40,2,6,95,4,235,564
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 58","Sainte-Adèle",4,68,49,5,5,64,1,196,572
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 59","Sainte-Adèle",6,83,31,1,3,58,4,186,551
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 60","Sainte-Adèle",5,83,30,1,6,76,0,201,583
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 61","Sainte-Adèle",7,94,37,2,6,50,1,197,592
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 62","Sainte-Adèle",5,69,31,3,1,73,0,182,557
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 63","Sainte-Adèle",12,65,30,2,8,67,2,186,515
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 64A","Sainte-Adèle",Combined with No./Résultats combinés à ceux du n°65A,,,,,,,,222
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 64B","Sainte-Adèle",Combined with No./Résultats combinés à ceux du n°65B,,,,,,,,227
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 65A","Sainte-Adèle",5,65,33,3,7,74,2,189,340
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 65B","Sainte-Adèle",10,54,40,5,5,79,3,196,341
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 66A","Sainte-Adèle",4,43,26,3,3,72,1,152,296
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 66B","Sainte-Adèle",4,44,15,3,1,64,0,131,302
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 67A","Sainte-Adèle",Combined with No./Résultats combinés à ceux du n°38A,,,,,,,,236
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 67B","Sainte-Adèle",Combined with No./Résultats combinés à ceux du n°38B,,,,,,,,270
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 68","Saint-Hippolyte",4,55,38,0,1,32,1,131,356
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 69","Saint-Hippolyte",6,86,39,4,2,58,1,196,508
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 70","Saint-Hippolyte",5,100,36,4,2,49,1,197,476
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 71","Saint-Hippolyte",2,99,63,4,7,56,4,235,549
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 72","Saint-Hippolyte",10,62,23,2,5,41,2,145,419
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 73","Saint-Hippolyte",2,72,65,1,5,51,1,197,473
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 74","Saint-Hippolyte",4,73,57,0,1,36,0,171,492
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 75","Saint-Hippolyte",5,99,61,3,6,72,6,252,573
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 76","Saint-Hippolyte",7,79,54,5,5,56,4,210,506
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 77","Saint-Hippolyte",3,78,55,1,5,31,3,176,588
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 78A","Saint-Hippolyte",Combined with No./Résultats combinés à ceux du n°79A,,,,,,,,180
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 78B","Saint-Hippolyte",Combined with No./Résultats combinés à ceux du n°79B,,,,,,,,191
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 79A","Saint-Hippolyte",3,79,40,0,3,37,1,163,324
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 79B","Saint-Hippolyte",3,81,51,2,7,46,3,193,309
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 80","Saint-Hippolyte",3,113,70,3,3,48,4,244,542
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 81","Piedmont",0,56,41,0,0,124,0,221,636
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 82","Piedmont",2,58,29,3,2,84,1,179,542
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 83","Piedmont",4,64,25,0,3,94,3,193,588
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 84","Piedmont",5,51,19,3,5,65,1,149,524
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 85A","Piedmont",3,44,37,3,1,79,2,169,334
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 85B","Piedmont",3,52,36,1,1,59,0,152,345
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 86A","Piedmont",Combined with No./Résultats combinés à ceux du n°85A,,,,,,,,130
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 86B","Piedmont",Combined with No./Résultats combinés à ceux du n°85B,,,,,,,,149
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 87","Morin-Heights",11,40,28,1,4,90,1,175,451
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 88","Morin-Heights",5,46,24,1,3,79,2,160,466
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 89","Lac-Écho",12,117,55,2,0,54,1,241,444
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 90","Prévost",5,71,37,0,5,69,4,191,432
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 91","Saint-Hippolyte",4,98,30,0,8,54,2,196,488
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 92","Saint-Hippolyte",6,55,33,4,6,33,1,138,362
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 93","Saint-Hippolyte",4,59,34,1,4,28,2,132,358
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 94","Saint-Hippolyte",10,93,44,3,2,87,0,239,508
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 95","Morin-Heights",3,38,24,4,7,91,0,167,482
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 96","Morin-Heights",2,29,41,3,4,105,2,186,467
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 97","Morin-Heights",1,26,14,0,0,58,0,99,338
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 98","Morin-Heights",6,35,22,3,2,50,0,118,350
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 99","Morin-Heights",3,44,20,0,3,65,1,136,449
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 100","Morin-Heights",2,36,25,2,4,96,2,167,484
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 101","Prévost",8,63,26,0,3,51,3,154,338
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 102","Prévost",4,98,21,0,1,82,2,208,476
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 103","Prévost",8,104,54,0,8,105,5,284,579
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 104","Prévost",5,63,39,3,2,27,2,141,301
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 105","Saint-Adolphe-d'Howard",6,71,25,2,8,66,2,180,405
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 106","Saint-Adolphe-d'Howard",5,51,23,4,5,53,1,142,442
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 107","Saint-Adolphe-d'Howard",2,39,25,2,0,45,1,114,364
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 108","Saint-Adolphe-d'Howard",4,35,21,3,3,41,2,109,367
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 109","Prévost",7,96,37,1,4,68,3,216,455
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 110","Prévost",10,95,28,3,7,48,0,191,467
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 111","Prévost",8,102,37,0,7,71,3,228,544
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 112","Prévost",3,85,37,5,4,62,2,198,435
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 113","Prévost",9,90,29,5,3,65,1,202,451
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 114","Prévost",12,103,62,2,3,90,0,272,589
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 115","Prévost",11,134,38,0,6,84,3,276,592
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 116","Prévost",2,114,50,0,7,90,1,264,567
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 117","Prévost",4,86,48,4,0,92,1,235,570
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 118","Prévost",10,97,37,0,0,108,4,256,551
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 119","Prévost",4,104,18,0,1,107,3,237,558
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 120","Prévost",3,100,32,0,2,118,1,256,616
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 121","Prévost",6,104,46,3,5,78,2,244,610
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 122","Saint-Sauveur",2,53,25,0,4,74,0,158,567
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 123","Saint-Sauveur",6,74,22,2,2,101,0,207,589
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 124","Saint-Sauveur",5,69,38,1,1,72,5,191,615
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 125","Saint-Sauveur",0,42,35,2,5,74,0,158,525
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 126","Saint-Sauveur",5,54,20,2,2,64,7,154,572
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 127","Saint-Sauveur",3,64,38,1,4,90,1,201,539
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 128","Saint-Sauveur",3,55,25,1,2,88,0,174,522
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 129","Saint-Sauveur",3,45,30,1,3,86,1,169,532
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 130","Saint-Sauveur",1,62,35,3,1,58,0,160,503
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 131A","Saint-Sauveur",5,22,13,1,4,39,2,86,320
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 131B","Saint-Sauveur",0,30,19,0,0,38,0,87,332
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 132","Saint-Sauveur",2,33,29,1,1,110,2,178,567
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 133","Saint-Sauveur",10,59,37,2,3,106,3,220,636
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 134A","Saint-Sauveur",3,62,49,2,3,50,2,171,339
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 134B","Saint-Sauveur",5,64,41,2,3,68,1,184,336
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 135A","Saint-Sauveur",Combined with No./Résultats combinés à ceux du n°134A,,,,,,,,172
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 135B","Saint-Sauveur",Combined with No./Résultats combinés à ceux du n°134B,,,,,,,,172
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 136","Saint-Sauveur",2,30,23,2,3,88,0,148,499
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 137","Saint-Sauveur",5,79,35,6,1,96,3,225,599
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 138","Saint-Sauveur",2,47,38,1,5,67,2,162,470
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 139","Saint-Sauveur",2,51,34,1,2,60,1,151,478
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 140","Saint-Sauveur",4,43,20,0,3,66,1,137,409
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 141","Sainte-Anne-des-Lacs",4,62,43,5,6,75,3,198,438
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 142","Sainte-Anne-des-Lacs",5,65,36,5,4,85,0,200,449
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 143","Sainte-Anne-des-Lacs",5,63,28,1,1,81,3,182,438
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 144","Sainte-Anne-des-Lacs",6,43,23,3,9,55,2,141,421
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 145","Sainte-Anne-des-Lacs",0,41,18,0,3,56,1,119,337
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 146","Sainte-Anne-des-Lacs",5,57,28,0,6,74,1,171,463
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 147","Sainte-Anne-des-Lacs",9,44,37,3,3,79,2,177,441
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 148","Sainte-Anne-des-Lacs",4,74,42,1,5,87,5,218,487
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 149","Prévost",5,78,33,3,2,70,1,192,582
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 150","Prévost",11,81,32,1,3,59,0,187,579
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 151","Prévost",3,62,29,0,0,37,7,138,583
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 152","Morin-Heights",0,29,25,4,0,83,1,142,432
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 153","Morin-Heights",6,41,36,3,2,90,0,178,468
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 154","Lac-des-Seize-Îles",6,38,15,1,1,42,1,104,313
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 155","Mille-Isles",8,73,67,2,4,107,3,264,451
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 156","Mille-Isles",2,119,62,4,2,82,1,272,534
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 157","Mille-Isles",3,79,67,2,9,93,4,257,323
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 158","Mille-Isles",Combined with No./Résultats combinés à ceux du n°157,,,,,,,,191
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 159","Saint-Colomban",4,108,86,6,5,76,5,290,617
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 160","Saint-Colomban",6,97,69,5,3,57,6,243,579
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 161","Saint-Colomban",3,83,71,1,3,61,6,228,499
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 162","Montfort",3,30,36,2,0,60,0,131,463
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 163","Lac-des-Seize-Îles",6,48,39,3,8,22,2,128,362
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 164","Saint-Michel-de-Wentworth",5,34,39,3,0,46,3,130,449
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 165","Saint-Colomban",8,106,85,2,7,75,3,286,578
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 166","Saint-Colomban",6,63,70,2,1,56,1,199,437
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 167","Saint-Colomban",3,134,87,0,4,86,3,317,565
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 168","Saint-Colomban",12,99,55,0,7,64,5,242,572
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 169","Saint-Colomban",3,139,55,1,8,55,1,262,584
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 170","Saint-Colomban",7,80,69,0,4,58,3,221,493
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 171","Saint-Colomban",10,69,34,0,1,43,3,160,403
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 172A","Saint-Colomban",Combined with No./Résultats combinés à ceux du n°174A,,,,,,,,195
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 172B","Saint-Colomban",Combined with No./Résultats combinés à ceux du n°174B,,,,,,,,203
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 173","Saint-Colomban",6,54,45,2,6,41,1,155,409
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 174A","Saint-Colomban",3,82,77,0,6,64,4,236,313
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 174B","Saint-Colomban",9,99,67,1,1,38,7,222,339
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 175","Saint-Colomban",9,90,72,3,3,64,3,244,587
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 176","Saint-Colomban",3,91,52,2,3,79,3,233,560
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 177A","Saint-Colomban",Combined with No./Résultats combinés à ceux du n°178A,,,,,,,,216
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 177B","Saint-Colomban",Combined with No./Résultats combinés à ceux du n°178B,,,,,,,,217
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 178A","Saint-Colomban",2,97,51,1,1,79,3,234,350
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 178B","Saint-Colomban",4,89,56,1,3,72,3,228,333
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 179","Louisa",6,69,52,2,4,202,7,342,294
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 180","Louisa",Combined with No./Résultats combinés à ceux du n°179,,,,,,,,256
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 181","Domaine-Grenon",0,50,35,1,2,54,1,143,409
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 182","Lakefield--Gore",3,44,47,5,5,53,2,159,472
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 183","Domaine-Grenon",9,43,23,9,3,48,1,136,366
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 184","Lakefield--Gore",1,57,37,1,3,62,0,161,468
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 185","Lakefield--Gore",6,52,47,1,5,59,2,172,475
24039,"Les Pays-d'en-Haut/Les Pays-d'en-Haut"," 186A","Saint-Colomban",Combined with No./Résultats combinés à ceux du n°187A,,,,,,,,213
