Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Ali Bahman,Michael Guglielmin,Francesco Sorbara,Roman Yevseyev,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 24","Vaughan",5,134,82,1,0,222,602
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 25","Vaughan",5,129,57,1,2,194,500
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 26","Vaughan",1,109,105,5,3,223,560
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 27","Vaughan",6,142,92,0,4,244,586
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 28","Vaughan",6,106,82,4,3,201,470
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 29","Vaughan",4,128,104,1,1,238,584
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 30","Vaughan",0,105,67,0,2,174,485
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 31","Vaughan",2,119,76,4,4,205,531
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 32","Vaughan",1,101,85,1,0,188,534
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 33","Vaughan",2,165,96,1,5,269,642
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 34","Vaughan",1,130,73,3,2,209,514
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 35","Vaughan",2,104,69,2,1,178,530
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 36","Vaughan",2,86,64,1,0,153,432
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 37","Vaughan",5,110,66,0,2,183,476
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 38","Vaughan",4,209,89,2,1,305,639
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 39","Vaughan",1,98,80,2,1,182,483
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 40","Vaughan",1,144,56,0,2,203,477
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 41","Vaughan",3,110,71,2,1,187,492
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 42","Vaughan",3,100,70,1,3,177,483
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 43","Vaughan",5,111,96,0,4,216,544
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 44","Vaughan",1,130,68,1,0,200,493
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 45","Vaughan",1,105,78,0,0,184,465
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 46","Vaughan",1,124,66,2,3,196,457
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 47","Vaughan",3,101,60,0,1,165,423
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 48","Vaughan",1,142,91,1,0,235,562
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 49","Vaughan",2,118,48,0,2,170,474
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 50","Vaughan",1,86,69,1,2,159,437
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 51","Vaughan",3,135,80,1,0,219,528
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 52","Vaughan",4,115,83,1,0,203,465
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 53","Vaughan",3,119,81,2,3,208,476
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 54","Vaughan",0,97,91,1,1,190,562
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 55","Vaughan",6,98,110,6,0,220,469
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 56","Vaughan",1,106,79,1,0,187,606
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 57","Vaughan",7,94,74,4,0,179,399
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 58","Vaughan",4,145,93,1,2,245,467
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 59","Vaughan",3,121,76,1,0,201,458
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 60","Vaughan",6,93,95,1,1,196,457
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 61","Vaughan",2,122,85,1,2,212,463
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 62","Vaughan",2,130,79,2,0,213,519
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 63","Vaughan",6,106,61,0,1,174,467
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 64","Vaughan",0,181,73,2,1,257,576
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 65","Vaughan",0,119,55,0,3,177,387
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 66","Vaughan",0,113,50,0,0,163,360
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 67","Vaughan",2,118,45,2,1,168,344
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 68","Vaughan",1,160,75,3,1,240,574
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 69","Vaughan",0,109,58,1,1,169,353
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 70","Vaughan",1,145,54,1,5,206,538
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 71","Vaughan",3,117,60,0,2,182,456
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 72","Vaughan",1,134,40,0,4,179,440
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 73","Vaughan",2,151,48,0,2,203,409
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 74","Vaughan",3,131,52,3,2,191,438
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 75","Vaughan",1,147,90,0,4,242,583
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 76","Vaughan",1,129,71,1,1,203,471
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 77","Vaughan",4,141,69,2,1,217,468
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 78","Vaughan",2,144,77,0,0,223,637
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 79","Vaughan",2,159,97,0,0,258,474
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 80","Vaughan",3,143,73,3,0,222,492
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 81","Vaughan",3,116,60,2,0,181,395
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 82","Vaughan",1,164,61,0,0,226,511
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 83","Vaughan",2,121,47,0,0,170,363
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 84","Vaughan",0,94,49,0,1,144,408
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 85","Vaughan",0,132,57,2,0,191,393
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 86","Vaughan",0,79,42,1,0,122,396
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 87","Vaughan",2,135,60,1,0,198,479
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 88","Vaughan",2,112,60,0,1,175,371
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 89","Vaughan",1,86,44,1,0,132,328
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 90","Vaughan",0,94,48,0,0,142,383
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 91","Vaughan",2,189,62,1,2,256,486
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 92","Vaughan",0,97,51,0,0,148,373
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 93","Vaughan",3,132,84,2,2,223,615
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 94","Vaughan",1,73,43,1,0,118,372
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 95","Vaughan",1,92,53,0,2,148,437
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 96","Vaughan",2,114,42,1,2,161,398
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 97","Vaughan",5,68,51,0,0,124,367
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 98","Vaughan",0,100,34,0,0,134,359
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 99","Vaughan",2,188,86,0,0,276,513
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 100","Vaughan",2,95,80,2,0,179,373
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 101","Vaughan",6,161,82,2,1,252,508
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 102","Vaughan",2,78,79,2,2,163,439
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 103","Vaughan",3,101,54,2,0,160,384
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 104","Vaughan",5,103,62,0,1,171,357
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 105","Vaughan",7,118,59,6,2,192,470
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 106","Vaughan",3,98,52,1,0,154,455
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 107","Vaughan",0,101,83,1,0,185,404
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 108","Vaughan",4,78,67,0,0,149,343
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 109","Vaughan",4,158,80,1,1,244,533
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 110","Vaughan",1,161,96,0,0,258,456
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 111","Vaughan",7,185,94,0,5,291,520
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 112","Vaughan",2,199,76,2,1,280,594
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 113","Vaughan",4,178,120,1,1,304,566
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 114","Vaughan",5,167,80,1,0,253,495
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 115","Vaughan",1,141,75,1,2,220,426
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 116","Vaughan",3,181,72,0,4,260,437
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 117","Vaughan",1,163,87,1,1,253,497
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 118","Vaughan",4,177,68,2,4,255,512
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 119","Vaughan",8,204,87,4,4,307,551
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 120","Vaughan",9,147,78,1,1,236,417
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 121","Vaughan",2,127,71,2,3,205,503
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 122","Vaughan",2,167,70,1,0,240,478
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 123","Vaughan",7,188,63,4,4,266,547
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 124","Vaughan",5,178,93,1,4,281,526
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 125","Vaughan",4,88,95,1,4,192,572
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 126","Vaughan",3,146,87,7,2,245,511
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 127","Vaughan",3,103,54,2,1,163,376
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 128","Vaughan",3,75,50,0,1,129,359
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 129","Vaughan",7,128,58,1,2,196,580
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 130","Vaughan",0,104,54,0,0,158,388
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 131","Vaughan",0,70,62,3,6,141,342
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 132","Vaughan",2,128,77,0,2,209,438
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 133","Vaughan",2,122,68,1,0,193,361
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 134","Vaughan",4,117,69,0,1,191,403
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 135","Vaughan",0,129,73,0,4,206,389
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 136","Vaughan",0,124,80,0,0,204,418
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 137","Vaughan",3,127,74,2,1,207,346
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 138","Vaughan",1,128,51,1,1,182,390
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 139","Vaughan",2,95,61,1,3,162,349
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 140","Vaughan",2,195,99,1,5,302,584
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 141","Vaughan",3,64,79,1,1,148,353
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 142","Vaughan",6,107,42,1,2,158,434
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 143","Vaughan",3,150,96,4,2,255,470
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 144","Vaughan",4,115,65,0,1,185,486
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 145","Vaughan",1,67,54,0,3,125,345
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 146","Vaughan",5,105,94,0,5,209,443
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 147","Vaughan",2,125,80,1,3,211,385
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 148","Vaughan",7,86,70,3,0,166,396
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 149","Vaughan",6,68,55,0,2,131,335
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 150","Vaughan",3,148,80,3,3,237,587
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 151","Vaughan",3,101,44,0,0,148,419
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 152","Vaughan",1,85,63,2,0,151,344
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 153","Vaughan",1,129,87,4,0,221,554
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 154","Vaughan",8,115,92,0,0,215,425
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 155","Vaughan",1,118,91,4,0,214,443
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 156","Vaughan",6,135,122,3,1,267,494
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 157","Vaughan",2,94,54,2,3,155,359
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 158","Vaughan",3,134,90,1,0,228,480
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 159","Vaughan",0,97,41,1,0,139,398
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 160","Vaughan",2,107,74,0,0,183,406
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 161","Vaughan",2,106,59,2,0,169,508
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 162","Vaughan",0,79,39,0,4,122,361
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 163","Vaughan",6,109,48,1,0,164,450
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 164","Vaughan",3,81,48,2,1,135,335
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 165","Vaughan",2,70,61,2,1,136,412
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 166","Vaughan",3,107,65,0,2,177,562
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 167","Vaughan",3,79,58,2,5,147,400
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 168","Vaughan",0,87,69,3,1,160,364
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 169","Vaughan",3,76,70,3,0,152,435
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 170","Vaughan",3,131,61,1,0,196,515
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 171","Vaughan",0,104,86,0,0,190,453
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 172","Vaughan",3,101,93,1,0,198,503
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 173","Vaughan",2,129,101,4,1,237,593
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 174","Vaughan",3,115,69,4,1,192,562
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 175","Vaughan",0,131,53,2,0,186,501
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 176","Vaughan",1,117,63,2,1,184,463
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 177","Vaughan",1,107,74,1,0,183,394
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 178","Vaughan",6,133,72,2,0,213,448
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 179","Vaughan",2,184,94,0,1,281,523
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 180","Vaughan",1,95,61,0,2,159,432
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 181","Vaughan",1,145,52,1,0,199,475
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 182","Vaughan",0,94,75,1,2,172,374
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 183","Vaughan",5,146,86,1,1,239,569
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 184","Vaughan",2,82,33,2,0,119,400
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 185","Vaughan",3,154,88,1,1,247,527
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 186","Vaughan",2,93,68,0,0,163,590
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 187","Vaughan",5,107,88,2,0,202,449
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 188","Vaughan",1,70,31,1,1,104,373
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 189","Vaughan",1,131,81,1,1,215,559
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 190","Vaughan",3,107,68,3,0,181,441
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 191","Vaughan",7,113,69,0,0,189,532
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 192","Vaughan",2,98,63,0,1,164,400
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 193","Vaughan",1,114,75,4,1,195,582
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 194","Vaughan",4,138,64,0,2,208,591
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 195","Vaughan",2,77,46,1,1,127,446
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 196","Vaughan",5,98,51,0,0,154,423
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 197","Vaughan",4,64,34,1,3,106,373
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 400","Vaughan",0,48,49,0,1,98,152
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 401","Vaughan",7,144,76,5,3,235,433
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 402","Vaughan",1,87,53,2,1,144,308
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 403","Vaughan",1,55,45,3,1,105,179
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 404","Vaughan",6,33,52,1,1,93,211
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 405","Vaughan",4,102,54,2,1,163,265
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,29
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 501","Mobile poll/Bureau itinérant",4,41,33,1,0,79,76
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 502","Mobile poll/Bureau itinérant",3,30,85,4,0,122,111
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,55
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 504","Mobile poll/Bureau itinérant",5,41,55,1,4,106,139
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,52
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,38
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 600","Vaughan",20,1235,779,6,4,2044,
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 601","Vaughan",15,671,602,7,6,1301,
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 602","Vaughan",24,849,758,9,13,1653,
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 603","Vaughan",25,1048,652,14,14,1753,
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 604","Vaughan",16,968,681,16,6,1687,
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 605","Vaughan",9,1030,589,14,6,1648,
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 606","Vaughan",11,612,328,3,2,956,
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 607","Vaughan",13,843,537,8,7,1408,
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 608","Vaughan",21,1170,688,11,13,1903,
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 609","Vaughan",13,1003,492,9,3,1520,
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 610","Vaughan",18,754,568,5,8,1353,
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 611","Vaughan",9,525,327,5,2,868,
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 612","Vaughan",18,610,500,1,5,1134,
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 613","Vaughan",13,704,632,4,7,1360,
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 614","Vaughan",12,746,474,4,12,1248,
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 615","Vaughan",12,778,548,9,9,1356,
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 616","Vaughan",34,995,713,10,21,1773,
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 617","Vaughan",8,559,429,7,7,1010,
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge",,Group 1/Groupe 1, 11,205,280,4,27,527,177
35113,"Vaughan--Woodbridge/Vaughan--Woodbridge",,Group 2/Groupe 2, 26,767,646,9,41,1489,
