Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Emily Clark,Raquel Dancho,Erik Holmes,Thomas Naaykens,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 52","Winnipeg",16,114,2,89,0,221,574
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 53","Winnipeg",17,51,0,49,2,119,350
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 54","Winnipeg",9,136,2,95,2,244,610
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 55","Winnipeg",15,106,2,87,1,211,542
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 56","Winnipeg",11,60,4,95,0,170,419
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 57","Winnipeg",9,91,6,65,0,171,519
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 58","Winnipeg",19,79,2,64,0,164,386
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 59","Winnipeg",12,59,1,57,3,132,319
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 60","Winnipeg",14,87,0,100,1,202,549
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 61","Winnipeg",9,100,1,134,1,245,568
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 62","Winnipeg",12,59,1,101,0,173,390
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 63","Winnipeg",4,71,1,80,6,162,461
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 64","Winnipeg",3,54,0,71,0,128,390
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 65","Winnipeg",8,54,2,34,1,99,420
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 66","Winnipeg",10,57,0,65,0,132,459
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 67","Winnipeg",13,63,4,46,0,126,476
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 68","Winnipeg",10,42,2,25,2,81,338
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 69","Winnipeg",13,47,1,64,0,125,417
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 70","Winnipeg",11,78,0,74,0,163,487
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 71","Winnipeg",3,77,1,70,0,151,523
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 72","Winnipeg",21,67,1,67,3,159,516
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 73","Winnipeg",13,81,1,86,0,181,413
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 74","Winnipeg",13,82,5,83,0,183,379
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 75","Winnipeg",13,59,1,54,0,127,374
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 76","Winnipeg",19,77,1,92,1,190,492
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 77","Winnipeg",11,94,1,104,3,213,537
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 78","Winnipeg",20,96,3,75,1,195,472
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 79","Winnipeg",19,100,5,78,1,203,412
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 80","Winnipeg",13,75,1,66,1,156,339
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 81","Winnipeg",9,113,2,70,1,195,388
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 82","Oakbank",6,106,3,38,1,154,362
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 83","Springfield",7,125,6,36,0,174,452
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 84","Springfield",11,122,1,59,1,194,540
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 85","Springfield",10,82,4,46,0,142,368
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 86","Springfield",6,100,0,38,2,146,424
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 87","Winnipeg",8,46,1,59,2,116,332
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 88","Winnipeg",7,80,0,79,0,166,348
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 89A","Winnipeg",10,29,0,23,1,63,278
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 89B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,53
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 89C","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,33
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 90","Winnipeg",9,65,2,84,0,160,350
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 91","Winnipeg",8,57,1,85,0,151,330
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 92","Winnipeg",14,62,2,94,1,173,385
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 93","Winnipeg",8,112,3,139,5,267,573
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 94","Winnipeg",2,95,4,84,2,187,460
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 95","Winnipeg",14,80,0,95,3,192,461
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 96","Winnipeg",22,136,0,109,0,267,553
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 97","Winnipeg",14,69,1,94,1,179,306
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 98","Winnipeg",10,87,0,92,2,191,430
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 99","Winnipeg",25,101,2,118,1,247,508
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 100","Winnipeg",10,44,1,53,1,109,337
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 101","Winnipeg",23,100,5,92,3,223,505
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 102","Winnipeg",19,95,0,99,0,213,542
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 103","Winnipeg",15,80,2,50,0,147,365
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 104","Winnipeg",23,87,2,100,1,213,494
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 105","Winnipeg",23,62,1,43,0,129,439
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 106","Winnipeg",11,103,1,76,0,191,416
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 107","Winnipeg",28,75,3,77,2,185,327
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 108","Winnipeg",13,56,0,54,0,123,351
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 109","Winnipeg",12,95,2,76,2,187,442
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 110","Winnipeg",7,45,3,52,1,108,329
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 111","Winnipeg",20,75,0,83,3,181,504
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 112","Winnipeg",31,91,2,58,1,183,475
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 113","Winnipeg",16,74,2,51,0,143,355
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 114","Winnipeg",13,65,0,43,0,121,341
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 115","Winnipeg",7,79,1,95,1,183,417
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 116","Winnipeg",14,67,0,47,0,128,378
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 117","Winnipeg",12,69,0,74,0,155,383
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 118","Winnipeg",7,43,1,56,1,108,445
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 119","Winnipeg",16,43,3,37,1,100,347
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 120","Winnipeg",12,69,3,64,0,148,373
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 121","Winnipeg",16,75,0,67,0,158,465
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 122","Winnipeg",23,104,3,97,0,227,565
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 123","Winnipeg",13,59,1,50,0,123,427
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 124","Winnipeg",13,99,0,70,0,182,414
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 125","Winnipeg",45,82,4,39,0,170,368
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 126","Winnipeg",8,69,4,61,0,142,482
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 127","Winnipeg",31,53,3,65,0,152,445
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 128","Winnipeg",23,68,1,57,0,149,357
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 129","Winnipeg",14,65,3,59,1,142,356
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 130","Winnipeg",29,48,1,61,0,139,345
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 131","Winnipeg",18,50,1,71,3,143,379
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 132","Winnipeg",27,51,1,62,1,142,374
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 133","Winnipeg",13,64,1,81,0,159,396
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 134","Winnipeg",20,68,4,71,1,164,468
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 135","Winnipeg",16,64,5,77,2,164,394
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 136","Winnipeg",15,89,0,82,1,187,545
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 137","Winnipeg",16,78,0,80,0,174,451
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 138","Winnipeg",22,55,6,64,1,148,375
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 139","Winnipeg",22,66,1,100,3,192,400
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 140","Winnipeg",22,65,0,90,1,178,349
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 141","Winnipeg",9,56,1,76,0,142,403
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 142","Winnipeg",32,61,2,86,3,184,384
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 143","Winnipeg",16,37,1,49,0,103,314
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 144","Winnipeg",13,54,2,58,0,127,341
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 145A","Winnipeg",13,48,2,52,1,116,360
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 145B","Winnipeg",Combined with No./Résultats combinés à ceux du n°414,,,,,,212
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 146","Winnipeg",23,82,3,68,1,177,499
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 147A","Winnipeg",10,57,1,62,1,131,326
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 147B","Winnipeg",Combined with No./Résultats combinés à ceux du n°415,,,,,,168
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 148","Winnipeg",16,92,1,92,2,203,560
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 149","Winnipeg",15,112,0,72,1,200,516
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 150","Winnipeg",22,80,1,73,1,177,495
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 151","Winnipeg",16,72,1,62,3,154,368
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 152","Winnipeg",23,75,0,115,3,216,573
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 153","Winnipeg",12,87,1,80,1,181,364
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 154","Winnipeg",13,40,1,45,4,103,326
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 155","Winnipeg",19,70,1,86,0,176,458
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 156","Winnipeg",16,63,0,59,0,138,428
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 157","Winnipeg",10,82,3,63,0,158,371
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 158","Winnipeg",15,71,2,76,1,165,435
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 159","Winnipeg",9,100,4,91,1,205,456
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 160","Winnipeg",18,76,4,86,0,184,355
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 161","Winnipeg",12,56,0,41,0,109,332
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 162","Winnipeg",11,74,3,87,1,176,335
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 163","Winnipeg",10,70,2,67,0,149,357
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 164","Winnipeg",8,57,1,55,1,122,305
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 165","Winnipeg",17,90,2,74,0,183,414
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 166","Winnipeg",40,153,1,188,3,385,586
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 167","Winnipeg",19,60,2,39,2,122,352
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 168","Springfield",5,100,0,57,0,162,428
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 169","Springfield",5,75,0,49,0,129,342
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 170","Springfield",10,106,2,42,4,164,464
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 400","Winnipeg",23,102,4,98,2,229,355
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 401","Winnipeg",28,122,5,110,2,267,373
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 402","Winnipeg",13,25,2,54,0,94,115
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 403","Winnipeg",8,28,1,43,0,80,243
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 404","Winnipeg",18,56,1,59,0,134,308
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 405","Winnipeg",9,23,0,29,0,61,188
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 406","Winnipeg",14,52,1,55,0,122,188
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 407","Mobile poll/Bureau itinérant",30,47,6,51,1,135,72
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 408","Winnipeg",Combined with No./Résultats combinés à ceux du n°110,,,,,,71
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 409","Winnipeg",11,37,0,42,1,91,157
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 410","Winnipeg",12,18,0,31,2,63,103
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 411","Winnipeg",14,28,2,30,0,74,121
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 412","Winnipeg",8,29,2,34,0,73,159
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 413","Winnipeg",20,53,3,56,2,134,223
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 414","Winnipeg",22,45,0,84,0,151,51
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 415","Winnipeg",18,77,2,69,0,166,77
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 416","Winnipeg",Combined with No./Résultats combinés à ceux du n°166,,,,,,153
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°407,,,,,,85
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°407,,,,,,87
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 502","Mobile poll/Bureau itinérant",17,90,4,99,1,211,168
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,185
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,39
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 505","Mobile poll/Bureau itinérant",13,72,1,40,3,129,154
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,36
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,75
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 508","Mobile poll/Bureau itinérant",15,50,0,48,4,117,91
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 509","Mobile poll/Bureau itinérant",29,34,6,59,3,131,73
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,24
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,15
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 512","Mobile poll/Bureau itinérant",7,24,3,18,0,52,26
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 600","Springfield",111,1243,14,862,17,2247,
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 601","East St. Paul",65,1121,14,872,5,2077,
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 602","West St. Paul",21,396,9,302,2,730,
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 603","West St. Paul",51,631,11,465,1,1159,
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 604","East St. Paul",47,902,4,841,11,1805,
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 605","Winnipeg",47,645,8,819,5,1524,
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 606","Winnipeg",71,666,8,779,8,1532,
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 607","Winnipeg",89,645,8,731,8,1481,
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 608","Winnipeg",121,522,6,740,1,1390,
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 609","Winnipeg",78,455,10,476,2,1021,
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 610","Winnipeg",54,497,7,613,8,1179,
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 611","Winnipeg",62,487,8,476,3,1036,
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 612","Winnipeg",70,541,7,587,4,1209,
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 613","Winnipeg",103,539,9,558,6,1215,
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 614","Winnipeg",54,353,8,476,1,892,
46004,"Kildonan--St. Paul/Kildonan--St. Paul"," 615","Winnipeg",129,429,11,597,5,1171,
46004,"Kildonan--St. Paul/Kildonan--St. Paul",,Group 1/Groupe 1, 54,247,8,328,32,669,228
46004,"Kildonan--St. Paul/Kildonan--St. Paul",,Group 2/Groupe 2, 136,986,12,1108,36,2278,
