Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Buckley Belanger,Jim Lemaigre,Doug Racine,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 50B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,5
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 51","Pelican Narrows 184B",211,10,6,4,231,499
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 51-1","Pelican Narrows",Combined with No./Résultats combinés à ceux du n°51,,,,,320
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 52","Pelican Narrows 184B",Combined with No./Résultats combinés à ceux du n°51,,,,,424
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 53","Pelican Narrows 184B",Combined with No./Résultats combinés à ceux du n°51,,,,,158
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 54","Dore Lake",3,27,4,0,34,47
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 55","Green Lake",62,43,15,0,120,342
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 56","Weyakwin",28,22,6,0,56,111
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 57","Creighton",Combined with No./Résultats combinés à ceux du n°60,,,,,221
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 58","Creighton",Combined with No./Résultats combinés à ceux du n°60,,,,,395
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 59","Creighton",Combined with No./Résultats combinés à ceux du n°60,,,,,229
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 60","Creighton",99,254,46,4,403,470
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 61","Kimosom Pwatinahk 203",180,17,18,0,215,638
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 62","Denare Beach",57,137,17,3,214,371
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 62-1","Denare Beach",Combined with No./Résultats combinés à ceux du n°62,,,,,248
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 63","Amiskosakahikan 210",Combined with No./Résultats combinés à ceux du n°62,,,,,23
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 64","Montreal Lake 106",141,9,15,8,173,675
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 65","Timber Bay",Combined with No./Résultats combinés à ceux du n°64,,,,,36
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 66","Little Bear Lake",5,46,0,0,51,81
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 67","Sturgeon Weir 205",Combined with No./Résultats combinés à ceux du n°60,,,,,42
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 68","Cumberland House",234,12,6,1,253,333
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 69","Cumberland House Cree Nation 20",Combined with No./Résultats combinés à ceux du n°68,,,,,110
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 70","Cumberland House",Combined with No./Résultats combinés à ceux du n°68,,,,,463
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 70-1","Opaskwayak Cree Nation 27A",Void/Supprimé,,,,,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 71","Red Earth 29",218,7,5,3,233,543
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 72","Shoal Lake 28A",Combined with No./Résultats combinés à ceux du n°71,,,,,329
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 500","Mobile poll/Bureau itinérant",9,2,0,0,11,12
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,1
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 502","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 503","Mobile poll/Bureau itinérant",7,2,2,1,12,14
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 504","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 600","Camsell Portage",Combined with No./Résultats combinés à ceux du n°604,,,,,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 601","Uranium City",Combined with No./Résultats combinés à ceux du n°604,,,,,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 602","Fond-du-Lac",Combined with No./Résultats combinés à ceux du n°604,,,,,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 603","Stony Rapids",Combined with No./Résultats combinés à ceux du n°604,,,,,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 604","Chicken 224",3,9,5,0,17,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 605","Wollaston Lake",46,12,6,2,66,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 606","Kinoosao-Thomas Clark 204",Combined with No./Résultats combinés à ceux du n°614,,,,,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 607","Turnor Lake",Combined with No./Résultats combinés à ceux du n°609,,,,,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 608","Clearwater River Dene 222",Combined with No./Résultats combinés à ceux du n°609,,,,,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 609","La Loche",177,50,7,4,238,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 610","Clearwater River Dene Band 221",Combined with No./Résultats combinés à ceux du n°609,,,,,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 611","Black Point",Combined with No./Résultats combinés à ceux du n°609,,,,,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 612","Turnor Lake 193B",Combined with No./Résultats combinés à ceux du n°609,,,,,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 613","Brabant Lake",Combined with No./Résultats combinés à ceux du n°614,,,,,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 614","Southend 200--Southend No. 200A",33,6,3,0,42,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 615","Sandy Bay",Combined with No./Résultats combinés à ceux du n°646,,,,,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 616","Wapaskokimaw 202",Combined with No./Résultats combinés à ceux du n°646,,,,,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 617","Missinipe",382,271,67,1,721,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 618","Grandmother's Bay 219",Combined with No./Résultats combinés à ceux du n°617,,,,,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 619","Stanley 157",100,7,38,0,145,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 620","Four Portages 157C",Combined with No./Résultats combinés à ceux du n°617,,,,,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 621","Sucker River 156C (Nemebien River 156C)",Combined with No./Résultats combinés à ceux du n°617,,,,,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 622","Kitsakie 156B",Combined with No./Résultats combinés à ceux du n°617,,,,,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 623","Air Ronge",Combined with No./Résultats combinés à ceux du n°617,,,,,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 624","Lac la Ronge 156",Combined with No./Résultats combinés à ceux du n°617,,,,,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 625","Morin Lake 217",Combined with No./Résultats combinés à ceux du n°617,,,,,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 626","Pinehouse",23,13,2,0,38,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 627","Wapachewunak 192D",Combined with No./Résultats combinés à ceux du n°629,,,,,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 628","Patuanak",Combined with No./Résultats combinés à ceux du n°629,,,,,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 629","Beauval--La Plonge 192",85,12,5,2,104,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 630","Île-à-la-Crosse",241,7,4,1,253,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 631","Buffalo Narrows",79,42,0,0,121,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 632","Clearwater River Dene Band 223",Combined with No./Résultats combinés à ceux du n°609,,,,,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 633","Michel Village",Combined with No./Résultats combinés à ceux du n°634,,,,,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 634","Buffalo River Dene Nation",73,16,2,0,91,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 635","St. George's Hill",Combined with No./Résultats combinés à ceux du n°634,,,,,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 636","Cole Bay",Combined with No./Résultats combinés à ceux du n°638,,,,,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 637","Jans Bay",Combined with No./Résultats combinés à ceux du n°638,,,,,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 638","Canoe Lake 165--Wepuskow Sahgaiechan 165D",73,0,6,0,79,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 639","Green Lake",Combined with No./Résultats combinés à ceux du n°629,,,,,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 640","Dore Lake",Combined with No./Résultats combinés à ceux du n°629,,,,,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 641","Weyakwin",Combined with No./Résultats combinés à ceux du n°642,,,,,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 642","Montreal Lake 106",135,11,6,0,152,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 643","Timber Bay",Combined with No./Résultats combinés à ceux du n°642,,,,,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 644","Christopher Lake",Combined with No./Résultats combinés à ceux du n°617,,,,,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 645","Kimosom Pwatinahk 203",Combined with No./Résultats combinés à ceux du n°646,,,,,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 646","Pelican Narrows 184B",110,12,16,2,140,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 647","Pelican Narrows",Combined with No./Résultats combinés à ceux du n°646,,,,,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 648","Creighton",90,221,50,2,363,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 649","Denare Beach",Combined with No./Résultats combinés à ceux du n°648,,,,,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 650","Amiskosakahikan 210",Combined with No./Résultats combinés à ceux du n°648,,,,,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 651","Sturgeon Weir 205",Combined with No./Résultats combinés à ceux du n°648,,,,,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 652","Cumberland House",310,13,8,2,333,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 653","Cumberland House Cree Nation 20",Combined with No./Résultats combinés à ceux du n°652,,,,,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 654","Opaskwayak Cree Nation 27A",Combined with No./Résultats combinés à ceux du n°655,,,,,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 655","Red Earth 29",34,10,11,0,55,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 656","Shoal Lake 28A",Combined with No./Résultats combinés à ceux du n°655,,,,,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill",,Group 1/Groupe 1, 196,75,48,28,347,252
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill",,Group 2/Groupe 2, 105,103,20,2,230,
