Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Hafiz Muneeb Ahmad,Shafqat Ali,Jayesh Brahmbhatt,Mike Dancy,Avi Dhaliwal,Tim Iqbal,Teresa Yeh,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 92","Brampton",0,80,2,5,3,122,7,1,220,483
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 93","Brampton",1,98,1,4,0,115,3,7,229,532
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 94","Brampton",0,55,2,4,0,67,5,1,134,362
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 95","Brampton",0,55,6,1,0,69,5,0,136,332
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 96","Brampton",0,54,0,6,2,53,5,0,120,369
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 97","Brampton",1,60,1,2,1,64,7,2,138,378
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 98","Brampton",0,61,0,1,0,56,2,0,120,309
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 99","Brampton",1,58,1,1,1,44,2,0,108,293
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 100","Brampton",1,44,0,0,1,51,1,1,99,322
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 101","Brampton",1,72,1,4,0,55,3,0,136,354
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 102","Brampton",0,117,0,3,1,117,6,3,247,491
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 103","Brampton",1,92,2,3,1,101,2,0,202,465
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 104","Brampton",2,59,0,2,2,51,6,1,123,324
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 105","Brampton",3,66,1,1,1,51,1,2,126,295
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 106","Brampton",0,106,0,0,3,70,2,1,182,474
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 107","Brampton",0,88,0,1,0,79,3,2,173,402
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 108","Brampton",0,71,2,2,0,88,3,0,166,416
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 109","Brampton",0,109,2,0,1,83,6,3,204,417
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 110","Brampton",0,61,1,1,0,70,3,0,136,353
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 111A","Brampton",0,82,2,1,0,79,4,1,169,399
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 111B","Brampton",1,69,3,1,0,74,4,3,155,403
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 112","Brampton",3,109,6,4,0,84,3,1,210,485
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 113","Brampton",1,104,6,3,0,97,4,0,215,468
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 114","Brampton",1,65,1,2,1,69,6,1,146,380
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 115","Brampton",0,100,3,2,1,96,5,5,212,446
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 116","Brampton",0,78,5,3,1,63,0,3,153,490
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 117","Brampton",2,72,6,3,6,71,4,3,167,510
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 118","Brampton",1,60,3,1,0,54,3,0,122,369
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 119","Brampton",1,86,2,4,2,60,7,2,164,573
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 120","Brampton",1,78,1,1,0,62,5,2,150,466
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 121","Brampton",0,45,1,3,1,54,3,0,107,356
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 122","Brampton",2,86,2,1,1,91,6,0,189,535
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 123","Brampton",0,65,1,3,0,57,3,1,130,441
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 124","Brampton",3,49,2,0,0,33,2,4,93,324
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 125","Brampton",0,63,1,1,1,41,4,0,111,315
