Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Rachel Bendayan,Rémi Lebeuf,Ève Péclet,Jonathan Pedneault,Ronan Reich,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24053,"Outremont/Outremont"," 33","Montréal",115,27,44,42,32,2,262,626
24053,"Outremont/Outremont"," 34","Montréal",132,29,55,54,13,5,288,553
24053,"Outremont/Outremont"," 35","Montréal",103,20,27,21,23,2,196,510
24053,"Outremont/Outremont"," 36","Montréal",102,25,38,50,14,0,229,541
24053,"Outremont/Outremont"," 37","Montréal",113,13,20,16,18,0,180,477
24053,"Outremont/Outremont"," 38","Montréal",112,18,32,46,19,2,229,553
24053,"Outremont/Outremont"," 39","Montréal",83,14,32,32,11,0,172,465
24053,"Outremont/Outremont"," 40","Montréal",83,12,38,19,14,3,169,378
24053,"Outremont/Outremont"," 41","Montréal",74,13,19,18,13,0,137,407
24053,"Outremont/Outremont"," 42","Montréal",82,23,22,23,16,1,167,455
24053,"Outremont/Outremont"," 43","Montréal",70,8,26,17,24,1,146,434
24053,"Outremont/Outremont"," 44","Montréal",93,10,9,12,42,0,166,548
24053,"Outremont/Outremont"," 45","Montréal",86,10,31,16,21,0,164,397
24053,"Outremont/Outremont"," 46","Montréal",105,6,19,10,14,3,157,586
24053,"Outremont/Outremont"," 47","Montréal",73,8,31,20,14,1,147,422
24053,"Outremont/Outremont"," 48","Montréal",58,9,3,7,32,0,109,418
24053,"Outremont/Outremont"," 49","Montréal",116,19,30,51,18,1,235,577
24053,"Outremont/Outremont"," 50","Montréal",94,23,33,25,18,2,195,461
24053,"Outremont/Outremont"," 51","Montréal",71,18,29,29,23,1,171,410
24053,"Outremont/Outremont"," 52","Montréal",117,16,38,37,22,2,232,515
24053,"Outremont/Outremont"," 53","Montréal",143,9,33,35,26,2,248,603
24053,"Outremont/Outremont"," 54","Montréal",140,18,43,37,31,1,270,521
24053,"Outremont/Outremont"," 55","Montréal",108,24,31,41,30,1,235,553
24053,"Outremont/Outremont"," 56","Montréal",61,9,31,35,18,1,155,437
24053,"Outremont/Outremont"," 57","Montréal",101,14,30,28,9,3,185,547
24053,"Outremont/Outremont"," 58","Montréal",99,3,11,4,34,0,151,468
24053,"Outremont/Outremont"," 59","Montréal",95,35,16,20,30,1,197,533
24053,"Outremont/Outremont"," 60","Montréal",64,13,18,3,15,0,113,388
24053,"Outremont/Outremont"," 61","Montréal",76,19,18,21,15,0,149,494
24053,"Outremont/Outremont"," 62","Montréal",85,25,23,29,24,2,188,569
24053,"Outremont/Outremont"," 63","Montréal",108,32,13,13,21,0,187,476
24053,"Outremont/Outremont"," 64","Montréal",58,11,7,14,14,0,104,493
24053,"Outremont/Outremont"," 65","Montréal",86,32,31,34,14,1,198,502
24053,"Outremont/Outremont"," 66","Montréal",76,16,5,19,20,0,136,558
24053,"Outremont/Outremont"," 67","Montréal",96,13,33,19,18,4,183,576
24053,"Outremont/Outremont"," 68","Montréal",92,26,24,17,17,1,177,475
24053,"Outremont/Outremont"," 69","Montréal",79,27,19,17,14,1,157,517
24053,"Outremont/Outremont"," 70","Montréal",84,40,9,11,22,3,169,474
24053,"Outremont/Outremont"," 71","Montréal",147,19,1,10,36,1,214,539
24053,"Outremont/Outremont"," 72","Montréal",100,27,34,21,34,0,216,559
24053,"Outremont/Outremont"," 73","Montréal",78,8,17,11,30,1,145,629
24053,"Outremont/Outremont"," 74","Montréal",168,45,41,38,55,3,350,964
24053,"Outremont/Outremont"," 75","Montréal",115,27,24,26,20,1,213,484
24053,"Outremont/Outremont"," 76","Montréal",106,28,21,17,16,0,188,554
24053,"Outremont/Outremont"," 77","Montréal",102,18,18,17,24,0,179,411
24053,"Outremont/Outremont"," 78","Montréal",81,16,17,17,11,0,142,392
24053,"Outremont/Outremont"," 79","Montréal",107,29,9,29,21,1,196,441
24053,"Outremont/Outremont"," 80","Montréal",114,58,17,14,19,2,224,519
24053,"Outremont/Outremont"," 81","Montréal",131,33,22,35,23,0,244,537
24053,"Outremont/Outremont"," 82","Montréal",115,23,9,16,21,2,186,488
24053,"Outremont/Outremont"," 83","Montréal",64,9,11,12,59,0,155,511
24053,"Outremont/Outremont"," 84","Montréal",100,32,12,14,19,1,178,552
24053,"Outremont/Outremont"," 85","Montréal",88,33,11,4,14,1,151,481
24053,"Outremont/Outremont"," 86","Montréal",114,37,8,21,18,0,198,486
24053,"Outremont/Outremont"," 87","Montréal",163,30,8,17,39,1,258,558
24053,"Outremont/Outremont"," 88","Montréal",95,15,7,19,58,0,194,578
24053,"Outremont/Outremont"," 89","Montréal",157,17,3,16,42,4,239,557
24053,"Outremont/Outremont"," 90","Montréal",118,29,15,13,39,0,214,523
24053,"Outremont/Outremont"," 91","Montréal",72,20,3,6,44,2,147,540
24053,"Outremont/Outremont"," 92","Montréal",74,8,11,11,51,1,156,517
24053,"Outremont/Outremont"," 93","Montréal",83,12,10,5,51,2,163,531
24053,"Outremont/Outremont"," 94","Montréal",118,35,10,15,27,1,206,497
24053,"Outremont/Outremont"," 95","Montréal",79,8,14,6,37,1,145,499
24053,"Outremont/Outremont"," 96","Montréal",78,11,8,7,39,3,146,471
24053,"Outremont/Outremont"," 97","Montréal",82,20,9,10,21,2,144,469
24053,"Outremont/Outremont"," 98","Montréal",59,8,8,4,29,0,108,326
24053,"Outremont/Outremont"," 99","Montréal",117,26,16,20,24,0,203,547
24053,"Outremont/Outremont"," 100","Montréal",109,41,20,32,29,0,231,542
24053,"Outremont/Outremont"," 101","Montréal",32,1,3,4,64,0,104,418
24053,"Outremont/Outremont"," 102","Montréal",16,3,2,2,70,0,93,560
24053,"Outremont/Outremont"," 103","Montréal",53,4,7,1,93,1,159,552
24053,"Outremont/Outremont"," 104","Montréal",76,7,14,4,27,0,128,386
24053,"Outremont/Outremont"," 105","Montréal",113,13,14,3,26,4,173,562
24053,"Outremont/Outremont"," 106","Montréal",105,6,17,5,39,0,172,425
24053,"Outremont/Outremont"," 107","Montréal",92,7,8,6,38,3,154,485
24053,"Outremont/Outremont"," 108A","Montréal",70,9,9,5,40,3,136,487
24053,"Outremont/Outremont"," 108B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,113
24053,"Outremont/Outremont"," 109","Montréal",85,6,10,2,27,1,131,445
24053,"Outremont/Outremont"," 110","Montréal",91,4,9,3,39,1,147,534
24053,"Outremont/Outremont"," 111","Montréal",103,2,15,4,30,1,155,455
24053,"Outremont/Outremont"," 112","Montréal",79,7,8,4,20,0,118,384
24053,"Outremont/Outremont"," 113","Montréal",76,13,9,2,30,3,133,413
24053,"Outremont/Outremont"," 114A","Montréal",71,3,13,5,26,5,123,456
24053,"Outremont/Outremont"," 114B","Mobile poll/Bureau itinérant",148,50,6,8,11,10,233,268
24053,"Outremont/Outremont"," 115","Montréal",78,19,25,17,42,4,185,471
24053,"Outremont/Outremont"," 116","Montréal",155,55,37,20,21,4,292,627
24053,"Outremont/Outremont"," 117","Montréal",95,20,33,15,25,4,192,590
24053,"Outremont/Outremont"," 118","Montréal",67,9,6,9,33,0,124,463
24053,"Outremont/Outremont"," 119","Montréal",69,24,21,17,33,0,164,438
24053,"Outremont/Outremont"," 120","Montréal",92,28,24,31,16,3,194,511
24053,"Outremont/Outremont"," 121","Montréal",80,6,6,12,35,2,141,593
24053,"Outremont/Outremont"," 122","Montréal",104,38,11,26,14,1,194,420
24053,"Outremont/Outremont"," 123","Montréal",34,6,10,3,20,1,74,340
24053,"Outremont/Outremont"," 124","Montréal",55,11,13,13,10,1,103,372
24053,"Outremont/Outremont"," 125","Montréal",45,7,6,5,17,1,81,318
24053,"Outremont/Outremont"," 126","Montréal",74,19,11,9,19,1,133,480
24053,"Outremont/Outremont"," 127","Montréal",68,6,14,2,27,2,119,528
24053,"Outremont/Outremont"," 128","Montréal",65,22,14,6,14,1,122,436
24053,"Outremont/Outremont"," 129","Montréal",79,10,19,19,30,1,158,408
24053,"Outremont/Outremont"," 130","Montréal",73,11,30,5,25,2,146,449
24053,"Outremont/Outremont"," 131","Montréal",114,22,34,22,19,3,214,517
24053,"Outremont/Outremont"," 132","Montréal",121,10,18,11,36,6,202,608
24053,"Outremont/Outremont"," 133","Montréal",109,4,11,0,45,6,175,595
24053,"Outremont/Outremont"," 134","Montréal",65,14,14,8,21,3,125,393
24053,"Outremont/Outremont"," 135","Montréal",102,24,29,10,32,3,200,497
24053,"Outremont/Outremont"," 136","Montréal",125,8,9,5,42,6,195,413
24053,"Outremont/Outremont"," 137","Montréal",63,13,22,7,29,5,139,407
24053,"Outremont/Outremont"," 138","Montréal",78,15,6,9,28,2,138,356
24053,"Outremont/Outremont"," 139","Montréal",59,8,17,11,41,5,141,386
24053,"Outremont/Outremont"," 140","Montréal",83,13,18,12,28,3,157,523
24053,"Outremont/Outremont"," 141","Montréal",90,10,14,19,38,0,171,499
24053,"Outremont/Outremont"," 142","Montréal",64,21,22,15,29,2,153,397
24053,"Outremont/Outremont"," 143","Montréal",74,17,21,9,38,1,160,452
24053,"Outremont/Outremont"," 144","Montréal",51,9,10,10,29,2,111,426
24053,"Outremont/Outremont"," 145","Montréal",59,2,12,5,21,0,99,407
24053,"Outremont/Outremont"," 146","Montréal",99,19,14,9,21,4,166,542
24053,"Outremont/Outremont"," 147","Montréal",85,16,7,3,34,0,145,427
24053,"Outremont/Outremont"," 500","Mobile poll/Bureau itinérant",114,67,6,5,5,17,214,185
24053,"Outremont/Outremont"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,112
24053,"Outremont/Outremont"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,83
24053,"Outremont/Outremont"," 503","Mobile poll/Bureau itinérant",47,13,3,1,2,1,67,27
24053,"Outremont/Outremont"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,148
24053,"Outremont/Outremont"," 505","Mobile poll/Bureau itinérant",160,58,5,6,5,4,238,208
24053,"Outremont/Outremont"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°114B,,,,,,,48
24053,"Outremont/Outremont"," 507","Mobile poll/Bureau itinérant",71,3,5,3,9,3,94,77
24053,"Outremont/Outremont"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,23
24053,"Outremont/Outremont"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,29
24053,"Outremont/Outremont"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,,54
24053,"Outremont/Outremont"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,24
24053,"Outremont/Outremont"," 512","Mobile poll/Bureau itinérant",34,10,4,4,3,6,61,98
24053,"Outremont/Outremont"," 600","Montréal",556,205,134,140,55,9,1099,
24053,"Outremont/Outremont"," 601","Montréal",840,227,121,123,86,10,1407,
24053,"Outremont/Outremont"," 602","Montréal",469,58,95,71,101,7,801,
24053,"Outremont/Outremont"," 603","Montréal",578,172,140,104,65,12,1071,
24053,"Outremont/Outremont"," 604","Montréal",518,96,158,126,73,7,978,
24053,"Outremont/Outremont"," 605","Montréal",832,175,135,150,108,11,1411,
24053,"Outremont/Outremont"," 606","Montréal",667,167,53,85,72,4,1048,
24053,"Outremont/Outremont"," 607","Montréal",389,99,108,77,57,2,732,
24053,"Outremont/Outremont"," 608","Montréal",761,194,88,106,112,5,1266,
24053,"Outremont/Outremont"," 609","Montréal",648,152,54,72,97,10,1033,
24053,"Outremont/Outremont"," 610","Montréal",789,172,40,37,177,16,1231,
24053,"Outremont/Outremont"," 611","Montréal",466,44,36,24,209,13,792,
24053,"Outremont/Outremont"," 612","Montréal",562,37,61,22,158,17,857,
24053,"Outremont/Outremont"," 613","Montréal",415,76,55,31,115,7,699,
24053,"Outremont/Outremont"," 614","Montréal",621,96,66,39,128,9,959,
24053,"Outremont/Outremont"," 615","Montréal",582,94,65,42,178,11,972,
24053,"Outremont/Outremont",,Group 1/Groupe 1, 966,106,208,113,178,101,1672,1243
24053,"Outremont/Outremont",,Group 2/Groupe 2, 1089,206,241,156,150,71,1913,
