Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Alexandrah Cardona-Fortin,Carlos Leitão,Janina Moran,Claude Tousignant,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 31","Laval",13,126,59,80,6,284,552
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 32","Laval",20,132,42,58,5,257,534
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 33","Laval",18,117,29,110,1,275,472
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 34","Laval",4,116,55,69,2,246,558
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 35","Laval",11,93,51,116,2,273,561
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 36","Laval",14,83,29,36,3,165,384
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 37","Laval",4,90,47,33,0,174,411
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 38","Laval",5,118,53,41,6,223,458
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 39","Laval",17,118,49,55,0,239,569
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 40","Laval",12,122,35,43,3,215,509
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 41","Laval",14,183,52,76,6,331,552
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 42","Laval",12,166,58,81,3,320,551
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 43","Laval",6,169,50,50,5,280,451
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 44","Laval",11,183,69,98,4,365,579
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 45","Laval",9,172,90,52,2,325,544
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 46","Laval",8,93,40,72,3,216,570
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 47","Laval",10,128,43,73,6,260,584
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 48","Laval",14,52,32,78,6,182,426
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 49","Laval",8,92,46,43,4,193,495
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 50","Laval",17,70,33,78,3,201,572
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 51","Laval",8,52,31,54,7,152,479
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 52","Laval",8,106,58,68,2,242,605
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 53","Laval",7,113,47,61,19,247,545
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 54","Laval",16,105,49,63,21,254,545
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 55","Laval",8,110,65,50,1,234,502
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 56","Laval",15,142,73,46,6,282,524
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 57","Laval",9,93,45,39,10,196,403
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 58","Laval",15,183,52,57,9,316,527
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 59","Laval",8,111,60,33,3,215,416
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 60","Laval",15,120,50,29,10,224,471
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 61A","Laval",10,80,59,40,1,190,356
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 61B","Laval",2,102,25,39,1,169,331
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 62","Laval",15,193,91,66,3,368,616
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 63","Laval",6,163,42,68,1,280,504
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 64","Laval",5,207,65,60,8,345,603
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 65","Laval",13,102,37,94,3,249,530
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 66","Laval",11,76,37,47,3,174,401
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 67","Laval",7,101,51,28,7,194,465
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 68","Laval",11,101,61,35,5,213,476
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 69","Laval",9,116,33,70,1,229,499
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 70","Laval",13,79,42,67,4,205,466
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 71","Laval",7,112,56,57,3,235,551
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 72","Laval",9,139,78,61,5,292,607
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 73","Laval",3,90,49,48,4,194,495
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 74","Laval",3,151,50,44,1,249,539
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 75","Laval",4,79,34,37,1,155,342
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 76","Laval",8,56,35,54,5,158,397
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 77","Laval",10,103,54,75,5,247,503
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 78","Laval",9,122,38,45,3,217,533
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 79","Laval",16,88,48,46,3,201,504
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 80","Laval",16,134,55,45,4,254,569
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 81","Laval",6,91,55,53,3,208,561
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 82","Laval",7,122,44,43,3,219,517
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 83","Laval",9,114,35,68,7,233,529
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 84","Laval",3,131,50,49,2,235,462
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 85","Laval",8,101,51,42,6,208,357
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 86","Laval",15,120,55,52,1,243,542
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 87","Laval",17,175,95,27,2,316,584
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 88","Laval",7,73,42,37,2,161,341
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 89","Laval",18,192,86,28,3,327,558
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 90A","Laval",11,98,58,24,0,191,331
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 90B","Laval",3,112,36,16,1,168,298
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 91","Laval",21,142,70,46,5,284,625
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 92","Laval",7,129,64,39,5,244,507
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 93","Laval",8,129,39,79,1,256,490
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 94","Laval",12,158,67,84,2,323,585
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 95","Laval",17,115,67,28,2,229,479
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 96","Laval",10,128,46,96,7,287,534
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 97","Laval",11,183,55,87,2,338,532
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 98","Laval",12,128,51,118,5,314,511
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 99","Laval",7,110,47,83,4,251,508
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 100","Laval",7,151,86,68,2,314,558
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 101","Laval",4,138,72,56,6,276,476
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 102","Laval",12,135,47,59,8,261,568
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 103","Laval",12,116,62,57,2,249,480
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 104","Laval",7,103,47,64,6,227,501
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 105","Laval",13,129,49,67,8,266,614
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 106","Laval",14,177,70,63,4,328,595
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 107","Laval",5,117,58,72,5,257,548
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 108","Laval",4,129,40,75,6,254,541
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 109","Laval",11,110,57,66,5,249,526
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 110","Laval",6,105,49,50,6,216,473
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 111","Laval",11,110,38,57,4,220,472
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 112","Laval",14,106,59,50,2,231,524
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 113","Laval",18,114,47,69,3,251,482
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 114","Laval",9,135,50,62,4,260,568
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 115","Laval",7,114,68,60,7,256,488
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 116","Laval",17,94,74,47,1,233,537
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 117","Laval",14,116,40,85,3,258,501
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 118","Laval",3,81,51,9,1,145,454
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 119","Laval",7,77,53,7,2,146,442
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 120","Laval",10,123,61,23,0,217,617
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 121","Laval",2,71,59,10,2,144,441
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 122","Laval",1,66,55,17,2,141,403
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 123","Laval",7,120,68,53,2,250,552
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 124","Laval",8,91,76,38,0,213,515
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 125","Laval",12,96,48,89,2,247,517
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 126","Laval",9,99,43,50,9,210,542
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 127","Laval",3,80,90,8,2,183,475
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 128","Laval",5,73,57,18,6,159,404
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 129","Laval",5,62,35,9,1,112,407
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 130A","Laval",7,56,59,12,2,136,346
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 130B","Laval",2,52,46,8,0,108,298
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 131A","Laval",4,88,66,16,1,175,538
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 131B","Laval",4,51,28,13,1,97,334
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 132","Laval",1,92,61,18,2,174,543
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 133","Laval",2,70,54,17,2,145,485
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 134","Laval",3,62,64,15,6,150,445
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 135","Laval",15,110,75,60,13,273,540
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 136","Laval",11,147,65,92,4,319,548
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 137","Laval",8,74,67,73,9,231,579
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 138","Laval",5,120,48,96,6,275,525
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 139","Laval",11,146,62,53,6,278,503
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 140","Laval",13,124,86,50,8,281,531
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 141","Laval",13,97,66,56,6,238,558
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 142","Laval",16,140,87,95,6,344,574
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 143","Laval",8,163,67,85,2,325,539
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 144","Laval",6,124,65,45,5,245,488
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 145","Laval",9,135,86,66,4,300,556
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 146","Laval",9,98,62,37,3,209,523
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 147","Laval",8,83,46,41,5,183,479
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 148","Laval",12,113,55,52,6,238,535
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 149","Laval",7,75,49,45,2,178,525
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 150","Laval",11,122,52,52,4,241,557
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 151A","Laval",7,67,52,36,1,163,335
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 151B","Laval",9,65,49,23,0,146,312
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 152","Laval",13,159,36,67,0,275,536
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 153","Laval",15,141,96,18,6,276,560
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 154","Laval",23,182,81,47,5,338,601
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 155","Laval",5,148,85,45,10,293,549
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 156","Laval",15,137,76,51,2,281,568
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 400","Laval",6,153,17,80,7,263,252
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 401","Laval",1,29,2,23,2,57,146
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 402","Laval",2,72,8,58,8,148,197
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 403","Laval",1,59,9,42,5,116,146
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 404","Laval",0,31,9,5,1,46,128
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 405","Laval",0,17,6,8,0,31,90
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 500","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,140
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 502","Laval",Combined with No./Résultats combinés à ceux du n°400,,,,,,91
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,24
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,94
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 505","Mobile poll/Bureau itinérant",2,54,4,13,2,75,92
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 506","Mobile poll/Bureau itinérant",1,15,1,10,4,31,56
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 600","Laval",36,571,166,364,18,1155,
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 601","Laval",29,671,186,273,18,1177,
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 602","Laval",12,369,83,114,11,589,
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 603","Laval",55,637,180,315,14,1201,
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 604","Laval",23,485,129,274,17,928,
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 605","Laval",35,601,181,444,25,1286,
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 606","Laval",33,690,105,315,7,1150,
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 607","Laval",25,701,153,269,6,1154,
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 608","Laval",27,392,135,153,5,712,
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 609","Laval",42,913,396,168,17,1536,
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 610","Laval",25,517,167,226,10,945,
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 611","Laval",34,539,148,239,16,976,
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 612","Laval",33,571,151,358,14,1127,
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 613","Laval",14,562,136,222,11,945,
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 614","Laval",23,659,189,410,13,1294,
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 615","Laval",26,513,150,253,17,959,
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 616","Laval",20,425,128,159,9,741,
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin",,Group 1/Groupe 1, 31,263,79,82,36,491,96
24045,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin",,Group 2/Groupe 2, 24,446,112,125,34,741,
