Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Amir Badr Eldeen,Anju Dhillon,André Lavigne,Angélique Soleil Lavoie,Katy Le Rougetel,Michael Patterson,Pauline Fleur Julie Postel,Alioune Sarr,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 400","Montréal",1,27,0,1,0,0,8,31,0,68,205
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 401","Montréal",2,109,0,2,0,1,52,9,8,183,177
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 402","Montréal",0,19,0,4,0,0,8,22,1,54,171
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 403","Montréal",0,18,0,0,0,0,2,16,0,36,66
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 404","Dorval",Combined with No./Résultats combinés à ceux du n°125,,,,,,,,,,2
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 500","Montréal",Combined with No./Résultats combinés à ceux du n°12,,,,,,,,,,58
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 501","Montréal",Combined with No./Résultats combinés à ceux du n°12,,,,,,,,,,92
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 502","Mobile poll/Bureau itinérant",2,78,0,2,0,0,4,2,2,90,119
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 503","Mobile poll/Bureau itinérant",0,24,2,3,2,2,5,9,0,47,122
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,,,,6
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 505","Mobile poll/Bureau itinérant",3,43,0,4,1,1,7,2,9,70,165
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 506","Mobile poll/Bureau itinérant",1,30,1,3,2,5,10,6,1,59,197
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,,,,55
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 508","Mobile poll/Bureau itinérant",2,49,3,1,1,0,7,5,1,69,68
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,,,,74
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,,,,18
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,,,,71
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,,,,28
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,,,,23
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 514","Dorval",Combined with No./Résultats combinés à ceux du n°194,,,,,,,,,,3
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 600","Dorval",15,1250,5,58,2,10,65,286,5,1696,
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 601","Dorval",10,955,3,42,0,7,58,178,3,1256,
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 602","Dorval",10,854,2,33,1,8,103,272,8,1291,
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 603","Montréal",17,1302,13,53,3,7,262,241,12,1910,
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 604","Montréal",10,638,1,27,0,9,146,117,4,952,
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 605","Montréal",17,754,5,34,6,11,202,213,11,1253,
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 606","Montréal",14,609,3,54,0,10,207,174,7,1078,
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 607","Montréal",16,417,4,45,1,2,236,142,10,873,
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 608","Montréal",10,389,5,42,1,9,186,117,19,778,
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 609","Montréal",24,642,6,41,1,9,200,185,9,1117,
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 610","Montréal",11,579,3,41,1,8,135,160,12,950,
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 611","Montréal",8,383,3,28,0,11,105,120,9,667,
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 612","Montréal",11,619,2,31,0,4,56,165,3,891,
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 613","Montréal",8,737,5,43,3,9,74,163,12,1054,
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 614","Montréal",11,630,2,31,0,6,80,169,5,934,
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 615","Montréal",22,946,5,47,1,18,193,257,10,1499,
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle",,Group 1/Groupe 1, 15,484,0,43,2,3,51,101,44,743,290
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle",,Group 2/Groupe 2, 23,797,5,39,1,15,150,196,37,1263,
