Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Ifra Baig,Dympna Carolan,Malalai Halimi,Jeffrey Halsall,Viktor Karklins,Kyle Seeback,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35025,"Dufferin--Caledon/Dufferin--Caledon"," 59","Caledon",0,0,66,1,2,92,2,163,480
35025,"Dufferin--Caledon/Dufferin--Caledon"," 60","Caledon",5,1,70,2,8,146,1,233,512
35025,"Dufferin--Caledon/Dufferin--Caledon"," 61","Caledon",3,5,55,0,2,114,0,179,459
35025,"Dufferin--Caledon/Dufferin--Caledon"," 62","Mono",2,1,61,1,4,76,0,145,452
35025,"Dufferin--Caledon/Dufferin--Caledon"," 63","Mono",3,5,42,1,4,92,0,147,452
35025,"Dufferin--Caledon/Dufferin--Caledon"," 64","Mono",1,2,32,1,0,72,0,108,402
35025,"Dufferin--Caledon/Dufferin--Caledon"," 65","Mono",1,1,43,0,1,103,0,149,412
35025,"Dufferin--Caledon/Dufferin--Caledon"," 66","Mono",0,1,42,0,5,82,0,130,431
35025,"Dufferin--Caledon/Dufferin--Caledon"," 67","Caledon",6,3,59,1,2,85,0,156,399
35025,"Dufferin--Caledon/Dufferin--Caledon"," 68","Mono",2,0,69,0,2,110,3,186,464
35025,"Dufferin--Caledon/Dufferin--Caledon"," 69","Caledon",2,1,57,2,3,103,0,168,442
35025,"Dufferin--Caledon/Dufferin--Caledon"," 70","East Luther Grand Valley",5,1,48,1,6,171,1,233,456
35025,"Dufferin--Caledon/Dufferin--Caledon"," 71","Orangeville",4,1,38,0,1,69,0,113,238
35025,"Dufferin--Caledon/Dufferin--Caledon"," 72","Orangeville",3,2,96,0,11,145,0,257,520
35025,"Dufferin--Caledon/Dufferin--Caledon"," 73","Orangeville",7,2,96,2,6,122,1,236,579
35025,"Dufferin--Caledon/Dufferin--Caledon"," 74","Orangeville",4,1,90,0,5,117,0,217,539
35025,"Dufferin--Caledon/Dufferin--Caledon"," 75","Orangeville",3,1,90,1,8,89,1,193,531
35025,"Dufferin--Caledon/Dufferin--Caledon"," 76","Orangeville",6,6,62,1,1,133,4,213,516
35025,"Dufferin--Caledon/Dufferin--Caledon"," 77","Orangeville",5,0,63,1,12,75,0,156,466
35025,"Dufferin--Caledon/Dufferin--Caledon"," 78","Caledon",1,4,33,1,4,155,1,199,504
35025,"Dufferin--Caledon/Dufferin--Caledon"," 79","Caledon",2,3,77,1,3,108,0,194,505
35025,"Dufferin--Caledon/Dufferin--Caledon"," 80","Caledon",4,1,51,0,0,100,1,157,387
35025,"Dufferin--Caledon/Dufferin--Caledon"," 81","Caledon",1,1,53,2,6,99,2,164,428
35025,"Dufferin--Caledon/Dufferin--Caledon"," 82","Caledon",4,2,51,0,0,131,1,189,542
35025,"Dufferin--Caledon/Dufferin--Caledon"," 83","Caledon",0,2,50,3,3,115,1,174,493
35025,"Dufferin--Caledon/Dufferin--Caledon"," 84","Caledon",1,0,66,0,2,120,1,190,459
35025,"Dufferin--Caledon/Dufferin--Caledon"," 85","Caledon",4,5,83,0,5,128,1,226,511
35025,"Dufferin--Caledon/Dufferin--Caledon"," 86","Amaranth",4,1,31,1,2,142,2,183,463
35025,"Dufferin--Caledon/Dufferin--Caledon"," 87","Amaranth",1,6,43,3,1,149,0,203,461
35025,"Dufferin--Caledon/Dufferin--Caledon"," 88","Amaranth",2,6,38,1,2,129,0,178,433
35025,"Dufferin--Caledon/Dufferin--Caledon"," 89","Amaranth",2,2,30,0,0,129,0,163,459
35025,"Dufferin--Caledon/Dufferin--Caledon"," 90","Caledon",0,2,41,1,2,179,1,226,539
35025,"Dufferin--Caledon/Dufferin--Caledon"," 91","Caledon",1,3,68,1,2,161,2,238,543
35025,"Dufferin--Caledon/Dufferin--Caledon"," 92","Caledon",3,1,25,0,4,175,1,209,534
35025,"Dufferin--Caledon/Dufferin--Caledon"," 93","Caledon",4,1,58,0,2,113,0,178,553
35025,"Dufferin--Caledon/Dufferin--Caledon"," 94","Caledon",1,2,70,1,3,215,0,292,562
35025,"Dufferin--Caledon/Dufferin--Caledon"," 95","Caledon",2,1,77,1,1,111,0,193,535
35025,"Dufferin--Caledon/Dufferin--Caledon"," 96","Caledon",3,3,69,2,4,126,1,208,513
35025,"Dufferin--Caledon/Dufferin--Caledon"," 97","Caledon",2,1,65,0,3,159,2,232,573
35025,"Dufferin--Caledon/Dufferin--Caledon"," 98","Caledon",2,9,59,1,3,102,0,176,457
35025,"Dufferin--Caledon/Dufferin--Caledon"," 99","Caledon",1,5,45,0,4,95,1,151,426
35025,"Dufferin--Caledon/Dufferin--Caledon"," 100","Caledon",3,2,48,1,6,88,0,148,364
35025,"Dufferin--Caledon/Dufferin--Caledon"," 101","Orangeville",2,1,59,3,6,126,2,199,531
35025,"Dufferin--Caledon/Dufferin--Caledon"," 102","Orangeville",1,2,73,1,4,102,1,184,517
35025,"Dufferin--Caledon/Dufferin--Caledon"," 103","Orangeville",7,2,87,3,9,128,0,236,555
35025,"Dufferin--Caledon/Dufferin--Caledon"," 104","Orangeville",5,4,79,0,10,116,1,215,538
35025,"Dufferin--Caledon/Dufferin--Caledon"," 105","Orangeville",10,1,59,1,6,80,1,158,491
35025,"Dufferin--Caledon/Dufferin--Caledon"," 106","Caledon",0,1,44,0,3,74,1,123,388
35025,"Dufferin--Caledon/Dufferin--Caledon"," 107","Caledon",1,1,50,0,0,92,3,147,341
35025,"Dufferin--Caledon/Dufferin--Caledon"," 108","Caledon",1,2,50,0,2,104,2,161,470
35025,"Dufferin--Caledon/Dufferin--Caledon"," 109","Caledon",2,1,21,0,0,85,0,109,345
35025,"Dufferin--Caledon/Dufferin--Caledon"," 110","Caledon",2,2,93,1,1,146,1,246,488
35025,"Dufferin--Caledon/Dufferin--Caledon"," 111","Caledon",4,0,40,1,3,95,1,144,393
35025,"Dufferin--Caledon/Dufferin--Caledon"," 112","Caledon",1,4,78,1,2,106,2,194,584
35025,"Dufferin--Caledon/Dufferin--Caledon"," 113","Caledon",4,2,73,0,5,172,4,260,592
35025,"Dufferin--Caledon/Dufferin--Caledon"," 114","Caledon",1,8,71,0,3,122,1,206,570
35025,"Dufferin--Caledon/Dufferin--Caledon"," 115","Caledon",2,1,66,0,3,136,1,209,597
35025,"Dufferin--Caledon/Dufferin--Caledon"," 116","Caledon",1,4,40,2,1,106,1,155,406
35025,"Dufferin--Caledon/Dufferin--Caledon"," 117","Caledon",1,3,31,0,7,98,3,143,327
35025,"Dufferin--Caledon/Dufferin--Caledon"," 118","Caledon",1,2,44,1,5,107,0,160,439
35025,"Dufferin--Caledon/Dufferin--Caledon"," 119","Caledon",0,2,43,0,4,152,1,202,509
35025,"Dufferin--Caledon/Dufferin--Caledon"," 120","Orangeville",3,2,82,2,1,133,1,224,540
35025,"Dufferin--Caledon/Dufferin--Caledon"," 121","Orangeville",7,0,100,0,6,129,0,242,530
35025,"Dufferin--Caledon/Dufferin--Caledon"," 122","Orangeville",4,3,90,0,5,142,1,245,531
35025,"Dufferin--Caledon/Dufferin--Caledon"," 123","Orangeville",2,4,74,0,9,130,0,219,548
35025,"Dufferin--Caledon/Dufferin--Caledon"," 124","Orangeville",2,2,58,1,5,136,6,210,541
35025,"Dufferin--Caledon/Dufferin--Caledon"," 125","Orangeville",5,1,73,1,5,139,1,225,580
35025,"Dufferin--Caledon/Dufferin--Caledon"," 126","Orangeville",7,1,84,1,10,123,0,226,618
35025,"Dufferin--Caledon/Dufferin--Caledon"," 127","Orangeville",9,0,72,1,9,74,1,166,443
35025,"Dufferin--Caledon/Dufferin--Caledon"," 128","Orangeville",4,1,28,0,5,69,0,107,363
35025,"Dufferin--Caledon/Dufferin--Caledon"," 129","Orangeville",8,0,60,1,11,126,0,206,562
35025,"Dufferin--Caledon/Dufferin--Caledon"," 130","Orangeville",3,2,63,0,6,119,1,194,594
35025,"Dufferin--Caledon/Dufferin--Caledon"," 131","Orangeville",3,1,61,1,11,149,1,227,583
35025,"Dufferin--Caledon/Dufferin--Caledon"," 132","Orangeville",7,3,79,1,9,142,1,242,580
35025,"Dufferin--Caledon/Dufferin--Caledon"," 133","Orangeville",6,4,68,0,7,123,0,208,500
35025,"Dufferin--Caledon/Dufferin--Caledon"," 134","Orangeville",2,2,73,2,8,171,1,259,581
35025,"Dufferin--Caledon/Dufferin--Caledon"," 135","Orangeville",7,1,51,4,4,140,0,207,493
35025,"Dufferin--Caledon/Dufferin--Caledon"," 136","Caledon",3,5,88,2,2,165,1,266,522
35025,"Dufferin--Caledon/Dufferin--Caledon"," 137","Caledon",2,5,48,1,2,161,0,219,508
35025,"Dufferin--Caledon/Dufferin--Caledon"," 138","Caledon",0,1,63,0,2,113,0,179,462
35025,"Dufferin--Caledon/Dufferin--Caledon"," 139","Caledon",4,5,63,5,2,157,1,237,576
35025,"Dufferin--Caledon/Dufferin--Caledon"," 140","Caledon",2,11,67,0,3,200,1,284,540
35025,"Dufferin--Caledon/Dufferin--Caledon"," 141","Caledon",0,4,61,2,2,132,2,203,499
35025,"Dufferin--Caledon/Dufferin--Caledon"," 142","Caledon",2,3,63,1,0,203,0,272,512
35025,"Dufferin--Caledon/Dufferin--Caledon"," 143","Caledon",2,2,64,1,1,193,1,264,499
35025,"Dufferin--Caledon/Dufferin--Caledon"," 144","Caledon",2,3,50,0,1,108,0,164,522
35025,"Dufferin--Caledon/Dufferin--Caledon"," 145","Caledon",5,0,75,1,2,136,0,219,468
35025,"Dufferin--Caledon/Dufferin--Caledon"," 146","Caledon",2,3,66,2,5,182,2,262,536
35025,"Dufferin--Caledon/Dufferin--Caledon"," 147","Caledon",0,4,57,2,4,166,1,234,562
35025,"Dufferin--Caledon/Dufferin--Caledon"," 148","Caledon",1,2,37,0,0,91,0,131,313
35025,"Dufferin--Caledon/Dufferin--Caledon"," 149","Caledon",2,2,49,0,2,223,0,278,513
35025,"Dufferin--Caledon/Dufferin--Caledon"," 150","Caledon",2,2,77,2,2,175,1,261,565
35025,"Dufferin--Caledon/Dufferin--Caledon"," 151","Caledon",1,3,21,0,1,56,0,82,226
35025,"Dufferin--Caledon/Dufferin--Caledon"," 152","Caledon",0,0,39,0,1,122,0,162,327
35025,"Dufferin--Caledon/Dufferin--Caledon"," 153","Caledon",0,1,46,1,6,135,0,189,461
35025,"Dufferin--Caledon/Dufferin--Caledon"," 154","Caledon",1,1,32,0,5,96,0,135,312
35025,"Dufferin--Caledon/Dufferin--Caledon"," 155","Orangeville",4,3,72,0,2,114,2,197,481
35025,"Dufferin--Caledon/Dufferin--Caledon"," 156","Orangeville",2,0,108,1,6,156,1,274,654
35025,"Dufferin--Caledon/Dufferin--Caledon"," 157","Orangeville",0,1,39,0,2,97,0,139,286
35025,"Dufferin--Caledon/Dufferin--Caledon"," 158","Orangeville",4,0,59,0,1,112,0,176,493
35025,"Dufferin--Caledon/Dufferin--Caledon"," 159","Orangeville",4,1,109,2,7,137,1,261,643
35025,"Dufferin--Caledon/Dufferin--Caledon"," 160","Caledon",5,1,53,0,1,111,0,171,449
35025,"Dufferin--Caledon/Dufferin--Caledon"," 161","Caledon",0,0,62,1,1,98,0,162,411
35025,"Dufferin--Caledon/Dufferin--Caledon"," 162","Orangeville",1,2,69,0,3,131,0,206,473
35025,"Dufferin--Caledon/Dufferin--Caledon"," 163","Orangeville",3,2,72,1,8,150,1,237,543
35025,"Dufferin--Caledon/Dufferin--Caledon"," 164","Orangeville",1,1,60,0,4,135,1,202,546
35025,"Dufferin--Caledon/Dufferin--Caledon"," 165","Caledon",2,5,55,1,1,98,1,163,447
35025,"Dufferin--Caledon/Dufferin--Caledon"," 166A","Caledon",1,1,41,5,2,90,1,141,386
35025,"Dufferin--Caledon/Dufferin--Caledon"," 166B","Caledon",0,7,68,1,4,99,0,179,399
35025,"Dufferin--Caledon/Dufferin--Caledon"," 167","Caledon",6,1,60,1,5,141,1,215,557
35025,"Dufferin--Caledon/Dufferin--Caledon"," 168","Caledon",1,3,54,1,3,103,1,166,474
35025,"Dufferin--Caledon/Dufferin--Caledon"," 169","Caledon",1,2,37,1,3,72,0,116,436
35025,"Dufferin--Caledon/Dufferin--Caledon"," 170","Caledon",2,4,48,1,5,121,2,183,461
35025,"Dufferin--Caledon/Dufferin--Caledon"," 171","Caledon",3,2,111,6,7,144,0,273,463
35025,"Dufferin--Caledon/Dufferin--Caledon"," 172","Caledon",3,2,72,1,4,123,0,205,450
35025,"Dufferin--Caledon/Dufferin--Caledon"," 173","Caledon",3,4,74,1,1,153,1,237,453
35025,"Dufferin--Caledon/Dufferin--Caledon"," 174","Orangeville",1,1,70,0,4,136,1,213,541
35025,"Dufferin--Caledon/Dufferin--Caledon"," 175","East Garafraxa",1,1,47,0,3,110,2,164,339
35025,"Dufferin--Caledon/Dufferin--Caledon"," 176","East-Garafraxa--Garafraxa Woods",1,0,62,0,8,91,0,162,477
35025,"Dufferin--Caledon/Dufferin--Caledon"," 177","Grand Valley",3,2,45,1,3,139,1,194,451
35025,"Dufferin--Caledon/Dufferin--Caledon"," 178","Grand Valley",2,1,29,0,1,96,0,129,356
35025,"Dufferin--Caledon/Dufferin--Caledon"," 179","East Luther--Grand Valley",3,5,61,1,5,113,0,188,537
35025,"Dufferin--Caledon/Dufferin--Caledon"," 180","Grand Valley",4,2,41,0,4,93,4,148,373
35025,"Dufferin--Caledon/Dufferin--Caledon"," 181","Grand Valley",5,0,50,0,8,98,1,162,426
35025,"Dufferin--Caledon/Dufferin--Caledon"," 182","Grand Valley",4,3,48,0,3,142,0,200,522
35025,"Dufferin--Caledon/Dufferin--Caledon"," 183","East Luther--Grand Valley",3,1,29,0,7,120,2,162,461
35025,"Dufferin--Caledon/Dufferin--Caledon"," 184","East Garafraxa",4,2,48,0,2,113,2,171,436
35025,"Dufferin--Caledon/Dufferin--Caledon"," 185","Caledon",2,1,36,1,3,109,2,154,445
35025,"Dufferin--Caledon/Dufferin--Caledon"," 186","Caledon",4,3,61,0,6,67,0,141,408
35025,"Dufferin--Caledon/Dufferin--Caledon"," 187","Caledon",3,3,71,0,5,143,0,225,573
35025,"Dufferin--Caledon/Dufferin--Caledon"," 188","Caledon",0,0,59,1,1,82,4,147,415
35025,"Dufferin--Caledon/Dufferin--Caledon"," 189","Caledon",5,4,57,0,3,91,1,161,418
35025,"Dufferin--Caledon/Dufferin--Caledon"," 190","Caledon",2,0,42,1,3,86,2,136,457
35025,"Dufferin--Caledon/Dufferin--Caledon"," 191","Caledon",1,0,38,1,2,89,1,132,368
35025,"Dufferin--Caledon/Dufferin--Caledon"," 192","Orangeville",2,3,89,0,9,138,1,242,630
35025,"Dufferin--Caledon/Dufferin--Caledon"," 193","Orangeville",4,1,83,0,6,113,2,209,519
35025,"Dufferin--Caledon/Dufferin--Caledon"," 194","Orangeville",4,3,70,2,5,119,0,203,566
35025,"Dufferin--Caledon/Dufferin--Caledon"," 195","Orangeville",3,1,70,1,5,139,2,221,562
35025,"Dufferin--Caledon/Dufferin--Caledon"," 196","Orangeville",2,0,79,0,5,125,1,212,540
35025,"Dufferin--Caledon/Dufferin--Caledon"," 197","East Garafraxa",0,1,38,1,1,152,1,194,446
35025,"Dufferin--Caledon/Dufferin--Caledon"," 198","East Garafraxa",3,3,64,1,3,156,0,230,450
35025,"Dufferin--Caledon/Dufferin--Caledon"," 199","East Garafraxa",6,3,63,1,8,152,1,234,464
35025,"Dufferin--Caledon/Dufferin--Caledon"," 200","Caledon",2,3,49,0,1,99,2,156,454
35025,"Dufferin--Caledon/Dufferin--Caledon"," 201","Caledon",8,2,57,0,4,88,0,159,401
35025,"Dufferin--Caledon/Dufferin--Caledon"," 202","Caledon",3,5,53,0,2,74,0,137,463
35025,"Dufferin--Caledon/Dufferin--Caledon"," 203","Caledon",3,1,34,1,5,71,1,116,345
35025,"Dufferin--Caledon/Dufferin--Caledon"," 204","Caledon",4,6,76,0,2,117,1,206,453
35025,"Dufferin--Caledon/Dufferin--Caledon"," 205","Caledon",2,8,75,1,0,114,0,200,438
35025,"Dufferin--Caledon/Dufferin--Caledon"," 206","Caledon",3,3,60,1,2,126,1,196,436
35025,"Dufferin--Caledon/Dufferin--Caledon"," 207","Caledon",1,2,83,1,0,133,1,221,442
35025,"Dufferin--Caledon/Dufferin--Caledon"," 500","Mobile poll/Bureau itinérant",2,2,28,4,8,40,3,87,48
35025,"Dufferin--Caledon/Dufferin--Caledon"," 501","Shelburne",Combined with No./Résultats combinés à ceux du n°23,,,,,,,,34
35025,"Dufferin--Caledon/Dufferin--Caledon"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,,106
35025,"Dufferin--Caledon/Dufferin--Caledon"," 503","Caledon",Combined with No./Résultats combinés à ceux du n°85,,,,,,,,60
35025,"Dufferin--Caledon/Dufferin--Caledon"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,,,37
35025,"Dufferin--Caledon/Dufferin--Caledon"," 505","Orangeville",Combined with No./Résultats combinés à ceux du n°72,,,,,,,,42
35025,"Dufferin--Caledon/Dufferin--Caledon"," 506","Orangeville",Combined with No./Résultats combinés à ceux du n°72,,,,,,,,85
35025,"Dufferin--Caledon/Dufferin--Caledon"," 507","Caledon",Combined with No./Résultats combinés à ceux du n°98,,,,,,,,30
35025,"Dufferin--Caledon/Dufferin--Caledon"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°516,,,,,,,,33
35025,"Dufferin--Caledon/Dufferin--Caledon"," 509","Orangeville",Combined with No./Résultats combinés à ceux du n°75,,,,,,,,136
35025,"Dufferin--Caledon/Dufferin--Caledon"," 510","Mobile poll/Bureau itinérant",4,4,30,0,5,30,2,75,83
35025,"Dufferin--Caledon/Dufferin--Caledon"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°519,,,,,,,,49
35025,"Dufferin--Caledon/Dufferin--Caledon"," 512","Caledon",Combined with No./Résultats combinés à ceux du n°100,,,,,,,,34
35025,"Dufferin--Caledon/Dufferin--Caledon"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°519,,,,,,,,24
35025,"Dufferin--Caledon/Dufferin--Caledon"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515A,,,,,,,,88
35025,"Dufferin--Caledon/Dufferin--Caledon"," 515A","Mobile poll/Bureau itinérant",0,0,38,3,15,44,2,102,106
35025,"Dufferin--Caledon/Dufferin--Caledon"," 515B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515A,,,,,,,,1
35025,"Dufferin--Caledon/Dufferin--Caledon"," 516","Mobile poll/Bureau itinérant",1,2,44,3,14,43,0,107,65
35025,"Dufferin--Caledon/Dufferin--Caledon"," 517","Orangeville",Combined with No./Résultats combinés à ceux du n°129,,,,,,,,38
35025,"Dufferin--Caledon/Dufferin--Caledon"," 518","Caledon",Combined with No./Résultats combinés à ceux du n°114,,,,,,,,40
35025,"Dufferin--Caledon/Dufferin--Caledon"," 519","Mobile poll/Bureau itinérant",3,1,130,1,9,79,0,223,238
35025,"Dufferin--Caledon/Dufferin--Caledon"," 520","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°516,,,,,,,,56
35025,"Dufferin--Caledon/Dufferin--Caledon"," 521","Caledon",Combined with No./Résultats combinés à ceux du n°171,,,,,,,,28
35025,"Dufferin--Caledon/Dufferin--Caledon"," 522","Caledon",Combined with No./Résultats combinés à ceux du n°187,,,,,,,,33
35025,"Dufferin--Caledon/Dufferin--Caledon"," 600","Mulmur",12,4,422,0,14,499,5,956,
35025,"Dufferin--Caledon/Dufferin--Caledon"," 601","Shelburne",5,9,323,8,25,554,6,930,
35025,"Dufferin--Caledon/Dufferin--Caledon"," 602","Amaranth",25,11,511,2,38,900,5,1492,
35025,"Dufferin--Caledon/Dufferin--Caledon"," 603","Amaranth",5,9,221,4,6,371,0,616,
35025,"Dufferin--Caledon/Dufferin--Caledon"," 604","Shelburne",15,3,316,9,26,636,6,1011,
35025,"Dufferin--Caledon/Dufferin--Caledon"," 605","Amaranth",9,5,185,0,11,525,0,735,
35025,"Dufferin--Caledon/Dufferin--Caledon"," 606","Mono",16,8,479,2,15,559,1,1080,
35025,"Dufferin--Caledon/Dufferin--Caledon"," 607","Orangeville",14,10,438,3,14,643,9,1131,
35025,"Dufferin--Caledon/Dufferin--Caledon"," 608","Orangeville",22,14,701,6,34,686,4,1467,
35025,"Dufferin--Caledon/Dufferin--Caledon"," 609","Orangeville",13,10,643,4,38,792,2,1502,
35025,"Dufferin--Caledon/Dufferin--Caledon"," 610","Orangeville",17,12,451,4,39,630,2,1155,
35025,"Dufferin--Caledon/Dufferin--Caledon"," 611","Orangeville",6,7,500,2,31,742,5,1293,
35025,"Dufferin--Caledon/Dufferin--Caledon"," 612","Amaranth--East Luther--Grand Valley",8,6,293,4,15,494,2,822,
35025,"Dufferin--Caledon/Dufferin--Caledon"," 613","Caledon",12,11,431,3,13,572,5,1047,
