Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Guillaume Deschênes-Thériault,Nancy Mercier,Michel Morin,Daisy Petersen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 132","Lac-Baker",83,3,68,1,0,155,284
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 133","Grand Falls / Grand-Sault",47,2,49,8,1,107,332
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 134","Grand Falls / Grand-Sault",45,0,64,3,1,113,382
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 135","Grand Falls / Grand-Sault",86,6,75,1,0,168,441
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 136","Grand Falls / Grand-Sault",40,1,50,0,0,91,319
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 137","Grand Falls / Grand-Sault",31,3,62,0,1,97,395
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 138","Clair",46,4,58,4,2,114,433
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 139","Clair",42,1,56,1,2,102,396
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 140","Grand Falls / Grand-Sault",37,3,45,3,0,88,392
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 141","Grand Falls / Grand-Sault",36,3,48,2,1,90,393
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 142","Grand Falls / Grand-Sault",49,2,56,6,0,113,409
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 143","Grand Falls / Grand-Sault",45,1,43,4,0,93,385
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 144","Grand Falls / Grand-Sault",47,3,65,4,0,119,457
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 145","Grand Falls / Grand-Sault",45,3,47,4,1,100,402
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 146","Saint-François de Madawaska",78,6,94,2,2,182,334
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 147","Saint-François de Madawaska",66,8,87,1,0,162,341
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 148","Connors",86,3,83,1,2,175,304
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 149","Gillespie Settlement",65,3,116,4,0,188,464
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,32
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 501","Mobile poll/Bureau itinérant",31,1,7,3,3,45,47
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 502","Dalhousie",Combined with No./Résultats combinés à ceux du n°6,,,,,,1
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 503","Mobile poll/Bureau itinérant",26,6,8,1,1,42,34
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 504","Mobile poll/Bureau itinérant",32,1,4,1,3,41,30
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,22
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,9
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 507","Mobile poll/Bureau itinérant",37,2,14,2,0,55,20
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 508","Mobile poll/Bureau itinérant",44,9,10,0,1,64,133
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°513,,,,,,40
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 510","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,71
