Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Iain Black,Lewis Clarke Dahlby,Laura Dupont,Michael Peter Glenister,Ron McKinnon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 60A","Coquitlam",53,2,1,1,29,1,87,332
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 60B","Coquitlam",44,0,10,2,32,1,89,292
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 61A","Coquitlam",46,2,8,1,34,0,91,347
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 61B","Coquitlam",44,3,7,1,25,1,81,254
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 62","Coquitlam",48,1,8,0,70,0,127,371
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 63A","Coquitlam",54,0,3,0,53,0,110,331
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 63B","Coquitlam",46,3,7,0,39,0,95,228
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 64","Coquitlam",38,1,15,4,55,0,113,408
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 65","Coquitlam",63,2,10,4,59,1,139,432
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 66A","Port Coquitlam",38,0,6,1,40,0,85,272
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 66B","Port Coquitlam",12,1,7,0,29,0,49,245
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 67A","Coquitlam",42,0,2,0,27,0,71,296
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 67B","Coquitlam",30,1,1,0,34,0,66,243
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 68","Coquitlam",66,6,9,1,54,0,136,422
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 69","Coquitlam",42,2,15,2,41,1,103,362
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 70","Coquitlam",51,0,11,0,45,0,107,379
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 71A","Coquitlam",37,2,4,1,28,0,72,290
