Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Jag Anand,Rajesh Angral,Scott Calverley,Amanpreet S. Gill,Hafeez Malik,Minesh Patel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48014,"Calgary Skyview/Calgary Skyview"," 94","Calgary",3,5,1,64,42,0,0,115,368
48014,"Calgary Skyview/Calgary Skyview"," 95","Calgary",1,5,1,74,34,1,0,116,393
48014,"Calgary Skyview/Calgary Skyview"," 96A","Calgary",3,2,1,66,50,1,1,124,471
48014,"Calgary Skyview/Calgary Skyview"," 96B","Calgary",3,5,1,78,49,5,0,141,493
48014,"Calgary Skyview/Calgary Skyview"," 97","Calgary",2,1,1,97,74,4,1,180,686
48014,"Calgary Skyview/Calgary Skyview"," 98","Calgary",0,5,1,127,59,10,0,202,742
48014,"Calgary Skyview/Calgary Skyview"," 99","Calgary",8,1,1,83,85,7,2,187,647
48014,"Calgary Skyview/Calgary Skyview"," 100","Calgary",3,3,2,98,85,2,4,197,734
48014,"Calgary Skyview/Calgary Skyview"," 101","Calgary",0,5,1,98,50,4,0,158,637
48014,"Calgary Skyview/Calgary Skyview"," 102","Calgary",1,1,2,129,82,6,7,228,678
48014,"Calgary Skyview/Calgary Skyview"," 103","Calgary",2,14,2,130,105,6,6,265,643
48014,"Calgary Skyview/Calgary Skyview"," 104A","Calgary",3,1,1,83,57,3,0,148,517
48014,"Calgary Skyview/Calgary Skyview"," 104B","Calgary",3,2,1,69,48,4,0,127,469
48014,"Calgary Skyview/Calgary Skyview"," 105A","Calgary",0,1,1,58,47,1,1,109,405
48014,"Calgary Skyview/Calgary Skyview"," 105B","Calgary",1,2,0,49,48,6,1,107,426
48014,"Calgary Skyview/Calgary Skyview"," 106","Calgary",3,1,1,49,42,2,0,98,475
48014,"Calgary Skyview/Calgary Skyview"," 107","Calgary",4,11,2,149,98,7,3,274,594
48014,"Calgary Skyview/Calgary Skyview"," 108","Calgary",0,5,3,115,63,6,0,192,648
