Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Gilles Babin,Sébastien Beaulieu,Kevin Coutu,Mélanie Dorion,Marilène Gill,Marika Lalime,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 73","Sept-Îles",1,2,15,28,33,4,1,84,306
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 74","Sept-Îles",0,7,51,41,57,7,2,165,377
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 75","Sept-Îles",0,1,25,35,46,0,1,108,300
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 76","Sept-Îles",0,1,29,23,44,2,2,101,338
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 77","Sept-Îles",0,5,33,34,50,2,1,125,366
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 78","Sept-Îles",2,2,22,22,48,4,1,101,257
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 79","Sept-Îles",1,7,37,47,59,2,2,155,312
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 80","Sept-Îles",0,2,33,25,41,2,1,104,327
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 81","Sept-Îles",Combined with No./Résultats combinés à ceux du n°79,,,,,,,,198
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 82","Sept-Îles",Combined with No./Résultats combinés à ceux du n°78,,,,,,,,241
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 83","Sept-Îles",0,3,26,17,27,2,0,75,349
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 84","Sept-Îles",0,2,27,36,60,5,2,132,328
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 85","Sept-Îles",0,3,26,31,51,3,3,117,316
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 86","Sept-Îles",1,5,48,42,77,1,2,176,420
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 87","Sept-Îles",0,2,28,33,54,5,2,124,337
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 88","Sept-Îles",0,10,37,25,43,2,5,122,395
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 89","Sept-Îles",2,4,28,26,61,2,0,123,317
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 90","Sept-Îles",2,4,40,19,55,3,0,123,360
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 91","Sept-Îles",0,3,39,34,61,4,2,143,307
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 92","Sept-Îles",1,4,29,30,56,1,0,121,377
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 93","Sept-Îles",0,2,22,40,77,5,1,147,334
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 94","Sept-Îles",1,5,45,59,89,3,3,205,419
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 95","Sept-Îles",1,2,39,13,41,0,4,100,173
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 96","Sept-Îles",0,2,28,26,54,1,3,114,336
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 97","Sept-Îles",0,0,15,17,45,3,2,82,286
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 98","Sept-Îles",1,6,48,31,76,2,1,165,385
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 99","Sept-Îles",1,2,20,17,51,1,1,93,405
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 100","Sept-Îles",0,2,27,46,51,0,0,126,318
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 101","Sept-Îles",0,6,67,56,89,6,3,227,435
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 102","Sept-Îles",0,5,90,50,131,7,1,284,473
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 103","Sept-Îles",1,12,49,87,114,3,4,270,455
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 104","Sept-Îles",0,5,38,51,64,3,3,164,361
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 105","Sept-Îles",0,14,23,37,57,2,1,134,315
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 106","Sept-Îles",0,3,29,67,61,5,1,166,316
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 107","Sept-Îles",0,6,32,34,83,4,1,160,287
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 108","Baie-Comeau",0,2,19,24,28,2,1,76,195
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 109","Baie-Comeau",1,8,30,53,77,6,1,176,388
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 110","Baie-Comeau",0,4,37,57,76,5,0,179,397
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 111","Baie-Comeau",5,5,29,41,50,5,1,136,328
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 112","Baie-Comeau",1,1,23,47,40,2,2,116,344
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 113","Port-Cartier",2,1,31,53,57,3,1,148,415
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 114","Port-Cartier",2,1,19,59,37,7,3,128,369
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 115","Port-Cartier",0,3,22,58,66,2,3,154,414
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 116","Port-Cartier",0,2,15,33,44,0,1,95,357
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 117","Port-Cartier",0,1,13,33,33,0,3,83,348
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 118","Port-Cartier",1,4,22,59,47,0,2,135,342
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 119","Port-Cartier",0,2,17,56,49,3,0,127,410
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 120","Port-Cartier",1,1,26,42,56,3,1,130,423
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 121","Port-Cartier",0,0,12,38,67,6,2,125,378
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 122","Port-Cartier",0,0,15,66,70,1,0,152,366
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 123","Port-Cartier",0,3,30,51,61,2,1,148,367
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 124","Port-Cartier",3,3,17,46,58,1,4,132,363
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 125","Port-Cartier",1,0,25,25,71,1,2,125,232
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 126","Port-Cartier",0,2,19,16,40,0,0,77,170
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 127","Baie-Trinité",1,0,20,17,63,2,3,106,357
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 128","Godbout",1,1,24,27,64,1,4,122,251
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 129","Baie-Comeau",0,5,23,24,47,7,3,109,293
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 130","Baie-Comeau",0,1,29,31,50,3,0,114,344
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 131","Baie-Comeau",0,8,54,43,84,7,1,197,431
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 132","Baie-Comeau",2,2,37,46,68,4,3,162,376
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 133","Baie-Comeau",2,0,36,54,52,2,1,147,348
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 134","Baie-Comeau",3,1,38,26,41,0,1,110,321
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 135","Baie-Comeau",2,4,51,49,99,3,2,210,433
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 136","Baie-Comeau",1,0,53,48,89,5,0,196,382
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 137","Baie-Comeau",2,1,68,55,69,8,0,203,372
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 138","Baie-Comeau",1,1,64,64,104,2,5,241,501
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 139","Baie-Comeau",2,1,44,29,53,2,1,132,419
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 140","Baie-Comeau",0,1,22,23,44,1,1,92,277
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 141","Baie-Comeau",2,0,38,29,63,1,1,134,315
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 142","Baie-Comeau",1,1,24,37,48,3,3,117,287
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 143","Baie-Comeau",0,0,24,31,51,1,1,108,313
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 144","Baie-Comeau",0,2,27,33,58,1,2,123,299
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 145","Baie-Comeau",0,0,25,53,86,3,1,168,414
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 146","Baie-Comeau",1,1,57,48,89,3,1,200,423
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 147","Baie-Comeau",1,0,23,33,55,0,2,114,338
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 148","Baie-Comeau",1,3,32,36,65,2,1,140,364
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 149","Baie-Comeau",2,1,12,20,46,1,0,82,289
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 150","Baie-Comeau",1,0,49,32,96,2,2,182,437
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 151","Baie-Comeau",2,3,36,42,76,1,3,163,435
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 152","Baie-Comeau",2,4,22,36,61,2,0,127,365
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 153A","Baie-Comeau",0,1,13,40,57,3,1,115,334
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 153B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,,18
24021,"Côte-Nord--Kawawachikamach--Nitassinan/Côte-Nord--Kawawachikamach--Nitassinan"," 154","Baie-Comeau",0,1,49,45,60,4,1,160,388
