Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Abdus S Kissana,Jeff Lal,Maninder Sidhu,Bob Dosanjh Singh,Haramrit Singh,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35011,"Brampton East/Brampton-Est"," 29","Brampton",0,4,54,101,2,2,163,444
35011,"Brampton East/Brampton-Est"," 30","Brampton",2,3,93,105,5,1,209,479
35011,"Brampton East/Brampton-Est"," 31","Brampton",0,12,90,78,2,0,182,479
35011,"Brampton East/Brampton-Est"," 32","Brampton",1,11,93,135,6,4,250,575
35011,"Brampton East/Brampton-Est"," 33","Brampton",2,14,92,85,1,5,199,543
35011,"Brampton East/Brampton-Est"," 34","Brampton",2,13,105,116,1,2,239,555
35011,"Brampton East/Brampton-Est"," 35","Brampton",2,8,95,55,3,2,165,492
35011,"Brampton East/Brampton-Est"," 36","Brampton",2,12,112,116,4,0,246,468
35011,"Brampton East/Brampton-Est"," 37","Brampton",0,3,79,64,4,2,152,314
35011,"Brampton East/Brampton-Est"," 38","Brampton",0,4,91,66,3,1,165,456
35011,"Brampton East/Brampton-Est"," 39","Brampton",1,4,107,92,3,0,207,406
35011,"Brampton East/Brampton-Est"," 40","Brampton",0,15,73,50,4,0,142,450
35011,"Brampton East/Brampton-Est"," 41","Brampton",3,14,125,137,3,4,286,528
35011,"Brampton East/Brampton-Est"," 42","Brampton",0,1,95,92,1,0,189,388
35011,"Brampton East/Brampton-Est"," 43","Brampton",0,3,74,117,5,4,203,395
35011,"Brampton East/Brampton-Est"," 44","Brampton",1,5,121,146,4,3,280,540
35011,"Brampton East/Brampton-Est"," 45","Brampton",0,9,86,67,2,1,165,371
35011,"Brampton East/Brampton-Est"," 46","Brampton",0,7,93,86,4,6,196,576
35011,"Brampton East/Brampton-Est"," 47","Brampton",0,9,100,87,3,1,200,672
35011,"Brampton East/Brampton-Est"," 48","Brampton",0,4,60,102,3,6,175,604
35011,"Brampton East/Brampton-Est"," 49","Brampton",0,4,53,59,3,1,120,314
35011,"Brampton East/Brampton-Est"," 50","Brampton",0,6,60,102,3,2,173,361
35011,"Brampton East/Brampton-Est"," 51","Brampton",1,2,125,121,1,5,255,503
35011,"Brampton East/Brampton-Est"," 52","Brampton",1,0,123,149,7,2,282,533
35011,"Brampton East/Brampton-Est"," 53","Brampton",0,4,126,117,3,4,254,443
35011,"Brampton East/Brampton-Est"," 54","Brampton",0,6,79,65,2,4,156,363
35011,"Brampton East/Brampton-Est"," 55","Brampton",0,5,79,130,5,2,221,463
35011,"Brampton East/Brampton-Est"," 56","Brampton",0,6,131,146,0,3,286,532
35011,"Brampton East/Brampton-Est"," 57","Brampton",1,2,86,74,5,3,171,490
35011,"Brampton East/Brampton-Est"," 58","Brampton",3,4,130,122,8,2,269,476
35011,"Brampton East/Brampton-Est"," 59","Brampton",0,7,144,98,6,1,256,487
35011,"Brampton East/Brampton-Est"," 60","Brampton",0,8,127,96,2,1,234,416
35011,"Brampton East/Brampton-Est"," 61","Brampton",1,14,92,83,9,1,200,533
35011,"Brampton East/Brampton-Est"," 62","Brampton",0,4,87,86,2,0,179,500
35011,"Brampton East/Brampton-Est"," 63","Brampton",0,6,124,90,1,2,223,547
35011,"Brampton East/Brampton-Est"," 64","Brampton",1,6,97,60,1,0,165,446
35011,"Brampton East/Brampton-Est"," 65","Brampton",0,3,80,62,7,4,156,457
35011,"Brampton East/Brampton-Est"," 66","Brampton",1,9,84,74,6,2,176,550
35011,"Brampton East/Brampton-Est"," 67","Brampton",0,5,75,73,1,0,154,557
35011,"Brampton East/Brampton-Est"," 68","Brampton",0,6,104,104,3,2,219,635
35011,"Brampton East/Brampton-Est"," 69","Brampton",0,4,66,45,3,0,118,381
35011,"Brampton East/Brampton-Est"," 70","Brampton",0,9,78,71,4,3,165,490
35011,"Brampton East/Brampton-Est"," 71","Brampton",0,4,70,78,5,1,158,682
35011,"Brampton East/Brampton-Est"," 72","Brampton",0,9,81,71,2,1,164,446
35011,"Brampton East/Brampton-Est"," 73","Brampton",0,9,54,70,3,1,137,467
35011,"Brampton East/Brampton-Est"," 74","Brampton",0,7,94,81,5,2,189,578
35011,"Brampton East/Brampton-Est"," 75","Brampton",2,11,86,78,5,1,183,519
35011,"Brampton East/Brampton-Est"," 76","Brampton",0,6,69,56,0,3,134,403
35011,"Brampton East/Brampton-Est"," 77","Brampton",0,5,118,85,1,0,209,577
35011,"Brampton East/Brampton-Est"," 78","Brampton",0,13,52,96,0,2,163,482
35011,"Brampton East/Brampton-Est"," 79","Brampton",0,23,102,112,3,6,246,715
35011,"Brampton East/Brampton-Est"," 80","Brampton",2,5,97,91,0,0,195,562
35011,"Brampton East/Brampton-Est"," 81","Brampton",1,10,82,87,4,1,185,500
35011,"Brampton East/Brampton-Est"," 82","Brampton",0,10,61,78,2,1,152,460
35011,"Brampton East/Brampton-Est"," 83","Brampton",2,11,78,97,5,1,194,539
35011,"Brampton East/Brampton-Est"," 84","Brampton",0,1,100,54,2,1,158,514
35011,"Brampton East/Brampton-Est"," 85","Brampton",0,3,68,69,3,1,144,506
35011,"Brampton East/Brampton-Est"," 86","Brampton",0,3,107,93,3,0,206,518
35011,"Brampton East/Brampton-Est"," 87","Brampton",0,2,59,68,6,3,138,397
35011,"Brampton East/Brampton-Est"," 88","Brampton",3,5,109,99,2,0,218,487
35011,"Brampton East/Brampton-Est"," 89","Brampton",0,7,100,89,4,1,201,520
35011,"Brampton East/Brampton-Est"," 90","Brampton",0,5,85,69,1,6,166,538
35011,"Brampton East/Brampton-Est"," 91","Brampton",1,13,65,73,1,2,155,481
35011,"Brampton East/Brampton-Est"," 92","Brampton",1,8,84,106,3,1,203,580
35011,"Brampton East/Brampton-Est"," 93","Brampton",0,3,76,100,1,0,180,449
35011,"Brampton East/Brampton-Est"," 94","Brampton",1,3,83,54,8,0,149,448
35011,"Brampton East/Brampton-Est"," 95","Brampton",0,0,61,51,1,0,113,372
35011,"Brampton East/Brampton-Est"," 96","Brampton",0,2,83,92,3,1,181,353
35011,"Brampton East/Brampton-Est"," 97","Brampton",0,5,88,77,4,0,174,469
35011,"Brampton East/Brampton-Est"," 98","Brampton",1,6,145,125,9,1,287,627
35011,"Brampton East/Brampton-Est"," 99","Brampton",0,0,65,64,2,1,132,394
35011,"Brampton East/Brampton-Est"," 100","Brampton",1,2,84,49,4,1,141,450
35011,"Brampton East/Brampton-Est"," 101","Brampton",1,10,106,112,6,0,235,601
35011,"Brampton East/Brampton-Est"," 102","Brampton",0,1,64,70,0,3,138,378
35011,"Brampton East/Brampton-Est"," 103","Brampton",1,5,104,80,7,0,197,464
35011,"Brampton East/Brampton-Est"," 104","Brampton",3,2,79,57,5,1,147,475
35011,"Brampton East/Brampton-Est"," 105","Brampton",0,2,117,71,4,0,194,447
35011,"Brampton East/Brampton-Est"," 106","Brampton",0,13,118,112,3,3,249,531
35011,"Brampton East/Brampton-Est"," 107","Brampton",0,3,77,84,4,2,170,419
35011,"Brampton East/Brampton-Est"," 108","Brampton",2,4,72,64,3,3,148,436
35011,"Brampton East/Brampton-Est"," 109","Brampton",0,1,87,56,3,2,149,367
35011,"Brampton East/Brampton-Est"," 110","Brampton",1,12,115,43,3,0,174,347
35011,"Brampton East/Brampton-Est"," 111","Brampton",0,5,97,54,3,5,164,478
35011,"Brampton East/Brampton-Est"," 112","Brampton",0,6,74,94,2,0,176,517
35011,"Brampton East/Brampton-Est"," 113","Brampton",0,11,114,124,3,5,257,543
35011,"Brampton East/Brampton-Est"," 114","Brampton",0,5,116,60,1,10,192,393
35011,"Brampton East/Brampton-Est"," 115","Brampton",0,3,74,81,2,1,161,426
35011,"Brampton East/Brampton-Est"," 116","Brampton",0,4,125,58,6,0,193,544
35011,"Brampton East/Brampton-Est"," 117","Brampton",0,4,125,57,1,1,188,438
35011,"Brampton East/Brampton-Est"," 118","Brampton",0,1,53,53,5,3,115,353
35011,"Brampton East/Brampton-Est"," 119","Brampton",1,2,93,70,3,1,170,519
35011,"Brampton East/Brampton-Est"," 120","Brampton",0,5,113,87,6,2,213,491
35011,"Brampton East/Brampton-Est"," 121","Brampton",0,2,88,76,4,0,170,464
35011,"Brampton East/Brampton-Est"," 122","Brampton",5,11,55,65,1,0,137,399
35011,"Brampton East/Brampton-Est"," 123","Brampton",0,11,89,78,1,3,182,567
35011,"Brampton East/Brampton-Est"," 124","Brampton",0,4,81,71,1,1,158,360
35011,"Brampton East/Brampton-Est"," 125","Brampton",0,6,69,60,3,1,139,446
35011,"Brampton East/Brampton-Est"," 126","Brampton",0,7,71,89,1,0,168,417
35011,"Brampton East/Brampton-Est"," 127","Brampton",0,4,31,34,0,0,69,244
35011,"Brampton East/Brampton-Est"," 128","Brampton",5,5,69,66,2,1,148,458
35011,"Brampton East/Brampton-Est"," 129","Brampton",2,7,82,75,3,4,173,516
35011,"Brampton East/Brampton-Est"," 130","Brampton",1,1,81,60,1,2,146,454
35011,"Brampton East/Brampton-Est"," 131","Brampton",0,5,55,74,2,1,137,482
35011,"Brampton East/Brampton-Est"," 132","Brampton",1,9,63,64,5,0,142,502
35011,"Brampton East/Brampton-Est"," 133","Brampton",0,6,80,83,3,0,172,504
35011,"Brampton East/Brampton-Est"," 134","Brampton",0,8,127,104,2,1,242,520
35011,"Brampton East/Brampton-Est"," 135","Brampton",0,3,60,54,0,1,118,323
35011,"Brampton East/Brampton-Est"," 136","Brampton",0,9,83,63,7,3,165,409
35011,"Brampton East/Brampton-Est"," 137","Brampton",0,2,90,95,4,4,195,538
35011,"Brampton East/Brampton-Est"," 138","Brampton",0,4,104,92,4,1,205,528
35011,"Brampton East/Brampton-Est"," 139","Brampton",1,5,133,116,7,3,265,535
35011,"Brampton East/Brampton-Est"," 140","Brampton",1,10,170,149,5,3,338,603
35011,"Brampton East/Brampton-Est"," 141","Brampton",0,14,129,119,5,3,270,568
35011,"Brampton East/Brampton-Est"," 142","Brampton",0,3,115,72,4,0,194,413
35011,"Brampton East/Brampton-Est"," 143","Brampton",0,5,69,74,2,0,150,348
35011,"Brampton East/Brampton-Est"," 144","Brampton",0,6,95,100,7,2,210,474
35011,"Brampton East/Brampton-Est"," 145","Brampton",1,6,76,83,10,0,176,462
35011,"Brampton East/Brampton-Est"," 146","Brampton",0,4,70,49,1,8,132,379
35011,"Brampton East/Brampton-Est"," 147","Brampton",0,2,83,100,0,5,190,477
35011,"Brampton East/Brampton-Est"," 148","Brampton",0,8,63,61,0,4,136,524
35011,"Brampton East/Brampton-Est"," 149","Brampton",1,10,85,95,1,3,195,580
35011,"Brampton East/Brampton-Est"," 150","Brampton",0,11,118,102,4,1,236,614
35011,"Brampton East/Brampton-Est"," 151","Brampton",1,16,88,83,6,1,195,633
35011,"Brampton East/Brampton-Est"," 152","Brampton",1,8,103,93,5,1,211,433
35011,"Brampton East/Brampton-Est"," 153","Brampton",0,8,67,72,1,0,148,541
35011,"Brampton East/Brampton-Est"," 500","Brampton",1,0,22,5,2,0,30,67
35011,"Brampton East/Brampton-Est"," 600","Brampton",5,176,551,642,17,29,1420,
35011,"Brampton East/Brampton-Est"," 601","Brampton",3,92,726,778,24,37,1660,
35011,"Brampton East/Brampton-Est"," 602","Brampton",1,28,427,362,10,4,832,
35011,"Brampton East/Brampton-Est"," 603","Brampton",3,30,630,450,28,10,1151,
35011,"Brampton East/Brampton-Est"," 604","Brampton",1,29,496,447,12,7,992,
35011,"Brampton East/Brampton-Est"," 605","Brampton",3,28,785,485,25,18,1344,
35011,"Brampton East/Brampton-Est"," 606","Brampton",2,38,694,505,26,15,1280,
35011,"Brampton East/Brampton-Est"," 607","Brampton",0,16,485,423,19,10,953,
35011,"Brampton East/Brampton-Est"," 608","Brampton",1,48,643,591,23,16,1322,
35011,"Brampton East/Brampton-Est"," 609","Brampton",2,62,811,684,22,19,1600,
35011,"Brampton East/Brampton-Est"," 610","Brampton",4,109,818,717,22,22,1692,
35011,"Brampton East/Brampton-Est"," 611","Brampton",15,137,564,624,18,23,1381,
35011,"Brampton East/Brampton-Est"," 612","Brampton",0,108,653,570,28,32,1391,
35011,"Brampton East/Brampton-Est"," 613","Brampton",2,206,741,626,27,35,1637,
35011,"Brampton East/Brampton-Est",,Group 1/Groupe 1, 2,6,265,153,10,23,459,137
35011,"Brampton East/Brampton-Est",,Group 2/Groupe 2, 3,48,445,447,16,18,977,
