Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Mubarak Ahmed,Ann Raney,Anna Roberts,Vageesh Sabharwal,Samantha Sanchez,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35047,"King--Vaughan/King--Vaughan"," 142","Vaughan",121,2,135,3,4,3,268,588
35047,"King--Vaughan/King--Vaughan"," 143","Vaughan",73,2,108,4,3,4,194,439
35047,"King--Vaughan/King--Vaughan"," 144","Vaughan",72,1,85,1,4,3,166,457
35047,"King--Vaughan/King--Vaughan"," 145","Vaughan",89,4,145,0,2,1,241,510
35047,"King--Vaughan/King--Vaughan"," 146","Vaughan",84,1,75,1,2,0,163,517
35047,"King--Vaughan/King--Vaughan"," 147","Vaughan",35,0,52,0,5,1,93,375
35047,"King--Vaughan/King--Vaughan"," 148","Vaughan",44,2,62,1,2,0,111,380
35047,"King--Vaughan/King--Vaughan"," 149","Vaughan",43,1,91,0,2,0,137,480
35047,"King--Vaughan/King--Vaughan"," 150","Vaughan",49,1,107,0,0,1,158,519
35047,"King--Vaughan/King--Vaughan"," 151","Vaughan",59,1,70,1,0,1,132,334
35047,"King--Vaughan/King--Vaughan"," 152","Vaughan",62,4,117,0,1,2,186,494
35047,"King--Vaughan/King--Vaughan"," 153","Vaughan",96,3,136,1,3,2,241,632
35047,"King--Vaughan/King--Vaughan"," 154","Vaughan",54,4,95,0,0,4,157,481
35047,"King--Vaughan/King--Vaughan"," 155","Vaughan",92,0,168,1,2,1,264,518
35047,"King--Vaughan/King--Vaughan"," 156A","Vaughan",47,0,62,0,0,0,109,371
35047,"King--Vaughan/King--Vaughan"," 156B","Vaughan",21,1,36,0,0,0,58,125
35047,"King--Vaughan/King--Vaughan"," 157","Vaughan",70,2,132,0,3,1,208,522
35047,"King--Vaughan/King--Vaughan"," 158","Vaughan",52,1,90,1,3,0,147,390
35047,"King--Vaughan/King--Vaughan"," 159","Vaughan",81,0,118,1,3,0,203,483
35047,"King--Vaughan/King--Vaughan"," 160","Vaughan",73,1,123,4,1,0,202,404
35047,"King--Vaughan/King--Vaughan"," 161A","Vaughan",58,0,70,1,1,2,132,360
35047,"King--Vaughan/King--Vaughan"," 161B","Vaughan",56,2,61,0,2,1,122,327
35047,"King--Vaughan/King--Vaughan"," 162","Vaughan",75,4,111,1,9,1,201,476
35047,"King--Vaughan/King--Vaughan"," 163","Vaughan",69,1,151,0,0,4,225,469
35047,"King--Vaughan/King--Vaughan"," 164","Vaughan",72,1,96,2,2,1,174,387
35047,"King--Vaughan/King--Vaughan"," 165","Vaughan",55,4,130,1,5,3,198,409
35047,"King--Vaughan/King--Vaughan"," 166","Vaughan",76,1,111,1,3,3,195,464
35047,"King--Vaughan/King--Vaughan"," 167","Vaughan",65,6,120,3,1,2,197,477
35047,"King--Vaughan/King--Vaughan"," 168","Vaughan",84,2,84,0,2,1,173,422
35047,"King--Vaughan/King--Vaughan"," 169","Vaughan",29,2,56,5,3,0,95,304
35047,"King--Vaughan/King--Vaughan"," 170","Vaughan",91,8,82,4,4,3,192,305
35047,"King--Vaughan/King--Vaughan"," 171","Vaughan",57,0,126,8,0,1,192,537
35047,"King--Vaughan/King--Vaughan"," 172","Vaughan",43,5,119,2,2,2,173,471
35047,"King--Vaughan/King--Vaughan"," 173A","Vaughan",30,1,111,1,1,1,145,435
35047,"King--Vaughan/King--Vaughan"," 173B","Vaughan",17,0,71,3,1,0,92,335
35047,"King--Vaughan/King--Vaughan"," 174","Vaughan",47,1,104,0,4,4,160,512
35047,"King--Vaughan/King--Vaughan"," 175","Vaughan",60,0,151,0,0,1,212,631
35047,"King--Vaughan/King--Vaughan"," 176","Vaughan",27,0,115,2,1,1,146,563
35047,"King--Vaughan/King--Vaughan"," 177","Vaughan",41,1,132,1,0,0,175,493
35047,"King--Vaughan/King--Vaughan"," 178","Vaughan",35,2,80,2,0,2,121,438
35047,"King--Vaughan/King--Vaughan"," 179","Vaughan",38,0,111,0,1,0,150,485
35047,"King--Vaughan/King--Vaughan"," 180","Vaughan",67,1,148,0,3,1,220,485
