Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Corey Curtis,Tom Osborne,Mike Peach,Kaelem Tingate,Brenda Walsh,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10002,"Cape Spear/Cape Spear"," 150","Paradise",95,130,1,0,3,7,236,509
10002,"Cape Spear/Cape Spear"," 151","Paradise",78,85,1,1,12,0,177,504
10002,"Cape Spear/Cape Spear"," 152","Paradise",68,95,1,0,7,1,172,489
10002,"Cape Spear/Cape Spear"," 153","Paradise",80,113,1,1,8,1,204,545
10002,"Cape Spear/Cape Spear"," 400","St. John's",13,71,0,0,3,5,92,159
10002,"Cape Spear/Cape Spear"," 500","St. John's",Combined with No./Résultats combinés à ceux du n°1,,,,,,,3
10002,"Cape Spear/Cape Spear"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,22
10002,"Cape Spear/Cape Spear"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,41
10002,"Cape Spear/Cape Spear"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,78
10002,"Cape Spear/Cape Spear"," 504","Mobile poll/Bureau itinérant",13,55,4,0,7,1,80,97
10002,"Cape Spear/Cape Spear"," 505","Mobile poll/Bureau itinérant",18,107,1,2,4,8,140,121
10002,"Cape Spear/Cape Spear"," 506","Mobile poll/Bureau itinérant",14,76,1,0,5,2,98,80
10002,"Cape Spear/Cape Spear"," 507","Mobile poll/Bureau itinérant",8,28,4,0,3,2,45,22
10002,"Cape Spear/Cape Spear"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,20
10002,"Cape Spear/Cape Spear"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,82
10002,"Cape Spear/Cape Spear"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,,,84
10002,"Cape Spear/Cape Spear"," 511","Mobile poll/Bureau itinérant",9,84,2,0,4,0,99,56
10002,"Cape Spear/Cape Spear"," 600","St. John's",101,640,1,3,82,3,830,
10002,"Cape Spear/Cape Spear"," 601","St. John's",16,43,0,0,2,0,61,
10002,"Cape Spear/Cape Spear"," 602","Petty Harbour-Maddox Cove",42,112,1,0,11,1,167,
10002,"Cape Spear/Cape Spear"," 603","St. John's",244,818,0,0,62,8,1132,
10002,"Cape Spear/Cape Spear"," 604","St. John's",127,959,4,3,68,8,1169,
10002,"Cape Spear/Cape Spear"," 605","St. John's",114,484,3,2,35,2,640,
10002,"Cape Spear/Cape Spear"," 606","St. John's",224,1053,6,3,66,8,1360,
10002,"Cape Spear/Cape Spear"," 607","St. John's",219,1135,3,5,54,12,1428,
10002,"Cape Spear/Cape Spear"," 608","Mount Pearl",217,1042,2,0,39,8,1308,
10002,"Cape Spear/Cape Spear"," 609","Mount Pearl",230,887,5,0,39,12,1173,
10002,"Cape Spear/Cape Spear"," 610","Mount Pearl",279,913,2,2,41,20,1257,
10002,"Cape Spear/Cape Spear"," 611","St. John's",302,746,3,2,34,3,1090,
10002,"Cape Spear/Cape Spear"," 612","Mount Pearl",165,806,3,4,39,4,1021,
10002,"Cape Spear/Cape Spear"," 613","Conception Bay South",211,710,3,1,33,4,962,
10002,"Cape Spear/Cape Spear"," 614","Paradise",417,926,7,2,37,12,1401,
10002,"Cape Spear/Cape Spear"," 615","Conception Bay South",298,808,0,0,43,8,1157,
10002,"Cape Spear/Cape Spear",,Group 1/Groupe 1, 184,504,0,5,60,42,795,164
10002,"Cape Spear/Cape Spear",,Group 2/Groupe 2, 700,2217,9,6,79,77,3088,
