Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Joe Byrne,Sean Casey,Daniel Cousins,Natalie Jameson,Robert Lucas,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
11002,"Charlottetown/Charlottetown"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,,,18
11002,"Charlottetown/Charlottetown"," 515","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,,10
11002,"Charlottetown/Charlottetown"," 516","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,,30
11002,"Charlottetown/Charlottetown"," 600","Charlottetown",22,624,6,332,6,2,992,
11002,"Charlottetown/Charlottetown"," 601","Charlottetown",40,888,10,339,2,3,1282,
11002,"Charlottetown/Charlottetown"," 602","Charlottetown",48,1128,13,376,3,15,1583,
11002,"Charlottetown/Charlottetown"," 603","Charlottetown",66,998,14,429,9,18,1534,
11002,"Charlottetown/Charlottetown"," 604","Charlottetown",60,1041,8,333,5,20,1467,
11002,"Charlottetown/Charlottetown"," 605","Charlottetown",49,953,7,261,3,7,1280,
11002,"Charlottetown/Charlottetown",,Group 1/Groupe 1, 11,160,6,50,2,9,238,99
11002,"Charlottetown/Charlottetown",,Group 2/Groupe 2, 102,1636,26,595,12,33,2404,
