Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Kathleen Code,Blair Herbert,Jeff Kibble,Alistair MacGregor,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 208A","Langford",6,35,49,42,0,132,366
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 208B","Langford",7,37,48,55,0,147,359
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 209","Langford",3,25,34,35,2,99,241
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 210","Langford",4,36,41,41,0,122,291
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 211","Langford",2,39,39,49,0,129,286
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 212","Langford",2,36,78,54,0,170,449
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 213","Langford",2,38,66,53,0,159,399
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 214A","Langford",1,32,40,41,0,114,343
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 214B","Langford",4,40,55,38,1,138,368
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 215","Langford",2,49,52,35,0,138,405
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 216A","Langford",3,51,43,44,1,142,418
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 216B","Mobile poll/Bureau itinérant",1,28,11,13,1,54,150
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 217","Langford",2,36,34,34,0,106,383
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 218","Langford",8,65,49,72,1,195,440
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 219","Langford",3,48,59,87,0,197,463
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 220","Langford",5,38,39,44,0,126,358
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 221","Langford",1,25,46,36,0,108,310
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 222","Langford",1,40,21,35,0,97,251
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 223","Langford",0,39,57,41,0,137,576
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 224","Langford",3,66,94,62,1,226,669
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 225","Langford",2,32,30,32,0,96,302
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 226","Langford",7,62,99,73,0,241,646
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 227","Langford",1,18,45,26,0,90,226
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 228","Langford",7,46,66,82,1,202,516
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 229","Langford",8,45,65,62,2,182,511
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 230","Langford",1,19,26,42,0,88,264
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 231","Langford",9,42,59,78,0,188,501
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 232","Langford",5,72,73,76,1,227,532
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 233","Langford",3,75,84,68,2,232,522
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 234","Langford",8,61,65,68,0,202,513
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 235","Langford",3,41,62,55,0,161,426
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 236","Langford",5,45,49,48,0,147,447
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 237","Langford",2,37,58,52,0,149,420
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 238","Langford",3,67,60,83,0,213,584
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 239","Langford",6,62,82,79,0,229,568
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 240","Langford",2,35,64,32,0,133,358
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 241","Langford",2,47,55,47,0,151,375
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 242","Langford",4,42,45,32,0,123,337
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 243","Langford",4,51,96,53,3,207,479
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 244","Langford",1,57,104,48,2,212,481
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 245","Langford",3,56,61,39,0,159,370
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 246","Langford",6,77,102,57,3,245,557
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 247","Langford",3,55,54,45,1,158,370
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 248","Langford",1,38,48,27,0,114,282
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 500","Mobile poll/Bureau itinérant",5,15,11,11,5,47,69
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,17
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°39B,,,,,,11
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°39B,,,,,,10
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,50
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 505","Mobile poll/Bureau itinérant",4,9,15,26,2,56,56
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 506","Mobile poll/Bureau itinérant",3,30,12,29,1,75,102
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 507","Mobile poll/Bureau itinérant",3,25,18,27,2,75,68
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,45
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,43
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,,47
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 511","Mobile poll/Bureau itinérant",10,14,8,22,3,57,75
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 512","North Cowichan",Combined with No./Résultats combinés à ceux du n°73,,,,,,27
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 513","Cobble Hills",Combined with No./Résultats combinés à ceux du n°131,,,,,,4
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°216B,,,,,,14
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 515","Mobile poll/Bureau itinérant",2,20,11,14,1,48,43
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 600","Malachan 11",0,0,0,0,0,0,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 601","Cowichan Valley",10,204,305,191,3,713,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 602","Gorden River 2",0,0,0,0,0,0,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 603","Cowichan Lake ",0,9,14,11,0,34,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 604","Cowichan Valley",16,349,422,363,3,1153,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 605","North Cowichan",12,468,406,442,2,1330,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 606","Halalt 2",Combined with No./Résultats combinés à ceux du n°611,,,,,,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 607","Tsussie 6",Combined with No./Résultats combinés à ceux du n°611,,,,,,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 608","Squaw-Hay-One 11",Combined with No./Résultats combinés à ceux du n°611,,,,,,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 609","Penelakut Island 7",Combined with No./Résultats combinés à ceux du n°611,,,,,,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 610","North Cowichan",10,182,356,291,2,841,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 611","North Cowichan",4,29,72,47,0,152,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 612","North Cowichan",6,165,206,195,4,576,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 613","North Cowichan",28,355,502,584,6,1475,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 614","North Cowichan",13,222,498,388,4,1125,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 615","Cowichan",2,10,22,48,0,82,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 616","Duncan",28,412,425,607,7,1479,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 617","North Cowichan",6,257,290,306,3,862,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 618","North Cowichan",12,370,347,342,5,1076,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 619","Cowichan 1--Cowichan Bay",21,292,317,403,4,1037,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 620","Cowichan Bay",14,374,382,432,26,1228,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 621","Eagle Heights",23,257,399,300,4,983,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 622","Shawnigan Lake",24,320,574,411,2,1331,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 623","Shawnigan Lake",25,287,376,315,0,1003,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 624","Cobble Hill",15,303,371,290,10,989,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 625","Hatch Point 12",20,580,478,344,0,1422,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 626","Mill Bay",29,538,433,311,2,1313,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 627","Malahat 11",0,0,1,1,0,2,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 628","Langford",16,261,214,184,1,676,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 629","Juan de Fuca (Part 1)",2,17,50,14,0,83,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 630","Langford",15,652,547,282,5,1501,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 631","Highlands",24,538,551,465,10,1588,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 632","Langford",16,549,420,367,2,1354,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 633","Langford",22,408,340,406,2,1178,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 634","Langford",18,494,395,413,3,1323,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 635","Juan de Fuca (Part 1)",8,230,274,221,2,735,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 636","Langford",14,415,387,286,0,1102,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 637","Langford",19,427,388,281,1,1116,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford",,Group 1/Groupe 1, 19,401,458,291,45,1214,279
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford",,Group 2/Groupe 2, 95,1992,2406,2010,45,6548,
