Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Kathleen Code,Blair Herbert,Jeff Kibble,Alistair MacGregor,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 98-1","Cowichan Lake",Combined with No./Résultats combinés à ceux du n°98,,,,,,79
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 99","Lake Cowichan",5,33,59,40,0,137,415
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 100","Lake Cowichan",0,18,46,28,0,92,367
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 101","Lake Cowichan",3,32,76,67,1,179,526
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 102","Lake Cowichan",5,22,82,43,0,152,480
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 103","Lake Cowichan",4,26,57,26,1,114,359
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 104","Lake Cowichan",2,18,45,31,0,96,333
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 105","Lake Cowichan",8,16,53,36,2,115,289
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 106","Lake Cowichan",5,15,70,45,1,136,494
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 107","Cowichan Station",5,18,54,62,0,139,445
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 108","Cowichan Station",6,33,72,50,0,161,481
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 109","Duncan",4,10,58,48,0,120,300
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 110","Cowichan Station",4,23,74,53,1,155,518
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 111","Cowichan Bay",9,28,92,90,1,220,557
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 111-1","Theik 2",Combined with No./Résultats combinés à ceux du n°111,,,,,,51
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 112","Cowichan Valley D",4,21,43,38,2,108,376
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 113","Cowichan Valley D",6,13,38,41,0,98,285
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 114","Cowichan Valley D",1,19,35,53,0,108,383
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 115","Cowichan Bay",7,42,58,52,0,159,568
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 116","Cowichan Valley D",4,22,64,54,0,144,433
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 117","Cowichan Bay",3,35,59,62,0,159,439
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 118","Cobble Hill",1,28,60,34,2,125,447
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 119","Cobble Hill",6,36,61,67,0,170,390
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 120","Cowichan Valley C",3,35,45,48,0,131,378
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 121","Cowichan Valley C",7,55,61,72,1,196,451
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 122","Cowichan Valley C",5,46,79,56,2,188,425
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 123","Hatch Point 12",2,27,47,63,0,139,439
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 124","Hatch Point 12",2,28,63,44,0,137,367
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 125","Cowichan Valley C",1,41,36,6,0,84,252
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 126","Cowichan Valley C",1,74,46,20,0,141,357
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 127","Hatch Point 12",1,27,56,57,0,141,388
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 128","Cowichan Valley C",0,64,48,38,2,152,461
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 129","Hatch Point 12",2,30,53,38,0,123,340
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 130","Cobble Hill",4,30,58,38,0,130,327
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 131","Cobble Hill",7,21,66,49,1,144,430
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 132","Mill Bay",2,31,54,40,0,127,423
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 133","Cowichan Valley A",8,42,68,50,0,168,556
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 134","Cowichan Valley A",1,43,36,42,0,122,464
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 135","Shawnigan Lake",1,24,35,40,0,100,255
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 136","Shawnigan Lake",1,26,72,31,0,130,344
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 137","Cowichan Valley B",1,24,55,47,0,127,418
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 138","Shawnigan Lake",2,32,66,31,0,131,330
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 139","Shawnigan Lake",6,15,70,47,1,139,451
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 140","Cowichan Valley B",6,33,82,64,1,186,469
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 141","Shawnigan Lake",0,26,82,30,0,138,421
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 142","Shawnigan Lake",1,28,57,23,0,109,325
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 143","Shawnigan Lake",4,23,68,24,0,119,420
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 144","Cobble Hill",2,39,58,35,2,136,453
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 145","Shawnigan Lake",3,24,44,29,0,100,273
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 146","Shawnigan Lake",1,19,42,46,0,108,355
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 147","Cowichan Valley B",3,31,53,42,0,129,352
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 148","Cowichan Valley B",5,21,50,49,0,125,392
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 149","Cowichan Valley B",6,20,50,51,0,127,377
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 150","Shawnigan Lake",3,20,48,33,1,105,316
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 151","Shawnigan Lake",5,40,57,36,1,139,401
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 152","Shawnigan Lake",2,29,79,45,0,155,484
