Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Peter Fonseca,Amit Gupta,Winston Harding,Khawar Hussain,Nita Kang,Dagmar Sullivan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 21","Mississauga",83,5,1,2,107,0,2,200,383
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 22","Mississauga",68,0,0,0,75,0,2,145,343
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 23","Mississauga",65,6,1,3,100,0,0,175,430
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 24","Mississauga",97,4,1,2,144,1,0,249,583
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 25","Mississauga",102,6,1,1,151,0,1,262,510
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 26","Mississauga",88,3,1,2,110,0,0,204,564
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 27","Mississauga",68,4,0,2,99,1,0,174,475
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 28","Mississauga",80,4,0,2,69,0,2,157,394
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 29","Mississauga",69,1,0,7,72,0,0,149,445
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 30","Mississauga",45,1,0,3,77,0,7,133,409
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 31","Mississauga",83,2,0,0,98,0,2,185,439
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 32","Mississauga",94,2,1,6,121,3,0,227,392
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 33","Mississauga",79,5,0,0,114,0,0,198,419
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 34","Mississauga",87,3,0,6,77,0,2,175,569
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 35","Mississauga",70,10,0,10,53,1,1,145,482
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 36","Mississauga",89,4,1,3,92,0,2,191,523
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 37","Mississauga",49,3,1,0,53,0,0,106,367
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 38","Mississauga",87,3,4,4,106,0,0,204,467
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 39","Mississauga",73,4,0,2,90,0,0,169,358
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 40","Mississauga",97,3,1,3,121,0,0,225,510
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 41","Mississauga",72,2,0,9,78,1,3,165,485
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 42","Mississauga",70,3,1,3,114,0,1,192,539
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 43","Mississauga",47,5,2,3,66,0,0,123,384
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 44","Mississauga",49,0,0,1,64,0,0,114,365
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 45","Mississauga",58,2,0,7,73,0,0,140,441
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 46","Mississauga",64,5,1,5,93,0,1,169,547
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 47","Mississauga",55,0,1,4,45,0,1,106,370
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 48","Mississauga",82,4,0,4,52,0,2,144,425
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 49","Mississauga",74,6,0,1,97,2,0,180,475
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 50","Mississauga",115,3,0,15,124,1,3,261,671
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 51","Mississauga",85,2,1,5,86,1,2,182,516
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 52","Mississauga",106,5,3,5,97,0,0,216,593
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 53","Mississauga",85,2,0,1,92,3,5,188,544
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 54","Mississauga",82,2,0,2,99,1,0,186,435
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 55","Mississauga",71,4,2,3,83,0,3,166,433
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 56","Mississauga",79,4,0,5,118,1,0,207,444
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 57","Mississauga",83,0,2,1,114,0,1,201,478
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 58","Mississauga",44,5,0,0,109,0,1,159,379
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 59","Mississauga",99,2,0,3,124,1,1,230,443
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 60","Mississauga",95,3,0,6,119,0,0,223,432
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 61","Mississauga",73,0,0,4,78,0,0,155,419
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 62","Mississauga",74,4,0,6,66,2,3,155,552
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 63","Mississauga",95,4,0,8,134,0,2,243,481
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 64","Mississauga",107,5,1,2,113,1,1,230,494
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 65","Mississauga",119,4,1,11,100,1,4,240,578
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 66","Mississauga",78,1,0,6,81,2,0,168,449
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 67","Mississauga",67,4,1,4,108,0,1,185,510
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 68","Mississauga",75,3,2,8,92,0,3,183,491
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 69","Mississauga",55,2,1,4,80,0,1,143,394
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 70","Mississauga",77,7,0,7,92,0,0,183,437
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 71","Mississauga",69,0,1,7,87,0,0,164,460
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 72","Mississauga",101,1,0,5,111,0,1,219,529
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 73","Mississauga",74,4,0,3,63,0,0,144,378
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 74","Mississauga",77,1,0,3,93,0,1,175,453
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 75A","Mississauga",78,2,1,13,50,0,0,144,398
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 75B","Mississauga",76,6,0,11,46,1,0,140,410
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 75C","Mississauga",62,3,0,10,43,0,1,119,315
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 76A","Mississauga",Combined with No./Résultats combinés à ceux du n°75A,,,,,,,,53
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 76B","Mississauga",Combined with No./Résultats combinés à ceux du n°75B,,,,,,,,52
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 76C","Mississauga",Combined with No./Résultats combinés à ceux du n°75C,,,,,,,,42
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 77","Mississauga",Combined with No./Résultats combinés à ceux du n°75A,,,,,,,,0
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 78","Mississauga",56,1,1,1,62,1,0,122,368
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 79","Mississauga",72,6,0,5,104,1,0,188,596
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 80","Mississauga",68,6,1,4,71,0,0,150,460
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 81","Mississauga",72,0,3,5,60,0,2,142,408
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 82","Mississauga",50,2,1,4,91,0,0,148,424
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 83","Mississauga",94,0,3,15,30,0,2,144,447
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 84","Mississauga",77,3,0,2,72,0,1,155,373
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 85","Mississauga",129,3,0,9,96,1,1,239,576
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 86","Mississauga",68,2,1,3,69,0,2,145,368
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 87","Mississauga",79,3,0,7,116,0,0,205,498
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 88","Mississauga",88,1,0,2,120,1,1,213,457
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 89","Mississauga",109,5,1,5,110,2,3,235,508
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 90","Mississauga",55,1,1,1,80,0,1,139,369
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 91","Mississauga",115,4,1,3,96,0,3,222,521
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 92","Mississauga",74,4,1,4,97,0,0,180,503
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 93","Mississauga",101,3,3,2,101,0,4,214,431
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 94","Mississauga",105,4,0,5,132,0,0,246,557
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 95","Mississauga",109,4,1,2,136,1,0,253,538
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 96","Mississauga",121,3,0,6,90,0,2,222,581
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 97","Mississauga",96,2,2,1,89,0,1,191,420
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 98","Mississauga",67,2,0,7,80,0,1,157,350
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 99","Mississauga",99,4,0,4,98,0,0,205,438
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 100","Mississauga",59,2,0,7,101,0,7,176,434
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 101","Mississauga",47,2,2,3,88,0,0,142,403
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 102","Mississauga",91,1,0,6,83,1,1,183,519
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 103","Mississauga",48,0,1,2,75,0,1,127,445
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 104","Mississauga",50,2,0,3,72,0,0,127,338
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 105","Mississauga",60,3,0,10,67,0,1,141,410
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 106","Mississauga",114,7,0,3,121,0,1,246,512
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 107","Mississauga",99,1,4,7,59,1,0,171,576
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 108","Mississauga",75,0,1,11,83,0,0,170,448
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 109","Mississauga",53,4,0,7,68,1,0,133,382
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 110","Mississauga",67,1,2,5,68,0,1,144,437
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 111","Mississauga",79,0,0,1,98,1,1,180,528
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 112","Mississauga",89,2,2,7,115,0,3,218,593
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 113","Mississauga",87,3,2,3,74,2,0,171,548
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 114","Mississauga",75,3,3,6,77,0,0,164,569
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 115","Mississauga",104,0,0,11,83,1,4,203,561
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 116","Mississauga",100,9,1,4,89,2,1,206,434
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 117","Mississauga",62,3,1,6,34,0,0,106,302
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 118","Mississauga",64,4,0,9,64,1,1,143,437
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 119","Mississauga",59,7,0,6,81,0,0,153,378
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 120","Mississauga",93,2,2,5,75,0,3,180,349
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 121","Mississauga",53,1,0,4,77,0,0,135,373
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 122","Mississauga",88,5,1,5,84,0,2,185,530
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 123","Mississauga",101,12,4,9,81,2,2,211,419
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 124","Mississauga",65,4,0,6,99,0,2,176,405
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 125","Mississauga",80,0,0,6,87,0,0,173,427
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 126","Mississauga",93,7,1,2,81,1,1,186,512
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 127","Mississauga",90,5,3,3,91,0,1,193,656
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 128","Mississauga",45,5,0,3,58,0,0,111,407
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 129","Mississauga",76,3,3,5,86,1,1,175,593
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 130","Mississauga",69,0,0,3,48,0,1,121,465
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 131","Mississauga",87,1,0,2,76,0,1,167,421
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 132","Mississauga",121,6,1,6,114,0,0,248,700
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 133","Mississauga",32,2,0,1,41,0,1,77,308
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 134","Mississauga",92,7,0,7,46,0,0,152,457
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 135","Mississauga",119,4,1,7,87,2,1,221,661
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 136","Mississauga",105,1,0,7,77,0,2,192,419
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 137","Mississauga",66,3,0,4,88,0,3,164,377
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 138","Mississauga",85,10,1,5,101,0,0,202,457
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 139","Mississauga",104,7,0,8,96,0,0,215,478
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 140","Mississauga",94,4,1,7,65,0,2,173,543
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 141","Mississauga",74,9,0,8,93,1,2,187,573
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 142","Mississauga",77,3,1,6,64,0,3,154,436
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 143","Mississauga",125,3,1,3,90,1,3,226,498
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 144","Mississauga",30,2,0,6,42,0,2,82,291
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 145","Mississauga",86,3,1,5,64,2,2,163,598
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 146","Mississauga",118,3,1,9,89,0,0,220,442
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 147","Mississauga",79,8,0,1,86,0,1,175,407
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 148","Mississauga",107,6,1,4,93,0,1,212,523
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 149","Mississauga",115,10,1,6,83,0,6,221,467
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 150","Mississauga",48,1,1,2,88,0,0,140,352
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 151","Mississauga",70,7,0,1,78,0,3,159,367
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 400","Mississauga",117,1,3,4,51,0,0,176,277
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 401","Mississauga",87,3,2,5,64,0,0,161,305
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 402","Mississauga",78,2,0,3,46,0,1,130,232
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 403","Mississauga",72,4,2,3,56,0,0,137,209
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 404","Mississauga",38,3,2,1,26,0,2,72,147
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 405","Mississauga",41,2,1,4,32,0,1,81,174
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 406","Mississauga",28,1,1,1,24,0,0,55,195
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 407","Mississauga",93,1,1,3,64,0,3,165,425
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 408","Mississauga",85,9,2,6,82,2,0,186,355
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 409","Mississauga",82,6,0,4,82,0,0,174,367
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 410","Mississauga",66,2,1,6,64,1,0,140,300
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 411","Mississauga",116,5,1,6,55,0,0,183,322
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 412","Mississauga",81,7,0,0,41,0,0,129,187
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 413A","Mississauga",82,5,1,5,49,0,0,142,303
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 413B","Mississauga",83,5,0,0,58,0,0,146,311
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 414","Mississauga",161,1,1,9,70,1,1,244,466
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 415","Mississauga",136,6,2,6,90,0,8,248,440
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 416","Mississauga",113,9,1,5,79,1,3,211,379
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 417","Mississauga",126,6,1,12,89,1,5,240,415
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 418","Mississauga",37,0,0,2,30,0,5,74,386
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 419","Mississauga",70,6,2,2,59,2,0,141,424
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 420","Mississauga",135,5,0,10,128,0,3,281,495
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 421","Mississauga",55,3,0,3,62,0,0,123,244
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 422","Mississauga",48,2,0,1,26,1,1,79,386
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 423","Mississauga",109,4,3,10,83,1,3,213,407
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 424","Mississauga",63,1,0,1,30,1,0,96,163
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 425","Mississauga",39,2,4,0,21,0,3,69,173
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 426","Mississauga",112,4,1,11,84,0,1,213,415
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 427","Mississauga",117,5,1,6,97,2,6,234,406
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 428","Mississauga",100,7,0,7,76,2,1,193,401
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 429","Mississauga",108,3,0,9,78,0,1,199,356
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 430","Mississauga",211,6,1,0,98,0,1,317,439
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 431A","Mississauga",127,2,0,2,77,1,1,210,320
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 431B","Mississauga",92,2,3,3,86,0,3,189,298
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 432","Mississauga",59,3,0,5,32,0,0,99,248
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 433","Mississauga",73,2,1,10,42,1,0,129,225
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 434","Mississauga",53,1,1,12,33,0,0,100,316
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 435","Mississauga",125,3,0,9,74,1,1,213,583
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 436","Mississauga",138,6,1,10,89,0,4,248,472
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 437","Mississauga",75,5,0,13,60,1,6,160,477
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 438","Mississauga",180,2,2,20,88,0,2,294,496
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 439","Mississauga",140,6,1,3,105,1,10,266,459
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 440","Mississauga",52,2,1,4,26,1,4,90,171
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 441","Mississauga",84,7,0,7,108,0,4,210,358
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 442","Mississauga",95,1,2,8,97,0,0,203,363
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 443","Mississauga",88,7,3,5,83,1,1,188,308
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 500","Mississauga",Combined with No./Résultats combinés à ceux du n°2,,,,,,,,14
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,,15
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 502","Mobile poll/Bureau itinérant",58,2,1,3,24,0,2,90,95
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,,85
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 504","Mobile poll/Bureau itinérant",27,2,0,1,20,0,2,52,53
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,,30
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 506","Mobile poll/Bureau itinérant",28,1,2,2,8,1,1,43,73
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 507","Mobile poll/Bureau itinérant",49,3,1,1,18,0,6,78,33
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 508","Mississauga",Combined with No./Résultats combinés à ceux du n°135,,,,,,,,7
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 509","Mobile poll/Bureau itinérant",28,0,0,4,6,0,1,39,74
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 510","Mobile poll/Bureau itinérant",28,5,2,2,8,2,2,49,80
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 600","Mississauga",435,11,3,20,332,0,12,813,
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 601","Mississauga",374,14,3,14,348,1,5,759,
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 602","Mississauga",506,10,0,12,442,1,13,984,
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 603","Mississauga",686,15,3,21,606,5,6,1342,
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 604","Mississauga",765,16,1,19,497,2,11,1311,
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 605","Mississauga",857,27,4,22,626,2,8,1546,
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 606","Mississauga",434,6,4,31,303,0,14,792,
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 607","Mississauga",642,14,4,39,382,4,25,1110,
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 608","Mississauga",593,12,1,26,489,3,7,1131,
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 609","Mississauga",508,14,2,20,338,0,12,894,
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 610","Mississauga",615,19,5,88,354,1,45,1127,
35062,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 611","Mississauga",441,12,3,34,269,1,17,777,
