Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Jeff Boudreault,Steve Charbonneau,Michelle Corcos,Zoé Larose,Jack McLeod,Louis Villeneuve,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24014,"Brome--Missisquoi/Brome--Missisquoi"," 148","Farnham",60,51,2,3,1,29,5,151,499
24014,"Brome--Missisquoi/Brome--Missisquoi"," 149","Farnham",62,45,1,10,2,56,2,178,425
24014,"Brome--Missisquoi/Brome--Missisquoi"," 150","Farnham",72,43,5,5,2,55,5,187,450
24014,"Brome--Missisquoi/Brome--Missisquoi"," 151","Farnham",78,52,4,10,1,72,6,223,489
24014,"Brome--Missisquoi/Brome--Missisquoi"," 152","Farnham",47,39,3,0,2,36,2,129,445
24014,"Brome--Missisquoi/Brome--Missisquoi"," 153","Farnham",90,68,8,3,3,50,2,224,330
24014,"Brome--Missisquoi/Brome--Missisquoi"," 154","Farnham",63,61,6,5,1,47,1,184,523
24014,"Brome--Missisquoi/Brome--Missisquoi"," 155","Farnham",47,50,4,2,8,44,3,158,464
24014,"Brome--Missisquoi/Brome--Missisquoi"," 156","Farnham",52,43,2,3,1,45,0,146,328
24014,"Brome--Missisquoi/Brome--Missisquoi"," 157","Farnham",63,74,3,5,4,45,2,196,478
24014,"Brome--Missisquoi/Brome--Missisquoi"," 158","Farnham",Combined with No./Résultats combinés à ceux du n°153,,,,,,,,215
24014,"Brome--Missisquoi/Brome--Missisquoi"," 159","Brome",25,69,6,5,1,107,0,213,469
24014,"Brome--Missisquoi/Brome--Missisquoi"," 160A","Cowansville",41,22,1,1,0,42,2,109,408
24014,"Brome--Missisquoi/Brome--Missisquoi"," 160B","Cowansville",35,53,2,1,0,61,2,154,248
24014,"Brome--Missisquoi/Brome--Missisquoi"," 161","Cowansville",37,44,2,0,2,88,0,173,434
24014,"Brome--Missisquoi/Brome--Missisquoi"," 162","Cowansville",58,46,2,2,2,93,4,207,518
24014,"Brome--Missisquoi/Brome--Missisquoi"," 163","Cowansville",49,56,2,3,0,75,0,185,452
24014,"Brome--Missisquoi/Brome--Missisquoi"," 164","Cowansville",66,38,2,4,1,76,1,188,519
24014,"Brome--Missisquoi/Brome--Missisquoi"," 165","Cowansville",Combined with No./Résultats combinés à ceux du n°160B,,,,,,,,137
24014,"Brome--Missisquoi/Brome--Missisquoi"," 166","Cowansville",41,45,1,4,1,51,0,143,495
24014,"Brome--Missisquoi/Brome--Missisquoi"," 167","Cowansville",52,25,2,12,0,71,2,164,376
24014,"Brome--Missisquoi/Brome--Missisquoi"," 168","Cowansville",42,45,5,9,3,35,3,142,439
24014,"Brome--Missisquoi/Brome--Missisquoi"," 169","Cowansville",27,60,5,4,3,43,5,147,390
24014,"Brome--Missisquoi/Brome--Missisquoi"," 170","Cowansville",28,35,2,2,1,35,1,104,408
24014,"Brome--Missisquoi/Brome--Missisquoi"," 171","Cowansville",34,37,3,2,3,41,0,120,387
24014,"Brome--Missisquoi/Brome--Missisquoi"," 172","Cowansville",23,25,5,2,0,54,3,112,342
24014,"Brome--Missisquoi/Brome--Missisquoi"," 173","Cowansville",41,40,4,3,0,71,2,161,460
24014,"Brome--Missisquoi/Brome--Missisquoi"," 174","Cowansville",37,45,4,7,1,51,3,148,526
24014,"Brome--Missisquoi/Brome--Missisquoi"," 175","Cowansville",37,54,1,8,3,35,4,142,454
24014,"Brome--Missisquoi/Brome--Missisquoi"," 176","Cowansville",33,31,1,4,2,30,2,103,350
24014,"Brome--Missisquoi/Brome--Missisquoi"," 177","Cowansville",30,30,3,5,1,33,2,104,381
24014,"Brome--Missisquoi/Brome--Missisquoi"," 178","Cowansville",76,70,3,4,1,82,1,237,542
24014,"Brome--Missisquoi/Brome--Missisquoi"," 179","Cowansville",51,41,4,1,2,55,1,155,432
24014,"Brome--Missisquoi/Brome--Missisquoi"," 180","Cowansville",57,58,2,2,0,48,3,170,365
24014,"Brome--Missisquoi/Brome--Missisquoi"," 181","Cowansville",45,43,1,4,0,32,3,128,404
24014,"Brome--Missisquoi/Brome--Missisquoi"," 182","Cowansville",34,48,1,3,1,43,5,135,356
24014,"Brome--Missisquoi/Brome--Missisquoi"," 183","Cowansville",34,39,2,7,2,44,4,132,410
24014,"Brome--Missisquoi/Brome--Missisquoi"," 184A","Cowansville",Combined with No./Résultats combinés à ceux du n°180,,,,,,,,151
24014,"Brome--Missisquoi/Brome--Missisquoi"," 184B","Cowansville",29,37,3,3,0,34,1,107,342
24014,"Brome--Missisquoi/Brome--Missisquoi"," 185A","Cowansville",32,51,3,5,1,41,1,134,364
24014,"Brome--Missisquoi/Brome--Missisquoi"," 185B","Cowansville",29,36,2,4,2,36,3,112,327
24014,"Brome--Missisquoi/Brome--Missisquoi"," 186A","Cowansville",Combined with No./Résultats combinés à ceux du n°182,,,,,,,,119
24014,"Brome--Missisquoi/Brome--Missisquoi"," 186B","Cowansville",36,57,4,4,4,42,3,150,513
24014,"Brome--Missisquoi/Brome--Missisquoi"," 187A","Cowansville",38,31,1,3,1,45,1,120,350
24014,"Brome--Missisquoi/Brome--Missisquoi"," 187B","Cowansville",44,45,0,8,3,45,6,151,410
24014,"Brome--Missisquoi/Brome--Missisquoi"," 188","Sainte-Sabine",50,49,2,3,3,47,2,156,296
24014,"Brome--Missisquoi/Brome--Missisquoi"," 189","Sainte-Sabine",59,57,4,4,2,67,5,198,328
24014,"Brome--Missisquoi/Brome--Missisquoi"," 190","Sainte-Sabine",62,55,6,3,3,48,1,178,288
24014,"Brome--Missisquoi/Brome--Missisquoi"," 191","Dunham",21,39,2,1,2,51,0,116,283
