Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Jules Côté,Jeff Howe,John Kidder,Kevin Sinclair,Brad Vis,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 98","Abbotsford",2,43,0,1,96,2,144,298
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 99","Abbotsford",10,74,2,2,107,0,195,476
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 100","Abbotsford",13,74,1,0,126,4,218,539
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 101","Abbotsford",8,86,9,1,115,1,220,550
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 102","Abbotsford",9,81,2,1,123,2,218,516
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 103","Abbotsford",7,81,2,1,110,1,202,554
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 104","Abbotsford",7,52,3,0,105,1,168,468
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 105","Abbotsford",7,86,5,1,108,0,207,487
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 106","Abbotsford",3,74,1,1,88,0,167,444
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 107","Abbotsford",11,82,3,2,112,3,213,528
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 108","Abbotsford",6,42,0,1,89,5,143,389
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 109","Abbotsford",4,39,1,0,93,1,138,372
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 110","Abbotsford",5,37,0,0,80,0,122,527
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 111","Abbotsford",9,36,5,1,84,0,135,406
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 112","Abbotsford",3,47,4,5,64,0,123,422
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 113","Abbotsford",6,76,2,1,84,0,169,524
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 114","Abbotsford",6,74,3,0,105,2,190,393
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 115","Abbotsford",3,45,1,2,75,2,128,420
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 116","Abbotsford",1,20,0,0,36,0,57,187
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 117A","Abbotsford",7,51,1,0,59,1,119,202
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 117B","Abbotsford",5,42,0,0,53,0,100,191
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 118","Abbotsford",15,102,6,3,130,2,258,552
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 119A","Abbotsford",Combined with No./Résultats combinés à ceux du n°117A,,,,,,,180
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 119B","Abbotsford",Combined with No./Résultats combinés à ceux du n°117B,,,,,,,190
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 120","Abbotsford",1,26,3,0,74,0,104,320
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 121","Abbotsford",4,66,2,6,119,1,198,477
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 122A","Abbotsford",11,107,1,0,117,0,236,299
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 122B","Abbotsford",13,102,1,1,156,0,273,302
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 123","Abbotsford",4,47,2,0,99,1,153,388
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 124","Abbotsford",6,75,4,1,127,0,213,440
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 125A","Abbotsford",Combined with No./Résultats combinés à ceux du n°122A,,,,,,,125
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 125B","Abbotsford",Combined with No./Résultats combinés à ceux du n°122B,,,,,,,179
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 126","Abbotsford",1,18,2,1,74,0,96,288
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 127","Abbotsford",17,80,3,1,145,1,247,775
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 128","Abbotsford",7,63,2,1,96,2,171,494
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 129","Abbotsford",4,54,1,1,71,0,131,449
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 130","Abbotsford",8,63,1,5,85,1,163,530
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 131","Abbotsford",10,53,1,0,90,1,155,527
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 132","Abbotsford",7,74,3,3,111,1,199,562
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 133","Abbotsford",2,74,4,0,110,1,191,626
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 134","Abbotsford",2,82,2,1,143,0,230,536
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 135","Abbotsford",0,38,0,0,53,0,91,365
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 136","Abbotsford",3,32,0,0,74,0,109,351
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 137","Abbotsford",3,71,2,3,120,0,199,478
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 138","Abbotsford",12,75,3,1,111,0,202,548
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 139","Abbotsford",4,39,0,0,80,1,124,334
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 140","Abbotsford",6,31,1,3,119,0,160,430
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 141","Abbotsford",9,59,2,0,73,1,144,428
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 142","Abbotsford",5,46,2,0,57,0,110,320
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 143","Abbotsford",9,57,2,2,80,0,150,484
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 144","Abbotsford",10,47,5,1,89,1,153,444
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 145","Abbotsford",8,57,2,1,99,0,167,400
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 146","Abbotsford",9,92,1,4,146,1,253,504
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 147","Abbotsford",7,54,2,6,63,0,132,343
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 148","Abbotsford",6,57,1,0,83,0,147,393
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 149","Abbotsford",4,57,0,0,93,0,154,363
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 150","Abbotsford",12,92,3,2,115,3,227,519
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 151","Abbotsford",16,85,3,2,108,3,217,589
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 152","Abbotsford",11,55,1,2,95,0,164,468
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 153","Abbotsford",12,55,1,3,133,0,204,554
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 154","Abbotsford",11,67,5,1,89,1,174,518
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 155","Abbotsford",9,71,0,1,87,0,168,564
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 156","Abbotsford",15,75,0,1,109,1,201,547
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 157","Abbotsford",9,58,2,3,122,0,194,550
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 158","Abbotsford",11,98,9,1,174,3,296,657
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 159","Abbotsford",3,69,0,0,117,5,194,533
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 160","Abbotsford",3,51,3,0,94,0,151,432
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 161","Abbotsford",3,43,0,0,59,0,105,374
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 162","Abbotsford",5,33,1,0,54,0,93,331
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 163","Abbotsford",8,51,0,0,66,0,125,371
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 164","Abbotsford",8,43,5,2,69,0,127,452
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 165","Abbotsford",4,26,0,2,50,0,82,321
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 166","Abbotsford",5,43,1,0,61,0,110,412
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 167","Abbotsford",6,44,2,2,72,1,127,468
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 168","Abbotsford",8,54,1,2,95,0,160,441
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 169","Abbotsford",6,39,2,3,76,0,126,368
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 170","Abbotsford",5,51,1,1,113,0,171,492
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 171","Upper Sumas 6",9,27,3,1,15,1,56,191
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 172","Abbotsford",5,39,0,5,60,0,109,364
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 173","Abbotsford",2,55,0,1,81,0,139,548
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 174","Abbotsford",6,64,3,0,87,2,162,560
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 175","Abbotsford",10,64,0,0,102,1,177,543
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 176","Abbotsford",6,50,1,1,51,0,109,433
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 177","Abbotsford",5,45,1,1,102,0,154,430
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 178","Abbotsford",2,28,2,1,66,0,99,398
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 179","Abbotsford",1,58,6,4,111,1,181,539
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 180","Abbotsford",12,84,3,2,96,2,199,574
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 181","Abbotsford",3,38,2,6,106,1,156,396
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 182","Abbotsford",6,88,6,9,160,3,272,646
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 183","Abbotsford",4,24,0,5,98,0,131,239
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 184","Abbotsford",12,58,3,8,171,1,253,432
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 185","Abbotsford",4,28,2,2,160,0,196,396
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 186","Abbotsford",5,29,2,1,144,0,181,334
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 187","Abbotsford",8,43,0,3,123,3,180,419
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 188","Abbotsford",7,56,2,6,137,1,209,421
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 189","Abbotsford",6,38,2,0,215,0,261,415
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 500","Mobile poll/Bureau itinérant",9,73,1,1,30,1,115,159
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 501","Mobile poll/Bureau itinérant",15,26,0,1,22,4,68,55
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,54
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 503","Mobile poll/Bureau itinérant",12,53,1,3,36,1,106,64
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 504","Mobile poll/Bureau itinérant",20,26,4,5,18,5,78,96
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 600","Q'alatkú7em",1,7,1,0,3,0,12,
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 601","Skookumchuck 4",0,0,0,0,0,0,0,
59018,"Mission--Matsqui--Abbotsford/Mission--Matsqui--Abbotsford"," 602","Douglas 8",3,1,3,0,0,0,7,
