Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,James Collins,Robyn Kiki Eshkibok,Laura Mayer,Terry Sheehan,Hugh Stevenson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 220","Gordon Lake",3,1,5,26,44,1,80,217
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 221","Desbarats",1,2,7,37,105,0,152,351
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 222","Serpent River",0,1,13,18,18,0,50,97
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 223","Spragge",0,2,5,20,37,0,64,112
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 224","Laird",3,1,17,100,186,0,307,505
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 225","Serpent River 7",1,5,32,85,17,0,140,339
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 226","MacLennan",1,1,8,84,116,2,212,427
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 227","Algoma Mills",0,0,11,51,82,0,144,282
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 228","Bruce Mines",0,0,13,49,101,0,163,308
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 229","Bruce Mines",0,1,3,51,87,1,143,261
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 230","Mississagi River 8",0,0,52,47,15,1,115,298
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 231","Thessalon",5,2,17,56,68,0,148,385
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 232","Thessalon",0,1,4,39,39,1,84,292
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 233","Thessalon",2,1,11,47,58,0,119,377
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 234","Sagamok",1,9,97,116,19,0,242,758
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 235","Richards Landing",0,6,16,154,138,0,314,508
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 236","Richards Landing",2,2,17,125,141,3,290,479
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 237","Sowerby",3,1,12,48,83,1,148,285
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 237-1","Thessalon 12",0,0,7,25,4,0,36,122
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 238","Hilton",3,6,14,157,148,1,329,582
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 239","Blind River",1,3,21,27,36,0,88,300
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 240","Blind River",0,2,9,16,26,0,53,193
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 241","Blind River",0,1,16,33,41,0,91,355
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 242","St. Joseph--Jocelyn",3,1,13,97,167,3,284,496
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 400","Sault Ste. Marie",5,3,22,92,35,6,163,354
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 401","Elliot Lake",1,3,5,11,10,0,30,46
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 500","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 501","Mobile poll/Bureau itinérant",4,1,4,60,18,5,92,104
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,2
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,104
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 504","Mobile poll/Bureau itinérant",2,1,7,54,20,3,87,102
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,31
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,61
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 507","Mobile poll/Bureau itinérant",0,1,7,131,54,2,195,149
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 508","Mobile poll/Bureau itinérant",1,4,9,17,9,1,41,41
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 509","Mobile poll/Bureau itinérant",1,1,10,48,21,4,85,134
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,,23
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,,61
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 512","Mobile poll/Bureau itinérant",0,1,8,110,35,5,159,113
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,,101
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,47
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 515","Mobile poll/Bureau itinérant",4,1,15,16,10,3,49,28
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 600","Hornepayne",1,3,10,83,127,2,226,
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 601","White River",2,4,27,58,60,0,151,
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 602","Dubreuilville",1,1,3,54,78,2,139,
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 603","Michipicoten",1,5,38,271,243,1,559,
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 604","Gros Cap 49",Combined with No./Résultats combinés à ceux du n°603,,,,,,,
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 605","Obadjiwan 15E",Combined with No./Résultats combinés à ceux du n°606,,,,,,,
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 606","Algoma",4,2,28,271,374,1,680,
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 607","Goulais Bay 15A",Combined with No./Résultats combinés à ceux du n°606,,,,,,,
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 608","Prince",4,7,38,612,648,7,1316,
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 609","Sault Ste. Marie",4,6,46,522,511,4,1093,
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 610","Sault Ste. Marie",3,4,69,423,380,4,883,
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 611","Sault Ste. Marie",3,0,48,622,405,5,1083,
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 612","Sault Ste. Marie",0,4,16,453,327,1,801,
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 613","Sault Ste. Marie",5,5,38,617,335,8,1008,
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 614","Sault Ste. Marie",8,3,35,518,287,3,854,
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 615","Sault Ste. Marie",0,3,60,452,293,5,813,
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 616","Sault Ste. Marie",0,2,16,383,169,4,574,
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 617","Sault Ste. Marie",0,2,29,463,192,0,686,
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 618","Sault Ste. Marie",0,3,27,324,160,2,516,
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 619","Sault Ste. Marie",2,2,19,617,319,3,962,
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 620","Sault Ste. Marie",4,3,27,435,244,0,713,
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 621","Sault Ste. Marie",2,4,35,462,357,4,864,
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 622","Rankin Location 15D",Combined with No./Résultats combinés à ceux du n°623,,,,,,,
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 623","Garden River 14",0,0,5,39,13,0,57,
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 624","Echo Bay",0,1,18,206,238,1,464,
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 625","Desbarats",9,4,25,249,360,2,649,
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 626","Thessalon",7,3,36,220,248,1,515,
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 627","Thessalon 12",0,0,0,15,4,0,19,
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 628","Mississagi River 8",0,0,10,10,8,1,29,
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 629","Blind River",9,14,120,649,571,6,1369,
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 630","Elliot Lake",3,8,73,471,393,4,952,
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 631","Elliot Lake",3,4,35,187,166,1,396,
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 632","Elliot Lake",5,9,107,642,477,6,1246,
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 633","Elliot Lake",2,3,28,212,180,1,426,
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 634","Serpent River 7",Combined with No./Résultats combinés à ceux du n°635,,,,,,,
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 635","Massey",0,0,20,111,94,1,226,
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 636","Sagamok",Combined with No./Résultats combinés à ceux du n°635,,,,,,,
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma",,Group 1/Groupe 1, 5,11,51,297,176,26,566,255
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma",,Group 2/Groupe 2, 12,20,269,2698,1821,62,4882,
