Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,James Collins,Robyn Kiki Eshkibok,Laura Mayer,Terry Sheehan,Hugh Stevenson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 108","Sault Ste. Marie",2,1,14,104,97,1,219,445
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 109","Sault Ste. Marie",1,3,12,72,100,1,189,404
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 110","Sault Ste. Marie",1,3,19,62,76,0,161,440
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 111","Sault Ste. Marie",0,2,10,89,112,0,213,508
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 112","Sault Ste. Marie",0,2,13,86,97,0,198,486
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 113","Sault Ste. Marie",1,0,9,69,93,1,173,480
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 114","Sault Ste. Marie",1,0,13,90,64,0,168,381
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 115","Sault Ste. Marie",0,1,7,92,64,2,166,343
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 116","Sault Ste. Marie",0,0,1,44,48,2,95,198
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 117","Sault Ste. Marie",2,3,12,96,63,0,176,355
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 118","Sault Ste. Marie",1,1,14,115,92,3,226,539
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 119","Sault Ste. Marie",1,0,14,64,65,0,144,332
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 120","Sault Ste. Marie",1,2,12,75,71,0,161,346
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 121","Sault Ste. Marie",2,3,6,58,51,0,120,324
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 122","Sault Ste. Marie",0,0,8,40,65,1,114,383
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 123","Elliot Lake",2,2,34,123,105,1,267,592
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 124","Sault Ste. Marie",1,0,0,56,106,0,163,383
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 125","Sault Ste. Marie",0,2,15,108,130,0,255,588
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 126","Sault Ste. Marie",0,1,11,84,81,1,178,376
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 127","Sault Ste. Marie",0,1,15,77,127,0,220,459
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 128","Sault Ste. Marie",0,0,12,103,92,2,209,455
35091,"Sault Ste. Marie--Algoma/Sault Ste. Marie--Algoma"," 129","Sault Ste. Marie",0,1,13,94,110,0,218,437
