Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,James Bezan,Josef Estabrooks,Byron Gryba,Wayne James,Rhonda Nichol,Chris Riddell,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 35B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°36B,,,,,,,,17
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 35C","Mobile poll/Bureau itinérant",21,6,1,1,20,0,4,53,26
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 36A","Shorepointe Village",97,16,0,2,37,0,1,153,418
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 36B","Mobile poll/Bureau itinérant",8,2,0,1,4,0,1,16,12
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 37","Loni Beach",79,3,1,2,62,0,1,148,497
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 38","Gimli",62,12,3,0,46,0,0,123,450
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 39","Gimli",64,0,1,1,46,2,1,115,371
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 40A","Gimli",56,8,1,1,44,0,2,112,362
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 40B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°35C,,,,,,,,15
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 41","Aspen Park",58,11,3,3,31,1,0,107,359
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 42","Gimli",73,12,1,2,67,1,0,156,496
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 43","Victoria Beach",63,0,0,1,33,1,1,99,362
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 44","Hillside Beach",44,7,0,1,41,0,1,94,292
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 45","Traverse Bay",85,11,0,3,42,0,0,141,394
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 46","Alexander--Bélair",67,6,0,3,64,0,0,140,432
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 47","Inwood",182,20,3,2,34,0,4,245,442
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 48","Komarno",106,23,2,4,45,2,0,182,351
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 49","Powerview-Pine Falls",50,8,0,2,34,0,0,94,277
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 50A","Pine Falls",60,13,0,4,27,0,0,104,318
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 50B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°65B,,,,,,,,13
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 50C","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°65B,,,,,,,,14
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 51A","Oak Point",70,10,1,2,22,3,0,108,266
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 51B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°31B,,,,,,,,4
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 52","St. Laurent",51,8,0,1,34,6,0,100,366
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 53","St. Laurent",80,0,0,1,13,6,1,101,232
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 54","St. Laurent",78,9,3,2,44,5,1,142,412
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 55","Husavick",71,11,1,0,44,1,1,129,383
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 56","Sandy Hook",82,11,1,0,27,0,0,121,299
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 57","Sandy Hook",58,8,0,1,45,0,0,112,323
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 58","Winnipeg Beach",70,14,2,3,47,0,0,136,392
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 59A","Winnipeg Beach",60,13,2,3,38,0,0,116,386
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 59B","Mobile poll/Bureau itinérant",15,3,1,0,11,0,1,31,31
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 59C","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°59B,,,,,,,,21
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 60","Winnipeg Beach",94,18,1,2,52,2,2,171,393
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 61","Ponemah",89,10,3,2,47,0,1,152,519
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 62","Grand Beach",106,11,6,1,45,0,0,169,453
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 63","St. Clements--Beaconia",52,9,3,0,45,2,0,111,346
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 64","St-Georges",133,9,2,3,53,0,1,201,396
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 65A","Powerview-Pine Falls",54,7,2,2,31,1,0,97,392
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 65B","Mobile poll/Bureau itinérant",14,3,0,0,8,0,2,27,18
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 66","Alexander",46,10,0,0,16,0,0,72,288
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 67","Dunnottar",89,12,1,4,54,0,0,160,348
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 68","Matlock",69,17,0,2,38,0,0,126,249
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 69","Teulon",145,4,0,1,25,3,3,181,382
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 70","Erinview",135,10,2,4,34,0,4,189,399
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 71","Teulon",59,5,0,3,26,0,1,94,238
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 72A","Teulon",68,7,1,3,39,1,0,119,322
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 72B","Mobile poll/Bureau itinérant",31,2,2,1,5,0,0,41,42
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 72C","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°72B,,,,,,,,10
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 73A","Teulon",83,9,0,3,34,0,1,130,356
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 73B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°72B,,,,,,,,14
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 74","Teulon",78,2,0,1,13,0,0,94,270
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 75","Great Falls",115,16,0,2,42,1,2,178,315
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 76","Thalberg",125,24,3,2,54,2,2,212,367
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 77","Greenwald",105,7,1,4,6,0,0,123,203
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 78","Netley",123,17,5,5,35,2,0,187,411
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 79","Petersfield",132,14,2,2,56,0,0,206,356
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 80","Petersfield",107,16,0,0,34,0,0,157,354
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 81","Petersfield",76,10,0,3,34,0,1,124,312
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 82","Brokenhead 4",15,31,0,3,50,0,1,100,399
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 83","Gunton",189,12,0,2,40,1,3,247,434
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 84","Libau",154,23,3,6,40,1,5,232,398
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 85","Balmoral",115,8,3,6,45,4,0,181,353
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 86A","Balmoral",172,6,4,5,54,1,0,242,402
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 86B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°59B,,,,,,,,6
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 87","Bird River",143,20,4,6,55,1,2,231,407
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 88","Lake Francis",116,5,0,1,16,0,1,139,255
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 89","Oswald",172,8,3,1,35,1,0,220,439
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 90A","Woodlands",113,4,3,2,19,0,0,141,364
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 90B","Mobile poll/Bureau itinérant",11,1,0,0,4,2,0,18,21
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 90C","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°90B,,,,,,,,14
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 91","Lee River Falls",110,14,0,5,55,2,1,187,491
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 92","Crescent Bay",59,4,0,1,37,0,0,101,311
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 93","Riverland",105,17,2,1,35,0,1,161,404
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 94","Lac du Bonnet",123,8,2,4,34,0,2,173,383
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 95A","Lac du Bonnet",70,9,2,3,32,1,2,119,345
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 95B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°96C,,,,,,,,11
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 96A","Lac du Bonnet",54,10,1,3,29,2,0,99,455
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 96B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°96C,,,,,,,,28
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 96C","Mobile poll/Bureau itinérant",27,3,0,4,12,0,2,48,43
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 97","Lac du Bonnet",76,11,1,1,36,0,0,125,380
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 98","Riverland",81,5,2,2,49,0,0,139,428
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 99","Clandeboye",91,18,2,3,46,0,1,161,378
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 100","Clandeboye",91,11,1,0,33,3,0,139,320
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 101","Argyle",204,11,3,6,51,6,0,281,486
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 102","Dynevor",67,12,0,1,30,1,1,112,277
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 103A","Selkirk",63,10,2,0,33,0,0,108,366
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 103B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°144B,,,,,,,,62
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 104","Cloverdale",111,8,1,2,42,2,1,167,368
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 105","Selkirk",100,29,2,2,66,2,1,202,558
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 106A","Selkirk",72,16,2,1,47,0,0,138,371
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 106B","Mobile poll/Bureau itinérant",55,11,0,1,25,0,0,92,56
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 106C","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°106B,,,,,,,,43
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 107","Selkirk",92,20,0,1,60,0,0,173,470
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 108","Lait",81,6,0,4,15,0,1,107,215
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 109","Stonewall",112,6,1,0,34,5,1,159,376
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 110","Stonewall",71,11,0,1,28,0,0,111,344
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 111A","Stonewall",118,6,0,3,62,0,1,190,438
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 111B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,,29
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 112","Stonewall",91,7,0,1,54,1,4,158,368
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 113","Stonewall",58,9,1,0,22,2,1,93,263
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 114","Stonewall",85,10,0,4,34,5,0,138,362
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 115","Stonewall",114,14,1,4,66,3,1,203,459
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 116","Stonewall",96,11,2,1,41,3,2,156,349
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 117","Walkleyburg",101,12,6,1,37,0,0,157,355
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 118","East Selkirk",121,8,2,7,46,0,0,184,412
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 119","Highland Glen",112,14,1,3,39,0,0,169,513
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 120","Marquette",186,11,1,1,37,2,0,238,379
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 121","Stonewall",130,7,0,1,59,1,2,200,475
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 122","Stonewall",75,2,1,1,28,0,0,107,294
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 123A","Stonewall",88,20,0,3,35,2,4,152,373
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 123B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,,34
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 124","Stonewall",84,6,0,1,45,0,2,138,347
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 125","Stonewall",86,4,1,2,68,1,1,163,368
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 126","Stonewall",79,8,1,0,51,0,1,140,400
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 127","Woodlands",191,7,1,2,58,3,1,263,455
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 128","Warren",123,13,1,0,71,1,0,209,378
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 129","Warren",146,7,0,0,23,2,1,179,337
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 130","Selkirk",50,16,2,4,41,4,0,117,380
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 131","Selkirk",65,14,1,5,33,0,0,118,415
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 132A","Selkirk",35,6,2,2,28,0,0,73,357
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 132B","Mobile poll/Bureau itinérant",13,2,0,3,5,1,0,24,40
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 133","East Selkirk",111,10,5,2,36,0,0,164,426
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 134","East Selkirk",100,12,4,2,44,1,0,163,406
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 135","East Selkirk",88,13,0,4,25,0,0,130,372
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 136","East Selkirk",130,4,1,0,53,0,0,188,488
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 137","Selkirk",87,11,0,2,33,1,2,136,377
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 138","Selkirk",58,11,0,2,51,0,0,122,330
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 139","Selkirk",81,20,3,3,57,1,0,165,407
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 140","Selkirk",73,19,3,3,43,1,2,144,387
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 141","Selkirk",72,23,0,1,39,0,2,137,430
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 142","Selkirk",91,13,3,3,56,0,0,166,462
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 143A","Selkirk",75,19,3,3,62,0,3,165,394
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 143B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°143D,,,,,,,,17
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 143C","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°143D,,,,,,,,30
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 143D","Mobile poll/Bureau itinérant",24,12,0,0,22,0,1,59,44
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 144A","Selkirk",75,20,2,4,41,0,1,143,388
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 144B","Mobile poll/Bureau itinérant",26,13,1,3,26,2,2,73,84
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 145","Selkirk",66,17,2,3,53,1,0,142,335
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 146","St. Andrews",107,12,1,3,44,2,0,169,441
46009,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 147","Selkirk",110,12,2,1,44,1,1,171,423
