Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Réal Batrhino Martel,Nataël Bureau,Philippe D'Arcangeli,Henri Donascimento,Daniel Lebel,Éric Lefebvre,Alain Saint-Pierre,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 61","Victoriaville",2,5,5,0,28,37,26,1,104,336
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 62","Victoriaville",3,4,0,0,47,59,56,4,173,435
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 63","Victoriaville",1,6,2,0,42,45,29,2,127,350
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 64A","Victoriaville",1,2,1,0,19,44,31,3,101,340
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 64B","Victoriaville",Combined with No./Résultats combinés à ceux du n°509,,,,,,,,,34
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 65A","Victoriaville",0,1,0,1,27,28,29,1,87,286
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 65B","Victoriaville",Combined with No./Résultats combinés à ceux du n°509,,,,,,,,,41
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 66","Victoriaville",2,6,0,0,34,51,41,2,136,369
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 67","Victoriaville",2,2,1,0,42,59,37,3,146,353
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 68","Victoriaville",3,3,0,1,37,31,46,5,126,330
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 69","Victoriaville",1,3,1,0,25,45,56,5,136,374
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 70","Victoriaville",1,2,2,0,43,54,51,5,158,412
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 71","Victoriaville",3,9,5,2,52,82,54,2,209,496
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 72","Victoriaville",0,0,1,1,40,68,70,1,181,429
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 73","Victoriaville",1,8,1,0,44,70,55,3,182,451
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 74","Victoriaville",2,3,1,0,29,104,53,3,195,464
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 75","Victoriaville",1,7,0,1,67,87,59,4,226,538
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 76","Victoriaville",2,6,2,0,37,61,38,5,151,397
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 77","Victoriaville",0,1,1,1,50,48,72,4,177,547
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 78","Victoriaville",2,5,1,0,51,46,60,5,170,403
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 79","Victoriaville",1,7,1,0,56,60,33,3,161,396
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 80","Saint-Valère",0,6,5,0,62,123,30,6,232,387
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 81","Saint-Valère",1,1,2,2,37,108,48,3,202,329
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 82","Saint-Valère",0,0,0,0,43,110,34,3,190,315
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 83","Victoriaville",1,5,1,0,58,59,84,4,212,486
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 84","Victoriaville",2,9,4,2,31,64,36,3,151,435
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 85","Saint-Christophe-d'Arthabaska",1,3,2,1,32,81,28,6,154,399
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 86","Saint-Christophe-d'Arthabaska",2,3,1,0,36,77,48,3,170,382
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 87","Victoriaville",0,5,4,0,71,90,75,3,248,456
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 88","Victoriaville",0,2,0,0,45,72,68,3,190,388
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 89","Victoriaville",1,4,1,0,59,64,66,1,196,405
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 90","Victoriaville",2,5,0,0,42,108,84,4,245,462
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 91","Victoriaville",1,7,0,1,47,152,36,2,246,482
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 92","Victoriaville",4,4,0,0,38,51,35,4,136,441
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 93","Victoriaville",2,5,2,1,48,56,59,4,177,422
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 94","Victoriaville",1,5,6,2,31,50,28,1,124,362
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 95","Victoriaville",2,4,3,3,52,41,40,1,146,366
