Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Scott Anderson,Leah Ellen Main,Anna Warwick Sears,Blair Visscher,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 54","Vernon",78,14,54,2,0,148,491
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 55","Vernon",55,6,40,1,0,102,510
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 56","Vernon",57,19,75,5,0,156,464
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 57","Vernon",29,5,12,3,0,49,404
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 58","Vernon",68,6,48,4,0,126,462
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 59","Vernon",67,16,29,7,1,120,484
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 60","Vernon",61,15,60,4,0,140,534
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 61","Vernon",59,9,69,7,1,145,426
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 62","Vernon",71,8,55,6,0,140,498
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 63","Vernon",66,5,79,4,1,155,413
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 64","Vernon",59,6,77,1,0,143,432
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 65","Vernon",107,8,84,2,0,201,489
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 66","Vernon",90,17,96,5,1,209,494
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 67","Vernon",77,11,77,0,1,166,413
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 68","North Okanagan C",96,10,64,2,0,172,473
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 69","Vernon",88,10,119,8,1,226,433
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 70","Vernon",115,4,121,2,0,242,516
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 71","Vernon",82,12,63,3,2,162,477
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 72","Vernon",70,8,50,0,1,129,427
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 73","Vernon",39,5,75,4,1,124,422
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 74","Vernon",81,12,65,4,1,163,514
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 75","Vernon",112,14,65,6,0,197,515
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 76","Vernon",93,8,60,3,1,165,408
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 77A","Vernon",70,14,74,4,2,164,465
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 77B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,74
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 78","Vernon",97,12,102,4,0,215,557
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 79","Killiney Beach",186,16,77,6,1,286,541
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 80","Killiney Beach",199,10,55,2,2,268,592
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 81","Fintry",147,10,60,2,3,222,401
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 82","Fintry",99,7,45,1,1,153,301
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 83","Vernon",77,6,74,2,0,159,443
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 84","Vernon",131,6,141,1,1,280,581
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 85","Vernon",125,10,91,6,1,233,540
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 86","Vernon",91,4,104,2,1,202,497
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 87","Vernon",96,13,110,7,1,227,477
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 88","Vernon",89,14,82,2,1,188,433
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 89","Vernon",119,4,102,6,0,231,462
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 90","North Okanagan C",89,4,75,4,1,173,389
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 91","Vernon",121,3,83,3,1,211,482
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 92","Vernon",85,13,88,6,0,192,510
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 93","Vernon",96,8,73,4,0,181,481
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 94","Vernon",100,7,88,2,0,197,450
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 95","Vernon",64,5,80,2,1,152,443
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 96","Vernon",121,6,65,1,2,195,493
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 97","Vernon",66,8,88,2,2,166,412
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 98","Vernon",124,8,122,5,0,259,683
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 99","Vernon",66,7,60,7,2,142,441
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 100","Vernon",42,11,39,5,0,97,383
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 101","Vernon",47,10,61,1,0,119,391
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 102","Vernon",138,7,162,2,0,309,553
59041,"Vernon--Lake Country--Monashee/Vernon--Lake Country--Monashee"," 103","Kalamalka",75,3,39,0,0,117,473
