Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Dorothy Anderson,Brigitte Cecelia,Michael Cooper,Lucia Stachurski,Jeff Willerton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 162","St. Albert",17,2,128,104,0,0,251,472
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 163","St. Albert",7,3,82,77,2,0,171,364
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 164","St. Albert",5,3,87,81,1,2,179,436
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 165","St. Albert",8,1,94,83,0,0,186,445
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 166","St. Albert",7,0,63,56,0,1,127,580
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 167","St. Albert",18,1,55,45,2,1,122,468
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 168","St. Albert",10,2,98,81,0,0,191,409
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 169","St. Albert",11,3,89,58,0,0,161,387
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 170","St. Albert",16,1,100,51,1,1,170,429
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 171","St. Albert",3,0,100,66,0,0,169,348
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 172","St. Albert",10,0,83,60,0,0,153,357
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 173","St. Albert",2,1,144,72,1,1,221,515
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 174","St. Albert",11,0,126,99,0,0,236,552
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 175","St. Albert",13,3,94,56,0,0,166,518
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 176","St. Albert",20,2,100,52,0,1,175,368
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 177","St. Albert",11,0,85,59,0,2,157,394
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 178","St. Albert",11,1,202,111,1,2,328,779
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 179","St. Albert",8,2,162,84,0,0,256,572
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 180","St. Albert",11,2,173,77,1,1,265,610
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 181","St. Albert",9,5,74,69,0,0,157,420
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 182","St. Albert",8,3,112,66,0,0,189,468
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 183","St. Albert",6,1,109,73,0,0,189,356
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 184","St. Albert",12,0,67,72,1,0,152,334
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 185","St. Albert",8,2,114,69,0,1,194,434
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 186","St. Albert",7,2,114,58,1,1,183,426
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 187","St. Albert",18,7,121,81,1,0,228,488
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 188","St. Albert",20,6,111,97,1,1,236,527
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 189","St. Albert",11,1,80,67,0,0,159,446
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 190","St. Albert",16,1,87,74,1,2,181,385
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 191","St. Albert",11,0,70,61,2,0,144,303
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 192","St. Albert",9,1,85,72,0,0,167,355
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 193","St. Albert",12,1,85,89,0,0,187,391
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 194","St. Albert",9,3,87,49,0,0,148,292
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 195","St. Albert",6,0,79,34,0,0,119,357
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 196","St. Albert",7,4,94,42,1,1,149,391
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 197","St. Albert",6,2,57,47,1,1,114,344
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 198","St. Albert",13,0,82,37,0,0,132,327
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 199","St. Albert",13,2,114,71,0,0,200,448
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 200","St. Albert",18,3,115,79,0,0,215,434
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 201","St. Albert",17,0,109,54,0,0,180,385
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 202","St. Albert",9,4,111,47,0,0,171,386
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 203","St. Albert",13,2,118,75,1,0,209,455
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 204","St. Albert",13,4,72,68,1,0,158,421
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 205","St. Albert",13,0,102,95,0,1,211,548
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 206","St. Albert",8,1,96,73,0,2,180,425
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 207","St. Albert",17,1,79,68,0,0,165,386
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 208","St. Albert",11,0,76,65,2,2,156,379
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 209","St. Albert",13,5,71,53,0,2,144,394
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 210","St. Albert",6,4,85,42,0,2,139,379
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 211","St. Albert",15,3,131,83,0,0,232,433
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 212","St. Albert",11,6,62,54,2,0,135,351
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 213","St. Albert",13,1,116,57,0,1,188,472
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 214","St. Albert",5,1,81,38,0,0,125,381
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 215","St. Albert",8,0,29,33,0,1,71,240
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 216","St. Albert",22,4,119,102,0,0,247,553
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 217","St. Albert",20,2,107,47,0,0,176,403
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 218","St. Albert",17,0,94,55,0,0,166,392
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 219","St. Albert",9,3,53,31,1,0,97,296
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 220","St. Albert",14,4,90,37,0,0,145,396
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 221","St. Albert",3,1,72,40,0,0,116,402
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 222","St. Albert",7,0,80,72,2,0,161,391
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 223","St. Albert",11,0,54,40,0,0,105,304
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 224","St. Albert",16,3,122,90,3,0,234,657
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 225","St. Albert",22,1,80,43,0,2,148,439
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 226","St. Albert",13,3,120,73,0,1,210,558
48036,"St. Albert--Sturgeon River/St. Albert--Sturgeon River"," 227","St. Albert",2,1,36,24,0,0,63,195
