Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Gérard Briand,Bart Cortenbach,Caroline Desbiens,Gabriel Hardy,Alex Ouellet-Bélanger,Élie Prud'Homme-Tessier,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 99","Beaupré",2,1,87,84,66,2,1,243,524
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 100","Beaupré",3,0,48,56,31,0,0,138,306
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 101","Beaupré",5,0,45,56,30,3,1,140,346
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 102","Saint-François-de-l'Île-d'Orléans",4,2,71,41,28,0,1,147,247
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 103","Saint-François",2,2,34,66,31,1,0,136,202
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 104","Château-Richer",4,4,41,92,30,2,0,173,463
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 105","Château-Richer",0,1,41,100,19,2,3,166,406
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 106","Château-Richer",4,0,44,76,21,1,1,147,341
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 107","Château-Richer",1,4,36,50,17,0,1,109,318
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 108","Château-Richer",2,1,51,88,44,0,1,187,458
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 109","Château-Richer",4,0,52,107,34,5,4,206,475
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 110","Château-Richer",5,0,58,70,43,2,2,180,478
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 111","Château-Richer",0,0,54,69,24,0,2,149,385
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 112","Château-Richer",0,0,26,62,14,1,1,104,294
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 113","Sainte-Brigitte-de-Laval",2,1,30,76,16,2,3,130,303
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 114","Sainte-Brigitte-de-Laval",1,0,17,36,13,2,2,71,175
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 115","Sainte-Brigitte-de-Laval",7,2,42,115,32,2,0,200,435
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 116","Sainte-Brigitte-de-Laval",6,0,77,107,56,5,6,257,507
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 117","Sainte-Brigitte-de-Laval",2,2,39,77,49,4,1,174,390
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 118","Sainte-Brigitte-de-Laval",5,2,40,106,31,0,3,187,444
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 119","Sainte-Famille",1,1,74,55,68,0,3,202,319
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 120","Sainte-Famille",4,2,55,72,73,0,4,210,350
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 121","Saint-Jean-de-l'Île-d'Orléans",3,1,93,91,55,1,2,246,425
