Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Grant Abraham,Blaine Calkins,Larry Gratton,Logan Hooley,Zarnab Zafar,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 75","Sylvan Lake",3,152,2,26,4,0,187,539
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 76","Half Moon Bay--Elspeth",4,152,1,11,5,2,175,512
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 77","Sylvan Lake",7,140,2,24,5,3,181,576
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 78","Jarvis Bay",4,127,1,22,6,0,160,479
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 79","Sylvan Lake",5,116,7,23,6,4,161,509
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 80","Sylvan Lake",4,117,1,21,5,0,148,479
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 81","Tees",17,193,4,19,4,2,239,397
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 82","Clive",15,190,3,3,11,3,225,396
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 83","Clive",25,204,5,13,3,2,252,365
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 84","Lacombe County",8,181,3,17,2,1,212,603
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 85","Blackfalds",6,186,6,23,2,1,224,539
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 86","Blackfalds",0,168,3,25,3,0,199,529
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 87","Blackfalds",2,121,3,16,3,2,147,462
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 88","Blackfalds",3,124,2,13,8,1,151,435
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 89","Blackfalds",3,160,5,21,2,0,191,464
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 90","Blackfalds",7,154,1,22,4,0,188,502
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 91","Sylvan Lake",4,141,2,24,5,0,176,505
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 92","Sylvan Lake",3,195,2,24,2,2,228,593
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 93","Sylvan Lake",4,145,4,16,8,0,177,496
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 94","Sylvan Lake",4,132,1,33,7,0,177,513
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 95","Sylvan Lake",7,122,1,13,16,1,160,513
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 96","Sylvan Lake",3,126,3,16,2,1,151,463
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 97","Sylvan Lake",6,126,3,19,1,1,156,437
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 98","Sylvan Lake",5,144,6,21,7,0,183,454
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 99","Sylvan Lake",3,135,3,11,6,3,161,519
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 100","Sylvan Lake",11,163,1,21,7,1,204,539
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 101","Sylvan Lake",4,152,3,16,0,2,177,573
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 102","Sylvan Lake",0,184,0,22,6,0,212,548
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 103","Sylvan Lake",4,143,10,20,3,2,182,580
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 104","Sylvan Lake",1,101,3,17,5,0,127,431
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 105","Sylvan Lake",2,147,1,23,5,1,179,514
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 106","Sylvan Lake",6,174,1,22,3,0,206,688
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 107","Sylvan Lake",5,172,2,17,3,2,201,541
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 108","Sylvan Lake",10,196,1,34,4,1,246,616
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 109","Red Deer County",2,172,4,15,7,3,203,545
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 110","Red Deer County",4,195,7,22,5,3,236,680
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 111","Red Deer County",5,145,2,30,6,0,188,363
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 112","Red Deer County",3,163,2,8,4,4,184,407
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 113","Red Deer County",3,165,2,22,4,2,198,306
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 114","Red Deer County",2,207,6,26,8,1,250,411
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 115","Mirror",10,203,6,19,3,0,241,425
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 116","Mirror",13,186,1,30,8,2,240,418
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 117","Mirror",3,177,2,6,4,0,192,433
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 118","Red Deer County",7,160,0,22,4,1,194,479
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 119","Red Deer County",12,134,2,19,1,0,168,420
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 120","Evarts",11,199,9,6,2,3,230,380
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 121","Mintlaw",6,183,3,18,3,0,213,430
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 122","Red Deer County",3,125,1,9,0,0,138,414
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 123","Alix",8,122,2,11,5,1,149,350
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 124","Alix",3,129,5,12,6,3,158,382
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 125","Haynes",7,162,6,9,3,1,188,389
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 126","Spruce View",19,202,10,13,2,4,250,362
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 127","Red Deer County",7,214,9,15,6,1,252,408
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 128","Kevisville",8,308,5,20,5,3,349,575
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 129","Red Deer County",9,129,1,10,2,1,152,401
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 130","Red Deer County",3,167,3,8,5,2,188,524
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 131","Innisfail",4,129,4,26,5,0,168,556
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 132","Red Deer County",4,151,4,10,2,1,172,457
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 133","Innisfail",6,127,2,25,2,3,165,629
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 134","Innisfail",4,87,0,11,1,1,104,477
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 135","Innisfail",5,120,4,19,2,0,150,584
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 136","Innisfail",5,87,5,15,3,1,116,464
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 137","Innisfail",2,127,5,19,5,2,160,560
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 138","Innisfail",8,79,2,16,5,2,112,445
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 139","Innisfail",10,117,7,30,8,3,175,580
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 140","Innisfail",3,123,3,28,0,1,158,516
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 141","Innisfail",2,104,7,33,1,0,147,446
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 142","Innisfail",4,127,1,26,8,0,166,576
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 143","Innisfail",6,135,1,15,4,0,161,499
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 144","Red Lodge",8,244,14,24,10,3,303,554
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 145","Bowden",10,207,17,43,9,3,289,612
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 146","Bowden",7,208,5,9,5,1,235,432
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 147","Bowden",6,187,11,35,4,0,243,471
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 148","Horseshoe Lake",5,178,4,15,4,2,208,416
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 149","Mound",4,171,7,10,3,5,200,479
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 150","Olds",7,121,8,22,4,0,162,560
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 151","Olds",6,138,3,20,6,0,173,618
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 152","Olds",2,151,5,26,1,0,185,554
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 153","Olds",1,128,2,21,6,0,158,496
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 154","Olds",6,139,7,22,1,0,175,630
