Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Bentley Barnes,David Bexte,Louisa Gwin,Tom Lipp,Aaron Patton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48003,"Bow River/Bow River"," 137","Brooks",64,102,7,2,3,8,186,514
48003,"Bow River/Bow River"," 138","Brooks",53,110,3,1,1,2,170,488
48003,"Bow River/Bow River"," 139","Vulcan",8,71,3,0,0,0,82,337
48003,"Bow River/Bow River"," 140","Vulcan",2,33,0,0,0,0,35,127
48003,"Bow River/Bow River"," 141","Lomond",12,164,5,5,1,0,187,626
48003,"Bow River/Bow River"," 142","Champion",13,109,3,3,0,0,128,397
48003,"Bow River/Bow River"," 143","Carmangay",9,59,5,0,1,0,74,382
48003,"Bow River/Bow River"," 144A","Brooks",9,125,4,0,1,0,139,393
48003,"Bow River/Bow River"," 144B","Brooks",8,112,4,3,1,3,131,372
48003,"Bow River/Bow River"," 145","Brooks",39,112,5,1,1,3,161,441
48003,"Bow River/Bow River"," 146","Brooks",19,81,8,1,0,1,110,355
48003,"Bow River/Bow River"," 147","Brooks",42,104,9,2,1,3,161,477
48003,"Bow River/Bow River"," 148","Brooks",30,52,1,2,3,1,89,352
48003,"Bow River/Bow River"," 149","Brooks",14,113,2,1,0,0,130,369
48003,"Bow River/Bow River"," 150","Brooks",22,73,5,0,2,0,102,338
48003,"Bow River/Bow River"," 151","Newell County",28,91,3,3,2,3,130,437
48003,"Bow River/Bow River"," 152","Brooks",14,206,2,2,1,2,227,525
48003,"Bow River/Bow River"," 153","Tilley",4,66,1,0,0,1,72,309
48003,"Bow River/Bow River"," 154","Tilley",17,229,3,2,0,2,253,410
48003,"Bow River/Bow River"," 155","Rainier",15,198,3,1,1,0,218,345
48003,"Bow River/Bow River"," 156","Enchant",7,205,0,4,2,0,218,437
48003,"Bow River/Bow River"," 157","Rolling Hills",10,173,6,0,0,0,189,374
48003,"Bow River/Bow River"," 158","Vauxhall",7,223,2,4,6,1,243,393
48003,"Bow River/Bow River"," 159","Vauxhall",14,231,5,1,0,2,253,563
48003,"Bow River/Bow River"," 160","Vauxhall",6,130,0,1,1,1,139,303
48003,"Bow River/Bow River"," 161","Retlaw",3,49,1,0,0,0,53,268
48003,"Bow River/Bow River"," 162","Taber--Purple Springs",11,164,1,3,1,2,182,438
48003,"Bow River/Bow River"," 163A","Taber",14,117,7,2,2,1,143,380
48003,"Bow River/Bow River"," 163B","Taber",7,117,3,0,2,0,129,355
48003,"Bow River/Bow River"," 164","Taber",14,156,7,2,0,1,180,487
48003,"Bow River/Bow River"," 165","Taber",21,148,4,2,0,2,177,508
48003,"Bow River/Bow River"," 166","Taber",38,165,3,2,2,0,210,582
48003,"Bow River/Bow River"," 167","Taber",14,113,3,2,2,0,134,468
48003,"Bow River/Bow River"," 168","Taber",26,125,8,2,0,1,162,511
48003,"Bow River/Bow River"," 169","Taber",28,185,4,1,2,0,220,619
48003,"Bow River/Bow River"," 170","Taber",24,128,9,2,1,1,165,535
48003,"Bow River/Bow River"," 171","Taber",14,102,0,0,0,0,116,448
48003,"Bow River/Bow River"," 172","Taber",19,88,2,0,1,0,110,382
48003,"Bow River/Bow River"," 173","Taber",22,114,2,7,1,0,146,426
48003,"Bow River/Bow River"," 174","Taber",16,141,9,2,2,1,171,512
48003,"Bow River/Bow River"," 175","Taber",15,109,5,0,1,1,131,436
48003,"Bow River/Bow River"," 176","Hays",3,227,1,4,1,0,236,372
48003,"Bow River/Bow River"," 177","Barnwell",11,186,4,7,1,2,211,449
48003,"Bow River/Bow River"," 178","Cranford",3,94,3,6,2,0,108,257
48003,"Bow River/Bow River"," 179","Barnwell",21,245,6,4,3,6,285,512
48003,"Bow River/Bow River"," 180","Barnwell",12,124,2,2,0,1,141,355
48003,"Bow River/Bow River"," 181","Taber",4,171,1,8,1,1,186,488
48003,"Bow River/Bow River"," 182","Purple Springs",14,218,0,3,3,4,242,586
48003,"Bow River/Bow River"," 183","Purple Springs",5,94,0,2,0,0,101,326
48003,"Bow River/Bow River"," 500","Mobile poll/Bureau itinérant",25,101,10,1,5,1,143,139
48003,"Bow River/Bow River"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,104
48003,"Bow River/Bow River"," 502","Strathmore",Combined with No./Résultats combinés à ceux du n°100,,,,,,,34
48003,"Bow River/Bow River"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,37
48003,"Bow River/Bow River"," 504","Mobile poll/Bureau itinérant",9,68,5,1,1,1,85,55
48003,"Bow River/Bow River"," 505","Mobile poll/Bureau itinérant",21,137,7,0,2,0,167,164
48003,"Bow River/Bow River"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,94
48003,"Bow River/Bow River"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,1
48003,"Bow River/Bow River"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,,7
48003,"Bow River/Bow River"," 509","Mobile poll/Bureau itinérant",19,67,3,2,1,3,95,87
48003,"Bow River/Bow River"," 600","Rocky View County--Irricana",99,631,16,9,7,1,763,
48003,"Bow River/Bow River"," 601","Kneehill County",84,620,14,1,5,2,726,
48003,"Bow River/Bow River"," 602","Strathmore",352,1685,72,7,9,6,2131,
48003,"Bow River/Bow River"," 603","Strathmore",315,1387,50,3,5,11,1771,
48003,"Bow River/Bow River"," 604","Rocky View County--Irricana",318,1043,24,2,9,13,1409,
48003,"Bow River/Bow River"," 605","Chestermere",463,1218,55,1,2,0,1739,
48003,"Bow River/Bow River"," 606","Chestermere",617,1849,89,8,10,18,2591,
48003,"Bow River/Bow River"," 607","Rocky View County",531,1950,68,9,8,30,2596,
48003,"Bow River/Bow River"," 608","Rocky View County",111,652,21,5,6,1,796,
48003,"Bow River/Bow River"," 609","Rocky View County--Wheatland County",81,572,13,7,4,2,679,
48003,"Bow River/Bow River"," 610","Arrowwood",3,2,0,0,0,0,5,
48003,"Bow River/Bow River"," 611","Siksika 146",40,214,14,3,1,0,272,
48003,"Bow River/Bow River"," 612","Bassano--Newell County",63,488,17,1,5,2,576,
48003,"Bow River/Bow River"," 613","Newell County--Duchess",34,601,5,5,0,1,646,
48003,"Bow River/Bow River"," 614","Brooks",290,1389,37,6,9,1,1732,
48003,"Bow River/Bow River"," 615","Newell County",181,954,40,7,3,13,1198,
48003,"Bow River/Bow River"," 616","Vulcan",32,411,11,1,1,1,457,
48003,"Bow River/Bow River"," 617","Taber--Vauxhall",58,739,17,11,6,8,839,
48003,"Bow River/Bow River"," 618","Taber",242,1698,45,16,9,9,2019,
48003,"Bow River/Bow River",,Group 1/Groupe 1, 154,620,34,2,4,59,873,152
48003,"Bow River/Bow River",,Group 2/Groupe 2, 244,1461,53,3,2,39,1802,
