Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Lux Burgess,Connie Cody,Manuel Couto,José de Lima,Bryan May,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35019,"Cambridge/Cambridge"," 70","Cambridge",3,68,0,4,64,1,140,457
35019,"Cambridge/Cambridge"," 71","Cambridge",4,107,1,7,77,2,198,446
35019,"Cambridge/Cambridge"," 72","Cambridge",0,59,0,7,77,1,144,433
35019,"Cambridge/Cambridge"," 73","North Dumfries",1,113,1,6,65,1,187,348
35019,"Cambridge/Cambridge"," 74","North Dumfries",1,137,0,3,73,1,215,346
35019,"Cambridge/Cambridge"," 75","North Dumfries",3,128,0,5,52,0,188,299
35019,"Cambridge/Cambridge"," 76","Cambridge",3,26,0,5,23,0,57,145
35019,"Cambridge/Cambridge"," 77","Cambridge",4,102,0,14,158,0,278,538
35019,"Cambridge/Cambridge"," 78","Cambridge",6,124,0,15,78,0,223,498
35019,"Cambridge/Cambridge"," 79","Cambridge",9,106,0,2,102,1,220,554
35019,"Cambridge/Cambridge"," 80","Cambridge",0,58,0,11,89,1,159,564
35019,"Cambridge/Cambridge"," 81","Cambridge",5,135,0,12,108,0,260,587
35019,"Cambridge/Cambridge"," 82","Cambridge",2,95,0,3,60,2,162,448
35019,"Cambridge/Cambridge"," 83","Cambridge",6,93,0,4,73,1,177,512
35019,"Cambridge/Cambridge"," 84","Cambridge",5,101,0,5,91,2,204,460
35019,"Cambridge/Cambridge"," 85","Cambridge",3,107,1,3,145,0,259,523
35019,"Cambridge/Cambridge"," 86","Cambridge",3,80,0,6,112,3,204,490
35019,"Cambridge/Cambridge"," 87","Cambridge",2,95,2,4,66,2,171,475
35019,"Cambridge/Cambridge"," 88","Cambridge",2,168,3,11,91,0,275,689
35019,"Cambridge/Cambridge"," 89","Cambridge",5,125,1,6,67,1,205,477
35019,"Cambridge/Cambridge"," 90","Cambridge",4,86,1,6,76,0,173,488
35019,"Cambridge/Cambridge"," 91","Cambridge",6,81,0,11,64,4,166,489
35019,"Cambridge/Cambridge"," 92","Cambridge",2,86,2,10,71,0,171,496
35019,"Cambridge/Cambridge"," 93","Cambridge",2,60,0,8,109,0,179,484
35019,"Cambridge/Cambridge"," 94","Cambridge",3,105,0,11,58,1,178,518
35019,"Cambridge/Cambridge"," 95","Cambridge",9,113,0,7,83,3,215,514
35019,"Cambridge/Cambridge"," 96","Cambridge",6,56,0,14,63,1,140,510
35019,"Cambridge/Cambridge"," 97","Cambridge",4,71,0,11,51,2,139,461
35019,"Cambridge/Cambridge"," 98","Cambridge",3,120,0,3,107,3,236,486
35019,"Cambridge/Cambridge"," 99","Cambridge",4,136,0,5,135,3,283,512
35019,"Cambridge/Cambridge"," 100","Cambridge",6,85,0,11,137,0,239,552
35019,"Cambridge/Cambridge"," 101","Cambridge",4,49,0,1,81,0,135,417
35019,"Cambridge/Cambridge"," 102A","Cambridge",5,74,2,7,79,0,167,238
