Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Isabel Dion,Angelo Iacono,Louis Ialenti,Jordan Larochelle,Ludovic Mbany,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24004,"Alfred-Pellan/Alfred-Pellan"," 31","Laval",58,61,41,3,3,2,168,339
24004,"Alfred-Pellan/Alfred-Pellan"," 32","Laval",25,140,62,8,0,5,240,642
24004,"Alfred-Pellan/Alfred-Pellan"," 33","Laval",21,45,34,3,2,1,106,292
24004,"Alfred-Pellan/Alfred-Pellan"," 34A","Laval",17,79,27,1,5,0,129,289
24004,"Alfred-Pellan/Alfred-Pellan"," 34B","Laval",20,98,51,5,2,11,187,306
24004,"Alfred-Pellan/Alfred-Pellan"," 35","Laval",33,115,38,4,3,6,199,475
24004,"Alfred-Pellan/Alfred-Pellan"," 36","Laval",38,181,67,15,0,4,305,579
24004,"Alfred-Pellan/Alfred-Pellan"," 37","Laval",40,128,41,9,0,4,222,525
24004,"Alfred-Pellan/Alfred-Pellan"," 38","Laval",31,166,77,16,0,9,299,558
24004,"Alfred-Pellan/Alfred-Pellan"," 39A","Laval",26,48,31,8,0,0,113,245
24004,"Alfred-Pellan/Alfred-Pellan"," 39B","Laval",30,91,73,3,1,5,203,356
24004,"Alfred-Pellan/Alfred-Pellan"," 40A","Laval",17,67,49,2,1,1,137,328
24004,"Alfred-Pellan/Alfred-Pellan"," 40B","Laval",18,57,42,3,2,2,124,258
24004,"Alfred-Pellan/Alfred-Pellan"," 41A","Laval",14,70,43,2,0,0,129,279
24004,"Alfred-Pellan/Alfred-Pellan"," 41B","Laval",8,74,56,2,1,1,142,287
24004,"Alfred-Pellan/Alfred-Pellan"," 42","Laval",32,161,44,9,1,5,252,552
24004,"Alfred-Pellan/Alfred-Pellan"," 43","Laval",47,67,29,4,0,1,148,438
24004,"Alfred-Pellan/Alfred-Pellan"," 44","Laval",57,97,64,3,3,2,226,512
24004,"Alfred-Pellan/Alfred-Pellan"," 45","Laval",72,65,56,2,2,1,198,470
24004,"Alfred-Pellan/Alfred-Pellan"," 46","Laval",15,147,119,2,1,5,289,548
24004,"Alfred-Pellan/Alfred-Pellan"," 47","Laval",7,60,63,5,1,0,136,365
24004,"Alfred-Pellan/Alfred-Pellan"," 48","Laval",23,101,59,4,2,2,191,424
24004,"Alfred-Pellan/Alfred-Pellan"," 49","Laval",14,99,97,3,0,2,215,463
24004,"Alfred-Pellan/Alfred-Pellan"," 50","Laval",6,89,70,8,2,1,176,412
24004,"Alfred-Pellan/Alfred-Pellan"," 51","Laval",24,90,65,4,3,4,190,455
24004,"Alfred-Pellan/Alfred-Pellan"," 52","Laval",16,75,87,1,1,3,183,405
24004,"Alfred-Pellan/Alfred-Pellan"," 53","Laval",8,80,65,7,1,0,161,386
24004,"Alfred-Pellan/Alfred-Pellan"," 54","Laval",18,71,52,9,2,0,152,453
