Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Eric Arner,Brendan Hyatt,Marcus Powlowski,Sabrina Ree,Yuk-Sem Won,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 35","Atikokan",2,42,26,2,4,0,76,285
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 36","Manitou Rapids 11",0,6,28,0,17,0,51,178
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 37","Alberton",0,96,67,0,14,0,177,287
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 38","Alberton",2,178,81,2,5,1,269,510
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 39","Seine River 23A--Sturgeon Falls 23",0,1,23,1,16,0,41,72
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 40","Fort Frances",0,72,65,0,9,0,146,433
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 41","Fort Frances",1,51,34,1,8,0,95,282
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 42","Fort Frances",1,116,78,6,28,0,229,557
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 43","Fort Frances",5,42,45,0,4,1,97,332
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 44","Fort Frances",2,82,84,0,18,1,187,472
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 45","Fort Frances",0,57,46,2,19,0,124,401
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 46","Fort Frances",0,47,39,1,11,0,98,367
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 47","Fort Frances",2,55,73,1,19,0,150,421
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 48","Fort Frances",1,69,42,4,12,0,128,383
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 49","Fort Frances",1,54,36,2,7,2,102,400
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 50","Fort Frances",1,41,59,0,12,0,113,276
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 51","Fort Frances",2,64,40,1,15,0,122,348
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 52","Fort Frances",2,59,58,1,12,1,133,359
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 53","Fort Frances",0,74,66,1,8,0,149,414
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 54","Fort Frances",0,64,61,1,11,0,137,366
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 55","Sapawe",1,45,40,0,1,0,87,181
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 56","Shebandowan",0,48,21,0,2,0,71,128
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 56-1","Lac des Mille Lacs 22A1",Combined with No./Résultats combinés à ceux du n°56,,,,,,,0
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 57","Oliver Paipoonge",1,95,76,2,9,0,183,456
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 58","Millar",0,108,81,1,12,0,202,434
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 59","Oliver Paipoonge",0,105,65,0,8,0,178,341
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 60","Murillo",2,105,94,1,9,0,211,394
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 61","Oliver Paipoonge",0,95,54,1,10,0,160,290
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 62","Thunder Bay",2,76,90,1,17,0,186,505
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 63","Thunder Bay",1,69,99,0,15,5,189,488
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 64","Thunder Bay",0,67,80,2,33,0,182,485
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 65","Thunder Bay",2,57,93,3,18,1,174,509
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 66","Kakabeka Falls",1,55,26,3,5,0,90,293
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 67","Thunder Bay",1,32,55,2,7,0,97,287
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 68","Thunder Bay",2,41,77,1,8,1,130,335
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 69","Thunder Bay",0,53,65,6,14,1,139,354
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 70","Thunder Bay",0,61,70,1,12,0,144,331
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 71","Thunder Bay",2,59,112,3,17,1,194,508
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 72","Thunder Bay",1,73,96,5,28,5,208,553
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 73","Thunder Bay",2,41,79,1,2,0,125,363
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 74","Thunder Bay",1,91,87,2,20,2,203,531
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 75","Thunder Bay",0,31,77,1,6,0,115,437
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 76","Thunder Bay",0,29,47,1,6,0,83,271
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 77","Thunder Bay",0,20,38,1,0,0,59,247
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 78","Thunder Bay",2,64,74,1,11,0,152,426
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 79","Thunder Bay",0,59,89,3,5,0,156,500
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 80","Thunder Bay",1,29,36,0,8,0,74,266
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 81","Neguaguon Lake 25D",1,0,19,0,6,0,26,114
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 82","Thunder Bay",1,77,91,1,20,3,193,405
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 83","Thunder Bay",0,32,81,1,4,0,118,240
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 84","Thunder Bay",3,33,82,0,8,1,127,307
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 85","Thunder Bay",1,61,116,1,14,0,193,459
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 86","Thunder Bay",0,48,69,3,21,0,141,466
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 87","Thunder Bay",2,35,65,0,21,2,125,414
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 88","Thunder Bay",0,53,83,3,22,0,161,409
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 89","Thunder Bay",3,51,82,2,20,0,158,444
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 90","Thunder Bay",1,32,43,0,11,0,87,322
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 91","Thunder Bay",1,33,72,4,20,0,130,321
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 92","Thunder Bay",0,53,57,1,8,1,120,276
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 93","Thunder Bay",1,42,74,2,12,0,131,317
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 94","Thunder Bay",2,38,64,3,17,1,125,329
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 95","Thunder Bay",1,58,60,2,15,1,137,311
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 96","Thunder Bay",1,51,69,3,8,0,132,340
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 97","Thunder Bay",1,155,124,1,7,1,289,624
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 98","Thunder Bay",2,90,116,0,10,0,218,606
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 99","Thunder Bay",5,102,113,1,9,0,230,582
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 100","Thunder Bay",0,112,120,0,17,1,250,527
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 101","Thunder Bay",2,89,82,4,10,1,188,412
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 102A","Thunder Bay",2,29,31,1,10,0,73,234
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 102B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,75
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 103","Thunder Bay",2,69,104,2,14,0,191,518
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 104","Thunder Bay",0,29,83,1,19,0,132,257
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 105","Thunder Bay",1,73,95,0,8,0,177,367
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 106","Thunder Bay",1,35,44,0,9,2,91,267
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 107","Thunder Bay",2,70,75,5,35,2,189,371
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 108","Thunder Bay",3,64,69,4,18,0,158,384
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 109","Thunder Bay",0,70,74,2,20,0,166,363
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 110","Thunder Bay",1,67,66,1,3,0,138,335
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 111","Thunder Bay",1,79,92,1,11,0,184,361
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 112","Thunder Bay",1,75,90,3,2,2,173,363
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 113","Thunder Bay",0,61,92,0,12,1,166,435
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 114","Thunder Bay",0,30,62,4,9,0,105,356
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 115","Thunder Bay",6,49,76,0,12,0,143,393
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 116","Thunder Bay",2,39,58,2,10,0,111,354
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 117","Thunder Bay",2,81,126,2,17,0,228,497
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 118","Thunder Bay",2,48,70,6,30,0,156,562
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 119","Thunder Bay",4,66,80,1,16,4,171,414
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 120","Thunder Bay",0,50,83,1,6,0,140,406
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 121","Thunder Bay",2,51,89,2,12,0,156,399
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 122","Thunder Bay",0,61,69,0,6,1,137,442
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 123","Thunder Bay",3,88,114,1,16,0,222,479
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 124","Thunder Bay",1,56,93,0,6,3,159,335
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 125","Thunder Bay",0,83,112,3,15,0,213,423
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 126","Thunder Bay",0,53,88,2,17,1,161,373
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 127","Thunder Bay",1,65,50,2,10,0,128,324
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 128","Thunder Bay",1,52,97,0,16,0,166,410
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 129","Thunder Bay",2,55,96,0,18,1,172,415
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 130","Thunder Bay",0,38,41,0,8,0,87,237
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 131","Thunder Bay",0,37,46,3,12,0,98,381
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 132","Thunder Bay",1,50,51,0,7,1,110,342
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 133","Thunder Bay",2,57,85,0,12,0,156,398
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 134","Thunder Bay",5,88,87,3,18,0,201,529
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 135","Thunder Bay",5,87,94,1,15,0,202,541
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 136","Rosslyn Village",0,116,72,0,9,0,197,328
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 137","Jelly",2,124,69,3,8,0,206,395
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 138","Rosslyn Village",2,104,121,2,9,0,238,387
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 139","Oliver Paipoonge",0,132,90,0,11,0,233,485
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 140","Thunder Bay",1,55,85,0,17,0,158,429
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 141","Thunder Bay",2,86,112,1,19,2,222,450
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 142","Thunder Bay",0,86,87,2,19,0,194,461
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 143","Thunder Bay",5,45,74,3,26,2,155,443
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 144","Thunder Bay",1,110,81,0,10,0,202,389
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 145","Thunder Bay",1,73,87,0,6,0,167,316
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 146","Thunder Bay",0,67,86,1,5,2,161,355
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 147","Thunder Bay",4,66,77,0,5,2,154,333
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 148","Thunder Bay",1,54,70,1,11,1,138,385
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 149","Thunder Bay",0,74,70,1,17,0,162,375
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 150","Thunder Bay",1,37,54,0,10,0,102,341
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 151","Thunder Bay",4,84,106,4,24,0,222,452
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 152","Thunder Bay",1,62,52,0,13,0,128,347
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 153","Stanley",0,118,86,2,13,0,219,526
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 154","Thunder Bay",1,103,98,1,14,1,218,408
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 155","Thunder Bay",0,80,104,0,15,0,199,367
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 156","Thunder Bay",2,73,64,2,16,1,158,408
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 157","Thunder Bay",0,88,98,0,12,0,198,401
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 158","Thunder Bay",1,103,108,0,10,0,222,404
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 159","Thunder Bay",0,74,103,1,6,0,184,337
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 160","O'Connor",4,99,64,0,10,1,178,364
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 161","O'Connor",1,93,55,5,22,1,177,397
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 162","Thunder Bay",2,105,88,0,8,0,203,488
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 163","Thunder Bay",0,112,128,1,6,0,247,511
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 164","Thunder Bay",0,88,89,3,4,3,187,452
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 165","Thunder Bay",1,116,133,0,9,0,259,589
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 166","Thunder Bay",0,99,129,3,6,0,237,463
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 167","Paipoonge",1,103,80,2,10,0,196,298
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 168","McCluskeys Corners",3,181,87,2,12,0,285,464
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 169","Fort William 52",1,16,48,3,12,0,80,438
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 170","Fort William 52",0,14,60,0,3,0,77,352
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 171","Hymers",2,92,57,0,5,0,156,364
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 172","Scoble",1,89,73,2,5,0,170,374
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 173","South Gillies",4,85,69,6,12,1,177,257
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 174","Nolalu",7,148,71,8,17,3,254,504
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 175","Moose Hill",2,128,89,1,12,0,232,401
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 176","Cloud Bay",1,145,121,5,13,1,286,492
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 177","Pardee",2,70,26,0,6,0,104,211
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 400","Thunder Bay",0,23,58,0,4,4,89,122
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,14
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,4
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 502","Mobile poll/Bureau itinérant",2,19,17,2,3,1,44,60
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 503","Thunder Bay",4,26,79,5,8,7,129,460
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 504","Mobile poll/Bureau itinérant",3,27,44,1,8,0,83,88
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 505","Mobile poll/Bureau itinérant",1,23,64,0,5,1,94,100
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,56
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 600","Rainy River",1,276,133,8,23,3,444,
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 601","Saug-A-Gaw-Sing 1",Combined with No./Résultats combinés à ceux du n°600,,,,,,,
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 602","Big Island Mainland 93",Combined with No./Résultats combinés à ceux du n°600,,,,,,,
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 603","Big Grassy River 35G",0,1,4,0,12,0,17,
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 604","Assabaska",Combined with No./Résultats combinés à ceux du n°600,,,,,,,
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 605","Manitou Rapids 11",0,0,1,0,6,0,7,
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 606","Rainy Lake 17",0,2,1,0,3,0,6,
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 607","Fort Frances",1,318,191,6,29,1,546,
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 608","Couchiching 16A",0,7,12,0,2,0,21,
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 609","Fort Frances",4,510,562,12,76,8,1172,
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 610","Agency 1",Combined with No./Résultats combinés à ceux du n°609,,,,,,,
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 611","Rainy Lake 18C",0,2,6,0,5,0,13,
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 612","Rainy Lake 26A",1,0,9,0,2,0,12,
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 613","Seine River 23A--Sturgeon Falls 23",0,0,2,0,3,0,5,
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 614","Neguaguon Lake 25D",0,1,4,0,2,0,7,
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 615","Atikokan",4,161,240,9,32,0,446,
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 616","Kakabeka Falls",10,817,673,11,47,15,1573,
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 617","Lac des Mille Lacs 22A1",Combined with No./Résultats combinés à ceux du n°616,,,,,,,
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 618","Thunder Bay",4,599,828,6,60,6,1503,
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 619","Thunder Bay",9,428,943,9,60,7,1456,
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 620","Thunder Bay",15,587,1099,7,114,7,1829,
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 621","Thunder Bay",7,283,622,5,55,0,972,
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 622","Thunder Bay",3,270,416,7,52,2,750,
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 623","Thunder Bay",6,440,669,7,36,5,1163,
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 624","Fort William 52",0,15,49,1,5,0,70,
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 625","Neebing--Oliver Paipoonge",8,180,138,4,17,1,348,
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River",,Group 1/Groupe 1, 9,194,360,8,54,43,668,203
35107,"Thunder Bay--Rainy River/Thunder Bay--Rainy River",,Group 2/Groupe 2, 26,1122,1851,48,210,53,3310,
