Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Ebrahim Astaraki,Vincent Ho,Majid Jowhari,Alison Lam,Joshua Sideris,Yan Wang,Juni Yeung,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35089,"Richmond Hill South/Richmond Hill-Sud"," 46","Richmond Hill",3,51,69,2,1,0,2,1,129,397
35089,"Richmond Hill South/Richmond Hill-Sud"," 47","Richmond Hill",10,122,86,0,4,2,0,4,228,484
35089,"Richmond Hill South/Richmond Hill-Sud"," 48","Richmond Hill",0,80,53,4,1,0,0,0,138,513
35089,"Richmond Hill South/Richmond Hill-Sud"," 49","Richmond Hill",0,66,33,3,0,0,0,0,102,402
35089,"Richmond Hill South/Richmond Hill-Sud"," 50","Richmond Hill",6,56,37,1,0,1,0,0,101,375
35089,"Richmond Hill South/Richmond Hill-Sud"," 51","Richmond Hill",7,46,30,0,0,0,0,0,83,370
35089,"Richmond Hill South/Richmond Hill-Sud"," 52","Richmond Hill",2,49,42,0,0,1,0,0,94,452
35089,"Richmond Hill South/Richmond Hill-Sud"," 53","Richmond Hill",1,62,50,2,2,0,0,0,117,366
35089,"Richmond Hill South/Richmond Hill-Sud"," 54","Richmond Hill",2,75,39,0,1,0,0,0,117,377
35089,"Richmond Hill South/Richmond Hill-Sud"," 55","Richmond Hill",0,54,47,0,2,0,0,0,103,405
35089,"Richmond Hill South/Richmond Hill-Sud"," 56","Richmond Hill",1,70,56,1,1,0,0,0,129,548
35089,"Richmond Hill South/Richmond Hill-Sud"," 57","Richmond Hill",3,81,45,2,4,0,0,3,138,257
35089,"Richmond Hill South/Richmond Hill-Sud"," 58","Richmond Hill",8,70,42,3,0,2,0,5,130,492
35089,"Richmond Hill South/Richmond Hill-Sud"," 59","Richmond Hill",4,80,69,2,1,0,0,0,156,396
35089,"Richmond Hill South/Richmond Hill-Sud"," 60","Richmond Hill",7,69,52,0,1,0,0,1,130,352
35089,"Richmond Hill South/Richmond Hill-Sud"," 61","Richmond Hill",4,75,53,5,2,0,0,0,139,361
35089,"Richmond Hill South/Richmond Hill-Sud"," 62","Richmond Hill",3,71,70,0,1,0,0,3,148,444
35089,"Richmond Hill South/Richmond Hill-Sud"," 63","Richmond Hill",2,76,72,2,0,0,0,3,155,456
35089,"Richmond Hill South/Richmond Hill-Sud"," 64","Richmond Hill",3,74,66,2,5,2,0,1,153,391
35089,"Richmond Hill South/Richmond Hill-Sud"," 65","Richmond Hill",6,56,56,3,0,1,0,0,122,403
35089,"Richmond Hill South/Richmond Hill-Sud"," 66","Richmond Hill",2,79,60,1,1,0,0,0,143,460
35089,"Richmond Hill South/Richmond Hill-Sud"," 67","Richmond Hill",6,66,62,2,0,1,0,1,138,377
35089,"Richmond Hill South/Richmond Hill-Sud"," 68","Richmond Hill",2,81,93,3,0,0,0,0,179,421
35089,"Richmond Hill South/Richmond Hill-Sud"," 69","Richmond Hill",6,103,67,3,0,1,0,1,181,435
35089,"Richmond Hill South/Richmond Hill-Sud"," 70","Richmond Hill",3,123,68,0,1,1,0,1,197,484
35089,"Richmond Hill South/Richmond Hill-Sud"," 71","Richmond Hill",4,122,82,1,1,1,0,0,211,429
35089,"Richmond Hill South/Richmond Hill-Sud"," 72","Richmond Hill",3,89,77,0,2,0,0,0,171,384
35089,"Richmond Hill South/Richmond Hill-Sud"," 73","Richmond Hill",1,98,83,1,0,0,0,0,183,454
35089,"Richmond Hill South/Richmond Hill-Sud"," 74","Richmond Hill",4,113,101,2,1,0,0,0,221,583
35089,"Richmond Hill South/Richmond Hill-Sud"," 75","Richmond Hill",13,78,84,2,0,1,0,1,179,480
35089,"Richmond Hill South/Richmond Hill-Sud"," 76","Richmond Hill",0,43,60,1,1,0,0,3,108,337
35089,"Richmond Hill South/Richmond Hill-Sud"," 77","Richmond Hill",3,60,38,0,3,0,0,1,105,357
35089,"Richmond Hill South/Richmond Hill-Sud"," 78","Richmond Hill",1,92,70,2,2,0,0,1,168,439
35089,"Richmond Hill South/Richmond Hill-Sud"," 79","Richmond Hill",4,70,49,2,2,0,0,1,128,401
35089,"Richmond Hill South/Richmond Hill-Sud"," 80","Richmond Hill",1,53,44,1,0,1,1,1,102,329
35089,"Richmond Hill South/Richmond Hill-Sud"," 81","Richmond Hill",1,82,61,2,1,0,0,2,149,581
35089,"Richmond Hill South/Richmond Hill-Sud"," 82","Richmond Hill",0,52,49,0,0,0,0,0,101,406
35089,"Richmond Hill South/Richmond Hill-Sud"," 83","Richmond Hill",0,68,36,0,0,0,0,0,104,397
35089,"Richmond Hill South/Richmond Hill-Sud"," 84","Richmond Hill",1,52,68,0,2,0,0,1,124,476
35089,"Richmond Hill South/Richmond Hill-Sud"," 85","Richmond Hill",1,77,52,0,0,0,0,2,132,527
35089,"Richmond Hill South/Richmond Hill-Sud"," 86","Richmond Hill",6,78,65,2,1,1,1,1,155,473
35089,"Richmond Hill South/Richmond Hill-Sud"," 87","Richmond Hill",5,79,77,3,1,0,0,3,168,511
35089,"Richmond Hill South/Richmond Hill-Sud"," 88","Richmond Hill",1,100,80,3,1,0,0,5,190,518
35089,"Richmond Hill South/Richmond Hill-Sud"," 89","Richmond Hill",8,184,70,3,0,0,0,1,266,841
35089,"Richmond Hill South/Richmond Hill-Sud"," 90","Richmond Hill",5,78,56,4,1,1,0,1,146,449
35089,"Richmond Hill South/Richmond Hill-Sud"," 91","Richmond Hill",1,62,50,1,1,1,0,1,117,337
35089,"Richmond Hill South/Richmond Hill-Sud"," 92","Richmond Hill",0,90,50,1,0,0,0,1,142,478
35089,"Richmond Hill South/Richmond Hill-Sud"," 93","Richmond Hill",0,100,60,2,1,2,0,1,166,432
35089,"Richmond Hill South/Richmond Hill-Sud"," 94","Richmond Hill",3,94,61,0,0,0,0,2,160,370
35089,"Richmond Hill South/Richmond Hill-Sud"," 95","Richmond Hill",7,55,40,0,1,0,0,1,104,353
35089,"Richmond Hill South/Richmond Hill-Sud"," 96","Richmond Hill",2,61,58,0,0,0,0,2,123,364
35089,"Richmond Hill South/Richmond Hill-Sud"," 97","Richmond Hill",3,118,103,0,1,1,0,1,227,454
35089,"Richmond Hill South/Richmond Hill-Sud"," 98","Richmond Hill",2,55,55,2,1,0,0,0,115,411
35089,"Richmond Hill South/Richmond Hill-Sud"," 99","Richmond Hill",6,97,81,0,1,2,0,1,188,365
35089,"Richmond Hill South/Richmond Hill-Sud"," 100","Richmond Hill",1,60,48,2,0,0,0,0,111,431
35089,"Richmond Hill South/Richmond Hill-Sud"," 101","Richmond Hill",4,51,44,0,0,0,0,0,99,337
35089,"Richmond Hill South/Richmond Hill-Sud"," 102","Richmond Hill",1,66,58,2,0,0,1,3,131,414
35089,"Richmond Hill South/Richmond Hill-Sud"," 103","Richmond Hill",4,167,58,1,3,0,0,1,234,606
35089,"Richmond Hill South/Richmond Hill-Sud"," 104","Richmond Hill",1,130,55,1,1,0,0,0,188,434
35089,"Richmond Hill South/Richmond Hill-Sud"," 105","Richmond Hill",2,172,78,0,1,0,0,0,253,605
35089,"Richmond Hill South/Richmond Hill-Sud"," 106","Richmond Hill",1,40,39,1,1,0,0,0,82,352
35089,"Richmond Hill South/Richmond Hill-Sud"," 107","Richmond Hill",2,66,59,2,1,0,1,0,131,465
35089,"Richmond Hill South/Richmond Hill-Sud"," 108","Richmond Hill",6,54,48,0,1,0,0,1,110,364
35089,"Richmond Hill South/Richmond Hill-Sud"," 109","Richmond Hill",1,55,44,2,0,0,0,0,102,467
35089,"Richmond Hill South/Richmond Hill-Sud"," 110","Richmond Hill",3,72,63,1,1,0,0,1,141,411
35089,"Richmond Hill South/Richmond Hill-Sud"," 111","Richmond Hill",2,48,43,0,0,0,0,0,93,318
35089,"Richmond Hill South/Richmond Hill-Sud"," 112","Richmond Hill",5,65,73,1,0,0,1,0,145,421
35089,"Richmond Hill South/Richmond Hill-Sud"," 113","Richmond Hill",1,71,74,1,1,0,0,1,149,392
35089,"Richmond Hill South/Richmond Hill-Sud"," 114","Richmond Hill",9,81,40,2,1,0,0,0,133,422
35089,"Richmond Hill South/Richmond Hill-Sud"," 115","Richmond Hill",2,47,51,0,0,0,0,0,100,367
35089,"Richmond Hill South/Richmond Hill-Sud"," 116","Richmond Hill",0,70,55,1,1,1,0,0,128,410
35089,"Richmond Hill South/Richmond Hill-Sud"," 117","Richmond Hill",2,75,76,2,0,1,0,2,158,550
35089,"Richmond Hill South/Richmond Hill-Sud"," 118","Richmond Hill",2,52,46,1,0,0,0,0,101,445
35089,"Richmond Hill South/Richmond Hill-Sud"," 119","Richmond Hill",0,63,37,0,0,0,0,2,102,338
35089,"Richmond Hill South/Richmond Hill-Sud"," 120","Richmond Hill",4,87,59,2,0,0,0,2,154,522
35089,"Richmond Hill South/Richmond Hill-Sud"," 121","Richmond Hill",2,98,69,1,0,1,0,1,172,375
35089,"Richmond Hill South/Richmond Hill-Sud"," 122","Richmond Hill",4,88,73,3,3,0,0,5,176,416
35089,"Richmond Hill South/Richmond Hill-Sud"," 123","Richmond Hill",2,123,63,0,1,0,1,3,193,744
35089,"Richmond Hill South/Richmond Hill-Sud"," 124","Richmond Hill",4,88,63,2,0,0,0,1,158,544
35089,"Richmond Hill South/Richmond Hill-Sud"," 125","Richmond Hill",0,83,76,2,0,0,0,2,163,448
35089,"Richmond Hill South/Richmond Hill-Sud"," 126","Richmond Hill",4,80,23,1,0,0,0,2,110,334
35089,"Richmond Hill South/Richmond Hill-Sud"," 127","Richmond Hill",1,81,59,0,1,0,0,0,142,420
35089,"Richmond Hill South/Richmond Hill-Sud"," 128","Richmond Hill",0,88,38,1,1,0,0,1,129,441
35089,"Richmond Hill South/Richmond Hill-Sud"," 129","Richmond Hill",2,79,92,1,0,1,0,0,175,499
35089,"Richmond Hill South/Richmond Hill-Sud"," 130","Richmond Hill",5,73,93,0,1,1,0,1,174,508
35089,"Richmond Hill South/Richmond Hill-Sud"," 131","Richmond Hill",0,77,62,0,0,1,1,0,141,462
35089,"Richmond Hill South/Richmond Hill-Sud"," 132","Richmond Hill",3,59,47,0,1,0,0,0,110,358
35089,"Richmond Hill South/Richmond Hill-Sud"," 133","Richmond Hill",1,81,35,2,2,0,0,0,121,416
35089,"Richmond Hill South/Richmond Hill-Sud"," 134","Richmond Hill",3,79,30,9,1,1,0,0,123,437
35089,"Richmond Hill South/Richmond Hill-Sud"," 135","Richmond Hill",0,87,34,0,0,0,0,2,123,482
35089,"Richmond Hill South/Richmond Hill-Sud"," 136","Richmond Hill",5,88,74,1,1,1,1,1,172,400
35089,"Richmond Hill South/Richmond Hill-Sud"," 137","Richmond Hill",1,133,51,0,0,0,0,3,188,489
35089,"Richmond Hill South/Richmond Hill-Sud"," 138","Richmond Hill",0,133,63,0,1,0,1,1,199,643
35089,"Richmond Hill South/Richmond Hill-Sud"," 139","Richmond Hill",3,61,41,1,0,1,0,0,107,389
35089,"Richmond Hill South/Richmond Hill-Sud"," 140","Richmond Hill",0,49,55,2,0,0,0,0,106,314
35089,"Richmond Hill South/Richmond Hill-Sud"," 141","Richmond Hill",0,35,42,1,0,0,0,0,78,321
35089,"Richmond Hill South/Richmond Hill-Sud"," 142","Richmond Hill",1,103,82,2,2,0,0,3,193,524
35089,"Richmond Hill South/Richmond Hill-Sud"," 143","Richmond Hill",4,48,67,2,0,0,0,1,122,329
35089,"Richmond Hill South/Richmond Hill-Sud"," 144","Richmond Hill",5,107,52,1,2,0,0,3,170,481
35089,"Richmond Hill South/Richmond Hill-Sud"," 145","Richmond Hill",4,105,91,1,0,0,0,2,203,504
35089,"Richmond Hill South/Richmond Hill-Sud"," 146","Richmond Hill",2,70,53,0,0,0,0,1,126,435
35089,"Richmond Hill South/Richmond Hill-Sud"," 147","Richmond Hill",0,62,58,0,1,0,0,1,122,366
35089,"Richmond Hill South/Richmond Hill-Sud"," 148","Richmond Hill",5,80,66,2,0,0,0,1,154,462
35089,"Richmond Hill South/Richmond Hill-Sud"," 149","Richmond Hill",2,73,41,1,0,0,0,2,119,414
35089,"Richmond Hill South/Richmond Hill-Sud"," 150","Richmond Hill",10,66,53,1,2,0,0,1,133,417
35089,"Richmond Hill South/Richmond Hill-Sud"," 151","Richmond Hill",2,55,39,0,2,0,0,0,98,420
35089,"Richmond Hill South/Richmond Hill-Sud"," 152","Richmond Hill",0,72,45,1,1,0,0,0,119,463
35089,"Richmond Hill South/Richmond Hill-Sud"," 153","Richmond Hill",3,87,54,1,0,0,0,0,145,560
35089,"Richmond Hill South/Richmond Hill-Sud"," 154","Richmond Hill",4,48,28,0,1,1,0,0,82,344
35089,"Richmond Hill South/Richmond Hill-Sud"," 155","Markham",1,46,38,4,0,0,0,1,90,340
35089,"Richmond Hill South/Richmond Hill-Sud"," 156","Markham",4,56,49,0,0,0,0,2,111,416
35089,"Richmond Hill South/Richmond Hill-Sud"," 157","Markham",4,144,118,1,0,2,0,0,269,901
35089,"Richmond Hill South/Richmond Hill-Sud"," 158","Richmond Hill",0,69,37,0,0,0,1,0,107,371
35089,"Richmond Hill South/Richmond Hill-Sud"," 159","Richmond Hill",1,68,77,1,0,0,0,0,147,392
35089,"Richmond Hill South/Richmond Hill-Sud"," 160","Richmond Hill",2,67,57,2,0,1,0,1,130,509
35089,"Richmond Hill South/Richmond Hill-Sud"," 161","Richmond Hill",1,102,79,0,1,0,0,1,184,535
35089,"Richmond Hill South/Richmond Hill-Sud"," 162","Richmond Hill",2,78,65,2,0,6,0,1,154,541
35089,"Richmond Hill South/Richmond Hill-Sud"," 163","Richmond Hill",1,80,65,0,0,0,0,1,147,488
35089,"Richmond Hill South/Richmond Hill-Sud"," 164","Markham",3,128,128,2,1,1,0,0,263,517
35089,"Richmond Hill South/Richmond Hill-Sud"," 165","Richmond Hill",0,65,81,1,3,0,0,1,151,427
35089,"Richmond Hill South/Richmond Hill-Sud"," 166","Richmond Hill",3,91,57,4,1,0,0,0,156,532
35089,"Richmond Hill South/Richmond Hill-Sud"," 167","Richmond Hill",6,58,49,1,0,0,0,1,115,391
35089,"Richmond Hill South/Richmond Hill-Sud"," 168","Richmond Hill",7,58,54,5,0,1,0,0,125,426
35089,"Richmond Hill South/Richmond Hill-Sud"," 169","Richmond Hill",7,106,81,0,1,1,0,1,197,731
35089,"Richmond Hill South/Richmond Hill-Sud"," 170","Richmond Hill",0,90,68,1,1,0,0,2,162,533
35089,"Richmond Hill South/Richmond Hill-Sud"," 171","Richmond Hill",1,106,53,3,0,0,0,3,166,503
35089,"Richmond Hill South/Richmond Hill-Sud"," 172","Richmond Hill",1,95,23,2,1,0,0,3,125,363
35089,"Richmond Hill South/Richmond Hill-Sud"," 173","Richmond Hill",4,115,48,2,1,1,0,3,174,428
35089,"Richmond Hill South/Richmond Hill-Sud"," 174","Richmond Hill",1,76,75,0,0,0,0,1,153,450
35089,"Richmond Hill South/Richmond Hill-Sud"," 175","Richmond Hill",5,72,52,0,0,0,0,3,132,358
35089,"Richmond Hill South/Richmond Hill-Sud"," 400","Richmond Hill",3,71,51,2,3,3,0,7,140,253
35089,"Richmond Hill South/Richmond Hill-Sud"," 401","Richmond Hill",1,112,86,3,1,0,1,1,205,312
35089,"Richmond Hill South/Richmond Hill-Sud"," 402","Richmond Hill",12,53,59,3,2,0,0,0,129,252
35089,"Richmond Hill South/Richmond Hill-Sud"," 403","Richmond Hill",9,113,123,1,0,0,0,6,252,384
35089,"Richmond Hill South/Richmond Hill-Sud"," 404","Richmond Hill",5,64,37,1,0,0,0,4,111,151
35089,"Richmond Hill South/Richmond Hill-Sud"," 405","Richmond Hill",8,61,57,1,1,0,0,0,128,211
35089,"Richmond Hill South/Richmond Hill-Sud"," 406","Richmond Hill",0,54,49,0,0,0,0,1,104,165
35089,"Richmond Hill South/Richmond Hill-Sud"," 407","Richmond Hill",8,62,58,5,3,0,0,3,139,416
35089,"Richmond Hill South/Richmond Hill-Sud"," 408","Richmond Hill",4,68,34,0,1,0,0,1,108,408
35089,"Richmond Hill South/Richmond Hill-Sud"," 409","Richmond Hill",5,113,110,2,2,0,1,4,237,452
35089,"Richmond Hill South/Richmond Hill-Sud"," 410","Richmond Hill",4,73,84,0,0,0,0,4,165,284
35089,"Richmond Hill South/Richmond Hill-Sud"," 411","Richmond Hill",3,65,92,1,1,0,0,2,164,266
35089,"Richmond Hill South/Richmond Hill-Sud"," 412","Richmond Hill",3,80,80,2,0,1,1,2,169,281
35089,"Richmond Hill South/Richmond Hill-Sud"," 413","Richmond Hill",6,91,74,2,1,1,2,0,177,266
35089,"Richmond Hill South/Richmond Hill-Sud"," 414","Richmond Hill",1,73,131,0,0,0,0,0,205,294
35089,"Richmond Hill South/Richmond Hill-Sud"," 415","Richmond Hill",6,82,115,2,0,0,0,2,207,303
35089,"Richmond Hill South/Richmond Hill-Sud"," 416","Richmond Hill",1,39,61,2,0,0,1,2,106,158
35089,"Richmond Hill South/Richmond Hill-Sud"," 417","Richmond Hill",1,56,55,1,1,1,0,0,115,257
35089,"Richmond Hill South/Richmond Hill-Sud"," 418","Richmond Hill",Combined with No./Résultats combinés à ceux du n°417,,,,,,,,,203
35089,"Richmond Hill South/Richmond Hill-Sud"," 419","Richmond Hill",1,81,53,2,1,0,0,0,138,256
35089,"Richmond Hill South/Richmond Hill-Sud"," 420","Richmond Hill",5,85,93,2,2,0,0,0,187,280
35089,"Richmond Hill South/Richmond Hill-Sud"," 421","Richmond Hill",2,67,32,0,3,1,0,5,110,205
35089,"Richmond Hill South/Richmond Hill-Sud"," 422","Richmond Hill",3,82,47,0,1,0,0,5,138,304
35089,"Richmond Hill South/Richmond Hill-Sud"," 423","Richmond Hill",7,63,85,0,0,1,0,2,158,260
35089,"Richmond Hill South/Richmond Hill-Sud"," 424","Richmond Hill",1,60,83,0,1,0,0,0,145,202
35089,"Richmond Hill South/Richmond Hill-Sud"," 425","Richmond Hill",3,71,97,3,2,0,0,3,179,258
35089,"Richmond Hill South/Richmond Hill-Sud"," 426","Richmond Hill",3,56,62,0,1,0,1,0,123,171
35089,"Richmond Hill South/Richmond Hill-Sud"," 427","Richmond Hill",2,51,35,0,2,0,0,1,91,304
35089,"Richmond Hill South/Richmond Hill-Sud"," 428","Richmond Hill",Combined with No./Résultats combinés à ceux du n°443,,,,,,,,,165
35089,"Richmond Hill South/Richmond Hill-Sud"," 429","Richmond Hill",1,43,40,0,1,0,0,1,86,252
35089,"Richmond Hill South/Richmond Hill-Sud"," 430","Richmond Hill",3,67,65,4,0,2,0,0,141,234
35089,"Richmond Hill South/Richmond Hill-Sud"," 431","Richmond Hill",6,38,40,0,0,0,0,0,84,245
35089,"Richmond Hill South/Richmond Hill-Sud"," 432","Richmond Hill",4,32,32,2,0,0,0,1,71,131
35089,"Richmond Hill South/Richmond Hill-Sud"," 433","Richmond Hill",Combined with No./Résultats combinés à ceux du n°435,,,,,,,,,194
35089,"Richmond Hill South/Richmond Hill-Sud"," 434","Richmond Hill",Combined with No./Résultats combinés à ceux du n°435,,,,,,,,,175
35089,"Richmond Hill South/Richmond Hill-Sud"," 435","Richmond Hill",2,96,62,0,1,1,0,0,162,199
35089,"Richmond Hill South/Richmond Hill-Sud"," 436","Richmond Hill",1,74,41,1,2,0,0,0,119,248
35089,"Richmond Hill South/Richmond Hill-Sud"," 437","Markham",6,41,27,0,1,0,0,0,75,138
35089,"Richmond Hill South/Richmond Hill-Sud"," 438","Markham",1,40,42,0,0,1,0,0,84,166
35089,"Richmond Hill South/Richmond Hill-Sud"," 439","Markham",0,35,51,0,0,0,0,1,87,158
35089,"Richmond Hill South/Richmond Hill-Sud"," 440","Richmond Hill",2,57,42,1,0,1,0,0,103,403
35089,"Richmond Hill South/Richmond Hill-Sud"," 441","Richmond Hill",1,43,40,1,0,1,0,0,86,363
35089,"Richmond Hill South/Richmond Hill-Sud"," 442","Markham",2,42,35,0,0,3,0,0,82,150
35089,"Richmond Hill South/Richmond Hill-Sud"," 443","Richmond Hill",3,42,51,1,0,1,0,0,98,191
35089,"Richmond Hill South/Richmond Hill-Sud"," 444","Markham",5,85,73,2,0,0,0,0,165,265
35089,"Richmond Hill South/Richmond Hill-Sud"," 445","Markham",2,62,65,1,1,0,0,0,131,231
35089,"Richmond Hill South/Richmond Hill-Sud"," 446","Markham",4,38,37,4,1,1,0,0,85,142
35089,"Richmond Hill South/Richmond Hill-Sud"," 447","Markham",1,38,41,1,0,1,0,0,82,154
35089,"Richmond Hill South/Richmond Hill-Sud"," 448","Markham",4,32,34,0,0,0,0,1,71,130
35089,"Richmond Hill South/Richmond Hill-Sud"," 449","Markham",5,58,55,1,0,0,0,1,120,210
35089,"Richmond Hill South/Richmond Hill-Sud"," 450","Markham",3,50,58,1,0,0,1,0,113,232
35089,"Richmond Hill South/Richmond Hill-Sud"," 451","Markham",1,64,38,1,0,0,0,0,104,175
35089,"Richmond Hill South/Richmond Hill-Sud"," 452","Markham",1,40,27,1,0,0,0,0,69,126
35089,"Richmond Hill South/Richmond Hill-Sud"," 453","Markham",3,67,73,3,0,1,0,0,147,249
35089,"Richmond Hill South/Richmond Hill-Sud"," 454","Richmond Hill",7,97,126,1,2,1,0,4,238,427
35089,"Richmond Hill South/Richmond Hill-Sud"," 455","Richmond Hill",Combined with No./Résultats combinés à ceux du n°419,,,,,,,,,200
35089,"Richmond Hill South/Richmond Hill-Sud"," 456","Richmond Hill",Combined with No./Résultats combinés à ceux du n°457,,,,,,,,,222
35089,"Richmond Hill South/Richmond Hill-Sud"," 457","Richmond Hill",5,73,44,2,0,0,0,0,124,254
35089,"Richmond Hill South/Richmond Hill-Sud"," 458","Richmond Hill",Combined with No./Résultats combinés à ceux du n°459,,,,,,,,,138
35089,"Richmond Hill South/Richmond Hill-Sud"," 459","Richmond Hill",3,62,17,0,0,0,0,0,82,158
35089,"Richmond Hill South/Richmond Hill-Sud"," 460","Richmond Hill",3,48,18,0,0,0,0,0,69,282
35089,"Richmond Hill South/Richmond Hill-Sud"," 461","Richmond Hill",1,51,28,2,1,0,0,0,83,160
35089,"Richmond Hill South/Richmond Hill-Sud"," 462","Richmond Hill",Combined with No./Résultats combinés à ceux du n°461,,,,,,,,,152
