Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Elvin Kao,Michael Ma,Sameer Qureshi,Peter Yuen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35058,"Markham--Unionville/Markham--Unionville"," 34B","Markham",Combined with No./Résultats combinés à ceux du n°21B,,,,,,277
35058,"Markham--Unionville/Markham--Unionville"," 35","Markham",1,114,4,96,1,216,496
35058,"Markham--Unionville/Markham--Unionville"," 36","Markham",4,72,1,60,1,138,550
35058,"Markham--Unionville/Markham--Unionville"," 37A","Markham",0,75,2,49,2,128,330
35058,"Markham--Unionville/Markham--Unionville"," 37B","Markham",Combined with No./Résultats combinés à ceux du n°70B,,,,,,278
35058,"Markham--Unionville/Markham--Unionville"," 38","Markham",1,87,0,62,1,151,354
35058,"Markham--Unionville/Markham--Unionville"," 39","Markham",1,110,4,69,0,184,409
35058,"Markham--Unionville/Markham--Unionville"," 40","Markham",2,79,2,65,0,148,372
35058,"Markham--Unionville/Markham--Unionville"," 41","Markham",2,86,4,98,3,193,435
35058,"Markham--Unionville/Markham--Unionville"," 42","Markham",2,111,5,71,0,189,452
35058,"Markham--Unionville/Markham--Unionville"," 43","Markham",2,76,2,92,1,173,486
35058,"Markham--Unionville/Markham--Unionville"," 44","Markham",1,131,2,75,0,209,496
35058,"Markham--Unionville/Markham--Unionville"," 45","Markham",4,87,4,71,0,166,388
35058,"Markham--Unionville/Markham--Unionville"," 46","Markham",1,85,1,71,0,158,408
35058,"Markham--Unionville/Markham--Unionville"," 47","Markham",1,75,1,93,0,170,421
35058,"Markham--Unionville/Markham--Unionville"," 48","Markham",0,104,0,52,1,157,386
35058,"Markham--Unionville/Markham--Unionville"," 49","Markham",3,121,4,78,1,207,491
35058,"Markham--Unionville/Markham--Unionville"," 50","Markham",2,97,1,78,0,178,385
35058,"Markham--Unionville/Markham--Unionville"," 51","Markham",4,105,3,118,0,230,527
35058,"Markham--Unionville/Markham--Unionville"," 52","Markham",2,147,1,86,1,237,502
35058,"Markham--Unionville/Markham--Unionville"," 53","Markham",0,82,7,69,0,158,402
35058,"Markham--Unionville/Markham--Unionville"," 54","Markham",2,68,1,85,0,156,361
35058,"Markham--Unionville/Markham--Unionville"," 55","Markham",1,98,1,72,0,172,528
35058,"Markham--Unionville/Markham--Unionville"," 56","Markham",3,87,1,71,0,162,472
35058,"Markham--Unionville/Markham--Unionville"," 57","Markham",2,69,2,79,0,152,348
35058,"Markham--Unionville/Markham--Unionville"," 58","Markham",1,107,2,75,0,185,524
35058,"Markham--Unionville/Markham--Unionville"," 59","Markham",2,101,3,71,1,178,529
35058,"Markham--Unionville/Markham--Unionville"," 60","Markham",0,93,2,78,1,174,466
35058,"Markham--Unionville/Markham--Unionville"," 61","Markham",0,77,0,58,0,135,445
35058,"Markham--Unionville/Markham--Unionville"," 62","Markham",0,106,3,91,1,201,505
35058,"Markham--Unionville/Markham--Unionville"," 63","Markham",1,112,4,76,0,193,554
35058,"Markham--Unionville/Markham--Unionville"," 64","Markham",1,130,3,91,0,225,584
35058,"Markham--Unionville/Markham--Unionville"," 65A","Markham",2,115,1,80,1,199,464
35058,"Markham--Unionville/Markham--Unionville"," 65B","Markham",2,98,5,51,0,156,387
35058,"Markham--Unionville/Markham--Unionville"," 66","Markham",0,102,10,55,0,167,419
35058,"Markham--Unionville/Markham--Unionville"," 67","Markham",2,88,0,65,0,155,470
35058,"Markham--Unionville/Markham--Unionville"," 68A","Markham",1,60,3,35,0,99,291
35058,"Markham--Unionville/Markham--Unionville"," 68B","Markham",3,48,3,52,1,107,223
35058,"Markham--Unionville/Markham--Unionville"," 69","Markham",0,78,1,55,1,135,434
35058,"Markham--Unionville/Markham--Unionville"," 70A","Markham",0,137,7,81,1,226,289
35058,"Markham--Unionville/Markham--Unionville"," 70B","Markham",3,102,2,60,0,167,259
35058,"Markham--Unionville/Markham--Unionville"," 71A","Markham",1,109,1,55,0,166,330
35058,"Markham--Unionville/Markham--Unionville"," 71B","Markham",Combined with No./Résultats combinés à ceux du n°70A,,,,,,244
35058,"Markham--Unionville/Markham--Unionville"," 72","Markham",0,103,0,70,0,173,380
35058,"Markham--Unionville/Markham--Unionville"," 73","Markham",1,80,3,68,0,152,381
35058,"Markham--Unionville/Markham--Unionville"," 74","Markham",2,92,1,66,2,163,447
35058,"Markham--Unionville/Markham--Unionville"," 75","Markham",0,69,0,63,0,132,417
35058,"Markham--Unionville/Markham--Unionville"," 76","Markham",3,115,1,104,0,223,543
35058,"Markham--Unionville/Markham--Unionville"," 77","Markham",3,72,1,68,0,144,463
35058,"Markham--Unionville/Markham--Unionville"," 78","Markham",0,74,0,49,1,124,459
35058,"Markham--Unionville/Markham--Unionville"," 79","Markham",2,130,1,146,1,280,514
35058,"Markham--Unionville/Markham--Unionville"," 80","Markham",2,94,1,70,1,168,438
35058,"Markham--Unionville/Markham--Unionville"," 81","Markham",0,77,0,81,1,159,401
