Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Néhémie Dumay,Catherine Gauvin,Jean-Marc Lamothe,Jency Mercier,Abdelhaq Sari,Philippe Tessier,Dominique Théberge,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24013,"Bourassa/Bourassa"," 19","Montréal",14,10,1,7,47,3,1,1,84,322
24013,"Bourassa/Bourassa"," 20","Montréal",18,11,0,17,57,2,0,4,109,331
24013,"Bourassa/Bourassa"," 21","Montréal",34,10,0,13,91,0,0,6,154,450
24013,"Bourassa/Bourassa"," 22","Montréal",14,6,5,10,52,0,4,6,97,337
24013,"Bourassa/Bourassa"," 23","Montréal",15,4,1,11,63,1,0,4,99,397
24013,"Bourassa/Bourassa"," 24","Montréal",30,6,0,16,86,2,0,3,143,351
24013,"Bourassa/Bourassa"," 25","Montréal",34,7,1,21,82,1,0,2,148,443
24013,"Bourassa/Bourassa"," 26","Montréal",44,8,2,7,66,0,0,3,130,333
24013,"Bourassa/Bourassa"," 27","Montréal",32,11,2,11,114,0,0,0,170,391
24013,"Bourassa/Bourassa"," 28","Montréal",38,12,4,9,117,0,0,1,181,471
24013,"Bourassa/Bourassa"," 29","Montréal",27,7,0,6,52,0,1,0,93,333
24013,"Bourassa/Bourassa"," 30","Montréal",22,5,3,10,73,0,0,2,115,336
24013,"Bourassa/Bourassa"," 31","Montréal",37,4,2,7,75,3,1,3,132,344
24013,"Bourassa/Bourassa"," 32","Montréal",23,11,3,8,103,0,0,3,151,371
24013,"Bourassa/Bourassa"," 33","Montréal",44,10,0,24,148,1,0,5,232,466
24013,"Bourassa/Bourassa"," 34","Montréal",31,4,4,10,87,2,4,3,145,369
24013,"Bourassa/Bourassa"," 35","Montréal",23,8,3,21,95,0,0,12,162,516
24013,"Bourassa/Bourassa"," 36","Montréal",20,8,4,11,69,0,1,4,117,355
24013,"Bourassa/Bourassa"," 37","Montréal",32,12,0,14,98,1,1,2,160,406
24013,"Bourassa/Bourassa"," 38","Montréal",30,5,1,7,64,1,0,2,110,340
24013,"Bourassa/Bourassa"," 39","Montréal",24,9,0,4,66,0,0,4,107,303
24013,"Bourassa/Bourassa"," 40","Montréal",38,2,1,15,100,0,0,3,159,380
24013,"Bourassa/Bourassa"," 41","Montréal",38,7,2,17,93,1,1,4,163,378
24013,"Bourassa/Bourassa"," 42","Montréal",39,6,1,10,108,1,1,5,171,420
24013,"Bourassa/Bourassa"," 43","Montréal",38,7,1,10,106,0,0,4,166,468
24013,"Bourassa/Bourassa"," 44","Montréal",48,7,4,14,88,3,2,6,172,433
24013,"Bourassa/Bourassa"," 45","Montréal",45,5,3,19,84,0,2,5,163,415
24013,"Bourassa/Bourassa"," 46A","Montréal",41,11,6,21,93,0,0,2,174,392
24013,"Bourassa/Bourassa"," 46B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,,,12
24013,"Bourassa/Bourassa"," 47","Montréal",65,9,6,16,95,2,0,6,199,441
24013,"Bourassa/Bourassa"," 48","Montréal",49,13,4,41,126,0,0,2,235,463
24013,"Bourassa/Bourassa"," 49","Montréal",44,11,4,20,164,2,1,4,250,488
24013,"Bourassa/Bourassa"," 50","Montréal",40,14,3,12,118,3,2,11,203,455
24013,"Bourassa/Bourassa"," 51","Montréal",24,5,1,11,59,1,0,1,102,298
24013,"Bourassa/Bourassa"," 52","Montréal",24,9,1,30,114,1,3,8,190,436
24013,"Bourassa/Bourassa"," 53","Montréal",17,5,5,17,82,0,0,4,130,419
24013,"Bourassa/Bourassa"," 54A","Montréal",24,13,0,21,66,0,1,1,126,440
