Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Barbara Bal,Mark Carney,Eric Fleury,Greg Hopkins,Shyam Shukla,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35067,"Nepean/Nepean"," 60","Ottawa",26,56,0,0,4,1,87,408
35067,"Nepean/Nepean"," 61","Ottawa",59,100,0,1,3,0,163,438
35067,"Nepean/Nepean"," 62","Ottawa",37,82,0,2,1,1,123,409
35067,"Nepean/Nepean"," 63","Ottawa",28,175,2,0,6,4,215,595
35067,"Nepean/Nepean"," 64","Ottawa",59,62,0,0,4,1,126,423
35067,"Nepean/Nepean"," 65","Ottawa",44,73,0,1,3,0,121,446
35067,"Nepean/Nepean"," 66","Ottawa",43,98,0,4,6,1,152,483
35067,"Nepean/Nepean"," 67","Ottawa",51,95,2,0,7,1,156,392
35067,"Nepean/Nepean"," 68","Ottawa",59,157,0,3,2,0,221,544
35067,"Nepean/Nepean"," 69","Ottawa",39,74,1,1,5,0,120,430
35067,"Nepean/Nepean"," 70","Ottawa",30,59,0,2,2,4,97,403
35067,"Nepean/Nepean"," 71","Ottawa",51,91,0,0,4,1,147,474
35067,"Nepean/Nepean"," 72","Ottawa",45,77,1,2,2,2,129,416
35067,"Nepean/Nepean"," 73","Ottawa",37,73,2,2,2,0,116,376
35067,"Nepean/Nepean"," 74","Ottawa",63,70,1,0,5,4,143,447
35067,"Nepean/Nepean"," 75","Ottawa",43,57,1,5,1,1,108,345
35067,"Nepean/Nepean"," 76","Ottawa",46,68,0,2,1,0,117,420
35067,"Nepean/Nepean"," 77","Ottawa",73,134,0,1,1,1,210,480
35067,"Nepean/Nepean"," 78","Ottawa",59,105,0,2,3,4,173,418
35067,"Nepean/Nepean"," 79","Ottawa",91,106,1,1,7,2,208,439
35067,"Nepean/Nepean"," 80","Ottawa",49,93,1,0,1,1,145,397
35067,"Nepean/Nepean"," 81","Ottawa",60,91,0,1,2,0,154,440
35067,"Nepean/Nepean"," 82","Ottawa",59,113,2,1,3,4,182,505
35067,"Nepean/Nepean"," 83","Ottawa",53,116,1,0,4,2,176,436
35067,"Nepean/Nepean"," 84","Ottawa",78,120,0,1,4,2,205,558
35067,"Nepean/Nepean"," 85","Ottawa",61,125,1,3,8,2,200,570
35067,"Nepean/Nepean"," 86","Ottawa",81,101,0,3,3,0,188,489
35067,"Nepean/Nepean"," 87","Ottawa",51,87,3,2,2,0,145,400
35067,"Nepean/Nepean"," 88","Ottawa",59,103,0,1,2,1,166,442
35067,"Nepean/Nepean"," 89","Ottawa",51,127,1,0,10,3,192,492
35067,"Nepean/Nepean"," 90","Ottawa",43,99,0,1,2,1,146,398
35067,"Nepean/Nepean"," 91","Ottawa",40,110,1,0,0,1,152,459
35067,"Nepean/Nepean"," 92","Ottawa",30,101,2,1,2,0,136,389
35067,"Nepean/Nepean"," 93","Ottawa",41,76,0,2,3,0,122,419
35067,"Nepean/Nepean"," 94","Ottawa",100,109,0,1,2,0,212,515
35067,"Nepean/Nepean"," 95","Ottawa",63,107,0,0,7,0,177,455
35067,"Nepean/Nepean"," 96","Ottawa",55,74,0,0,4,0,133,443
35067,"Nepean/Nepean"," 97","Ottawa",58,110,1,0,3,0,172,467
35067,"Nepean/Nepean"," 98","Ottawa",62,120,1,0,8,0,191,581
35067,"Nepean/Nepean"," 99","Ottawa",59,130,1,4,3,2,199,535
35067,"Nepean/Nepean"," 100","Ottawa",59,58,2,0,0,0,119,317
35067,"Nepean/Nepean"," 101","Ottawa",40,54,2,1,0,0,97,315
35067,"Nepean/Nepean"," 102","Ottawa",64,88,0,2,5,3,162,430
35067,"Nepean/Nepean"," 103","Ottawa",72,114,0,0,4,0,190,474
35067,"Nepean/Nepean"," 104","Ottawa",77,115,0,1,10,2,205,561
35067,"Nepean/Nepean"," 105","Ottawa",51,105,0,3,1,1,161,510
35067,"Nepean/Nepean"," 106","Ottawa",44,77,2,1,3,0,127,385
35067,"Nepean/Nepean"," 107","Ottawa",46,114,0,1,2,1,164,411
35067,"Nepean/Nepean"," 108","Ottawa",58,155,0,1,2,3,219,591
35067,"Nepean/Nepean"," 109","Ottawa",58,98,2,4,11,2,175,539
35067,"Nepean/Nepean"," 110","Ottawa",46,68,1,0,1,0,116,439
35067,"Nepean/Nepean"," 111","Ottawa",53,65,0,1,2,0,121,364
35067,"Nepean/Nepean"," 112","Ottawa",35,60,0,2,4,0,101,411
35067,"Nepean/Nepean"," 113","Ottawa",35,66,1,0,0,1,103,384
35067,"Nepean/Nepean"," 114","Ottawa",49,101,1,3,9,2,165,507
35067,"Nepean/Nepean"," 115","Ottawa",43,53,1,1,0,1,99,437
35067,"Nepean/Nepean"," 116","Ottawa",58,86,2,1,2,2,151,454
35067,"Nepean/Nepean"," 117","Ottawa",45,96,0,4,4,0,149,376
35067,"Nepean/Nepean"," 118","Ottawa",55,112,0,1,4,0,172,435
35067,"Nepean/Nepean"," 119","Ottawa",46,114,0,0,7,0,167,458
35067,"Nepean/Nepean"," 120","Ottawa",53,119,0,1,3,0,176,456
35067,"Nepean/Nepean"," 121","Ottawa",76,141,0,4,5,0,226,539
35067,"Nepean/Nepean"," 122","Ottawa",62,119,0,3,6,1,191,500
35067,"Nepean/Nepean"," 123","Ottawa",49,75,0,3,2,0,129,381
35067,"Nepean/Nepean"," 124","Ottawa",44,61,2,2,2,0,111,420
35067,"Nepean/Nepean"," 125","Ottawa",63,86,0,3,3,3,158,487
35067,"Nepean/Nepean"," 126","Ottawa",68,110,1,0,6,0,185,463
35067,"Nepean/Nepean"," 127","Ottawa",75,92,0,2,3,0,172,382
35067,"Nepean/Nepean"," 128","Ottawa",44,95,2,4,8,0,153,449
35067,"Nepean/Nepean"," 129","Ottawa",59,101,0,1,3,4,168,507
35067,"Nepean/Nepean"," 130","Ottawa",40,102,1,0,7,2,152,467
35067,"Nepean/Nepean"," 131","Ottawa",54,86,1,6,6,1,154,494
35067,"Nepean/Nepean"," 132","Ottawa",57,97,0,0,0,0,154,475
35067,"Nepean/Nepean"," 133A","Ottawa",38,69,0,0,5,1,113,518
35067,"Nepean/Nepean"," 133B","Ottawa",41,56,0,0,3,0,100,466
35067,"Nepean/Nepean"," 134","Ottawa",62,124,0,3,7,1,197,576
35067,"Nepean/Nepean"," 135","Ottawa",39,53,0,4,4,0,100,342
35067,"Nepean/Nepean"," 136","Ottawa",52,76,1,1,1,0,131,350
35067,"Nepean/Nepean"," 137","Ottawa",73,155,1,0,9,4,242,529
35067,"Nepean/Nepean"," 138","Ottawa",41,59,2,0,3,0,105,322
35067,"Nepean/Nepean"," 139","Ottawa",55,81,0,0,0,0,136,456
35067,"Nepean/Nepean"," 140","Ottawa",75,113,0,0,2,2,192,547
35067,"Nepean/Nepean"," 141","Ottawa",68,101,1,0,6,0,176,547
35067,"Nepean/Nepean"," 142","Ottawa",43,79,0,0,2,0,124,309
35067,"Nepean/Nepean"," 143","Ottawa",46,104,0,1,3,0,154,366
35067,"Nepean/Nepean"," 144","Ottawa",47,83,2,2,2,0,136,419
35067,"Nepean/Nepean"," 145","Ottawa",42,70,0,2,7,0,121,429
35067,"Nepean/Nepean"," 146","Ottawa",55,89,5,0,3,1,153,429
35067,"Nepean/Nepean"," 147","Ottawa",67,45,1,2,4,0,119,448
35067,"Nepean/Nepean"," 148","Ottawa",52,109,1,2,5,1,170,520
35067,"Nepean/Nepean"," 149","Ottawa",56,77,0,1,7,0,141,447
35067,"Nepean/Nepean"," 150","Ottawa",59,96,0,1,6,0,162,492
35067,"Nepean/Nepean"," 151","Ottawa",82,119,0,3,4,1,209,511
35067,"Nepean/Nepean"," 152","Ottawa",44,95,0,0,2,1,142,347
35067,"Nepean/Nepean"," 153","Ottawa",70,95,2,0,2,0,169,453
35067,"Nepean/Nepean"," 154","Ottawa",52,91,0,2,1,0,146,557
35067,"Nepean/Nepean"," 155A","Ottawa",51,126,0,0,4,0,181,425
35067,"Nepean/Nepean"," 155B","Ottawa",58,108,0,0,4,1,171,427
35067,"Nepean/Nepean"," 156","Ottawa",55,95,3,1,0,0,154,473
35067,"Nepean/Nepean"," 157","Ottawa",75,144,1,2,2,0,224,526
35067,"Nepean/Nepean"," 158","Ottawa",33,92,0,0,3,2,130,535
35067,"Nepean/Nepean"," 159","Ottawa",62,101,0,3,5,1,172,551
35067,"Nepean/Nepean"," 160","Ottawa",65,111,2,0,5,2,185,411
35067,"Nepean/Nepean"," 161","Ottawa",92,160,1,0,9,1,263,634
35067,"Nepean/Nepean"," 162","Ottawa",64,119,0,1,1,1,186,439
35067,"Nepean/Nepean"," 163","Ottawa",54,84,0,0,2,0,140,440
35067,"Nepean/Nepean"," 164","Ottawa",59,91,1,2,1,0,154,390
35067,"Nepean/Nepean"," 165A","Ottawa",67,113,1,1,4,4,190,522
35067,"Nepean/Nepean"," 165B","Ottawa",88,99,1,2,0,1,191,443
35067,"Nepean/Nepean"," 166","Ottawa",63,78,0,0,5,1,147,618
35067,"Nepean/Nepean"," 167","Ottawa",69,107,0,2,4,4,186,556
35067,"Nepean/Nepean"," 168","Ottawa",64,112,0,1,5,2,184,554
35067,"Nepean/Nepean"," 169A","Ottawa",41,57,0,1,4,0,103,304
35067,"Nepean/Nepean"," 169B","Ottawa",41,62,2,0,2,1,108,325
35067,"Nepean/Nepean"," 170A","Ottawa",41,72,0,1,4,1,119,368
35067,"Nepean/Nepean"," 170B","Ottawa",32,69,0,0,3,0,104,273
35067,"Nepean/Nepean"," 171","Ottawa",60,81,1,1,1,0,144,519
35067,"Nepean/Nepean"," 172","Ottawa",42,83,1,0,9,0,135,489
35067,"Nepean/Nepean"," 173","Ottawa",53,103,0,1,4,0,161,524
35067,"Nepean/Nepean"," 174","Ottawa",46,58,0,2,0,1,107,381
35067,"Nepean/Nepean"," 175","Ottawa",49,98,1,1,4,2,155,504
35067,"Nepean/Nepean"," 176","Ottawa",68,104,0,1,5,0,178,570
35067,"Nepean/Nepean"," 177A","Ottawa",51,96,1,2,2,0,152,447
35067,"Nepean/Nepean"," 177B","Ottawa",59,74,1,0,2,0,136,402
35067,"Nepean/Nepean"," 178","Ottawa",53,91,4,2,4,0,154,544
35067,"Nepean/Nepean"," 179","Ottawa",52,95,0,0,4,2,153,550
35067,"Nepean/Nepean"," 180","Ottawa",57,75,0,1,3,2,138,537
35067,"Nepean/Nepean"," 181","Ottawa",54,119,0,3,2,0,178,460
35067,"Nepean/Nepean"," 182A","Ottawa",54,79,0,0,2,1,136,319
35067,"Nepean/Nepean"," 182B","Ottawa",54,72,1,0,4,0,131,299
35067,"Nepean/Nepean"," 183","Ottawa",56,108,0,0,4,1,169,415
35067,"Nepean/Nepean"," 184","Ottawa",71,104,0,2,1,0,178,631
35067,"Nepean/Nepean"," 185","Ottawa",57,93,0,0,5,0,155,462
35067,"Nepean/Nepean"," 186","Ottawa",81,127,0,1,3,0,212,583
35067,"Nepean/Nepean"," 187","Ottawa",41,83,0,0,1,0,125,363
35067,"Nepean/Nepean"," 188","Ottawa",72,117,4,1,5,1,200,528
35067,"Nepean/Nepean"," 189","Ottawa",90,121,1,4,7,3,226,566
35067,"Nepean/Nepean"," 190A","Ottawa",69,131,2,0,5,2,209,548
35067,"Nepean/Nepean"," 190B","Ottawa",66,113,0,0,3,0,182,509
35067,"Nepean/Nepean"," 191A","Ottawa",55,107,0,0,4,5,171,468
35067,"Nepean/Nepean"," 191B","Ottawa",62,103,0,0,7,4,176,495
35067,"Nepean/Nepean"," 192A","Ottawa",69,104,0,0,3,1,177,444
35067,"Nepean/Nepean"," 192B","Ottawa",55,122,0,0,3,0,180,403
35067,"Nepean/Nepean"," 400","Ottawa",41,66,1,0,7,0,115,263
35067,"Nepean/Nepean"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,49
35067,"Nepean/Nepean"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,59
35067,"Nepean/Nepean"," 502","Mobile poll/Bureau itinérant",15,51,2,1,1,3,73,59
35067,"Nepean/Nepean"," 503","Mobile poll/Bureau itinérant",25,93,1,0,0,1,120,111
35067,"Nepean/Nepean"," 504","Mobile poll/Bureau itinérant",22,68,0,1,1,0,92,120
35067,"Nepean/Nepean"," 505","Mobile poll/Bureau itinérant",46,123,2,0,1,1,173,229
35067,"Nepean/Nepean"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,69
35067,"Nepean/Nepean"," 507","Mobile poll/Bureau itinérant",45,58,2,1,1,1,108,99
35067,"Nepean/Nepean"," 508","Mobile poll/Bureau itinérant",20,65,0,1,0,8,94,141
35067,"Nepean/Nepean"," 600","Ottawa",393,937,2,8,21,0,1361,
35067,"Nepean/Nepean"," 601","Ottawa",427,842,3,14,24,2,1312,
35067,"Nepean/Nepean"," 602","Ottawa",552,1274,5,5,34,8,1878,
35067,"Nepean/Nepean"," 603","Ottawa",534,1215,9,5,26,2,1791,
35067,"Nepean/Nepean"," 604","Ottawa",686,1446,9,15,34,11,2201,
35067,"Nepean/Nepean"," 605","Ottawa",641,1360,3,11,29,3,2047,
35067,"Nepean/Nepean"," 606","Ottawa",381,764,2,6,18,2,1173,
35067,"Nepean/Nepean"," 607","Ottawa",651,1525,6,12,36,3,2233,
35067,"Nepean/Nepean"," 608","Ottawa",525,1135,2,6,28,4,1700,
35067,"Nepean/Nepean"," 609","Ottawa",535,1267,5,7,15,45,1874,
35067,"Nepean/Nepean"," 610","Ottawa",502,1164,2,7,22,6,1703,
35067,"Nepean/Nepean"," 611","Ottawa",543,1253,3,10,42,7,1858,
35067,"Nepean/Nepean"," 612","Ottawa",554,1278,6,13,27,6,1884,
35067,"Nepean/Nepean"," 613","Ottawa",709,1325,6,6,41,9,2096,
35067,"Nepean/Nepean"," 614","Ottawa",684,1341,7,5,13,11,2061,
35067,"Nepean/Nepean"," 615","Ottawa",520,1104,13,7,31,7,1682,
35067,"Nepean/Nepean"," 616","Ottawa",1021,1768,3,7,30,4,2833,
35067,"Nepean/Nepean"," 617","Ottawa",750,1321,8,10,15,5,2109,
35067,"Nepean/Nepean",,Group 1/Groupe 1, 417,1093,6,21,41,49,1627,615
35067,"Nepean/Nepean",,Group 2/Groupe 2, 1255,2258,7,27,41,37,3625,
