Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Richard Bragdon,Vern Brundle,Liam MacDougall,Julian Moulton,Michael John Winter,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 31","Bath",65,4,4,26,3,0,102,338
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 32","Upper Kent",91,3,1,19,2,0,116,240
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 33","Upper Kent",62,2,3,15,4,0,86,207
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 34","Taymouth",98,0,4,48,5,0,155,337
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 35","Glencoe",130,2,16,72,5,0,225,445
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 36","Glassville",116,2,9,48,8,1,184,339
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 37","Napadogan",99,0,9,29,8,2,147,415
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 38","Stanley",72,3,9,49,5,0,138,292
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 39","Upper Knoxford",122,4,6,21,2,2,157,410
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 40","Gordonsville",94,5,3,19,3,0,124,416
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 41","Bristol",73,3,4,39,4,0,123,305
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 42","Florenceville-Bristol",93,2,2,44,1,1,143,322
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 43","Windsor",132,8,3,17,6,1,167,344
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 44","Lansdowne",142,2,3,30,6,0,183,304
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 45","Wicklow",117,3,5,30,5,0,160,419
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 46","Florenceville",34,1,1,42,4,0,82,256
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 47","Wakem Corner",59,2,2,20,3,0,86,280
