Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Rhéal Fortin,Christel Marchand,Patricia Morrissette,Mary-Helen Walton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24064,"Rivière-du-Nord/Rivière-du-Nord"," 225","Saint-Jérôme",56,6,20,45,1,128,268
24064,"Rivière-du-Nord/Rivière-du-Nord"," 400","Saint-Jérôme",62,1,8,81,5,157,207
24064,"Rivière-du-Nord/Rivière-du-Nord"," 401","Saint-Jérôme",58,4,13,71,9,155,206
24064,"Rivière-du-Nord/Rivière-du-Nord"," 402","Saint-Jérôme",48,2,6,58,7,121,166
24064,"Rivière-du-Nord/Rivière-du-Nord"," 403","Saint-Jérôme",78,2,15,73,7,175,254
24064,"Rivière-du-Nord/Rivière-du-Nord"," 404","Saint-Jérôme",Combined with No./Résultats combinés à ceux du n°405,,,,,,191
24064,"Rivière-du-Nord/Rivière-du-Nord"," 405","Saint-Jérôme",56,11,27,38,4,136,230
24064,"Rivière-du-Nord/Rivière-du-Nord"," 406","Saint-Jérôme",112,4,23,121,12,272,434
24064,"Rivière-du-Nord/Rivière-du-Nord"," 407","Saint-Jérôme",38,0,9,43,5,95,146
24064,"Rivière-du-Nord/Rivière-du-Nord"," 408","Saint-Jérôme",113,0,9,57,5,184,218
24064,"Rivière-du-Nord/Rivière-du-Nord"," 500","Mobile poll/Bureau itinérant",10,2,4,10,2,28,53
24064,"Rivière-du-Nord/Rivière-du-Nord"," 501","Mobile poll/Bureau itinérant",40,2,10,40,6,98,107
24064,"Rivière-du-Nord/Rivière-du-Nord"," 502","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,
24064,"Rivière-du-Nord/Rivière-du-Nord"," 503","Mobile poll/Bureau itinérant",24,1,12,32,8,77,72
