Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Dinah Althorpe,Yawar Anwar,Tony Baldinelli,Andrea Kaiser,Shannon Mitchell,Daniel Shakhmundes,Celia Taylor,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 47","Niagara Falls",2,1,79,76,11,1,1,1,172,508
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 48","Niagara Falls",0,0,93,85,10,0,2,3,193,591
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 49","Niagara Falls",2,1,108,80,11,0,3,3,208,619
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 50","Niagara Falls",1,0,68,53,16,0,1,1,140,416
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 51","Niagara Falls",3,1,77,76,13,0,4,0,174,521
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 52","Niagara Falls",0,0,67,50,13,1,1,1,133,382
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 53","Niagara Falls",2,0,76,58,11,1,3,0,151,566
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 54","Niagara Falls",0,0,60,51,10,1,3,1,126,558
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 55","Niagara Falls",2,1,139,113,10,1,0,2,268,582
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 56","Niagara Falls",2,0,143,83,4,0,1,1,234,444
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 57","Niagara Falls",1,0,130,88,0,0,1,2,222,479
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 58","Niagara Falls",0,0,79,29,9,0,0,0,117,312
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 59","Niagara Falls",5,2,113,97,4,1,1,2,225,560
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 60","Niagara Falls",2,0,148,95,5,0,5,0,255,652
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 61","Niagara Falls",3,0,91,64,7,1,2,0,168,543
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 62","Niagara Falls",0,0,73,61,6,1,0,0,141,594
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 63","Niagara Falls",3,0,114,74,7,1,5,1,205,590
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 64","Niagara Falls",1,0,123,63,23,1,4,1,216,557
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 65","Niagara Falls",3,2,90,124,16,1,5,1,242,579
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 66","Niagara Falls",0,0,123,94,12,0,2,1,232,555
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 67","Niagara Falls",1,1,134,101,11,0,4,0,252,580
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 68","Niagara Falls",6,0,108,72,9,1,4,4,204,556
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 69","Niagara Falls",1,0,107,85,14,0,3,3,213,594
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 70","Niagara Falls",5,1,104,100,5,0,2,2,219,466
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 71","Niagara Falls",1,0,62,61,6,0,4,0,134,494
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 72","Niagara Falls",1,0,126,110,11,2,1,3,254,598
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 73","Niagara Falls",0,0,140,118,11,0,2,0,271,598
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 74","Niagara Falls",1,1,145,110,6,0,1,2,266,574
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 75","Niagara Falls",2,0,138,93,12,0,2,0,247,501
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 76","Niagara Falls",2,4,110,89,9,0,3,1,218,508
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 77","Niagara Falls",1,1,135,125,19,2,3,1,287,587
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 78","Niagara Falls",2,0,95,64,11,1,6,0,179,538
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 79","Niagara Falls",3,0,160,111,24,0,0,4,302,726
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 80","Niagara Falls",1,0,110,69,19,0,1,2,202,580
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 81","Niagara Falls",3,1,90,91,9,0,8,2,204,564
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 82","Niagara Falls",3,0,90,50,4,1,1,1,150,536
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 83","Niagara Falls",4,1,66,35,13,1,4,3,127,492
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 84","Niagara Falls",0,0,70,60,10,1,2,0,143,447
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 85","Niagara Falls",2,0,79,44,13,0,2,0,140,483
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 86","Niagara Falls",1,0,87,67,14,0,4,2,175,538
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 87","Niagara Falls",0,0,88,50,13,0,3,1,155,532
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 88","Niagara Falls",1,0,116,88,10,0,3,2,220,554
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 89","Niagara Falls",3,3,125,90,7,1,1,4,234,580
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 90","Niagara Falls",3,1,146,131,12,3,3,2,301,686
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 91","Niagara Falls",3,1,137,109,10,1,1,0,262,674
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 92","Niagara Falls",2,0,98,63,12,2,5,3,185,438
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 93","Niagara Falls",2,1,128,90,10,0,2,0,233,611
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 94","Niagara Falls",3,0,130,74,10,1,1,1,220,606
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 95","Niagara Falls",3,1,131,83,9,0,3,1,231,585
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 96","Niagara Falls",2,0,135,73,9,0,3,0,222,660
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 97","Niagara Falls",1,0,108,66,11,0,3,1,190,662
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 98","Niagara Falls",0,0,126,74,12,3,3,0,218,630
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 99","Niagara Falls",2,0,118,75,10,0,0,1,206,569
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 100","Niagara Falls",5,0,98,64,10,1,3,1,182,560
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 101","Niagara Falls",7,0,59,44,10,0,1,0,121,500
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 102","Niagara Falls",0,0,88,56,13,1,1,1,160,517
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 103","Niagara Falls",1,0,101,64,7,0,0,0,173,539
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 104","Niagara Falls",5,0,99,75,14,1,2,1,197,619
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 105","Niagara Falls",5,0,99,94,17,2,2,1,220,606
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 106","Niagara Falls",3,0,100,84,14,0,6,1,208,640
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 107","Niagara Falls",1,0,124,84,15,1,1,2,228,621
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 108","Niagara Falls",2,2,90,45,8,2,3,1,153,465
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 109","Niagara Falls",0,0,77,66,0,1,3,1,148,431
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 110","Niagara Falls",3,1,110,66,13,1,1,1,196,529
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 111","Niagara Falls",2,0,108,59,12,1,2,0,184,538
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 112","Niagara Falls",1,1,71,61,4,0,0,0,138,402
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 113","Niagara Falls",1,2,156,102,5,1,0,3,270,690
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 114","Niagara Falls",3,2,143,84,7,0,2,1,242,566
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 115","Niagara Falls",0,1,113,84,2,1,0,0,201,643
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 116","Niagara Falls",0,0,133,82,1,1,1,1,219,648
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 117","Niagara Falls",3,0,96,77,14,2,3,2,197,506
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 118","Niagara Falls",0,0,100,85,14,0,3,0,202,621
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 119","Niagara Falls",1,1,68,68,7,1,3,4,153,456
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 120","Niagara Falls",0,0,76,41,2,0,0,2,121,356
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 121","Niagara Falls",1,0,88,62,7,0,0,1,159,546
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 122","Niagara Falls",3,0,102,75,15,1,4,3,203,553
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 123","Niagara Falls",0,0,69,61,3,0,0,2,135,528
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 124","Niagara Falls",2,1,136,93,7,0,2,1,242,554
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 125","Niagara Falls",1,0,111,68,8,0,1,0,189,610
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 126A","Niagara Falls",4,0,91,83,10,1,3,0,192,544
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 126B","Niagara Falls",0,1,23,50,2,0,2,4,82,102
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 127","Niagara Falls",5,0,83,79,14,1,4,3,189,524
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 128","Niagara Falls",1,1,87,81,16,2,3,1,192,567
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 129","Niagara Falls",5,0,140,99,6,1,0,0,251,597
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 130","Niagara Falls",1,1,104,68,4,1,3,1,183,563
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 131","Niagara Falls",4,0,103,92,7,0,2,1,209,563
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 132","Niagara Falls",1,0,131,130,16,0,2,0,280,607
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 133","Niagara Falls",2,1,166,120,24,2,1,5,321,684
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 134","Niagara Falls",2,0,113,60,14,1,0,0,190,441
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 135","Niagara Falls",1,0,102,53,7,0,2,0,165,447
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 136","Niagara Falls",1,0,115,67,15,0,4,1,203,568
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 137","Niagara Falls",2,0,101,67,19,0,0,4,193,484
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 138","Niagara Falls",0,0,134,86,13,0,1,2,236,540
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 139","Niagara Falls",3,0,74,51,14,1,1,0,144,448
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 140","Niagara Falls",2,0,79,69,13,0,3,2,168,561
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 141","Niagara Falls",1,3,87,57,10,1,8,1,168,469
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 142","Niagara Falls",3,3,73,39,12,2,0,1,133,420
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 143","Niagara Falls",0,0,115,81,10,1,2,1,210,533
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 144","Niagara Falls",1,0,92,63,7,1,0,3,167,542
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 145","Niagara Falls",1,0,90,77,5,1,2,0,176,464
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 146","Niagara Falls",4,0,69,37,13,1,5,2,131,449
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 147","Niagara Falls",0,1,118,50,9,0,2,0,180,634
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 148","Niagara Falls",1,0,97,32,9,1,3,0,143,540
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 149","Niagara Falls",4,1,93,73,9,0,3,0,183,632
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 150","Niagara Falls",1,2,97,64,11,0,1,3,179,580
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 151","Niagara Falls",1,0,104,78,3,0,2,2,190,456
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 152","Niagara Falls",0,0,82,49,7,3,0,1,142,478
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 153","Niagara Falls",0,0,90,41,5,0,2,1,139,461
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 154","Niagara Falls",1,0,98,68,6,0,1,0,174,568
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 155","Niagara Falls",1,2,106,41,5,2,1,1,159,493
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 156","Niagara Falls",3,0,81,77,6,0,2,0,169,544
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 157","Niagara Falls",1,2,109,83,3,0,2,1,201,528
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 158","Niagara Falls",2,0,123,106,11,2,0,2,246,706
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 159","Niagara Falls",1,1,148,75,5,2,1,0,233,643
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 160","Niagara Falls",0,2,116,70,10,2,2,3,205,541
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 161","Niagara Falls",1,6,134,84,8,1,3,5,242,719
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 162","Niagara Falls",2,3,125,60,2,0,1,2,195,587
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 163","Niagara Falls",0,0,68,44,7,0,0,0,119,426
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 164","Niagara Falls",2,1,94,85,7,0,1,1,191,560
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 165","Niagara Falls",3,0,108,70,5,0,4,1,191,388
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 166","Niagara Falls",0,0,96,51,8,2,2,2,161,353
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 167","Niagara Falls",4,0,149,67,3,3,2,1,229,510
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 168","Niagara Falls",0,0,129,66,13,0,0,1,209,457
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 169","Niagara Falls",0,0,94,65,6,1,3,0,169,344
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 400","Niagara Falls",2,0,35,50,13,0,1,0,101,210
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,,,46
