Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Marie-Josée Béliveau,Yves-François Blanchet,Sylvain Goulet,Nicholas Malouin,Nicholas Manes,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24011,"Beloeil--Chambly/Beloeil--Chambly"," 46","Beloeil",7,80,19,46,0,1,153,326
24011,"Beloeil--Chambly/Beloeil--Chambly"," 47","Beloeil",6,107,32,43,1,0,189,399
24011,"Beloeil--Chambly/Beloeil--Chambly"," 48","Beloeil",8,80,21,71,1,4,185,419
24011,"Beloeil--Chambly/Beloeil--Chambly"," 49","Beloeil",4,76,22,48,0,3,153,360
24011,"Beloeil--Chambly/Beloeil--Chambly"," 50","Beloeil",8,79,24,44,1,8,164,428
24011,"Beloeil--Chambly/Beloeil--Chambly"," 51","Beloeil",16,82,33,57,1,3,192,454
24011,"Beloeil--Chambly/Beloeil--Chambly"," 52","Beloeil",10,102,37,47,3,2,201,434
24011,"Beloeil--Chambly/Beloeil--Chambly"," 53","Beloeil",5,82,22,50,1,2,162,388
24011,"Beloeil--Chambly/Beloeil--Chambly"," 54","Beloeil",3,98,23,39,0,0,163,412
24011,"Beloeil--Chambly/Beloeil--Chambly"," 55","Beloeil",8,67,36,62,0,4,177,375
24011,"Beloeil--Chambly/Beloeil--Chambly"," 56","Beloeil",11,93,34,64,1,1,204,424
24011,"Beloeil--Chambly/Beloeil--Chambly"," 57A","Beloeil",4,56,23,59,0,0,142,304
24011,"Beloeil--Chambly/Beloeil--Chambly"," 57B","Mobile poll/Bureau itinérant",1,9,4,9,0,0,23,37
24011,"Beloeil--Chambly/Beloeil--Chambly"," 58","Beloeil",5,79,24,42,0,3,153,381
24011,"Beloeil--Chambly/Beloeil--Chambly"," 59","Beloeil",7,78,24,23,2,6,140,319
24011,"Beloeil--Chambly/Beloeil--Chambly"," 60","Beloeil",4,107,33,52,0,3,199,404
24011,"Beloeil--Chambly/Beloeil--Chambly"," 61","Beloeil",11,87,50,42,5,4,199,403
24011,"Beloeil--Chambly/Beloeil--Chambly"," 62","Beloeil",4,110,28,54,1,1,198,420
24011,"Beloeil--Chambly/Beloeil--Chambly"," 63","Beloeil",10,69,17,49,1,4,150,380
24011,"Beloeil--Chambly/Beloeil--Chambly"," 64","Beloeil",2,92,34,35,1,4,168,347
24011,"Beloeil--Chambly/Beloeil--Chambly"," 65","Beloeil",3,84,19,42,0,2,150,366
24011,"Beloeil--Chambly/Beloeil--Chambly"," 66","Beloeil",9,60,25,51,1,1,147,333
24011,"Beloeil--Chambly/Beloeil--Chambly"," 67","Mont-Saint-Hilaire",4,61,10,57,1,2,135,349
24011,"Beloeil--Chambly/Beloeil--Chambly"," 68","Mont-Saint-Hilaire",5,62,16,65,0,0,148,406
24011,"Beloeil--Chambly/Beloeil--Chambly"," 69","Mont-Saint-Hilaire",2,57,20,56,5,1,141,307
24011,"Beloeil--Chambly/Beloeil--Chambly"," 70","Mont-Saint-Hilaire",15,107,17,61,0,1,201,481
24011,"Beloeil--Chambly/Beloeil--Chambly"," 71","Mont-Saint-Hilaire",8,74,18,40,1,0,141,348
24011,"Beloeil--Chambly/Beloeil--Chambly"," 72","Beloeil",3,46,9,52,0,4,114,456
24011,"Beloeil--Chambly/Beloeil--Chambly"," 73","Beloeil",4,78,17,44,1,3,147,378
24011,"Beloeil--Chambly/Beloeil--Chambly"," 74","Beloeil",11,71,22,36,0,2,142,368
24011,"Beloeil--Chambly/Beloeil--Chambly"," 75","Beloeil",7,84,31,54,3,2,181,422
24011,"Beloeil--Chambly/Beloeil--Chambly"," 76","Beloeil",9,84,19,38,2,1,153,416
24011,"Beloeil--Chambly/Beloeil--Chambly"," 77","Beloeil",6,86,27,41,5,3,168,376
24011,"Beloeil--Chambly/Beloeil--Chambly"," 78","Beloeil",9,67,14,61,1,1,153,351
24011,"Beloeil--Chambly/Beloeil--Chambly"," 79","McMasterville",5,50,20,39,1,1,116,281
24011,"Beloeil--Chambly/Beloeil--Chambly"," 80","McMasterville",5,55,26,36,3,3,128,257
24011,"Beloeil--Chambly/Beloeil--Chambly"," 81","McMasterville",9,67,13,33,0,0,122,299
24011,"Beloeil--Chambly/Beloeil--Chambly"," 82","McMasterville",10,64,28,38,0,3,143,293
24011,"Beloeil--Chambly/Beloeil--Chambly"," 83","McMasterville",4,74,25,35,3,0,141,355
24011,"Beloeil--Chambly/Beloeil--Chambly"," 84","McMasterville",1,53,18,30,1,5,108,239
24011,"Beloeil--Chambly/Beloeil--Chambly"," 85","McMasterville",6,52,6,36,0,1,101,213
24011,"Beloeil--Chambly/Beloeil--Chambly"," 86","McMasterville",4,48,22,30,2,0,106,282
24011,"Beloeil--Chambly/Beloeil--Chambly"," 87","McMasterville",15,106,25,51,0,1,198,415
24011,"Beloeil--Chambly/Beloeil--Chambly"," 88","McMasterville",10,59,28,37,0,2,136,345
24011,"Beloeil--Chambly/Beloeil--Chambly"," 89","McMasterville",6,52,34,24,0,1,117,274
24011,"Beloeil--Chambly/Beloeil--Chambly"," 90","McMasterville",7,73,24,52,2,4,162,399
24011,"Beloeil--Chambly/Beloeil--Chambly"," 91","McMasterville",11,73,20,28,1,3,136,343
24011,"Beloeil--Chambly/Beloeil--Chambly"," 92","McMasterville",6,67,20,52,0,2,147,412
24011,"Beloeil--Chambly/Beloeil--Chambly"," 93","Otterburn Park",7,66,21,29,1,2,126,410
24011,"Beloeil--Chambly/Beloeil--Chambly"," 94","Otterburn Park",11,104,23,92,2,3,235,541
24011,"Beloeil--Chambly/Beloeil--Chambly"," 95","Otterburn Park",17,118,32,47,3,1,218,458
24011,"Beloeil--Chambly/Beloeil--Chambly"," 96","Otterburn Park",7,68,18,50,1,0,144,407
24011,"Beloeil--Chambly/Beloeil--Chambly"," 97","Otterburn Park",16,92,20,42,1,1,172,387
24011,"Beloeil--Chambly/Beloeil--Chambly"," 98","Mont-Saint-Hilaire",5,91,23,58,0,0,177,424
24011,"Beloeil--Chambly/Beloeil--Chambly"," 99","Mont-Saint-Hilaire",9,88,21,57,2,0,177,378
24011,"Beloeil--Chambly/Beloeil--Chambly"," 100","Mont-Saint-Hilaire",8,97,29,84,1,3,222,442
24011,"Beloeil--Chambly/Beloeil--Chambly"," 101","Mont-Saint-Hilaire",4,82,13,59,4,3,165,383
24011,"Beloeil--Chambly/Beloeil--Chambly"," 102","Mont-Saint-Hilaire",5,86,16,50,4,2,163,427
24011,"Beloeil--Chambly/Beloeil--Chambly"," 103","Otterburn Park",6,66,26,67,0,0,165,411
24011,"Beloeil--Chambly/Beloeil--Chambly"," 104","Otterburn Park",7,77,14,69,0,0,167,440
24011,"Beloeil--Chambly/Beloeil--Chambly"," 105","Otterburn Park",7,78,45,58,2,2,192,447
24011,"Beloeil--Chambly/Beloeil--Chambly"," 106","Otterburn Park",8,66,27,31,2,1,135,345
24011,"Beloeil--Chambly/Beloeil--Chambly"," 107","Otterburn Park",7,86,30,54,5,2,184,442
24011,"Beloeil--Chambly/Beloeil--Chambly"," 108","Otterburn Park",8,56,19,41,0,1,125,382
24011,"Beloeil--Chambly/Beloeil--Chambly"," 109","Otterburn Park",6,99,27,57,0,3,192,431
24011,"Beloeil--Chambly/Beloeil--Chambly"," 110","Otterburn Park",10,96,30,60,4,1,201,442
24011,"Beloeil--Chambly/Beloeil--Chambly"," 111","Otterburn Park",8,93,33,48,2,3,187,498
24011,"Beloeil--Chambly/Beloeil--Chambly"," 112","Otterburn Park",9,57,20,48,2,2,138,354
24011,"Beloeil--Chambly/Beloeil--Chambly"," 113","Otterburn Park",6,61,25,63,2,1,158,370
24011,"Beloeil--Chambly/Beloeil--Chambly"," 114","Saint-Jean-Baptiste",6,75,14,29,4,4,132,316
24011,"Beloeil--Chambly/Beloeil--Chambly"," 115","Saint-Jean-Baptiste",4,83,25,49,7,0,168,367
24011,"Beloeil--Chambly/Beloeil--Chambly"," 116","Saint-Jean-Baptiste",6,54,35,34,2,3,134,344
24011,"Beloeil--Chambly/Beloeil--Chambly"," 117","Saint-Jean-Baptiste",3,53,23,23,2,4,108,216
24011,"Beloeil--Chambly/Beloeil--Chambly"," 118","Saint-Jean-Baptiste",5,77,27,25,2,2,138,317
24011,"Beloeil--Chambly/Beloeil--Chambly"," 119","Saint-Jean-Baptiste",10,104,37,36,0,6,193,390
24011,"Beloeil--Chambly/Beloeil--Chambly"," 120","Saint-Jean-Baptiste",2,49,25,27,1,2,106,294
24011,"Beloeil--Chambly/Beloeil--Chambly"," 121","Saint-Jean-Baptiste",2,57,22,40,1,3,125,268
24011,"Beloeil--Chambly/Beloeil--Chambly"," 122","Saint-Mathias-sur-Richelieu",3,106,23,49,1,4,186,367
24011,"Beloeil--Chambly/Beloeil--Chambly"," 123","Saint-Mathias-sur-Richelieu",4,76,32,32,1,1,146,301
24011,"Beloeil--Chambly/Beloeil--Chambly"," 124","Saint-Mathias-sur-Richelieu",5,58,23,37,1,3,127,315
24011,"Beloeil--Chambly/Beloeil--Chambly"," 125","Saint-Mathias-sur-Richelieu",2,66,41,31,1,2,143,297
24011,"Beloeil--Chambly/Beloeil--Chambly"," 126","Saint-Mathias-sur-Richelieu",5,92,23,33,2,2,157,389
24011,"Beloeil--Chambly/Beloeil--Chambly"," 127","Saint-Mathias-sur-Richelieu",5,54,20,28,0,0,107,296
24011,"Beloeil--Chambly/Beloeil--Chambly"," 128","Saint-Mathias-sur-Richelieu",11,126,30,45,3,0,215,415
24011,"Beloeil--Chambly/Beloeil--Chambly"," 129","Saint-Mathias-sur-Richelieu",7,60,22,37,1,1,128,345
24011,"Beloeil--Chambly/Beloeil--Chambly"," 130","Saint-Mathias-sur-Richelieu",1,94,32,37,1,3,168,396
24011,"Beloeil--Chambly/Beloeil--Chambly"," 131","Saint-Mathias-sur-Richelieu",7,61,21,37,1,5,132,365
24011,"Beloeil--Chambly/Beloeil--Chambly"," 132","Saint-Mathias-sur-Richelieu",3,74,25,52,3,3,160,348
24011,"Beloeil--Chambly/Beloeil--Chambly"," 133","Marieville",11,82,47,47,0,2,189,457
24011,"Beloeil--Chambly/Beloeil--Chambly"," 134","Marieville",8,110,63,59,1,3,244,523
24011,"Beloeil--Chambly/Beloeil--Chambly"," 135","Marieville",6,77,34,34,3,10,164,479
24011,"Beloeil--Chambly/Beloeil--Chambly"," 136","Marieville",8,113,30,45,1,9,206,427
24011,"Beloeil--Chambly/Beloeil--Chambly"," 137","Marieville",9,87,44,52,5,1,198,509
24011,"Beloeil--Chambly/Beloeil--Chambly"," 138","Marieville",5,48,45,27,0,2,127,333
24011,"Beloeil--Chambly/Beloeil--Chambly"," 139","Marieville",5,76,35,42,2,3,163,466
24011,"Beloeil--Chambly/Beloeil--Chambly"," 140","Marieville",9,61,16,33,7,2,128,379
24011,"Beloeil--Chambly/Beloeil--Chambly"," 141","Marieville",2,55,31,28,0,4,120,389
24011,"Beloeil--Chambly/Beloeil--Chambly"," 142","Marieville",12,75,39,47,2,5,180,441
24011,"Beloeil--Chambly/Beloeil--Chambly"," 143A","Chambly",6,55,39,55,2,1,158,367
24011,"Beloeil--Chambly/Beloeil--Chambly"," 143B","Chambly",11,58,39,38,1,3,150,400
24011,"Beloeil--Chambly/Beloeil--Chambly"," 144","Chambly",0,81,44,81,0,4,210,489
24011,"Beloeil--Chambly/Beloeil--Chambly"," 145","Chambly",5,95,26,62,0,3,191,472
24011,"Beloeil--Chambly/Beloeil--Chambly"," 146","Chambly",8,87,25,51,1,1,173,387
24011,"Beloeil--Chambly/Beloeil--Chambly"," 147","Chambly",8,78,33,56,1,2,178,371
24011,"Beloeil--Chambly/Beloeil--Chambly"," 148","Chambly",3,94,34,28,0,3,162,391
24011,"Beloeil--Chambly/Beloeil--Chambly"," 149","Chambly",5,77,33,54,2,5,176,441
24011,"Beloeil--Chambly/Beloeil--Chambly"," 150","Chambly",16,99,29,67,5,2,218,465
24011,"Beloeil--Chambly/Beloeil--Chambly"," 151","Chambly",12,97,15,58,4,5,191,429
24011,"Beloeil--Chambly/Beloeil--Chambly"," 152","Marieville",5,86,32,42,0,6,171,402
24011,"Beloeil--Chambly/Beloeil--Chambly"," 153","Marieville",1,21,7,11,0,1,41,123
24011,"Beloeil--Chambly/Beloeil--Chambly"," 154","Marieville",6,67,18,22,1,7,121,397
24011,"Beloeil--Chambly/Beloeil--Chambly"," 155","Marieville",4,68,26,28,2,5,133,378
24011,"Beloeil--Chambly/Beloeil--Chambly"," 156","Marieville",5,78,11,31,0,2,127,331
24011,"Beloeil--Chambly/Beloeil--Chambly"," 157","Marieville",4,82,39,37,0,3,165,399
24011,"Beloeil--Chambly/Beloeil--Chambly"," 158","Marieville",11,91,28,42,0,2,174,429
24011,"Beloeil--Chambly/Beloeil--Chambly"," 159","Marieville",5,102,43,64,0,2,216,509
24011,"Beloeil--Chambly/Beloeil--Chambly"," 160","Marieville",8,110,51,66,0,3,238,590
24011,"Beloeil--Chambly/Beloeil--Chambly"," 161","Marieville",8,81,42,62,3,3,199,482
24011,"Beloeil--Chambly/Beloeil--Chambly"," 162","Marieville",1,89,34,31,2,2,159,440
24011,"Beloeil--Chambly/Beloeil--Chambly"," 163","Chambly",8,71,17,23,2,2,123,389
24011,"Beloeil--Chambly/Beloeil--Chambly"," 164","Chambly",5,82,21,39,2,2,151,314
24011,"Beloeil--Chambly/Beloeil--Chambly"," 165","Chambly",5,70,21,31,1,2,130,329
24011,"Beloeil--Chambly/Beloeil--Chambly"," 166","Chambly",9,57,22,41,0,1,130,326
24011,"Beloeil--Chambly/Beloeil--Chambly"," 167","Chambly",9,106,24,51,0,2,192,422
24011,"Beloeil--Chambly/Beloeil--Chambly"," 168","Chambly",2,102,34,57,5,4,204,540
24011,"Beloeil--Chambly/Beloeil--Chambly"," 169","Chambly",5,92,32,53,2,2,186,419
24011,"Beloeil--Chambly/Beloeil--Chambly"," 170","Chambly",5,70,24,43,2,0,144,420
24011,"Beloeil--Chambly/Beloeil--Chambly"," 171","Chambly",10,68,26,30,5,8,147,373
24011,"Beloeil--Chambly/Beloeil--Chambly"," 172","Chambly",9,93,29,52,4,4,191,397
24011,"Beloeil--Chambly/Beloeil--Chambly"," 173","Chambly",7,69,33,46,0,0,155,432
24011,"Beloeil--Chambly/Beloeil--Chambly"," 174","Chambly",11,72,20,53,1,2,159,363
24011,"Beloeil--Chambly/Beloeil--Chambly"," 175","Chambly",0,56,15,22,0,2,95,333
24011,"Beloeil--Chambly/Beloeil--Chambly"," 176","Chambly",4,44,17,20,2,5,92,261
24011,"Beloeil--Chambly/Beloeil--Chambly"," 177","Chambly",7,57,17,43,0,2,126,344
24011,"Beloeil--Chambly/Beloeil--Chambly"," 178","Chambly",4,92,27,58,0,2,183,394
24011,"Beloeil--Chambly/Beloeil--Chambly"," 179","Chambly",7,76,27,40,2,1,153,380
24011,"Beloeil--Chambly/Beloeil--Chambly"," 180","Chambly",2,59,23,29,1,4,118,312
24011,"Beloeil--Chambly/Beloeil--Chambly"," 181","Chambly",14,108,30,49,2,7,210,443
24011,"Beloeil--Chambly/Beloeil--Chambly"," 182","Chambly",8,80,20,45,0,1,154,333
24011,"Beloeil--Chambly/Beloeil--Chambly"," 183","Chambly",6,63,19,31,0,1,120,317
24011,"Beloeil--Chambly/Beloeil--Chambly"," 184","Chambly",4,85,29,38,0,2,158,365
24011,"Beloeil--Chambly/Beloeil--Chambly"," 185","Chambly",6,92,25,52,0,4,179,423
24011,"Beloeil--Chambly/Beloeil--Chambly"," 186","Chambly",6,71,21,44,3,2,147,423
24011,"Beloeil--Chambly/Beloeil--Chambly"," 187","Chambly",4,75,28,64,0,2,173,472
24011,"Beloeil--Chambly/Beloeil--Chambly"," 188","Chambly",8,98,46,67,2,5,226,519
24011,"Beloeil--Chambly/Beloeil--Chambly"," 189","Chambly",4,50,24,34,1,1,114,370
24011,"Beloeil--Chambly/Beloeil--Chambly"," 190","Chambly",4,90,53,99,1,2,249,607
24011,"Beloeil--Chambly/Beloeil--Chambly"," 191","Chambly",8,67,12,53,1,0,141,384
24011,"Beloeil--Chambly/Beloeil--Chambly"," 192","Chambly",2,85,23,51,0,0,161,382
24011,"Beloeil--Chambly/Beloeil--Chambly"," 193","Chambly",3,81,30,68,0,1,183,452
24011,"Beloeil--Chambly/Beloeil--Chambly"," 194","Chambly",3,83,21,51,1,2,161,409
24011,"Beloeil--Chambly/Beloeil--Chambly"," 195","Richelieu",5,59,40,38,9,2,153,395
24011,"Beloeil--Chambly/Beloeil--Chambly"," 196","Richelieu",5,34,8,29,0,3,79,326
24011,"Beloeil--Chambly/Beloeil--Chambly"," 197","Richelieu",8,109,51,66,1,6,241,535
24011,"Beloeil--Chambly/Beloeil--Chambly"," 198","Richelieu",6,63,36,29,4,0,138,369
24011,"Beloeil--Chambly/Beloeil--Chambly"," 199","Richelieu",7,89,28,20,2,1,147,363
24011,"Beloeil--Chambly/Beloeil--Chambly"," 200","Richelieu",7,87,21,52,3,5,175,400
