Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Anthony Germain,Jonathan Rowe,Liam Ryan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 25","Hare Bay",125,161,6,2,294,493
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 26","Gambo",79,81,8,2,170,503
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 27","Middle Brook",42,39,2,0,83,218
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 28","Middle Brook",56,34,0,0,90,205
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 29","Middle Brook",64,50,3,1,118,265
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 30","Gambo",83,82,9,4,178,478
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 31","Glovertown",48,46,1,2,97,241
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 32","Glovertown--Saunders Cove",57,71,9,0,137,393
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 33","Glovertown",54,66,4,0,124,387
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 34","Glovertown",37,40,3,0,80,236
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 35","Glovertown",78,113,6,0,197,442
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 36","Traytown",92,66,6,2,166,299
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 37","Sandringham",52,42,6,3,103,192
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 38","Burnside-St. Chads",20,11,2,1,34,62
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 39","St. Brendan's",43,25,3,1,72,111
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 40","Eastport--Sandy Cove",129,79,9,5,222,371
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 41","Eastport--Happy Adventure",83,72,9,6,170,300
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 42","Salvage",30,24,0,0,54,108
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 43","Terra Nova",36,10,2,1,49,91
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 44","Charlottetown",45,75,4,0,124,207
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 45","Plate Cove West--Plate Cove East",54,62,6,1,123,207
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 46","Open Hall--Red Cliffe--Tickle Cove",30,12,0,1,43,73
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 47","King's Cove",40,24,3,1,68,160
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 48","Duntara--Keels",30,16,0,1,47,76
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 49","Upper Amherst Cove--Middle Amherst Cove",56,44,2,0,102,189
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 50","Bonavista",42,62,5,1,110,278
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 51","Bonavista",29,46,3,1,79,232
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 52","Bonavista",43,38,1,1,83,238
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 53","Bonavista",67,61,3,2,133,340
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 54","Bonavista",67,74,4,1,146,421
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 55","Bonavista",51,66,2,1,120,283
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 56","Bonavista",62,79,4,0,145,344
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 57","Bonavista",52,61,2,1,116,290
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 58","Bonavista",58,77,0,1,136,334
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 59","Elliston",65,53,11,6,135,265
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 60","Little Catalina",76,52,3,2,133,324
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 61","Catalina",38,52,2,1,93,244
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 62","Catalina",54,87,3,3,147,363
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 63","Port Union",64,83,7,1,155,334
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 64","Melrose",28,47,5,1,81,163
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 65","English Harbour--Champney's West",12,16,1,0,29,48
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 66","Port Rexton--Champney's Arm",25,19,5,0,49,82
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 67","Trinity East--Port Rexton",105,49,10,2,166,330
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 68","Trinity--Lockston",43,26,4,1,74,169
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 69","Goose Cove--Dunfield",45,25,4,1,75,114
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 70","Old Bonaventure--New Bonaventure--Trouty",38,25,2,0,65,82
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 71","Southern Bay--Princeton",66,82,3,1,152,257
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 72","Sweet Bay",53,32,10,3,98,150
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 73","Portland--Jamestown--Winter Brook",16,64,5,3,88,237
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 74","Lethbridge",54,79,10,4,147,362
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 75","Lethbridge",57,75,4,0,136,324
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 76","Bloomfield",89,105,12,4,210,430
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 77","Musgravetown",83,120,4,3,210,479
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 78","Cannings Cove",42,55,2,4,103,191
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 79","Bunyan's Cove",79,115,1,5,200,375
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 80","Port Blandford",57,84,4,1,146,233
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 81","Port Blandford",74,70,6,1,151,252
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 82","Burgoynes Cove--New Burnt Cove--Clifton",26,29,1,0,56,69
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 83","Harcourt--Barton--Monroe",65,68,4,2,139,220
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 84","Milton--George's Brook",58,78,9,4,149,305
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 85","Milton--George's Brook",71,71,5,1,148,326
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 86","Elliott's Cove--Aspey Brook--Snooks Harbour--Random Heights",27,55,2,1,85,178
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 87","Lady Cove--Robinson Bight--Weybridge",48,66,5,2,121,150
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 88","Hickman's Harbour",59,62,0,0,121,283
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 89","Britannia--Lower Lance Cove",35,21,3,0,59,108
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 90","Petley",15,32,1,0,48,90
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 91","Clarenville",59,55,8,2,124,404
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 92","Clarenville",90,92,6,1,189,509
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 93A","Shoal Harbour",58,57,3,0,118,298
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 93B","Shoal Harbour",66,47,3,0,116,303
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 94","Clarenville",60,67,8,0,135,455
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 95","Clarenville",47,41,3,3,94,363
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 96A","Clarenville",66,65,5,0,136,345
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 96B","Clarenville",66,54,8,4,132,356
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 96C","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,5
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 97","Clarenville",71,66,5,6,148,419
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 98","Clarenville",84,86,7,3,180,449
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 99","Clarenville",109,58,5,4,176,456
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 100","Clarenville",122,56,5,3,186,497
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 101","Clarenville",85,76,8,4,173,452
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 102","Clarenville",28,67,8,5,108,365
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 103","Adeytown--Deep Bight",16,47,2,1,66,126
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 104","Hillview",44,45,3,2,94,319
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 105","Hatchet Cove--St. Jones Within",23,25,4,2,54,219
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 106","North West Brook - Ivany's Cove",44,81,7,2,134,242
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 107","Queen's Cove--Long Beach",34,30,4,3,71,101
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 108","Hodge's Cove--Caplin Cove",71,78,6,1,156,257
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 109","Little Heart's Ease",65,56,10,3,134,218
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 110","Butter Cove--Southport--Gooseberry Cove",57,36,3,2,98,136
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 111","Goobies",27,19,0,0,46,78
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 112","Garden Cove",24,11,3,0,38,61
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 113","North Harbour",52,35,7,4,98,150
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 114","Swift Current",62,65,8,4,139,181
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 115","Sunnyside",67,123,8,8,206,377
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 116","Come By Chance",65,47,6,2,120,230
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 117","Arnold's Cove",62,100,6,5,173,396
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 118","Arnold's Cove",64,78,8,4,154,386
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 119","Southern Harbour",57,95,7,4,163,301
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 120","Little Harbour East",28,27,1,1,57,78
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 121","Chance Cove",97,60,5,0,162,238
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 122","Fair Haven",22,19,1,1,43,64
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 123","Bellevue",78,72,9,1,160,285
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 124","Thornlea",27,26,0,0,53,97
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 125","Long Cove",69,60,8,2,139,313
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 126","Norman's Cove",49,57,2,3,111,301
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 127","Chapel Arm",76,78,9,3,166,407
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 128","Whitbourne",141,114,17,8,280,499
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 129","Whitbourne",53,43,6,1,103,185
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 130","Blaketown",80,66,7,1,154,288
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 131","Blaketown",67,49,7,2,125,262
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 132","Whitbourne",124,116,10,6,256,443
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 133","South Dildo",113,69,18,1,201,404
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 134","Harnum Point",84,69,12,3,168,304
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 135","Dildo",90,71,10,3,174,394
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 136","New Harbour",56,96,14,2,168,335
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 137","New Harbour",79,105,15,2,201,373
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 138","Hopeall",49,40,4,2,95,152
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 139","Green's Harbour",84,103,6,7,200,408
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 140","Green's Harbour",56,48,6,2,112,155
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 141","Whiteway",60,65,8,2,135,289
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 142","Cavendish",55,46,5,1,107,233
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 143","Heart's Delight-Islington",115,125,12,6,258,398
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 144","Heart's Delight",54,50,4,3,111,203
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 145","Heart's Desire",56,45,10,0,111,172
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 146","Heart's Content",72,98,10,4,184,314
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 147","New Perlican",70,52,5,2,129,182
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 148","Winterton--Turks Cove",107,102,15,8,232,399
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 149","Hant's Harbour",87,82,12,0,181,336
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 150","Brownsdale--New Melbourne",55,63,8,5,131,260
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 151","Sibleys Cove--Lead Cove",17,19,0,0,36,77
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 152","Old Perlican",26,28,3,0,57,181
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 153","Old Perlican",55,41,3,0,99,310
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 154","Grates Cove",31,23,5,2,61,121
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 155","Bay de Verde",54,34,6,1,95,235
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 156","Bay de Verde",37,22,8,1,68,112
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 157","Low Point--Lower Island Cove--Caplin Cove",73,57,2,1,133,333
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 158","Burnt Point--Job's Cove",142,110,16,5,273,559
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 159","Western Bay",67,68,12,1,148,298
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 160","Blackhead--Broad Cove--Adams Cove",91,43,8,5,147,228
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 161","Small Point--Kingston--Spout Cove",47,39,10,0,96,186
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 162","Dunville",99,36,14,1,150,361
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 163","Dunville",141,68,20,11,240,551
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 164","Placentia",53,42,7,0,102,290
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 165","Placentia",48,38,7,0,93,315
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 166","Placentia",66,40,8,1,115,312
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 167","Southeast Placentia",116,108,23,4,251,640
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 168","Placentia",42,26,5,2,75,157
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 169","St. Bride's",47,47,5,1,100,301
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 170","Branch",40,49,4,6,99,150
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 171","Point Lance",15,17,6,2,40,100
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 172","Freshwater",64,52,15,4,135,296
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 173","Fox Harbour",52,37,7,2,98,209
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 174","Ship Harbour",39,18,4,1,62,92
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 175","Long Harbour",79,48,11,1,139,230
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 176","Monkstown",2,8,0,0,10,17
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 177","Terrenceville",23,126,1,2,152,383
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 178","Grand le Pierre",16,72,1,3,92,184
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 179","English Harbour East",17,41,3,3,64,103
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 180","Harbour Mille--Little Harbour East",26,30,6,2,64,92
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 181","Little Bay East",14,37,3,1,55,93
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 182","Bay L'Argent",37,68,8,5,118,208
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 183","St. Bernard's",66,135,3,7,211,364
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 184","South East Bight",13,24,2,1,40,57
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 185","Petit Forte",8,36,1,0,45,55
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 186","Brookside--Boat Harbour West",22,69,7,2,100,138
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 187","Parkers Cove",42,57,4,2,105,204
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 188","Baine Harbour",23,41,4,0,68,105
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 189","Rushoon",35,57,4,3,99,204
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 190","Red Harbour",25,49,2,0,76,169
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 191","Rock Harbour",9,7,0,2,18,37
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 192","Jean de Baie--Spanish Room",34,48,3,0,85,196
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 193","Marystown",66,101,6,1,174,450
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 194","Marystown",40,61,1,5,107,329
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 195","Marystown",45,67,5,2,119,303
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 196","Marystown",90,110,12,5,217,453
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 197","Marystown",66,110,3,2,181,411
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 198","Marystown",76,83,10,6,175,282
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 199","Marystown",61,69,6,1,137,397
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 200","Marystown",40,73,7,2,122,273
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 201","Marystown",90,98,4,15,207,490
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 202","Marystown",79,124,12,9,224,486
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 203","Marystown",98,120,3,1,222,456
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 204","Salt Pond--Burin",57,66,15,1,139,401
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 205","Burin",44,58,3,3,108,284
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 206","Burin",41,46,6,0,93,259
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 207","Port au Bras",20,30,4,5,59,143
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 208","Fox Cove-Mortier",61,60,10,7,138,231
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 209","Burin",55,61,5,2,123,288
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 210","Burin",90,76,9,1,176,369
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 211","Lewin's Cove",66,72,9,8,155,335
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 212","Lewin's Cove--Salmonier",96,112,6,7,221,445
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 213","St. Lawrence",53,142,15,4,214,541
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 214","St. Lawrence",46,116,7,6,175,436
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 215","Lawn",84,172,10,7,273,506
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 216","Lord's Cove",32,40,2,1,75,122
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 217","Point au Gaul",8,31,0,2,41,49
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 218","Lamaline",53,51,6,3,113,214
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 219","Point May",21,89,5,4,119,183
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 220","Fortune",44,55,4,0,103,231
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 221","Fortune",46,82,8,7,143,308
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 222","Fortune",63,77,4,6,150,317
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 223","Fortune",48,33,9,3,93,220
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 224","Grand Bank",62,40,3,1,106,310
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 225","Grand Bank",60,39,5,3,107,306
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 226","Grand Bank",43,55,2,0,100,243
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 227","Grand Bank",71,76,10,6,163,472
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 228","Grand Bank",47,30,5,0,82,236
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 229","Grand Bank",43,57,0,0,100,257
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 230","Frenchman's Cove",46,44,5,3,98,191
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 231","Garnish",104,133,5,6,248,468
