Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Nabila Ben Youssef,Idil Issa,Mélanie Joly,Margie Ramos,Linda Sullivan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 52","Montréal",41,10,91,24,4,3,173,412
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 53","Montréal",32,14,68,22,1,1,138,322
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 54","Montréal",39,11,87,25,1,1,164,397
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 55","Montréal",44,19,63,15,0,4,145,338
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 56","Montréal",32,17,106,22,1,2,180,368
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 57","Montréal",54,20,106,11,1,0,192,390
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 58","Montréal",62,19,122,17,2,1,223,395
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 59","Montréal",50,27,130,34,4,4,249,473
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 60","Montréal",37,14,104,29,4,0,188,391
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 61","Montréal",45,17,124,19,3,3,211,400
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 62","Montréal",106,21,172,27,2,1,329,630
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 63","Montréal",32,18,114,25,1,2,192,408
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 64","Montréal",41,15,111,27,1,3,198,420
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 65","Montréal",60,11,116,22,1,4,214,383
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 66","Montréal",45,23,125,21,2,8,224,404
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 67","Montréal",55,16,95,8,1,4,179,347
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 68","Montréal",47,9,123,15,3,4,201,339
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 69","Montréal",29,18,77,23,3,9,159,362
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 70","Montréal",39,15,59,20,1,1,135,331
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 71","Montréal",37,19,81,26,0,1,164,340
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 72","Montréal",52,17,156,28,2,1,256,425
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 73","Montréal",60,19,139,27,0,2,247,507
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 74","Montréal",42,12,88,22,1,1,166,353
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 75","Montréal",37,19,127,20,2,5,210,380
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 76","Montréal",33,26,96,24,4,1,184,398
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 77","Montréal",35,11,124,11,2,5,188,373
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 78","Montréal",41,17,157,31,1,3,250,463
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 79","Montréal",38,13,95,26,3,2,177,369
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 80","Montréal",41,7,133,26,2,5,214,423
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 81","Montréal",73,12,147,16,2,0,250,470
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 82","Montréal",53,18,129,14,0,2,216,404
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 83","Montréal",50,11,130,16,1,4,212,402
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 84","Montréal",47,20,96,19,2,0,184,437
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 85","Montréal",54,18,131,21,0,4,228,414
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 86","Montréal",78,8,144,13,0,7,250,389
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 87","Montréal",37,15,135,24,5,5,221,419
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 88","Montréal",14,13,107,51,2,1,188,415
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 89","Montréal",34,18,101,21,0,6,180,406
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 90","Montréal",18,13,111,29,0,3,174,417
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 91","Montréal",66,13,158,26,3,20,286,474
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 92","Montréal",19,14,95,50,2,2,182,386
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 93","Montréal",18,23,123,30,5,4,203,340
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 94","Montréal",12,13,109,41,0,3,178,337
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 95","Montréal",12,12,112,36,1,2,175,424
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 96","Montréal",10,15,106,34,2,2,169,331
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 97","Montréal",9,6,140,44,1,9,209,398
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 98","Montréal",5,20,120,41,3,6,195,395
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 99","Montréal",13,14,119,42,1,4,193,408
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 100","Montréal",44,20,87,14,0,0,165,353
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 101","Montréal",40,9,105,4,1,1,160,363
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 102","Montréal",59,9,135,23,1,3,230,412
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 103","Montréal",43,15,153,29,0,3,243,501
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 104","Montréal",31,12,91,28,3,1,166,353
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 105","Montréal",31,11,93,35,0,3,173,349
