Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Steven Bonk,Lyndon Dayman,Aziz Mian,Sheena Muirhead Koops,Travis Patron,Remi Rheault,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 616","Redvers",417,2,34,16,2,1,5,477,
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 617","Carnduff",453,0,19,13,2,1,2,490,
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 618","Oxbow",518,2,32,26,0,2,4,584,
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 619","Estevan",424,4,15,17,0,1,0,461,
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 620","Estevan",303,2,19,7,5,0,1,337,
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 621","Estevan",1029,5,89,49,0,2,0,1174,
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 622","Estevan",870,4,99,32,3,7,2,1017,
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 623","Weyburn",268,1,22,12,2,2,0,307,
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 624","Ocean Man 69",Combined with No./Résultats combinés à ceux du n°623,,,,,,,,
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 625","Weyburn",378,3,37,13,0,0,1,432,
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 626","Weyburn",915,8,159,79,4,6,9,1180,
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 627","Weyburn",1011,10,175,58,5,3,7,1269,
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 628","Radville",373,0,29,15,1,3,1,422,
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 629","Bengough",239,0,20,6,0,3,0,268,
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 630","Coronach",217,0,32,10,2,1,0,262,
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 631","Assiniboia",723,2,99,54,1,5,5,889,
47012,"Souris--Moose Mountain/Souris--Moose Mountain",,Group 1/Groupe 1, 163,1,69,28,2,7,23,293,94
47012,"Souris--Moose Mountain/Souris--Moose Mountain",,Group 2/Groupe 2, 1142,8,140,57,3,9,24,1383,
