Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Jonathan Andresen,Jérémie Juneau,Sébastien Lemire,Vincent Palin-Bussières,Steve Tardif,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 181","Rouyn-Noranda",47,9,118,1,61,6,242,439
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 182","Rouyn-Noranda",35,3,87,0,38,3,166,284
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 183","Rouyn-Noranda",15,3,63,3,30,1,115,218
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 184","Rouyn-Noranda",76,9,145,0,52,7,289,536
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 185","Rouyn-Noranda",47,6,136,0,79,3,271,478
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 186","Rouyn-Noranda",52,3,99,0,40,3,197,365
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 187","Rouyn-Noranda",43,9,107,0,48,3,210,484
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 188","Rouyn-Noranda",49,5,111,1,45,2,213,442
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 189","Rouyn-Noranda",40,10,99,0,52,1,202,313
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 190","Rouyn-Noranda",60,7,99,5,33,2,206,347
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 191","Rouyn-Noranda",37,5,89,0,43,2,176,282
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 192","Rouyn-Noranda",29,6,88,0,51,1,175,320
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 193","Rémigny",37,5,66,2,43,2,155,269
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 194","Nédelec",34,5,70,2,43,2,156,291
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 195","Laforce",11,3,29,0,9,0,52,109
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 196","Laforce",28,6,6,1,5,0,46,131
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 196-1","Winneway",Combined with No./Résultats combinés à ceux du n°196,,,,,,,185
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 197","Guérin",22,6,57,0,55,4,144,256
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 198","Moffet",16,0,43,2,24,0,85,166
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 199","Timiskaming",80,20,15,0,39,1,155,445
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 200","Angliers",48,2,57,0,34,2,143,254
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 201","Notre-Dame-du-Nord",25,3,34,0,35,2,99,324
