Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Jacob Gadzella,Hamish Graham,Rokhan Sarwar,Kevin Waugh,Richard Brent Wintringham,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47009,"Saskatoon South/Saskatoon-Sud"," 62","Saskatoon",15,0,81,75,2,0,173,506
47009,"Saskatoon South/Saskatoon-Sud"," 63","Saskatoon",19,1,90,96,1,2,209,430
47009,"Saskatoon South/Saskatoon-Sud"," 64","Saskatoon",16,1,42,92,1,1,153,492
47009,"Saskatoon South/Saskatoon-Sud"," 65","Saskatoon",28,2,79,73,0,2,184,488
47009,"Saskatoon South/Saskatoon-Sud"," 66","Saskatoon",22,5,90,102,2,2,223,518
47009,"Saskatoon South/Saskatoon-Sud"," 67","Saskatoon",24,1,97,97,0,1,220,460
47009,"Saskatoon South/Saskatoon-Sud"," 68","Saskatoon",17,3,64,101,1,1,187,441
47009,"Saskatoon South/Saskatoon-Sud"," 69","Saskatoon",16,1,60,112,0,1,190,497
47009,"Saskatoon South/Saskatoon-Sud"," 70","Saskatoon",25,0,51,79,3,1,159,503
47009,"Saskatoon South/Saskatoon-Sud"," 71","Saskatoon",13,1,42,64,1,2,123,396
47009,"Saskatoon South/Saskatoon-Sud"," 72","Saskatoon",22,3,73,97,5,0,200,698
47009,"Saskatoon South/Saskatoon-Sud"," 73","Saskatoon",23,3,93,73,6,1,199,579
47009,"Saskatoon South/Saskatoon-Sud"," 74","Saskatoon",27,2,88,61,0,1,179,556
47009,"Saskatoon South/Saskatoon-Sud"," 75","Saskatoon",27,3,69,61,6,0,166,576
47009,"Saskatoon South/Saskatoon-Sud"," 76","Saskatoon",19,2,66,99,3,0,189,500
47009,"Saskatoon South/Saskatoon-Sud"," 77","Saskatoon",4,0,20,69,0,1,94,390
47009,"Saskatoon South/Saskatoon-Sud"," 78","Saskatoon",3,0,23,60,1,0,87,362
47009,"Saskatoon South/Saskatoon-Sud"," 79","Saskatoon",9,0,46,72,2,0,129,540
47009,"Saskatoon South/Saskatoon-Sud"," 80","Saskatoon",6,1,39,54,0,0,100,416
47009,"Saskatoon South/Saskatoon-Sud"," 81","Saskatoon",4,1,44,49,0,2,100,383
47009,"Saskatoon South/Saskatoon-Sud"," 82","Saskatoon",10,1,58,73,2,1,145,579
47009,"Saskatoon South/Saskatoon-Sud"," 83","Saskatoon",5,0,54,82,1,0,142,465
47009,"Saskatoon South/Saskatoon-Sud"," 84","Saskatoon",4,0,26,44,0,0,74,196
47009,"Saskatoon South/Saskatoon-Sud"," 85","Saskatoon",26,3,70,127,2,0,228,472
47009,"Saskatoon South/Saskatoon-Sud"," 86","Saskatoon",22,2,59,82,1,0,166,426
47009,"Saskatoon South/Saskatoon-Sud"," 87","Saskatoon",11,2,42,45,0,2,102,249
47009,"Saskatoon South/Saskatoon-Sud"," 88","Saskatoon",23,3,79,75,6,0,186,477
47009,"Saskatoon South/Saskatoon-Sud"," 89","Saskatoon",33,7,95,122,1,1,259,542
47009,"Saskatoon South/Saskatoon-Sud"," 90","Saskatoon",27,0,57,79,2,0,165,436
47009,"Saskatoon South/Saskatoon-Sud"," 91","Saskatoon",25,1,71,83,0,1,181,488
47009,"Saskatoon South/Saskatoon-Sud"," 92A","Saskatoon",27,1,70,69,1,2,170,531
47009,"Saskatoon South/Saskatoon-Sud"," 92B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°46B,,,,,,,8
47009,"Saskatoon South/Saskatoon-Sud"," 93","Saskatoon",20,1,59,67,0,0,147,480
47009,"Saskatoon South/Saskatoon-Sud"," 94","Saskatoon",19,0,53,88,1,0,161,503
47009,"Saskatoon South/Saskatoon-Sud"," 95","Saskatoon",19,2,62,112,0,0,195,623
47009,"Saskatoon South/Saskatoon-Sud"," 96","Saskatoon",18,1,53,92,0,1,165,468
47009,"Saskatoon South/Saskatoon-Sud"," 97","Saskatoon",17,1,39,69,5,1,132,478
47009,"Saskatoon South/Saskatoon-Sud"," 98","Saskatoon",6,0,59,46,2,2,115,417
47009,"Saskatoon South/Saskatoon-Sud"," 99","Saskatoon",16,2,44,78,1,1,142,463
47009,"Saskatoon South/Saskatoon-Sud"," 100A","Saskatoon",12,2,38,51,1,1,105,434
47009,"Saskatoon South/Saskatoon-Sud"," 100B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°46E,,,,,,,10
47009,"Saskatoon South/Saskatoon-Sud"," 101","Saskatoon",16,0,64,104,3,0,187,505
47009,"Saskatoon South/Saskatoon-Sud"," 102","Saskatoon",10,1,43,70,1,0,125,381
47009,"Saskatoon South/Saskatoon-Sud"," 103","Saskatoon",15,2,77,117,0,0,211,461
47009,"Saskatoon South/Saskatoon-Sud"," 104","Saskatoon",8,0,56,120,1,0,185,424
47009,"Saskatoon South/Saskatoon-Sud"," 105","Saskatoon",7,2,66,78,1,1,155,558
47009,"Saskatoon South/Saskatoon-Sud"," 106","Saskatoon",7,1,38,33,0,0,79,226
47009,"Saskatoon South/Saskatoon-Sud"," 107","Saskatoon",16,1,82,84,2,0,185,546
47009,"Saskatoon South/Saskatoon-Sud"," 108","Saskatoon",12,0,31,69,0,0,112,366
47009,"Saskatoon South/Saskatoon-Sud"," 109","Saskatoon",13,1,42,78,0,1,135,381
47009,"Saskatoon South/Saskatoon-Sud"," 110","Saskatoon",6,2,56,96,1,2,163,508
47009,"Saskatoon South/Saskatoon-Sud"," 111","Saskatoon",6,0,46,69,0,0,121,380
47009,"Saskatoon South/Saskatoon-Sud"," 112","Saskatoon",18,2,57,108,3,2,190,420
47009,"Saskatoon South/Saskatoon-Sud"," 113","Saskatoon",9,1,54,58,0,1,123,496
47009,"Saskatoon South/Saskatoon-Sud"," 114","Saskatoon",6,1,43,67,2,0,119,407
47009,"Saskatoon South/Saskatoon-Sud"," 115","Saskatoon",14,0,62,104,1,2,183,481
47009,"Saskatoon South/Saskatoon-Sud"," 116","Saskatoon",10,2,61,103,1,0,177,455
47009,"Saskatoon South/Saskatoon-Sud"," 117","Saskatoon",10,1,46,68,0,0,125,470
47009,"Saskatoon South/Saskatoon-Sud"," 118A","Saskatoon",9,0,34,56,1,1,101,344
47009,"Saskatoon South/Saskatoon-Sud"," 118B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°524,,,,,,,8
47009,"Saskatoon South/Saskatoon-Sud"," 119","Saskatoon",11,0,33,118,0,0,162,459
47009,"Saskatoon South/Saskatoon-Sud"," 120","Saskatoon",14,1,66,120,0,2,203,552
47009,"Saskatoon South/Saskatoon-Sud"," 121","Saskatoon",12,0,64,94,1,0,171,529
47009,"Saskatoon South/Saskatoon-Sud"," 122","Saskatoon",10,0,60,59,3,2,134,403
47009,"Saskatoon South/Saskatoon-Sud"," 123","Saskatoon",9,1,65,66,1,1,143,488
47009,"Saskatoon South/Saskatoon-Sud"," 124","Saskatoon",12,1,70,51,1,1,136,492
47009,"Saskatoon South/Saskatoon-Sud"," 125","Saskatoon",10,1,46,78,1,2,138,517
47009,"Saskatoon South/Saskatoon-Sud"," 126","Saskatoon",9,3,57,75,2,1,147,511
47009,"Saskatoon South/Saskatoon-Sud"," 127","Saskatoon",16,0,65,76,0,0,157,459
47009,"Saskatoon South/Saskatoon-Sud"," 128","Saskatoon",10,0,64,62,1,0,137,370
47009,"Saskatoon South/Saskatoon-Sud"," 129","Saskatoon",16,0,83,112,1,1,213,646
47009,"Saskatoon South/Saskatoon-Sud"," 130","Saskatoon",6,0,47,50,0,0,103,373
47009,"Saskatoon South/Saskatoon-Sud"," 131","Saskatoon",3,0,69,80,0,1,153,445
47009,"Saskatoon South/Saskatoon-Sud"," 132","Saskatoon",7,1,74,84,2,1,169,452
47009,"Saskatoon South/Saskatoon-Sud"," 133","Saskatoon",3,0,39,61,0,0,103,301
47009,"Saskatoon South/Saskatoon-Sud"," 134","Saskatoon",13,0,94,108,0,2,217,688
47009,"Saskatoon South/Saskatoon-Sud"," 135","Saskatoon",7,0,56,98,1,0,162,497
47009,"Saskatoon South/Saskatoon-Sud"," 136","Saskatoon",11,3,64,109,0,4,191,684
47009,"Saskatoon South/Saskatoon-Sud"," 137","Saskatoon",16,0,42,91,1,0,150,537
47009,"Saskatoon South/Saskatoon-Sud"," 138","Saskatoon",11,0,61,113,2,3,190,627
47009,"Saskatoon South/Saskatoon-Sud"," 400","Saskatoon",14,2,37,47,1,8,109,176
47009,"Saskatoon South/Saskatoon-Sud"," 401","Saskatoon",18,0,47,71,0,4,140,188
47009,"Saskatoon South/Saskatoon-Sud"," 402","Saskatoon",5,3,35,58,4,2,107,142
47009,"Saskatoon South/Saskatoon-Sud"," 403","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°404,,,,,,,109
47009,"Saskatoon South/Saskatoon-Sud"," 404","Mobile poll/Bureau itinérant",28,0,45,63,4,5,145,142
47009,"Saskatoon South/Saskatoon-Sud"," 500","Saskatoon",16,0,89,52,0,4,161,189
47009,"Saskatoon South/Saskatoon-Sud"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,96
47009,"Saskatoon South/Saskatoon-Sud"," 502","Mobile poll/Bureau itinérant",5,1,42,110,1,3,162,121
47009,"Saskatoon South/Saskatoon-Sud"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,95
47009,"Saskatoon South/Saskatoon-Sud"," 504","Mobile poll/Bureau itinérant",9,2,12,41,1,3,68,61
47009,"Saskatoon South/Saskatoon-Sud"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°46B,,,,,,,98
47009,"Saskatoon South/Saskatoon-Sud"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°524,,,,,,,32
47009,"Saskatoon South/Saskatoon-Sud"," 507","Mobile poll/Bureau itinérant",8,1,24,42,2,0,77,95
47009,"Saskatoon South/Saskatoon-Sud"," 508","Mobile poll/Bureau itinérant",14,2,44,84,1,2,147,185
47009,"Saskatoon South/Saskatoon-Sud"," 509","Saskatoon",Combined with No./Résultats combinés à ceux du n°52A,,,,,,,12
47009,"Saskatoon South/Saskatoon-Sud"," 510","Mobile poll/Bureau itinérant",13,2,105,137,2,2,261,147
47009,"Saskatoon South/Saskatoon-Sud"," 511","Saskatoon",Combined with No./Résultats combinés à ceux du n°52A,,,,,,,10
47009,"Saskatoon South/Saskatoon-Sud"," 512","Saskatoon",Combined with No./Résultats combinés à ceux du n°52A,,,,,,,5
47009,"Saskatoon South/Saskatoon-Sud"," 513","Saskatoon",Combined with No./Résultats combinés à ceux du n°52A,,,,,,,5
47009,"Saskatoon South/Saskatoon-Sud"," 514","Saskatoon",Combined with No./Résultats combinés à ceux du n°52A,,,,,,,4
47009,"Saskatoon South/Saskatoon-Sud"," 515","Mobile poll/Bureau itinérant",23,3,26,60,3,0,115,85
47009,"Saskatoon South/Saskatoon-Sud"," 516","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,67
47009,"Saskatoon South/Saskatoon-Sud"," 517","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°521,,,,,,,13
47009,"Saskatoon South/Saskatoon-Sud"," 518","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,23
47009,"Saskatoon South/Saskatoon-Sud"," 519A","Saskatoon",7,0,59,71,1,1,139,168
47009,"Saskatoon South/Saskatoon-Sud"," 519B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,28
47009,"Saskatoon South/Saskatoon-Sud"," 520","Saskatoon",12,1,52,62,0,6,133,190
47009,"Saskatoon South/Saskatoon-Sud"," 521","Mobile poll/Bureau itinérant",18,1,23,47,1,3,93,102
47009,"Saskatoon South/Saskatoon-Sud"," 522","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°524,,,,,,,53
47009,"Saskatoon South/Saskatoon-Sud"," 523","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°521,,,,,,,90
47009,"Saskatoon South/Saskatoon-Sud"," 524","Mobile poll/Bureau itinérant",16,1,28,82,1,3,131,133
47009,"Saskatoon South/Saskatoon-Sud"," 525","Mobile poll/Bureau itinérant",12,0,70,83,0,2,167,217
47009,"Saskatoon South/Saskatoon-Sud"," 600","Saskatoon",49,2,401,603,3,9,1067,
47009,"Saskatoon South/Saskatoon-Sud"," 601","Saskatoon",83,4,366,560,5,2,1020,
47009,"Saskatoon South/Saskatoon-Sud"," 602","Saskatoon",98,10,895,1260,10,12,2285,
47009,"Saskatoon South/Saskatoon-Sud"," 603","Saskatoon",126,10,536,682,5,2,1361,
47009,"Saskatoon South/Saskatoon-Sud"," 604","Saskatoon",113,6,462,516,6,4,1107,
47009,"Saskatoon South/Saskatoon-Sud"," 605","Saskatoon",116,10,602,418,4,3,1153,
47009,"Saskatoon South/Saskatoon-Sud"," 606","Saskatoon",240,17,795,500,13,4,1569,
47009,"Saskatoon South/Saskatoon-Sud"," 607","Saskatoon",163,3,543,543,11,3,1266,
47009,"Saskatoon South/Saskatoon-Sud"," 608","Saskatoon",136,3,636,550,2,2,1329,
47009,"Saskatoon South/Saskatoon-Sud"," 609","Saskatoon",156,5,571,601,11,5,1349,
47009,"Saskatoon South/Saskatoon-Sud"," 610","Saskatoon",159,9,735,917,8,4,1832,
47009,"Saskatoon South/Saskatoon-Sud"," 611","Saskatoon",68,7,546,857,5,4,1487,
47009,"Saskatoon South/Saskatoon-Sud"," 612","Saskatoon",97,9,581,877,3,6,1573,
47009,"Saskatoon South/Saskatoon-Sud"," 613","Saskatoon",78,6,605,865,4,8,1566,
47009,"Saskatoon South/Saskatoon-Sud"," 614","Saskatoon",117,1,612,859,5,7,1601,
47009,"Saskatoon South/Saskatoon-Sud",,Group 1/Groupe 1, 129,8,523,376,6,47,1089,262
47009,"Saskatoon South/Saskatoon-Sud",,Group 2/Groupe 2, 188,7,1063,1136,10,103,2507,
