Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Shola Agboola,Ginette Lavack,Thomas Linner,Gilles Pelletier,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 56","Winnipeg",19,57,10,0,1,87,364
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 57","Winnipeg",32,64,11,2,2,111,346
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 58","Winnipeg",55,103,20,2,0,180,479
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 59","Winnipeg",57,110,7,1,1,176,495
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 60","Winnipeg",97,122,8,2,1,230,501
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 61","Winnipeg",68,121,8,2,0,199,489
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 62","Winnipeg",70,80,5,0,0,155,481
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 63","Winnipeg",80,98,13,1,1,193,438
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 64","Winnipeg",88,89,19,7,0,203,577
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 65","Winnipeg",80,142,21,3,1,247,526
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 66","Winnipeg",63,78,20,5,0,166,434
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 67","Winnipeg",68,110,28,2,2,210,468
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 68","Winnipeg",89,86,17,2,1,195,445
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 69","Winnipeg",54,92,20,1,2,169,425
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 70","Winnipeg",99,117,33,3,0,252,557
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 71","Winnipeg",49,93,15,1,2,160,382
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 72","Winnipeg",65,89,6,5,0,165,546
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 73","Winnipeg",35,58,3,3,2,101,403
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 74","Winnipeg",46,59,10,0,1,116,438
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 75","Winnipeg",43,110,13,3,1,170,450
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 76","Winnipeg",57,84,19,3,1,164,507
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 77","Winnipeg",60,95,13,2,0,170,415
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 78","Winnipeg",66,71,23,2,1,163,463
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 79","Winnipeg",57,82,19,2,0,160,440
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 80","Winnipeg",68,131,21,0,1,221,465
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 81","Winnipeg",81,123,23,2,1,230,550
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 82","Winnipeg",77,95,11,1,0,184,410
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 83","Winnipeg",71,77,10,0,2,160,434
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 84","Winnipeg",72,107,6,4,2,191,424
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 85A","Winnipeg",Combined with No./Résultats combinés à ceux du n°86,,,,,,31
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 85B","Winnipeg",70,140,28,3,1,242,234
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 85C","Mobile poll/Bureau itinérant",55,58,16,8,0,137,108
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 86","Winnipeg",46,60,24,5,2,137,483
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 87","Winnipeg",33,44,16,2,1,96,421
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 88","Winnipeg",62,64,19,5,0,150,380
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 89","Winnipeg",51,46,20,3,0,120,431
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 90","Winnipeg",81,96,11,1,0,189,468
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 91","Winnipeg",73,110,12,0,0,195,433
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 92","Winnipeg",52,138,10,0,2,202,470
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 93","Winnipeg",75,92,13,0,1,181,404
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 94","Winnipeg",83,117,12,0,0,212,475
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 95","Winnipeg",65,120,5,2,2,194,550
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 96","Winnipeg",78,113,10,2,4,207,470
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 97","Winnipeg",36,71,3,0,0,110,383
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 98","Winnipeg",45,90,11,2,0,148,463
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 99","Winnipeg",56,93,16,7,5,177,386
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 100","Winnipeg",73,134,11,2,2,222,506
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 101","Winnipeg",66,117,17,5,0,205,471
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 102","Winnipeg",59,73,27,1,2,162,423
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 103A","Winnipeg",44,36,9,1,1,91,311
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 103B","Mobile poll/Bureau itinérant",21,51,9,3,2,86,150
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 103C","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°103B,,,,,,37
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 104","Winnipeg",46,74,7,0,0,127,376
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 105","Winnipeg",80,75,4,3,2,164,511
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 106","Winnipeg",94,79,8,2,0,183,423
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 107","Winnipeg",42,61,5,1,1,110,361
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 108","Winnipeg",50,77,20,3,0,150,480
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 109","Winnipeg",35,57,13,4,1,110,270
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 110","Winnipeg",35,92,34,3,0,164,474
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 111","Winnipeg",44,72,10,0,1,127,303
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 112","Winnipeg",60,80,12,3,0,155,399
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 113","Winnipeg",62,59,4,1,1,127,407
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 114A","Winnipeg",54,85,29,3,0,171,251
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 114B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°53B,,,,,,67
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 114C","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°53B,,,,,,48
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 115","Winnipeg",71,63,9,7,2,152,357
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 116","Winnipeg",64,120,18,1,1,204,547
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 117","Winnipeg",60,127,16,1,1,205,493
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 118","Winnipeg",57,133,25,2,3,220,498
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 119","Winnipeg",57,89,12,1,0,159,474
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 120","Winnipeg",79,119,7,1,1,207,518
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 121A","Winnipeg",41,57,11,3,0,112,354
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 121B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°85C,,,,,,90
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 122","Winnipeg",43,75,5,0,0,123,410
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 123","Winnipeg",34,52,15,2,1,104,415
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 124","Winnipeg",76,64,10,2,0,152,429
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 125","Winnipeg",89,73,3,1,0,166,517
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 126","Winnipeg",72,77,2,0,0,151,444
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 127A","Winnipeg",69,63,6,3,0,141,345
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 127B","Winnipeg",62,77,6,0,1,146,353
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 128","Winnipeg",84,107,5,2,1,199,419
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 129","Winnipeg",26,42,5,0,0,73,223
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 130","Winnipeg",82,109,12,5,0,208,516
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 131","Winnipeg",65,90,11,0,0,166,362
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 132","Winnipeg",81,99,6,0,0,186,384
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 133","Winnipeg",85,120,6,0,6,217,420
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 134","Winnipeg",78,92,12,2,0,184,409
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 135","Winnipeg",75,105,7,1,0,188,371
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 136","Winnipeg",95,82,12,3,1,193,394
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 137","Winnipeg",62,68,11,0,7,148,395
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 138","Winnipeg",91,91,5,4,1,192,381
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 139","Winnipeg",87,103,11,4,0,205,498
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 140","Winnipeg",76,99,4,3,1,183,410
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 141","Winnipeg",97,130,10,0,1,238,560
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 142","Winnipeg",85,89,6,1,4,185,463
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 143","Winnipeg",68,101,6,0,1,176,426
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 144","Winnipeg",47,63,7,1,0,118,331
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 145","Winnipeg",87,69,8,3,0,167,376
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 146","Winnipeg",105,101,10,0,1,217,468
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 147A","Winnipeg",61,47,7,1,0,116,287
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 147B","Winnipeg",89,58,12,0,0,159,372
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 148","Winnipeg",86,89,8,1,2,186,456
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 149A","Winnipeg",103,80,2,3,2,190,451
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 149B","Winnipeg",99,107,11,1,0,218,465
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 150A","Winnipeg",70,71,11,2,4,158,395
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 150B","Winnipeg",62,85,5,2,7,161,406
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 151","Winnipeg",45,70,10,2,2,129,355
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 152","Winnipeg",67,110,10,0,0,187,404
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 153","Winnipeg",82,104,15,0,0,201,381
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 154","Winnipeg",45,128,11,2,0,186,384
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 155","Winnipeg",59,124,12,1,2,198,390
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 156","Winnipeg",86,162,23,1,0,272,514
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 157","Winnipeg",75,144,7,1,1,228,588
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 158","Winnipeg",89,135,12,2,1,239,524
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 159","Winnipeg",25,83,14,0,1,123,402
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 160","Winnipeg",68,95,6,0,0,169,435
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 161","Winnipeg",34,55,1,3,1,94,404
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 162","Winnipeg",53,58,13,2,0,126,480
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 163","Winnipeg",39,70,4,1,2,116,457
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 164","Winnipeg",48,52,5,3,1,109,394
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 165","Winnipeg",127,104,12,1,2,246,560
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 400","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°410,,,,,,136
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 401","Winnipeg",Combined with No./Résultats combinés à ceux du n°1A,,,,,,155
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 402","Winnipeg",Combined with No./Résultats combinés à ceux du n°12,,,,,,177
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 403","Winnipeg",51,92,20,1,4,168,237
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 404","Winnipeg",34,94,22,4,2,156,263
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 405","Winnipeg",Combined with No./Résultats combinés à ceux du n°85B,,,,,,214
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 406","Winnipeg",Combined with No./Résultats combinés à ceux du n°88,,,,,,160
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 407","Winnipeg",Combined with No./Résultats combinés à ceux du n°114A,,,,,,208
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 408","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°85C,,,,,,46
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 409","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,60
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 410","Mobile poll/Bureau itinérant",26,143,18,7,2,196,164
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 500","Mobile poll/Bureau itinérant",21,106,8,5,2,142,208
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,130
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 502","Mobile poll/Bureau itinérant",15,32,13,4,0,64,82
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,98
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 504","Mobile poll/Bureau itinérant",31,70,18,6,13,138,60
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 600","Winnipeg",264,1250,102,12,6,1634,
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 601","Winnipeg",168,856,67,9,4,1104,
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 602","Winnipeg",240,715,75,11,3,1044,
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 603","Winnipeg",301,810,104,9,11,1235,
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 604","Winnipeg",432,982,101,17,7,1539,
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 605","Winnipeg",545,1003,110,12,3,1673,
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 606","Winnipeg",504,771,55,7,3,1340,
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 607","Winnipeg",743,1293,59,20,10,2125,
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 608","Winnipeg",596,914,47,7,6,1570,
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 609","Winnipeg",571,1108,56,8,10,1753,
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 610","Winnipeg",344,930,48,6,0,1328,
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 611","Winnipeg",309,565,85,8,4,971,
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 612","Winnipeg",463,1230,132,13,8,1846,
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 613","Winnipeg",388,909,98,8,5,1408,
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital"," 614","Winnipeg",403,1100,77,3,1,1584,
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital",,Group 1/Groupe 1, 187,516,81,6,52,842,255
46008,"St. Boniface--St. Vital/Saint-Boniface--Saint-Vital",,Group 2/Groupe 2, 788,1491,103,10,79,2471,
