Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Adam Chambers,Russ Emo,Ray Little,Melissa Lloyd,Stephen Toivo Makk,Ryan Rocca,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35099,"Simcoe North/Simcoe-Nord"," 87","Tay",93,1,6,7,2,64,0,173,434
35099,"Simcoe North/Simcoe-Nord"," 88","Tay",126,1,8,14,5,69,1,224,399
35099,"Simcoe North/Simcoe-Nord"," 89","Tay",106,0,4,9,2,65,0,186,397
35099,"Simcoe North/Simcoe-Nord"," 90","Tay",62,0,1,7,3,53,0,126,402
35099,"Simcoe North/Simcoe-Nord"," 91","Tay",85,1,6,6,1,56,1,156,453
35099,"Simcoe North/Simcoe-Nord"," 92","Tay",88,0,0,10,0,61,0,159,446
35099,"Simcoe North/Simcoe-Nord"," 93","Tay",90,0,2,5,3,41,0,141,426
35099,"Simcoe North/Simcoe-Nord"," 94","Tay",106,0,2,8,6,72,0,194,508
35099,"Simcoe North/Simcoe-Nord"," 95","Tay",128,2,4,12,2,68,1,217,419
35099,"Simcoe North/Simcoe-Nord"," 96","Tay",93,0,6,8,5,68,0,180,395
35099,"Simcoe North/Simcoe-Nord"," 97","Tay",94,0,1,6,3,64,0,168,434
35099,"Simcoe North/Simcoe-Nord"," 98","Tay",119,1,3,1,2,69,0,195,541
35099,"Simcoe North/Simcoe-Nord"," 99","Tay",95,0,3,11,2,59,0,170,453
35099,"Simcoe North/Simcoe-Nord"," 100","Tay",Combined with No./Résultats combinés à ceux du n°101,,,,,,,,331
35099,"Simcoe North/Simcoe-Nord"," 101","Tay",170,2,5,5,11,100,0,293,358
35099,"Simcoe North/Simcoe-Nord"," 102","Severn",49,1,1,3,3,33,0,90,293
35099,"Simcoe North/Simcoe-Nord"," 103","Severn",176,1,8,6,1,78,1,271,483
35099,"Simcoe North/Simcoe-Nord"," 104","Severn",92,3,1,7,1,36,41,181,369
35099,"Simcoe North/Simcoe-Nord"," 105","Severn",130,0,3,5,2,68,1,209,509
35099,"Simcoe North/Simcoe-Nord"," 106","Severn",121,1,1,6,2,70,2,203,502
35099,"Simcoe North/Simcoe-Nord"," 107","Severn",148,2,13,9,7,131,2,312,391
35099,"Simcoe North/Simcoe-Nord"," 108","Severn",124,0,5,10,1,44,0,184,511
35099,"Simcoe North/Simcoe-Nord"," 109","Severn",123,1,7,4,2,65,0,202,405
35099,"Simcoe North/Simcoe-Nord"," 110","Severn",117,0,3,14,6,58,1,199,476
35099,"Simcoe North/Simcoe-Nord"," 111","Severn",135,0,5,14,3,80,0,237,490
35099,"Simcoe North/Simcoe-Nord"," 112","Severn",147,1,7,8,3,72,1,239,439
35099,"Simcoe North/Simcoe-Nord"," 113","Severn",132,2,2,8,3,81,1,229,555
35099,"Simcoe North/Simcoe-Nord"," 114","Severn",134,0,2,5,2,56,0,199,455
35099,"Simcoe North/Simcoe-Nord"," 115","Severn",139,0,2,8,0,41,0,190,366
35099,"Simcoe North/Simcoe-Nord"," 116","Severn",148,0,8,5,7,74,3,245,572
35099,"Simcoe North/Simcoe-Nord"," 117","Tay",109,0,5,7,6,58,0,185,386
35099,"Simcoe North/Simcoe-Nord"," 118","Severn",105,0,5,12,3,77,2,204,540
35099,"Simcoe North/Simcoe-Nord"," 119","Severn",Combined with No./Résultats combinés à ceux du n°121,,,,,,,,342
35099,"Simcoe North/Simcoe-Nord"," 120","Severn",125,1,7,12,2,77,2,226,558
35099,"Simcoe North/Simcoe-Nord"," 121","Severn",131,1,8,10,2,87,4,243,393
35099,"Simcoe North/Simcoe-Nord"," 122","Severn",94,0,4,2,2,57,0,159,414
35099,"Simcoe North/Simcoe-Nord"," 123","Severn",Combined with No./Résultats combinés à ceux du n°124,,,,,,,,363
35099,"Simcoe North/Simcoe-Nord"," 124","Severn",139,2,9,9,6,73,3,241,485
35099,"Simcoe North/Simcoe-Nord"," 125","Severn",79,0,1,4,3,57,2,146,498
35099,"Simcoe North/Simcoe-Nord"," 126","Severn",115,0,1,8,1,83,0,208,415
35099,"Simcoe North/Simcoe-Nord"," 127","Severn",Combined with No./Résultats combinés à ceux du n°151,,,,,,,,309
35099,"Simcoe North/Simcoe-Nord"," 128","Orillia",118,1,4,3,2,70,1,199,380
35099,"Simcoe North/Simcoe-Nord"," 129","Severn",150,0,9,6,0,160,0,325,348
35099,"Simcoe North/Simcoe-Nord"," 130","Severn",125,0,5,3,0,82,2,217,454
35099,"Simcoe North/Simcoe-Nord"," 131","Severn",Combined with No./Résultats combinés à ceux du n°129,,,,,,,,301
35099,"Simcoe North/Simcoe-Nord"," 132","Ramara",98,2,6,36,5,158,11,316,696
35099,"Simcoe North/Simcoe-Nord"," 133","Ramara",212,1,4,14,6,104,0,341,633
35099,"Simcoe North/Simcoe-Nord"," 134","Ramara",Combined with No./Résultats combinés à ceux du n°107,,,,,,,,390
35099,"Simcoe North/Simcoe-Nord"," 135","Ramara",46,1,8,4,2,54,0,115,246
35099,"Simcoe North/Simcoe-Nord"," 136","Ramara",140,0,10,17,3,115,3,288,603
35099,"Simcoe North/Simcoe-Nord"," 137","Ramara",102,0,1,4,4,25,0,136,337
35099,"Simcoe North/Simcoe-Nord"," 138","Ramara",114,0,6,6,3,63,0,192,454
