Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Alexandre Boulerice,Olivier Gignac,Benoît Morham,Laetitia Tchatat,Jean-Sébastien Vallée,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 77","Montréal",120,54,6,13,52,1,246,500
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 78","Montréal",66,32,5,16,57,1,177,397
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 79","Montréal",55,14,1,8,61,3,142,440
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 80","Montréal",111,36,10,12,54,3,226,401
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 81","Montréal",122,61,7,14,61,2,267,426
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 82","Montréal",130,58,7,16,59,3,273,512
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 83","Montréal",111,45,4,14,61,5,240,496
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 84","Montréal",85,39,6,8,34,4,176,332
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 85","Montréal",63,48,5,10,33,0,159,314
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 86","Montréal",148,52,4,20,42,4,270,500
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 87A","Montréal",Combined with No./Résultats combinés à ceux du n°90,,,,,,,144
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 87B","Montréal",Combined with No./Résultats combinés à ceux du n°92,,,,,,,153
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 88","Montréal",49,44,4,16,99,0,212,470
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 89","Montréal",63,47,6,20,47,2,185,506
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 90","Montréal",62,46,1,21,87,0,217,434
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 91","Montréal",31,16,1,7,57,3,115,386
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 92","Montréal",54,39,4,12,87,3,199,433
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 93","Montréal",60,30,5,21,96,0,212,457
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 94","Montréal",98,49,8,9,58,3,225,504
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 95","Montréal",71,31,4,13,48,3,170,353
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 96","Montréal",58,19,2,14,45,1,139,331
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 97","Montréal",54,20,2,22,98,0,196,513
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 98","Montréal",73,20,9,31,104,1,238,500
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 99A","Montréal",71,45,1,12,47,2,178,390
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 99B","Montréal",Combined with No./Résultats combinés à ceux du n°400,,,,,,,99
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 100A","Montréal",58,34,2,15,62,1,172,413
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 100B","Montréal",Combined with No./Résultats combinés à ceux du n°400,,,,,,,93
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 100C","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,,19
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 101","Montréal",84,44,8,10,68,2,216,496
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 102","Montréal",128,63,8,10,63,2,274,516
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 103","Montréal",81,49,4,10,51,2,197,396
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 104","Montréal",106,46,5,7,46,0,210,424
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 105","Montréal",73,64,9,15,60,3,224,388
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 106","Montréal",101,58,7,8,64,1,239,486
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 107","Montréal",122,62,9,12,77,1,283,450
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 108","Montréal",122,57,11,19,68,3,280,563
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 109","Montréal",119,28,11,10,36,0,204,370
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 110","Montréal",70,27,1,8,61,2,169,341
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 111","Montréal",55,35,6,8,50,0,154,328
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 112","Montréal",71,27,3,13,66,2,182,335
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 113","Montréal",103,37,4,17,67,1,229,394
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 114","Montréal",67,24,7,28,44,1,171,325
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 115","Montréal",60,20,8,19,65,2,174,463
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 116","Montréal",138,37,9,21,73,4,282,539
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 117","Montréal",87,27,6,14,37,5,176,403
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 118","Montréal",79,34,8,9,48,3,181,420
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 119","Montréal",112,37,10,24,65,6,254,548
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 120","Montréal",75,37,2,12,39,1,166,356
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 121","Montréal",105,38,5,12,59,2,221,446
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 122","Montréal",131,40,15,21,92,0,299,571
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 123","Montréal",60,32,1,18,52,2,165,440
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 124","Montréal",95,53,4,8,53,1,214,411
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 125","Montréal",90,26,2,15,54,3,190,427
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 126A","Montréal",88,52,7,17,70,0,234,540
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 126B","Montréal",Combined with No./Résultats combinés à ceux du n°150,,,,,,,121
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 127","Montréal",126,55,5,11,47,1,245,485
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 128","Montréal",116,42,12,9,51,1,231,463
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 129","Montréal",152,46,8,20,63,3,292,526
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 130","Montréal",68,21,5,19,55,4,172,330
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 131","Montréal",73,29,3,20,57,1,183,367
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 132","Montréal",80,31,7,12,48,1,179,345
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 133","Montréal",87,30,4,17,63,1,202,460
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 134","Montréal",82,21,4,9,47,0,163,356
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 135","Montréal",72,28,7,3,40,3,153,301
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 136","Montréal",71,22,4,15,38,9,159,327
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 137A","Montréal",79,34,4,7,33,1,158,352
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 137B","Mobile poll/Bureau itinérant",16,12,0,2,20,2,52,52
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 138","Montréal",98,33,6,19,66,6,228,496
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 139","Montréal",92,37,5,14,43,2,193,414
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 140","Montréal",122,48,4,10,66,1,251,531
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 141","Montréal",143,36,12,21,40,0,252,564
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 142","Montréal",116,18,9,13,60,3,219,459
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 143","Montréal",133,46,3,15,65,2,264,553
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 144","Montréal",54,24,4,6,43,4,135,344
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 145","Montréal",92,24,5,8,63,2,194,417
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 146","Montréal",89,34,5,10,52,2,192,452
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 147","Montréal",84,20,5,9,41,1,160,384
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 148","Montréal",89,32,5,11,38,2,177,391
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 149","Montréal",69,19,1,22,69,1,181,407
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 150","Montréal",101,44,8,29,110,2,294,426
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 151","Montréal",121,41,12,16,58,6,254,583
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 152A","Montréal",89,41,8,10,39,2,189,407
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 152B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°137B,,,,,,,25
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 153","Montréal",116,32,7,16,73,2,246,408
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 154","Montréal",72,28,4,13,48,3,168,368
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 155","Montréal",94,34,9,22,74,5,238,497
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 156A","Montréal",Combined with No./Résultats combinés à ceux du n°153,,,,,,,186
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 156B","Montréal",Combined with No./Résultats combinés à ceux du n°157,,,,,,,181
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 157","Montréal",119,50,8,22,88,3,290,380
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 158","Montréal",102,24,8,11,66,5,216,524
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 159","Montréal",53,37,6,14,69,7,186,666
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 160","Montréal",126,31,6,9,56,11,239,556
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 161","Montréal",125,29,9,6,57,0,226,507
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 162","Montréal",72,31,9,22,45,2,181,419
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 163","Montréal",74,29,7,10,60,2,182,458
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 164","Montréal",93,40,8,15,59,1,216,480
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 165","Montréal",104,40,10,10,52,2,218,455
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 166","Montréal",63,27,6,16,63,0,175,520
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 167","Montréal",89,19,3,17,59,0,187,414
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 168","Montréal",90,27,9,7,45,0,178,383
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 169","Montréal",40,13,3,15,39,2,112,372
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 170","Montréal",91,20,6,16,63,5,201,436
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 171","Montréal",89,24,6,15,55,1,190,378
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 172","Montréal",78,26,5,18,41,0,168,373
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 173","Montréal",101,15,3,10,68,3,200,404
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 174","Montréal",55,19,4,14,43,1,136,349
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 175","Montréal",94,26,4,17,45,4,190,366
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 176","Montréal",102,24,6,14,41,1,188,339
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 177","Montréal",51,14,3,28,58,1,155,358
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 178","Montréal",70,22,4,24,50,0,170,366
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 179","Montréal",80,16,5,24,93,4,222,448
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 180","Montréal",62,17,3,21,65,2,170,353
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 181","Montréal",60,27,3,15,87,3,195,397
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 182","Montréal",69,33,9,11,41,2,165,399
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 183","Montréal",88,16,6,15,77,2,204,412
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 184","Montréal",111,35,7,18,72,0,243,495
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 185","Montréal",88,21,13,18,63,4,207,411
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 186","Montréal",72,20,10,14,69,2,187,393
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 400","Montréal",96,132,2,7,188,11,436,482
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 401","Montréal",41,42,1,4,45,9,142,195
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 402","Montréal",39,42,1,8,60,0,150,206
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 500","Montréal",Combined with No./Résultats combinés à ceux du n°2,,,,,,,32
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,76
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 502","Montréal",Combined with No./Résultats combinés à ceux du n°67,,,,,,,11
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 503","Mobile poll/Bureau itinérant",11,9,2,20,50,1,93,70
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 504","Montréal",57,49,1,8,121,12,248,415
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 505","Mobile poll/Bureau itinérant",5,4,1,5,15,5,35,88
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 506","Mobile poll/Bureau itinérant",7,8,2,4,25,6,52,90
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,39
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 508","Mobile poll/Bureau itinérant",7,12,0,5,19,3,46,80
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,91
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 510","Mobile poll/Bureau itinérant",14,9,2,3,20,2,50,74
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 511","Montréal",8,8,1,2,27,5,51,151
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 600","Montréal",292,175,8,44,340,7,866,
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 601","Montréal",365,249,10,73,420,10,1127,
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 602","Montréal",573,237,29,114,727,19,1699,
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 603","Montréal",318,180,16,64,277,9,864,
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 604","Montréal",531,315,20,51,380,13,1310,
