Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Eric Duncan,Sarah Good,Gordon Kubanek,Mario Leclerc,Karl Ivan MacKinnon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 49","Martintown--Glenbrook",104,68,0,0,0,4,176,349
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 50","Lancaster",98,47,5,4,1,0,155,491
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 51","South Lancaster",60,54,2,5,1,1,123,390
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 52","Lancaster",53,26,0,4,0,1,84,286
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 53","Camerons Point--Akwesasne no. 15",68,47,1,2,1,1,120,327
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 54","Crysler",93,49,8,5,0,2,157,372
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 55","Crysler",110,76,1,5,2,3,197,427
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 56","Crysler",101,63,2,1,1,1,169,421
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 57","Cahore",110,39,5,1,1,0,156,339
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 58","Berwick",121,33,6,2,0,2,164,389
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 59","Bonville",125,48,3,5,0,0,181,367
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 60","Sandfield Mills",79,22,1,1,3,0,106,326
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 61","South Stormont",103,34,3,1,0,0,141,292
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 62","Northfield",84,40,1,7,0,0,132,323
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 63","Harrisons Corners",74,36,1,0,0,0,111,330
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 64","Glendale",90,62,1,2,0,0,155,392
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 65","South Glengarry",93,54,1,0,0,0,148,292
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 66","Glendale",79,65,1,6,0,0,151,325
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 67","South Glengarry",52,53,0,7,0,0,112,249
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 68","Cornwall",84,88,1,13,1,2,189,479
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 69","Cornwall",51,50,0,2,0,0,103,404
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 70","St. Andrews",99,59,1,5,0,1,165,337
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 71","St. Andrews",85,37,0,5,0,1,128,288
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 72","St. Andrews",96,47,2,2,1,0,148,319
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 73","Summerstown",85,39,0,0,0,0,124,294
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 74","South Glengarry",134,77,0,3,0,1,215,530
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 75","Glen Walter",77,72,3,0,1,0,153,342
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 76","Glen Walter",101,89,2,5,2,0,199,445
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 77","South Glengarry",94,122,2,3,0,0,221,533
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 78","Finch",142,53,1,10,1,1,208,403
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 79","Finch",132,34,1,3,0,1,171,322
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 80","Goldfield",142,31,2,8,0,1,184,347
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 81","South Stormont",75,33,1,1,1,0,111,304
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 82","South Stormont",99,36,4,2,0,3,144,371
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 83","Cornwall",83,78,1,5,1,1,169,470
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 84","Cornwall",100,87,4,12,0,1,204,531
