Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Donovan Eckstrom,Elliot McDavid,Shawn McLean,Maureen Mcleod,Jennifer Villebrun,Chris Warkentin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48026,"Grande Prairie/Grande Prairie"," 184","Grande Prairie County No. 1",2,0,6,19,13,185,0,225,520
48026,"Grande Prairie/Grande Prairie"," 185","Grande Prairie County No. 1",0,0,4,18,8,206,0,236,549
48026,"Grande Prairie/Grande Prairie"," 186","Grande Prairie County No. 1",0,0,3,26,3,210,3,245,451
48026,"Grande Prairie/Grande Prairie"," 187","Grande Prairie County No. 1",0,0,2,12,8,135,2,159,468
48026,"Grande Prairie/Grande Prairie"," 188","Grande Prairie",1,0,5,27,9,137,0,179,414
48026,"Grande Prairie/Grande Prairie"," 189","Grande Prairie County No. 1",1,0,0,44,15,103,1,164,367
48026,"Grande Prairie/Grande Prairie"," 190","Grande Prairie County No. 1",2,2,2,31,7,97,1,142,417
48026,"Grande Prairie/Grande Prairie"," 191","Grande Prairie County No. 1",3,0,2,12,5,120,0,142,433
48026,"Grande Prairie/Grande Prairie"," 192","Grande Prairie County No. 1",0,1,3,16,4,86,0,110,342
48026,"Grande Prairie/Grande Prairie"," 193","Wapiti",1,0,12,11,5,231,0,260,549
48026,"Grande Prairie/Grande Prairie"," 194","Grovedale",2,0,3,17,2,225,1,250,570
48026,"Grande Prairie/Grande Prairie"," 195","Crooked Creek",0,1,2,17,6,122,1,149,414
48026,"Grande Prairie/Grande Prairie"," 196","Sturgeon Heights",1,1,3,7,3,109,1,125,223
48026,"Grande Prairie/Grande Prairie"," 197","Sturgeon Lake 154",Combined with No./Résultats combinés à ceux du n°197-1,,,,,,,,201
48026,"Grande Prairie/Grande Prairie"," 197-1","Sturgeon Lake 154",0,4,4,61,62,110,1,242,553
48026,"Grande Prairie/Grande Prairie"," 198","Goodwin",0,0,4,3,0,74,1,82,161
48026,"Grande Prairie/Grande Prairie"," 500","Mobile poll/Bureau itinérant",0,1,1,3,2,17,4,28,32
48026,"Grande Prairie/Grande Prairie"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,,3
48026,"Grande Prairie/Grande Prairie"," 502","Mobile poll/Bureau itinérant",1,0,0,3,2,42,1,49,25
48026,"Grande Prairie/Grande Prairie"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,,2
48026,"Grande Prairie/Grande Prairie"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,,18
48026,"Grande Prairie/Grande Prairie"," 505","Mobile poll/Bureau itinérant",2,1,3,11,4,78,4,103,46
48026,"Grande Prairie/Grande Prairie"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,,10
48026,"Grande Prairie/Grande Prairie"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,,44
48026,"Grande Prairie/Grande Prairie"," 508","Mobile poll/Bureau itinérant",2,1,0,26,13,120,2,164,173
48026,"Grande Prairie/Grande Prairie"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,,,43
48026,"Grande Prairie/Grande Prairie"," 510","Mobile poll/Bureau itinérant",0,1,1,31,6,98,7,144,128
48026,"Grande Prairie/Grande Prairie"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°517,,,,,,,,33
48026,"Grande Prairie/Grande Prairie"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,,57
48026,"Grande Prairie/Grande Prairie"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°517,,,,,,,,29
48026,"Grande Prairie/Grande Prairie"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°517,,,,,,,,50
48026,"Grande Prairie/Grande Prairie"," 515","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,,,24
48026,"Grande Prairie/Grande Prairie"," 516","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°517,,,,,,,,48
48026,"Grande Prairie/Grande Prairie"," 517","Mobile poll/Bureau itinérant",0,1,2,21,20,143,2,189,82
48026,"Grande Prairie/Grande Prairie"," 600","Northern Lights County",0,1,4,5,2,21,0,33,
48026,"Grande Prairie/Grande Prairie"," 601","Keg River",Combined with No./Résultats combinés à ceux du n°602,,,,,,,,
48026,"Grande Prairie/Grande Prairie"," 602","Manning",1,5,6,48,14,433,2,509,
48026,"Grande Prairie/Grande Prairie"," 603","Clear Hills 152C",Combined with No./Résultats combinés à ceux du n°604,,,,,,,,
48026,"Grande Prairie/Grande Prairie"," 604","Worsley",0,0,2,9,0,115,0,126,
48026,"Grande Prairie/Grande Prairie"," 605","Hines Creek",0,2,4,15,7,265,1,294,
48026,"Grande Prairie/Grande Prairie"," 606","Spirit River",3,1,7,55,13,596,3,678,
48026,"Grande Prairie/Grande Prairie"," 607","Horse Lakes 152B",Combined with No./Résultats combinés à ceux du n°608,,,,,,,,
48026,"Grande Prairie/Grande Prairie"," 608","Beaverlodge",7,2,28,129,33,1200,8,1407,
48026,"Grande Prairie/Grande Prairie"," 609","Sexsmith",5,5,14,116,31,1406,0,1577,
48026,"Grande Prairie/Grande Prairie"," 610","Grande Prairie--Dimsdale",3,1,8,71,13,668,3,767,
48026,"Grande Prairie/Grande Prairie"," 611","Clairmont",7,4,10,148,45,1318,3,1535,
48026,"Grande Prairie/Grande Prairie"," 612","Grande Prairie",2,3,17,170,45,857,7,1101,
48026,"Grande Prairie/Grande Prairie"," 613","Grande Prairie",7,6,19,188,62,1083,3,1368,
48026,"Grande Prairie/Grande Prairie"," 614","Grande Prairie",4,0,15,211,57,1018,12,1317,
48026,"Grande Prairie/Grande Prairie"," 615","Grande Prairie",7,6,14,173,72,726,6,1004,
48026,"Grande Prairie/Grande Prairie"," 616","Grande Prairie",9,1,15,253,74,943,0,1295,
48026,"Grande Prairie/Grande Prairie"," 617","Grande Prairie",7,5,10,257,84,881,1,1245,
48026,"Grande Prairie/Grande Prairie"," 618","Grande Prairie County No. 1",13,5,9,208,61,1122,6,1424,
48026,"Grande Prairie/Grande Prairie"," 619","Grande Prairie County No. 1",9,3,18,252,59,1070,3,1414,
48026,"Grande Prairie/Grande Prairie"," 620","Grande Prairie County No. 1",10,0,11,174,48,1053,5,1301,
48026,"Grande Prairie/Grande Prairie"," 621","Grande Prairie County No. 1",1,2,5,87,15,687,17,814,
48026,"Grande Prairie/Grande Prairie"," 622","Grovedale--Wapiti",1,1,5,18,5,296,1,327,
48026,"Grande Prairie/Grande Prairie"," 623","Grovedale--Wapiti",Combined with No./Résultats combinés à ceux du n°624,,,,,,,,
48026,"Grande Prairie/Grande Prairie"," 624","Greenview No. 16--DeBolt",2,2,5,23,7,274,1,314,
48026,"Grande Prairie/Grande Prairie"," 625","Sturgeon Lake 154",Combined with No./Résultats combinés à ceux du n°624,,,,,,,,
48026,"Grande Prairie/Grande Prairie",,Group 1/Groupe 1, 1,7,10,128,42,434,32,654,154
48026,"Grande Prairie/Grande Prairie",,Group 2/Groupe 2, 16,10,38,459,133,3560,49,4265,
