Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Luke Markowski,Darrell Teske,Landen Tischer,Arnold Viersen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48032,"Peace River--Westlock/Peace River--Westlock"," 523","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°531,,,,,,27
48032,"Peace River--Westlock/Peace River--Westlock"," 524","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°531,,,,,,30
48032,"Peace River--Westlock/Peace River--Westlock"," 525","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°526,,,,,,30
48032,"Peace River--Westlock/Peace River--Westlock"," 526","Mobile poll/Bureau itinérant",15,14,10,97,3,139,101
48032,"Peace River--Westlock/Peace River--Westlock"," 527","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°526,,,,,,18
48032,"Peace River--Westlock/Peace River--Westlock"," 528","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°526,,,,,,47
48032,"Peace River--Westlock/Peace River--Westlock"," 529","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°530,,,,,,101
48032,"Peace River--Westlock/Peace River--Westlock"," 530","Mobile poll/Bureau itinérant",26,17,6,80,7,136,104
48032,"Peace River--Westlock/Peace River--Westlock"," 531","Mobile poll/Bureau itinérant",8,7,6,47,3,71,65
48032,"Peace River--Westlock/Peace River--Westlock"," 600","Rainbow Lake",8,1,1,75,0,85,
48032,"Peace River--Westlock/Peace River--Westlock"," 601","Hay Lake 209",Combined with No./Résultats combinés à ceux du n°603,,,,,,
48032,"Peace River--Westlock/Peace River--Westlock"," 602","Upper Hay River 212",Combined with No./Résultats combinés à ceux du n°603,,,,,,
48032,"Peace River--Westlock/Peace River--Westlock"," 603","MacKenzie County--High Level",152,13,47,511,3,726,
48032,"Peace River--Westlock/Peace River--Westlock"," 604","Bushe River 207",22,1,5,4,0,32,
48032,"Peace River--Westlock/Peace River--Westlock"," 605","Mackenzie County--La Crête",3,0,1,552,1,557,
48032,"Peace River--Westlock/Peace River--Westlock"," 606","Child Lake 164A--Boyer 164",Combined with No./Résultats combinés à ceux du n°609,,,,,,
48032,"Peace River--Westlock/Peace River--Westlock"," 607","La Crête",6,5,3,783,4,801,
48032,"Peace River--Westlock/Peace River--Westlock"," 608","Mackenzie County--Fort Vermilion",Combined with No./Résultats combinés à ceux du n°609,,,,,,
48032,"Peace River--Westlock/Peace River--Westlock"," 609","Beaver Ranch 163--Fort Vermilion 173B",25,4,5,169,2,205,
48032,"Peace River--Westlock/Peace River--Westlock"," 610","Mackenzie County--Fort Vermilion",0,0,0,0,0,0,
48032,"Peace River--Westlock/Peace River--Westlock"," 611","John D'Or Prairie 215--Fox Lake 162",Combined with No./Résultats combinés à ceux du n°610,,,,,,
48032,"Peace River--Westlock/Peace River--Westlock"," 612","Garden Creek",Combined with No./Résultats combinés à ceux du n°610,,,,,,
48032,"Peace River--Westlock/Peace River--Westlock"," 613","Tall Tree 173",Combined with No./Résultats combinés à ceux du n°614,,,,,,
48032,"Peace River--Westlock/Peace River--Westlock"," 614","Buffalo Head Prairie",2,0,0,117,1,120,
48032,"Peace River--Westlock/Peace River--Westlock"," 615","Carcajou 187",Void/Supprimé,,,,,,
48032,"Peace River--Westlock/Peace River--Westlock"," 616","Cadotte Lake",Combined with No./Résultats combinés à ceux du n°617,,,,,,
48032,"Peace River--Westlock/Peace River--Westlock"," 617","Peace River",35,9,24,225,2,295,
48032,"Peace River--Westlock/Peace River--Westlock"," 618","Peace River",225,43,113,726,2,1109,
48032,"Peace River--Westlock/Peace River--Westlock"," 619","Grimshaw",60,19,46,679,5,809,
48032,"Peace River--Westlock/Peace River--Westlock"," 620","Duncan's 151A",0,0,0,0,0,0,
48032,"Peace River--Westlock/Peace River--Westlock"," 621","Birch Hills County",133,19,54,903,6,1115,
48032,"Peace River--Westlock/Peace River--Westlock"," 622","Falher",92,24,52,637,2,807,
48032,"Peace River--Westlock/Peace River--Westlock"," 623","Little Buffalo",Combined with No./Résultats combinés à ceux du n°624,,,,,,
48032,"Peace River--Westlock/Peace River--Westlock"," 624","Loon Lake",4,0,2,0,1,7,
48032,"Peace River--Westlock/Peace River--Westlock"," 625","Red Earth Creek ",0,0,2,58,1,61,
48032,"Peace River--Westlock/Peace River--Westlock"," 626","Peerless Trout 238",Combined with No./Résultats combinés à ceux du n°625,,,,,,
48032,"Peace River--Westlock/Peace River--Westlock"," 627","Northern Sunrise County--Utikoomak Lake 155B",0,0,0,0,0,0,
48032,"Peace River--Westlock/Peace River--Westlock"," 628","Utikoomak Lake 155",Combined with No./Résultats combinés à ceux du n°630,,,,,,
48032,"Peace River--Westlock/Peace River--Westlock"," 629","Northern Sunrise County",Combined with No./Résultats combinés à ceux du n°630,,,,,,
48032,"Peace River--Westlock/Peace River--Westlock"," 630","Kapawe'no First Nation 231",4,0,5,13,0,22,
48032,"Peace River--Westlock/Peace River--Westlock"," 631","Gift Lake ",Combined with No./Résultats combinés à ceux du n°630,,,,,,
48032,"Peace River--Westlock/Peace River--Westlock"," 632","Peavine Metis Settlement",Combined with No./Résultats combinés à ceux du n°630,,,,,,
48032,"Peace River--Westlock/Peace River--Westlock"," 633","High Prairie",29,11,20,252,0,312,
48032,"Peace River--Westlock/Peace River--Westlock"," 634","Valleyview",106,41,49,855,6,1057,
48032,"Peace River--Westlock/Peace River--Westlock"," 635","High Prairie",105,35,41,690,4,875,
48032,"Peace River--Westlock/Peace River--Westlock"," 636","Kapawe'no First Nation 150D--Kapawe'no First Nation 229",Combined with No./Résultats combinés à ceux du n°639,,,,,,
48032,"Peace River--Westlock/Peace River--Westlock"," 637","Sucker Creek 150A",Combined with No./Résultats combinés à ceux du n°639,,,,,,
48032,"Peace River--Westlock/Peace River--Westlock"," 638","East Prairie Metis Settlement",Combined with No./Résultats combinés à ceux du n°639,,,,,,
48032,"Peace River--Westlock/Peace River--Westlock"," 639","Drift Pile River 150 ",10,3,8,13,0,34,
48032,"Peace River--Westlock/Peace River--Westlock"," 640","Slave Lake",17,1,8,222,1,249,
48032,"Peace River--Westlock/Peace River--Westlock"," 641","Swan River 150E",3,1,1,8,0,13,
48032,"Peace River--Westlock/Peace River--Westlock"," 642","Sawridge 150G--Sawridge 150H",1,0,0,5,0,6,
48032,"Peace River--Westlock/Peace River--Westlock"," 643","Slave Lake",49,26,79,997,3,1154,
48032,"Peace River--Westlock/Peace River--Westlock"," 644","Smith",10,10,3,91,1,115,
48032,"Peace River--Westlock/Peace River--Westlock"," 645","Fox Creek",58,9,8,370,2,447,
48032,"Peace River--Westlock/Peace River--Westlock"," 646","Swan Hills",34,21,13,280,5,353,
48032,"Peace River--Westlock/Peace River--Westlock"," 647","Woodlands County",119,50,46,1195,12,1422,
48032,"Peace River--Westlock/Peace River--Westlock"," 648","Alexis Whitecourt 232",Combined with No./Résultats combinés à ceux du n°647,,,,,,
48032,"Peace River--Westlock/Peace River--Westlock"," 649","Whitecourt",131,53,29,921,5,1139,
48032,"Peace River--Westlock/Peace River--Westlock"," 650","Barrhead County No. 11--Fort Assiniboine",60,78,42,658,0,838,
48032,"Peace River--Westlock/Peace River--Westlock"," 651","Alexander 134B",Combined with No./Résultats combinés à ceux du n°650,,,,,,
48032,"Peace River--Westlock/Peace River--Westlock"," 652","Barrhead",122,198,120,963,6,1409,
48032,"Peace River--Westlock/Peace River--Westlock"," 653","Westlock County",49,68,11,423,1,552,
48032,"Peace River--Westlock/Peace River--Westlock"," 654","Westlock",114,79,178,901,4,1276,
48032,"Peace River--Westlock/Peace River--Westlock"," 655","Westlock County",48,82,19,387,1,537,
48032,"Peace River--Westlock/Peace River--Westlock",,Group 1/Groupe 1, 114,21,40,407,45,627,169
48032,"Peace River--Westlock/Peace River--Westlock",,Group 2/Groupe 2, 281,151,151,2498,26,3107,
