Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Sean Fraser,Brycen Jenkins,Jesiah MacDonald,Charlie MacEachern,Alexander MacKenzie,Gerald Romsa,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12003,"Central Nova/Nova-Centre"," 20","Pine Tree",42,59,1,0,0,0,0,102,341
12003,"Central Nova/Nova-Centre"," 21","Pictou",60,63,8,2,1,2,1,137,457
12003,"Central Nova/Nova-Centre"," 22","Pictou Landing",98,76,6,0,12,3,0,195,379
12003,"Central Nova/Nova-Centre"," 23","River John",59,66,3,1,0,1,1,131,334
12003,"Central Nova/Nova-Centre"," 24","Welsford",45,54,4,0,1,1,0,105,336
12003,"Central Nova/Nova-Centre"," 25","Pictou",57,44,4,0,3,0,0,108,415
12003,"Central Nova/Nova-Centre"," 26","Hillside",39,42,6,3,5,0,0,95,303
12003,"Central Nova/Nova-Centre"," 27","Trenton",56,85,2,0,0,0,1,144,400
12003,"Central Nova/Nova-Centre"," 28","Trenton",43,76,0,0,2,0,4,125,391
12003,"Central Nova/Nova-Centre"," 29","Lyons Brook",35,51,2,0,1,1,0,90,244
12003,"Central Nova/Nova-Centre"," 30","Dufferin",49,82,2,0,1,3,1,138,391
12003,"Central Nova/Nova-Centre"," 31","Lyons Brook",69,71,8,1,1,2,0,152,328
12003,"Central Nova/Nova-Centre"," 32","Trenton",27,45,0,0,0,2,0,74,231
12003,"Central Nova/Nova-Centre"," 33","Linacy",63,84,2,5,1,0,7,162,353
12003,"Central Nova/Nova-Centre"," 34","Linacy",65,102,2,1,4,2,1,177,410
12003,"Central Nova/Nova-Centre"," 35","Trenton",66,68,10,0,3,1,2,150,409
12003,"Central Nova/Nova-Centre"," 36","Trenton",43,68,3,1,1,1,4,121,324
12003,"Central Nova/Nova-Centre"," 37","Trenton",53,61,6,1,0,1,2,124,390
12003,"Central Nova/Nova-Centre"," 38","Abercrombie",69,66,2,0,0,1,2,140,255
12003,"Central Nova/Nova-Centre"," 39","Abercrombie",74,58,3,0,1,0,0,136,386
12003,"Central Nova/Nova-Centre"," 40","New Glasgow",81,81,8,0,2,1,0,173,470
12003,"Central Nova/Nova-Centre"," 41","New Glasgow",104,116,9,1,0,0,2,232,502
12003,"Central Nova/Nova-Centre"," 42","New Glasgow",140,78,8,0,2,3,1,232,526
12003,"Central Nova/Nova-Centre"," 43","New Glasgow",56,38,6,1,0,2,0,103,356
12003,"Central Nova/Nova-Centre"," 44","Thorburn",38,86,1,0,0,2,4,131,440
12003,"Central Nova/Nova-Centre"," 45","New Glasgow",31,41,3,0,0,3,1,79,387
12003,"Central Nova/Nova-Centre"," 46","New Glasgow",81,55,4,0,0,0,3,143,471
12003,"Central Nova/Nova-Centre"," 47","New Glasgow",74,50,1,0,0,1,0,126,357
12003,"Central Nova/Nova-Centre"," 48","New Glasgow",74,39,2,1,0,2,0,118,441
12003,"Central Nova/Nova-Centre"," 49","New Glasgow",53,37,5,1,0,0,1,97,346
12003,"Central Nova/Nova-Centre"," 50","New Glasgow",70,53,1,1,1,4,2,132,477
12003,"Central Nova/Nova-Centre"," 51","New Glasgow",97,55,3,2,0,1,1,159,541
12003,"Central Nova/Nova-Centre"," 52","New Glasgow",55,53,5,2,0,0,0,115,368
12003,"Central Nova/Nova-Centre"," 53","New Glasgow",41,46,3,2,2,2,2,98,349
12003,"Central Nova/Nova-Centre"," 54","New Glasgow",54,47,3,1,0,5,0,110,321
12003,"Central Nova/Nova-Centre"," 55","East River St. Mary's",24,36,2,0,0,1,0,63,102
12003,"Central Nova/Nova-Centre"," 56","Blue Mountain",39,54,0,1,0,2,0,96,223
12003,"Central Nova/Nova-Centre"," 57","New Glasgow",47,45,2,2,0,2,0,98,343
12003,"Central Nova/Nova-Centre"," 58","New Glasgow",22,31,7,0,0,0,0,60,324
12003,"Central Nova/Nova-Centre"," 59","New Glasgow",46,32,5,1,1,1,2,88,359
12003,"Central Nova/Nova-Centre"," 60","New Glasgow",52,37,5,1,0,0,0,95,362
12003,"Central Nova/Nova-Centre"," 61","New Glasgow",73,67,7,2,2,0,0,151,562
12003,"Central Nova/Nova-Centre"," 62","Thorburn",37,67,5,0,0,2,1,112,372
12003,"Central Nova/Nova-Centre"," 63","McLellans Brook",50,55,0,0,0,0,1,106,287
12003,"Central Nova/Nova-Centre"," 64","McLellan Mountain",43,94,9,0,4,0,1,151,394
12003,"Central Nova/Nova-Centre"," 65","McLellans Brook",45,62,2,0,0,0,0,109,278
12003,"Central Nova/Nova-Centre"," 66","Loch Broom",68,72,7,3,3,1,1,155,478
12003,"Central Nova/Nova-Centre"," 67","Alma",35,65,1,1,0,0,1,103,223
12003,"Central Nova/Nova-Centre"," 68","Goshen",86,112,2,6,1,1,0,208,294
12003,"Central Nova/Nova-Centre"," 69","Stellarton",76,68,4,0,1,3,1,153,346
12003,"Central Nova/Nova-Centre"," 70","New Glasgow",55,73,3,1,1,2,0,135,441
12003,"Central Nova/Nova-Centre"," 71","Mount William",59,97,5,2,1,0,0,164,378
12003,"Central Nova/Nova-Centre"," 72","Stellarton",31,59,4,1,0,0,0,95,356
12003,"Central Nova/Nova-Centre"," 73","Plymouth",56,75,1,0,0,0,0,132,415
12003,"Central Nova/Nova-Centre"," 74","Stellarton",42,69,7,0,1,0,0,119,354
12003,"Central Nova/Nova-Centre"," 75","Stellarton",48,75,3,0,3,0,0,129,354
12003,"Central Nova/Nova-Centre"," 76","Stellarton",63,63,8,0,1,0,2,137,369
12003,"Central Nova/Nova-Centre"," 77","Scotsburn",68,77,9,0,1,3,1,159,335
12003,"Central Nova/Nova-Centre"," 78","Elmfield",52,51,5,0,1,3,0,112,262
12003,"Central Nova/Nova-Centre"," 79","Stellarton",90,67,5,1,2,1,3,169,487
12003,"Central Nova/Nova-Centre"," 80","Westville",100,86,4,2,1,5,0,198,468
12003,"Central Nova/Nova-Centre"," 81","Westville",68,85,8,0,2,0,0,163,434
12003,"Central Nova/Nova-Centre"," 82","Durham",62,73,3,2,3,5,0,148,438
12003,"Central Nova/Nova-Centre"," 83","Rockfield",52,45,4,1,2,3,1,108,405
12003,"Central Nova/Nova-Centre"," 84","Westville",76,95,5,2,2,1,0,181,423
12003,"Central Nova/Nova-Centre"," 85","Stellarton",84,81,6,0,1,4,0,176,452
12003,"Central Nova/Nova-Centre"," 86","Stellarton",55,90,0,1,0,2,0,148,426
12003,"Central Nova/Nova-Centre"," 87","Stellarton",21,44,3,0,1,1,0,70,201
12003,"Central Nova/Nova-Centre"," 88","Stellarton",85,44,2,0,0,1,0,132,375
12003,"Central Nova/Nova-Centre"," 89","Westville",69,74,8,5,0,0,0,156,392
12003,"Central Nova/Nova-Centre"," 90","Westville",56,69,9,3,0,0,1,138,365
12003,"Central Nova/Nova-Centre"," 91","Westville",38,42,3,2,0,1,0,86,287
12003,"Central Nova/Nova-Centre"," 92","Westville",53,90,9,1,1,0,1,155,387
12003,"Central Nova/Nova-Centre"," 93","Westville",24,44,3,0,0,1,2,74,294
12003,"Central Nova/Nova-Centre"," 94","Greenhill",82,104,9,1,3,0,3,202,427
12003,"Central Nova/Nova-Centre"," 95","Garden of Eden",23,16,0,0,0,0,0,39,81
12003,"Central Nova/Nova-Centre"," 96","Mountville",40,55,1,0,0,0,0,96,288
12003,"Central Nova/Nova-Centre"," 97","Churchville",42,73,4,1,0,1,0,121,288
12003,"Central Nova/Nova-Centre"," 98","Hazel Glen",60,99,1,1,0,3,0,164,325
12003,"Central Nova/Nova-Centre"," 99","West Branch",59,82,2,1,1,1,0,146,274
12003,"Central Nova/Nova-Centre"," 100","Riverton",59,80,1,2,1,1,3,147,332
12003,"Central Nova/Nova-Centre"," 101","Eureka",72,102,4,0,2,6,2,188,394
12003,"Central Nova/Nova-Centre"," 102","Hopewell",82,127,6,0,1,2,2,220,417
12003,"Central Nova/Nova-Centre"," 103","Bridgeville",66,101,5,2,0,2,1,177,317
12003,"Central Nova/Nova-Centre"," 104","Salt Springs",55,97,13,2,4,1,1,173,386
12003,"Central Nova/Nova-Centre"," 105","Sunnybrae",24,62,0,1,0,1,1,89,164
12003,"Central Nova/Nova-Centre"," 106","Port Bickerton",27,68,0,0,0,0,0,95,165
12003,"Central Nova/Nova-Centre"," 107","Port Bickerton",36,74,4,0,0,2,0,116,265
12003,"Central Nova/Nova-Centre"," 108","Millbrook",64,96,11,2,1,1,1,176,354
12003,"Central Nova/Nova-Centre"," 109","Mount Thom",47,44,9,0,2,0,0,102,241
12003,"Central Nova/Nova-Centre"," 110","Aspen",58,66,3,3,2,1,1,134,341
12003,"Central Nova/Nova-Centre"," 111","White Hill",58,64,1,0,2,2,3,130,266
12003,"Central Nova/Nova-Centre"," 112","Sherbrooke",44,42,1,0,1,0,0,88,291
12003,"Central Nova/Nova-Centre"," 113","Sonora",21,37,0,0,0,0,1,59,106
12003,"Central Nova/Nova-Centre"," 114","Lorne",34,65,2,0,2,1,1,105,189
12003,"Central Nova/Nova-Centre"," 115","Liscomb",38,60,5,0,0,0,1,104,191
12003,"Central Nova/Nova-Centre"," 116","Ecum Secum",31,66,9,1,1,0,1,109,242
12003,"Central Nova/Nova-Centre"," 117","Dean",41,49,12,2,0,1,0,105,202
12003,"Central Nova/Nova-Centre"," 118","Moser River",56,74,1,2,0,3,3,139,283
12003,"Central Nova/Nova-Centre"," 119","East River Sheet Harbour",50,66,6,0,2,2,1,127,447
12003,"Central Nova/Nova-Centre"," 120","Sheet Harbour",74,42,5,0,0,2,0,123,379
12003,"Central Nova/Nova-Centre"," 120-1","Beaver Lake 17",Combined with No./Résultats combinés à ceux du n°120,,,,,,,,36
12003,"Central Nova/Nova-Centre"," 121","Upper Musquodoboit",45,77,7,0,0,1,0,130,245
12003,"Central Nova/Nova-Centre"," 122","Upper Musquodoboit",46,70,3,0,1,4,0,124,261
12003,"Central Nova/Nova-Centre"," 123","Port Dufferin--Beaver Harbour--West Quoddy",58,105,7,5,0,1,1,177,370
12003,"Central Nova/Nova-Centre"," 124","West Sheet Harbour--Sheet Harbour 36",38,33,4,1,2,1,0,79,247
12003,"Central Nova/Nova-Centre"," 125","Mushaboom",37,24,3,1,0,1,0,66,145
12003,"Central Nova/Nova-Centre"," 126","Mooseland",22,8,2,0,0,1,1,34,60
12003,"Central Nova/Nova-Centre"," 127","Chaswood",26,30,4,0,0,0,0,60,225
12003,"Central Nova/Nova-Centre"," 128","Middle Musquodoboit",46,66,7,2,1,5,0,127,465
12003,"Central Nova/Nova-Centre"," 129","Chaswood",34,52,3,0,0,1,1,91,253
12003,"Central Nova/Nova-Centre"," 130","Tangier--Spry Harbour",79,85,8,1,2,0,0,175,386
12003,"Central Nova/Nova-Centre"," 131","Cooks Brook",59,70,3,1,1,2,2,138,354
12003,"Central Nova/Nova-Centre"," 132","East Ship Harbour",77,53,6,2,0,1,1,140,251
12003,"Central Nova/Nova-Centre"," 133","Antrim",77,109,23,2,1,2,0,214,388
12003,"Central Nova/Nova-Centre"," 134","Carrolls Corner",88,92,6,1,1,1,4,193,379
12003,"Central Nova/Nova-Centre"," 135","Dutch Settlement",67,49,8,0,0,2,0,126,231
12003,"Central Nova/Nova-Centre"," 136","Lake Charlotte",32,57,6,0,0,3,2,100,336
12003,"Central Nova/Nova-Centre"," 137","East Jeddore",38,47,2,0,0,0,2,89,421
12003,"Central Nova/Nova-Centre"," 138","Elderbank",37,61,5,0,0,0,3,106,219
12003,"Central Nova/Nova-Centre"," 139","Meaghers Grant",85,116,4,2,0,1,0,208,345
12003,"Central Nova/Nova-Centre"," 140","Ship Harbour",72,44,6,0,0,3,0,125,215
12003,"Central Nova/Nova-Centre"," 141","Clam Harbour",44,71,0,2,0,3,2,122,374
12003,"Central Nova/Nova-Centre"," 142","Musquodoboit Harbour",47,53,4,2,2,3,0,111,315
12003,"Central Nova/Nova-Centre"," 143","Musquodoboit Harbour",63,72,7,1,0,1,2,146,426
12003,"Central Nova/Nova-Centre"," 144","Musquodoboit Harbour",55,55,2,0,0,0,0,112,330
12003,"Central Nova/Nova-Centre"," 145","West Petpeswick",64,70,6,3,0,2,1,146,413
12003,"Central Nova/Nova-Centre"," 146","East Petpeswick",91,64,4,2,0,1,1,163,475
12003,"Central Nova/Nova-Centre"," 147","Dutch Settlement",60,71,21,2,2,2,4,162,304
12003,"Central Nova/Nova-Centre"," 148","Dutch Settlement",80,86,8,0,0,3,1,178,377
12003,"Central Nova/Nova-Centre"," 149","Goffs",45,68,5,1,0,1,1,121,396
12003,"Central Nova/Nova-Centre"," 150","Goffs",40,37,6,1,0,0,1,85,273
12003,"Central Nova/Nova-Centre"," 151","Conrod Settlement",24,27,7,0,0,1,0,59,127
12003,"Central Nova/Nova-Centre"," 152","Gaetz Brook",107,89,10,0,0,0,1,207,455
12003,"Central Nova/Nova-Centre"," 153","Head of Jeddore",40,50,8,2,0,1,0,101,340
12003,"Central Nova/Nova-Centre"," 154","Head of Jeddore",79,54,4,0,1,1,1,140,397
12003,"Central Nova/Nova-Centre"," 155","West Jeddore",78,71,5,9,1,3,2,169,476
12003,"Central Nova/Nova-Centre"," 156","Head of Chezzetcook",109,84,7,6,0,1,3,210,454
12003,"Central Nova/Nova-Centre"," 157","Head of Chezzetcook",69,63,7,3,0,4,1,147,358
12003,"Central Nova/Nova-Centre"," 158","Porters Lake",89,83,9,3,0,1,0,185,514
12003,"Central Nova/Nova-Centre"," 159","Porters Lake",103,83,6,1,0,1,0,194,447
12003,"Central Nova/Nova-Centre"," 160","Porters Lake",63,39,2,2,0,0,0,106,265
12003,"Central Nova/Nova-Centre"," 161","Porters Lake",31,23,0,0,0,1,0,55,288
12003,"Central Nova/Nova-Centre"," 162","Porters Lake",57,43,2,2,0,3,0,107,324
12003,"Central Nova/Nova-Centre"," 163","Porters Lake",58,45,3,2,0,0,0,108,333
12003,"Central Nova/Nova-Centre"," 164","Porters Lake",76,90,8,2,0,1,1,178,392
12003,"Central Nova/Nova-Centre"," 165","Middle Porters Lake",50,58,4,1,0,4,1,118,290
12003,"Central Nova/Nova-Centre"," 166","Middle Porters Lake",55,38,4,0,0,5,0,102,263
12003,"Central Nova/Nova-Centre"," 167","West Porters Lake",72,78,4,1,0,1,2,158,420
12003,"Central Nova/Nova-Centre"," 168","Lake Echo",61,71,18,1,1,6,1,159,400
12003,"Central Nova/Nova-Centre"," 169","Halifax",70,55,12,0,0,3,1,141,378
12003,"Central Nova/Nova-Centre"," 170","Halifax",100,73,12,1,1,3,0,190,405
12003,"Central Nova/Nova-Centre"," 171","Lake Echo",89,75,4,1,2,11,0,182,360
12003,"Central Nova/Nova-Centre"," 172","Halifax",84,63,8,2,0,2,1,160,379
12003,"Central Nova/Nova-Centre"," 173","Porters Lake--West Chezzetcook",62,54,12,3,1,5,1,138,323
12003,"Central Nova/Nova-Centre"," 174","West Chezzetcook",78,78,13,0,0,3,1,173,473
12003,"Central Nova/Nova-Centre"," 175","Grand Desert",55,46,3,0,1,1,0,106,240
12003,"Central Nova/Nova-Centre"," 176","Grand Desert",55,45,4,2,0,5,0,111,302
12003,"Central Nova/Nova-Centre"," 177","East Chezzetcook",98,79,16,3,1,6,2,205,386
12003,"Central Nova/Nova-Centre"," 178","Lower East Chezzetcook",90,64,6,1,4,1,1,167,271
12003,"Central Nova/Nova-Centre"," 179","Halifax",85,93,14,6,0,2,1,201,433
12003,"Central Nova/Nova-Centre"," 180","Mineville",86,55,5,1,1,2,1,151,397
12003,"Central Nova/Nova-Centre"," 181","Mineville",92,59,7,1,0,2,0,161,347
12003,"Central Nova/Nova-Centre"," 182","Seaforth",64,35,7,3,1,4,0,114,228
12003,"Central Nova/Nova-Centre"," 183","Seaforth",98,57,8,3,1,4,2,173,371
12003,"Central Nova/Nova-Centre"," 184","Lawrencetown",99,62,8,1,1,1,0,172,470
12003,"Central Nova/Nova-Centre"," 185","Lawrencetown",80,76,6,1,0,2,0,165,425
12003,"Central Nova/Nova-Centre"," 186","Upper Lawrencetown",66,69,4,2,0,0,0,141,437
12003,"Central Nova/Nova-Centre"," 187","Lawrencetown",40,52,13,4,0,1,1,111,363
12003,"Central Nova/Nova-Centre"," 188","Upper Lawrencetown",50,24,4,2,0,1,0,81,276
12003,"Central Nova/Nova-Centre"," 189","Halifax",41,38,5,0,0,1,2,87,276
12003,"Central Nova/Nova-Centre"," 190","Halifax",61,61,11,0,1,1,0,135,351
12003,"Central Nova/Nova-Centre"," 191","Halifax",45,32,6,0,2,1,0,86,262
12003,"Central Nova/Nova-Centre"," 192","East Lawrencetown",70,49,12,3,0,3,2,139,446
12003,"Central Nova/Nova-Centre"," 193","Minesville",57,41,4,2,0,0,0,104,426
12003,"Central Nova/Nova-Centre"," 194","West Lawrencetown",72,57,11,0,0,2,2,144,387
12003,"Central Nova/Nova-Centre"," 195","East Lawrencetown",64,39,7,2,0,4,0,116,426
12003,"Central Nova/Nova-Centre"," 400","New Glasgow",25,26,2,1,0,2,5,61,108
12003,"Central Nova/Nova-Centre"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,,4
12003,"Central Nova/Nova-Centre"," 501","Mobile poll/Bureau itinérant",17,26,2,1,3,0,0,49,49
12003,"Central Nova/Nova-Centre"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,,7
12003,"Central Nova/Nova-Centre"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,,10
12003,"Central Nova/Nova-Centre"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,,16
12003,"Central Nova/Nova-Centre"," 505","Mobile poll/Bureau itinérant",12,16,2,0,0,0,1,31,27
12003,"Central Nova/Nova-Centre"," 506","Mobile poll/Bureau itinérant",45,14,3,0,0,2,0,64,85
12003,"Central Nova/Nova-Centre"," 507","Riverton",Combined with No./Résultats combinés à ceux du n°100,,,,,,,,59
12003,"Central Nova/Nova-Centre"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,,,19
12003,"Central Nova/Nova-Centre"," 509","Mobile poll/Bureau itinérant",27,7,2,0,0,0,0,36,9
12003,"Central Nova/Nova-Centre"," 510","Mobile poll/Bureau itinérant",16,5,0,0,0,0,0,21,21
12003,"Central Nova/Nova-Centre"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,,,11
12003,"Central Nova/Nova-Centre"," 600","Pictou Island",Combined with No./Résultats combinés à ceux du n°601,,,,,,,,
12003,"Central Nova/Nova-Centre"," 601","Pictou",1026,537,32,8,5,8,15,1631,
12003,"Central Nova/Nova-Centre"," 602","River John",297,239,27,4,3,2,2,574,
12003,"Central Nova/Nova-Centre"," 603","Durham",509,403,26,1,4,7,2,952,
12003,"Central Nova/Nova-Centre"," 604","New Glasgow",1083,500,30,5,4,11,11,1644,
12003,"Central Nova/Nova-Centre"," 605","Trenton",420,349,18,0,6,5,2,800,
12003,"Central Nova/Nova-Centre"," 606","Fisher's Grant 24",108,7,2,0,1,1,0,119,
12003,"Central Nova/Nova-Centre"," 607","Little Harbour",323,195,5,1,0,6,2,532,
12003,"Central Nova/Nova-Centre"," 608","New Glasgow",721,295,26,4,6,5,2,1059,
12003,"Central Nova/Nova-Centre"," 609","Stellarton",604,388,29,3,1,9,15,1049,
12003,"Central Nova/Nova-Centre"," 610","Westville",483,398,26,5,6,7,6,931,
12003,"Central Nova/Nova-Centre"," 611","Westville",238,210,11,4,1,4,0,468,
12003,"Central Nova/Nova-Centre"," 612","Plymouth",502,420,16,4,6,9,7,964,
12003,"Central Nova/Nova-Centre"," 613","Merigomish Harbour 31",Void/Supprimé,,,,,,,,
12003,"Central Nova/Nova-Centre"," 614","Thorburn",406,377,11,2,2,3,7,808,
12003,"Central Nova/Nova-Centre"," 615","Sherbrooke",265,172,9,1,1,0,1,449,
12003,"Central Nova/Nova-Centre"," 616","Halifax",264,163,18,9,1,1,0,456,
12003,"Central Nova/Nova-Centre"," 617","Beaver Lake 17",Combined with No./Résultats combinés à ceux du n°616,,,,,,,,
12003,"Central Nova/Nova-Centre"," 618","Halifax",333,348,12,2,0,6,0,701,
12003,"Central Nova/Nova-Centre"," 619","Halifax",293,205,27,2,1,2,2,532,
12003,"Central Nova/Nova-Centre"," 620","Halifax",466,240,19,6,0,2,1,734,
12003,"Central Nova/Nova-Centre"," 621","Halifax",713,397,50,7,2,7,3,1179,
12003,"Central Nova/Nova-Centre"," 622","Halifax",286,243,23,7,0,2,1,562,
12003,"Central Nova/Nova-Centre"," 623","Halifax",556,361,41,6,2,4,3,973,
12003,"Central Nova/Nova-Centre"," 624","Halifax",768,387,42,7,5,5,4,1218,
12003,"Central Nova/Nova-Centre"," 625","Halifax",871,411,45,6,1,13,6,1353,
12003,"Central Nova/Nova-Centre",,Group 1/Groupe 1, 567,305,29,3,4,11,44,963,189
12003,"Central Nova/Nova-Centre",,Group 2/Groupe 2, 2123,1568,66,17,11,21,45,3851,
