Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Christopher Hadubiak,Randy Hoback,Virginia Kutzan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47005,"Prince Albert/Prince Albert"," 34","Shellbrook",24,176,7,1,208,351
47005,"Prince Albert/Prince Albert"," 35","Shellbrook",Combined with No./Résultats combinés à ceux du n°34,,,,,234
47005,"Prince Albert/Prince Albert"," 36","Shellbrook",19,139,14,0,172,559
47005,"Prince Albert/Prince Albert"," 37","Wahpeton 94A",56,4,21,0,81,126
47005,"Prince Albert/Prince Albert"," 38","Buckland No. 491",Combined with No./Résultats combinés à ceux du n°39,,,,,172
47005,"Prince Albert/Prince Albert"," 39","Buckland No. 491",28,138,15,1,182,379
47005,"Prince Albert/Prince Albert"," 40","Buckland No. 491",26,200,23,1,250,607
47005,"Prince Albert/Prince Albert"," 41","Prince Albert",52,219,39,3,313,693
47005,"Prince Albert/Prince Albert"," 42","Buckland",39,252,34,0,325,633
47005,"Prince Albert/Prince Albert"," 43","Shipman",20,125,5,0,150,279
47005,"Prince Albert/Prince Albert"," 44","Choiceland",8,60,6,0,74,319
47005,"Prince Albert/Prince Albert"," 45","Garrick",14,84,10,0,108,238
47005,"Prince Albert/Prince Albert"," 46","Prince Albert",Combined with No./Résultats combinés à ceux du n°115,,,,,190
47005,"Prince Albert/Prince Albert"," 47","Prince Albert",40,105,29,3,177,549
47005,"Prince Albert/Prince Albert"," 48","Prince Albert",54,115,23,3,195,433
47005,"Prince Albert/Prince Albert"," 49","Prince Albert",42,107,35,0,184,573
47005,"Prince Albert/Prince Albert"," 50","Prince Albert",24,96,19,0,139,482
47005,"Prince Albert/Prince Albert"," 51","Prince Albert",40,95,21,1,157,449
47005,"Prince Albert/Prince Albert"," 52","White Fox",16,136,11,1,164,294
47005,"Prince Albert/Prince Albert"," 53","Cherry Ridge",7,146,4,5,162,270
47005,"Prince Albert/Prince Albert"," 54","Prince Albert",32,54,13,0,99,468
47005,"Prince Albert/Prince Albert"," 55","Prince Albert",19,30,9,1,59,323
47005,"Prince Albert/Prince Albert"," 56","Prince Albert",19,28,20,0,67,403
47005,"Prince Albert/Prince Albert"," 57","Prince Albert",25,49,19,1,94,482
47005,"Prince Albert/Prince Albert"," 58","Prince Albert",21,41,17,0,79,410
47005,"Prince Albert/Prince Albert"," 59","Prince Albert",47,62,22,0,131,415
47005,"Prince Albert/Prince Albert"," 60","Prince Albert",27,40,9,1,77,400
47005,"Prince Albert/Prince Albert"," 61","Prince Albert",30,47,13,2,92,467
47005,"Prince Albert/Prince Albert"," 62","Prince Albert",27,66,17,1,111,403
47005,"Prince Albert/Prince Albert"," 63","Prince Albert",27,64,24,4,119,436
47005,"Prince Albert/Prince Albert"," 64","Prince Albert",45,71,24,0,140,493
47005,"Prince Albert/Prince Albert"," 65","Prince Albert",29,70,33,3,135,478
47005,"Prince Albert/Prince Albert"," 66","Prince Albert",22,61,22,1,106,464
47005,"Prince Albert/Prince Albert"," 67","Prince Albert",31,35,12,0,78,276
47005,"Prince Albert/Prince Albert"," 68","Prince Albert",23,32,7,0,62,390
47005,"Prince Albert/Prince Albert"," 69","Prince Albert",46,96,23,0,165,400
47005,"Prince Albert/Prince Albert"," 70","Prince Albert",35,68,21,1,125,458
47005,"Prince Albert/Prince Albert"," 71","Prince Albert",27,82,27,0,136,362
47005,"Prince Albert/Prince Albert"," 72","Prince Albert",31,69,29,4,133,401
47005,"Prince Albert/Prince Albert"," 73","Prince Albert",14,90,17,1,122,385
47005,"Prince Albert/Prince Albert"," 74A","Prince Albert",63,156,13,1,233,487
47005,"Prince Albert/Prince Albert"," 74B","Mobile poll/Bureau itinérant",24,54,17,2,97,96
47005,"Prince Albert/Prince Albert"," 75","Prince Albert",30,133,18,0,181,448
47005,"Prince Albert/Prince Albert"," 76","Prince Albert",42,120,30,1,193,471
47005,"Prince Albert/Prince Albert"," 77","Prince Albert",20,54,21,0,95,481
47005,"Prince Albert/Prince Albert"," 78","Prince Albert",36,64,20,0,120,431
47005,"Prince Albert/Prince Albert"," 79","Prince Albert",16,71,10,2,99,386
47005,"Prince Albert/Prince Albert"," 80","Prince Albert",34,121,22,0,177,590
47005,"Prince Albert/Prince Albert"," 81","Prince Albert",39,97,12,1,149,597
47005,"Prince Albert/Prince Albert"," 82","Prince Albert",37,76,16,0,129,423
47005,"Prince Albert/Prince Albert"," 83","Prince Albert",41,55,15,4,115,561
47005,"Prince Albert/Prince Albert"," 84","Prince Albert",9,28,5,1,43,311
47005,"Prince Albert/Prince Albert"," 85","Prince Albert",48,100,16,1,165,545
47005,"Prince Albert/Prince Albert"," 86","Prince Albert",55,130,16,0,201,627
47005,"Prince Albert/Prince Albert"," 87","Prince Albert",23,88,15,1,127,367
47005,"Prince Albert/Prince Albert"," 88","Prince Albert",31,50,9,0,90,341
47005,"Prince Albert/Prince Albert"," 89","Prince Albert",27,86,13,2,128,427
47005,"Prince Albert/Prince Albert"," 90","Nipawin",15,136,3,1,155,422
47005,"Prince Albert/Prince Albert"," 91","Nipawin",9,111,6,2,128,385
47005,"Prince Albert/Prince Albert"," 92","Nipawin",14,109,10,3,136,476
47005,"Prince Albert/Prince Albert"," 93","Nipawin",Combined with No./Résultats combinés à ceux du n°95,,,,,268
47005,"Prince Albert/Prince Albert"," 94","Nipawin",22,167,13,3,205,486
47005,"Prince Albert/Prince Albert"," 95","Nipawin",23,137,8,2,170,282
47005,"Prince Albert/Prince Albert"," 96","Nipawin",21,144,15,2,182,455
47005,"Prince Albert/Prince Albert"," 97","Nipawin",Combined with No./Résultats combinés à ceux du n°99,,,,,212
47005,"Prince Albert/Prince Albert"," 98","Nipawin",17,130,8,2,157,383
47005,"Prince Albert/Prince Albert"," 99","Nipawin",21,124,9,1,155,227
47005,"Prince Albert/Prince Albert"," 100","Prince Albert",Combined with No./Résultats combinés à ceux du n°101,,,,,383
47005,"Prince Albert/Prince Albert"," 101","Prince Albert",43,112,42,0,197,443
47005,"Prince Albert/Prince Albert"," 102","Prince Albert",28,40,17,0,85,443
47005,"Prince Albert/Prince Albert"," 103","Prince Albert",Combined with No./Résultats combinés à ceux du n°104,,,,,297
47005,"Prince Albert/Prince Albert"," 104","Prince Albert",49,145,20,2,216,328
47005,"Prince Albert/Prince Albert"," 105","Prince Albert",32,84,21,0,137,374
47005,"Prince Albert/Prince Albert"," 106","Prince Albert",32,65,13,1,111,331
47005,"Prince Albert/Prince Albert"," 107","Prince Albert",Combined with No./Résultats combinés à ceux du n°108,,,,,335
47005,"Prince Albert/Prince Albert"," 108","Prince Albert",47,162,29,0,238,366
47005,"Prince Albert/Prince Albert"," 109","Prince Albert",25,109,13,0,147,453
47005,"Prince Albert/Prince Albert"," 110","Prince Albert",34,88,20,0,142,420
47005,"Prince Albert/Prince Albert"," 111","Prince Albert",26,93,14,0,133,519
47005,"Prince Albert/Prince Albert"," 112","Prince Albert",41,68,19,0,128,504
47005,"Prince Albert/Prince Albert"," 113","Prince Albert",27,59,23,0,109,485
47005,"Prince Albert/Prince Albert"," 114","Prince Albert",34,95,23,1,153,413
47005,"Prince Albert/Prince Albert"," 115","Birson",27,151,22,0,200,351
47005,"Prince Albert/Prince Albert"," 116","Kiskaciwan 208",Combined with No./Résultats combinés à ceux du n°117,,,,,10
47005,"Prince Albert/Prince Albert"," 117","Macdowall",24,193,7,2,226,418
47005,"Prince Albert/Prince Albert"," 118","Clouston",7,151,6,0,164,342
47005,"Prince Albert/Prince Albert"," 119","Prince Albert",44,58,21,0,123,473
47005,"Prince Albert/Prince Albert"," 120","Prince Albert",27,51,16,0,94,432
47005,"Prince Albert/Prince Albert"," 121","Prince Albert",33,133,19,1,186,511
47005,"Prince Albert/Prince Albert"," 122","Prince Albert",Combined with No./Résultats combinés à ceux du n°123,,,,,241
47005,"Prince Albert/Prince Albert"," 123","Miller's Hill",27,157,20,1,205,384
47005,"Prince Albert/Prince Albert"," 124","Red Deer Hill",21,108,12,0,141,363
47005,"Prince Albert/Prince Albert"," 125","Codette",7,54,2,2,65,163
47005,"Prince Albert/Prince Albert"," 126","Codette",10,174,10,2,196,349
47005,"Prince Albert/Prince Albert"," 127","Muskoday First Nation",78,26,52,3,159,491
47005,"Prince Albert/Prince Albert"," 128","Weldon",16,176,11,1,204,360
47005,"Prince Albert/Prince Albert"," 129","James Smith 100",147,10,10,2,169,426
47005,"Prince Albert/Prince Albert"," 130","Brancepeth",4,77,5,0,86,206
47005,"Prince Albert/Prince Albert"," 131","Birch Hills",11,67,10,0,88,287
47005,"Prince Albert/Prince Albert"," 132","Birch Hills",13,56,6,0,75,228
47005,"Prince Albert/Prince Albert"," 133","Birch Hills",29,154,23,0,206,585
47005,"Prince Albert/Prince Albert"," 134","Aylsham",5,92,2,0,99,167
47005,"Prince Albert/Prince Albert"," 135","Gronlid",14,191,25,2,232,339
47005,"Prince Albert/Prince Albert"," 136","Brockington",9,80,3,0,92,222
47005,"Prince Albert/Prince Albert"," 137","Kinistino",18,146,6,0,170,208
47005,"Prince Albert/Prince Albert"," 138","Kinistino",16,143,6,0,165,309
47005,"Prince Albert/Prince Albert"," 139","Kinistino",Combined with No./Résultats combinés à ceux du n°137,,,,,125
47005,"Prince Albert/Prince Albert"," 140","Beatty",Combined with No./Résultats combinés à ceux du n°138,,,,,93
47005,"Prince Albert/Prince Albert"," 141","Ridgedale",8,145,3,0,156,275
47005,"Prince Albert/Prince Albert"," 142","Zenon Park",28,114,8,0,150,215
47005,"Prince Albert/Prince Albert"," 143","Melfort",23,108,9,1,141,435
47005,"Prince Albert/Prince Albert"," 144","Melfort",20,136,11,4,171,559
47005,"Prince Albert/Prince Albert"," 145","Melfort",15,141,9,2,167,543
47005,"Prince Albert/Prince Albert"," 146","Melfort",44,122,20,0,186,420
47005,"Prince Albert/Prince Albert"," 147","Melfort",15,123,10,2,150,522
47005,"Prince Albert/Prince Albert"," 148","Melfort",27,122,15,2,166,532
47005,"Prince Albert/Prince Albert"," 149","Melfort",18,91,7,0,116,352
47005,"Prince Albert/Prince Albert"," 150","Melfort",19,125,4,1,149,478
47005,"Prince Albert/Prince Albert"," 151","Melfort",32,178,10,1,221,553
47005,"Prince Albert/Prince Albert"," 152","Melfort",5,95,13,0,113,308
47005,"Prince Albert/Prince Albert"," 153","Tisdale",4,93,4,2,103,205
47005,"Prince Albert/Prince Albert"," 154","Tisdale",8,118,9,1,136,330
47005,"Prince Albert/Prince Albert"," 155","Star City",19,197,9,1,226,378
47005,"Prince Albert/Prince Albert"," 156","Star City",6,155,5,4,170,339
47005,"Prince Albert/Prince Albert"," 157","Tisdale",25,198,15,3,241,544
47005,"Prince Albert/Prince Albert"," 158A","Tisdale",19,164,10,2,195,307
47005,"Prince Albert/Prince Albert"," 158B","Mobile poll/Bureau itinérant",10,52,7,6,75,60
47005,"Prince Albert/Prince Albert"," 159","Tisdale",23,161,11,3,198,300
47005,"Prince Albert/Prince Albert"," 160","Tisdale",34,170,16,8,228,464
47005,"Prince Albert/Prince Albert"," 161","Tisdale",Combined with No./Résultats combinés à ceux du n°159,,,,,234
47005,"Prince Albert/Prince Albert"," 162","Tisdale",Combined with No./Résultats combinés à ceux du n°160,,,,,225
47005,"Prince Albert/Prince Albert"," 163","Tisdale",Combined with No./Résultats combinés à ceux du n°158A,,,,,184
47005,"Prince Albert/Prince Albert"," 164","Sylvania",10,136,5,1,152,246
47005,"Prince Albert/Prince Albert"," 400","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°525,,,,,22
47005,"Prince Albert/Prince Albert"," 500","Mobile poll/Bureau itinérant",7,45,12,4,68,36
47005,"Prince Albert/Prince Albert"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,29
47005,"Prince Albert/Prince Albert"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°520,,,,,13
47005,"Prince Albert/Prince Albert"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,37
47005,"Prince Albert/Prince Albert"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,11
47005,"Prince Albert/Prince Albert"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,59
47005,"Prince Albert/Prince Albert"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°74B,,,,,6
47005,"Prince Albert/Prince Albert"," 507","Mobile poll/Bureau itinérant",37,50,19,2,108,157
47005,"Prince Albert/Prince Albert"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°74B,,,,,39
47005,"Prince Albert/Prince Albert"," 509","Prince Albert",Combined with No./Résultats combinés à ceux du n°55,,,,,1
47005,"Prince Albert/Prince Albert"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,17
47005,"Prince Albert/Prince Albert"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,27
47005,"Prince Albert/Prince Albert"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°513,,,,,71
47005,"Prince Albert/Prince Albert"," 513","Mobile poll/Bureau itinérant",19,39,11,0,69,113
47005,"Prince Albert/Prince Albert"," 514","Mobile poll/Bureau itinérant",18,58,18,7,101,73
47005,"Prince Albert/Prince Albert"," 515","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,14
47005,"Prince Albert/Prince Albert"," 516","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°518,,,,,13
47005,"Prince Albert/Prince Albert"," 517","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°518,,,,,16
47005,"Prince Albert/Prince Albert"," 518","Mobile poll/Bureau itinérant",11,27,15,3,56,116
47005,"Prince Albert/Prince Albert"," 519","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,12
47005,"Prince Albert/Prince Albert"," 520","Mobile poll/Bureau itinérant",5,21,4,2,32,117
47005,"Prince Albert/Prince Albert"," 521","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,13
47005,"Prince Albert/Prince Albert"," 522","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°525,,,,,16
47005,"Prince Albert/Prince Albert"," 523","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°525,,,,,32
47005,"Prince Albert/Prince Albert"," 524","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°525,,,,,10
47005,"Prince Albert/Prince Albert"," 525","Mobile poll/Bureau itinérant",21,56,17,6,100,104
47005,"Prince Albert/Prince Albert"," 526","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°158B,,,,,77
47005,"Prince Albert/Prince Albert"," 600","Candle Lake",Combined with No./Résultats combinés à ceux du n°611,,,,,
47005,"Prince Albert/Prince Albert"," 601","Christopher Lake",94,420,41,3,558,
47005,"Prince Albert/Prince Albert"," 602","Big River",Combined with No./Résultats combinés à ceux du n°606,,,,,
47005,"Prince Albert/Prince Albert"," 603","Ahtahkakoop 104",Combined with No./Résultats combinés à ceux du n°606,,,,,
47005,"Prince Albert/Prince Albert"," 604","Spiritwood",Combined with No./Résultats combinés à ceux du n°606,,,,,
47005,"Prince Albert/Prince Albert"," 605","Mistawasis 103",Combined with No./Résultats combinés à ceux du n°607,,,,,
47005,"Prince Albert/Prince Albert"," 606","Debden",58,390,17,2,467,
47005,"Prince Albert/Prince Albert"," 607","Shellbrook",85,621,43,4,753,
47005,"Prince Albert/Prince Albert"," 608","Sturgeon Lake 101",Combined with No./Résultats combinés à ceux du n°611,,,,,
47005,"Prince Albert/Prince Albert"," 609","Little Red River 106C",Combined with No./Résultats combinés à ceux du n°601,,,,,
47005,"Prince Albert/Prince Albert"," 610","Montreal Lake 106B",Combined with No./Résultats combinés à ceux du n°601,,,,,
47005,"Prince Albert/Prince Albert"," 611","Buckland",100,760,60,6,926,
47005,"Prince Albert/Prince Albert"," 612","Wahpeton 94A",Combined with No./Résultats combinés à ceux du n°611,,,,,
47005,"Prince Albert/Prince Albert"," 613","Smeaton",41,376,30,0,447,
47005,"Prince Albert/Prince Albert"," 614","Nipawin",146,954,62,10,1172,
47005,"Prince Albert/Prince Albert"," 615","Tisdale",131,906,65,11,1113,
47005,"Prince Albert/Prince Albert"," 616","Flett's Springs No. 429",111,741,50,13,915,
47005,"Prince Albert/Prince Albert"," 617","Willow Creek No. 458",121,613,52,7,793,
47005,"Prince Albert/Prince Albert"," 618","Willow Creek No. 458",Combined with No./Résultats combinés à ceux du n°617,,,,,
47005,"Prince Albert/Prince Albert"," 619","James Smith 100",Combined with No./Résultats combinés à ceux du n°616,,,,,
47005,"Prince Albert/Prince Albert"," 620","Birch Hills",97,423,47,8,575,
47005,"Prince Albert/Prince Albert"," 621","Muskoday First Nation",Combined with No./Résultats combinés à ceux du n°620,,,,,
47005,"Prince Albert/Prince Albert"," 622","Birson",55,475,50,1,581,
47005,"Prince Albert/Prince Albert"," 623","Prince Albert",253,792,126,2,1173,
47005,"Prince Albert/Prince Albert"," 624","Prince Albert",155,500,93,0,748,
47005,"Prince Albert/Prince Albert"," 625","Prince Albert",189,633,117,6,945,
47005,"Prince Albert/Prince Albert"," 626","Prince Albert",122,369,90,2,583,
47005,"Prince Albert/Prince Albert"," 627","Prince Albert",199,551,112,1,863,
47005,"Prince Albert/Prince Albert"," 628","Prince Albert",209,675,136,4,1024,
47005,"Prince Albert/Prince Albert"," 629","Kiskaciwan 208",Combined with No./Résultats combinés à ceux du n°622,,,,,
47005,"Prince Albert/Prince Albert",,Group 1/Groupe 1, 208,214,84,40,546,310
47005,"Prince Albert/Prince Albert",,Group 2/Groupe 2, 264,1097,147,32,1540,
