Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Wade Chang,Richard Farbridge,Jagmeet Singh,James Yan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59002,"Burnaby Central/Burnaby Central"," 23","Burnaby",44,0,19,73,2,138,410
59002,"Burnaby Central/Burnaby Central"," 24","Burnaby",134,8,66,97,5,310,360
59002,"Burnaby Central/Burnaby Central"," 25","Burnaby",42,4,25,77,0,148,426
59002,"Burnaby Central/Burnaby Central"," 26","Burnaby",60,0,21,64,4,149,424
59002,"Burnaby Central/Burnaby Central"," 27","Burnaby",Combined with No./Résultats combinés à ceux du n°29,,,,,,395
59002,"Burnaby Central/Burnaby Central"," 28","Burnaby",Combined with No./Résultats combinés à ceux du n°24,,,,,,383
59002,"Burnaby Central/Burnaby Central"," 29","Burnaby",82,3,33,101,2,221,346
59002,"Burnaby Central/Burnaby Central"," 30","Burnaby",85,3,32,98,0,218,394
59002,"Burnaby Central/Burnaby Central"," 31","Burnaby",47,1,20,75,1,144,451
59002,"Burnaby Central/Burnaby Central"," 32","Burnaby",45,1,15,58,0,119,403
59002,"Burnaby Central/Burnaby Central"," 33","Burnaby",29,0,26,31,0,86,330
59002,"Burnaby Central/Burnaby Central"," 34","Burnaby",38,2,26,68,0,134,522
59002,"Burnaby Central/Burnaby Central"," 35","Burnaby",58,1,29,77,2,167,543
59002,"Burnaby Central/Burnaby Central"," 36","Burnaby",41,2,24,55,0,122,470
59002,"Burnaby Central/Burnaby Central"," 37","Burnaby",26,0,18,38,1,83,372
59002,"Burnaby Central/Burnaby Central"," 38","Burnaby",67,0,31,58,2,158,535
59002,"Burnaby Central/Burnaby Central"," 39","Burnaby",59,0,51,32,0,142,406
59002,"Burnaby Central/Burnaby Central"," 40","Burnaby",49,1,27,41,0,118,386
59002,"Burnaby Central/Burnaby Central"," 41","Burnaby",39,0,29,59,0,127,402
59002,"Burnaby Central/Burnaby Central"," 42","Burnaby",38,1,19,57,0,115,434
59002,"Burnaby Central/Burnaby Central"," 43","Burnaby",36,1,24,37,0,98,395
59002,"Burnaby Central/Burnaby Central"," 44","Burnaby",Combined with No./Résultats combinés à ceux du n°14,,,,,,349
59002,"Burnaby Central/Burnaby Central"," 45A","Burnaby",57,2,12,48,0,119,457
59002,"Burnaby Central/Burnaby Central"," 45B","Burnaby",47,0,13,55,0,115,404
59002,"Burnaby Central/Burnaby Central"," 46","Burnaby",55,3,31,64,2,155,523
59002,"Burnaby Central/Burnaby Central"," 47","Burnaby",68,4,17,76,0,165,566
59002,"Burnaby Central/Burnaby Central"," 48","Burnaby",89,2,29,62,0,182,622
59002,"Burnaby Central/Burnaby Central"," 49","Burnaby",64,1,46,67,1,179,540
59002,"Burnaby Central/Burnaby Central"," 50","Burnaby",48,0,44,60,0,152,517
59002,"Burnaby Central/Burnaby Central"," 51","Burnaby",57,3,53,58,0,171,31
59002,"Burnaby Central/Burnaby Central"," 52","Burnaby",37,8,37,42,0,124,417
59002,"Burnaby Central/Burnaby Central"," 53","Burnaby",Combined with No./Résultats combinés à ceux du n°30,,,,,,404
59002,"Burnaby Central/Burnaby Central"," 54","Burnaby",48,0,24,89,1,162,432
59002,"Burnaby Central/Burnaby Central"," 55","Burnaby",68,2,29,69,3,171,352
59002,"Burnaby Central/Burnaby Central"," 56","Burnaby",24,0,13,54,1,92,376
59002,"Burnaby Central/Burnaby Central"," 57","Burnaby",Combined with No./Résultats combinés à ceux du n°61,,,,,,427
59002,"Burnaby Central/Burnaby Central"," 58","Burnaby",49,3,24,35,0,111,314
59002,"Burnaby Central/Burnaby Central"," 59","Burnaby",46,3,24,45,1,119,509
59002,"Burnaby Central/Burnaby Central"," 60","Burnaby",41,2,28,66,0,137,560
59002,"Burnaby Central/Burnaby Central"," 61","Burnaby",30,0,10,32,0,72,58
59002,"Burnaby Central/Burnaby Central"," 62","Burnaby",39,0,7,40,1,87,423
59002,"Burnaby Central/Burnaby Central"," 63","Burnaby",50,2,25,42,0,119,571
59002,"Burnaby Central/Burnaby Central"," 64","Burnaby",59,0,18,71,0,148,426
59002,"Burnaby Central/Burnaby Central"," 65","Burnaby",73,2,65,53,1,194,414
59002,"Burnaby Central/Burnaby Central"," 66","Burnaby",85,1,36,43,0,165,458
59002,"Burnaby Central/Burnaby Central"," 67","Burnaby",38,0,19,51,0,108,473
59002,"Burnaby Central/Burnaby Central"," 68","Burnaby",57,1,22,51,0,131,447
59002,"Burnaby Central/Burnaby Central"," 69","Burnaby",93,3,39,44,0,179,471
59002,"Burnaby Central/Burnaby Central"," 70","Burnaby",99,4,71,86,1,261,518
59002,"Burnaby Central/Burnaby Central"," 71","Burnaby",93,2,72,58,2,227,478
59002,"Burnaby Central/Burnaby Central"," 72","Burnaby",80,0,41,56,1,178,430
59002,"Burnaby Central/Burnaby Central"," 73","Burnaby",100,5,39,58,1,203,409
59002,"Burnaby Central/Burnaby Central"," 74","Burnaby",86,2,53,59,0,200,460
59002,"Burnaby Central/Burnaby Central"," 75","Burnaby",75,2,21,78,1,177,444
59002,"Burnaby Central/Burnaby Central"," 76","Burnaby",42,0,15,49,1,107,356
59002,"Burnaby Central/Burnaby Central"," 77","Burnaby",48,2,22,75,2,149,486
59002,"Burnaby Central/Burnaby Central"," 78","Burnaby",57,1,36,77,2,173,563
59002,"Burnaby Central/Burnaby Central"," 79A","Burnaby",55,2,28,65,0,150,739
59002,"Burnaby Central/Burnaby Central"," 79B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,97
59002,"Burnaby Central/Burnaby Central"," 80","Burnaby",46,0,24,73,1,144,558
59002,"Burnaby Central/Burnaby Central"," 81","Burnaby",60,0,12,69,0,141,388
59002,"Burnaby Central/Burnaby Central"," 82","Burnaby",58,1,37,73,0,169,402
59002,"Burnaby Central/Burnaby Central"," 83","Burnaby",86,1,26,75,1,189,484
59002,"Burnaby Central/Burnaby Central"," 84","Burnaby",130,3,17,128,0,278,573
59002,"Burnaby Central/Burnaby Central"," 85A","Burnaby",105,0,39,99,2,245,496
59002,"Burnaby Central/Burnaby Central"," 85B","Burnaby",76,2,40,68,0,186,393
59002,"Burnaby Central/Burnaby Central"," 86","Burnaby",93,2,43,43,0,181,468
59002,"Burnaby Central/Burnaby Central"," 87","Burnaby",45,2,33,33,1,114,402
59002,"Burnaby Central/Burnaby Central"," 88","Burnaby",81,2,23,111,0,217,643
59002,"Burnaby Central/Burnaby Central"," 89","Burnaby",41,1,10,46,0,98,207
59002,"Burnaby Central/Burnaby Central"," 90","Burnaby",44,0,7,71,1,123,189
59002,"Burnaby Central/Burnaby Central"," 91","Burnaby",Combined with No./Résultats combinés à ceux du n°89,,,,,,156
59002,"Burnaby Central/Burnaby Central"," 92","Burnaby",Combined with No./Résultats combinés à ceux du n°90,,,,,,294
59002,"Burnaby Central/Burnaby Central"," 93","Burnaby",30,0,10,57,1,98,448
59002,"Burnaby Central/Burnaby Central"," 94","Burnaby",Combined with No./Résultats combinés à ceux du n°95,,,,,,232
59002,"Burnaby Central/Burnaby Central"," 95","Burnaby",69,1,33,107,0,210,377
59002,"Burnaby Central/Burnaby Central"," 96","Burnaby",21,1,10,30,0,62,328
59002,"Burnaby Central/Burnaby Central"," 97","Burnaby",86,0,16,70,2,174,591
59002,"Burnaby Central/Burnaby Central"," 98","Burnaby",38,3,21,56,1,119,472
59002,"Burnaby Central/Burnaby Central"," 99","Burnaby",39,1,38,40,1,119,396
