Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Clint Cole,Julie Dietrich,Bridget Girard,Pranay Gunti,Ghuzna Imam,Jamil Jivani,Elenor Marano,Adam Smith,Thomas Zekveld,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 75","Oshawa",0,2,109,1,4,105,3,0,1,3,228,527
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 76","Oshawa",0,2,113,0,1,98,5,0,0,1,220,653
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 77A","Oshawa",0,0,61,0,1,50,5,0,2,2,121,396
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 77B","Oshawa",1,0,64,0,0,51,6,1,0,0,123,420
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 78","Oshawa",1,3,72,2,0,83,1,0,0,0,162,438
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 79","Oshawa",0,0,73,2,0,109,5,0,1,1,191,573
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 80","Oshawa",0,1,82,1,1,53,5,0,1,2,146,478
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 81","Oshawa",1,3,110,2,1,87,5,0,2,1,212,523
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 82","Oshawa",1,3,54,0,0,76,1,0,0,3,138,413
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 83","Oshawa",0,1,92,0,0,75,5,0,0,0,173,486
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 84","Oshawa",1,0,73,1,0,83,4,0,1,0,163,373
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 85","Oshawa",1,0,77,2,1,68,14,0,0,0,163,457
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 86","Oshawa",0,2,92,1,0,93,11,0,2,0,201,502
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 87","Oshawa",0,3,114,5,3,114,12,0,2,1,254,603
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 88","Oshawa",3,0,63,0,0,71,4,0,0,4,145,512
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 89","Oshawa",0,1,66,0,0,75,6,0,0,0,148,419
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 90","Oshawa",1,7,65,1,0,75,9,0,0,0,158,435
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 91","Oshawa",0,2,30,0,0,67,11,0,0,1,111,400
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 92","Oshawa",0,1,56,1,0,55,9,1,0,1,124,351
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 93","Oshawa",2,2,68,1,1,108,11,0,0,0,193,604
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 94","Clarington",0,1,107,1,0,126,13,0,1,0,249,595
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 95","Clarington",0,2,99,1,0,104,15,0,1,1,223,480
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 96","Clarington",0,1,63,2,3,102,4,1,0,0,176,415
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 97","Clarington",3,1,80,0,0,88,4,0,0,1,177,434
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 98","Clarington",0,0,55,0,0,94,9,0,0,0,158,481
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 99","Clarington",0,2,113,0,0,103,9,1,0,1,229,526
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 100","Clarington",0,1,65,0,0,60,4,0,1,1,132,384
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 101","Clarington",0,1,71,1,0,127,4,0,3,3,210,398
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 102","Clarington",0,0,55,0,0,89,4,0,1,0,149,365
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 103","Clarington",0,1,73,1,0,112,4,1,0,0,192,360
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 104","Clarington",0,2,77,0,0,125,9,0,0,0,213,427
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 105","Clarington",0,2,73,1,3,86,6,0,0,1,172,465
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 106","Clarington",0,2,105,2,0,89,1,0,0,0,199,446
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 107","Clarington",1,3,90,0,0,82,6,0,0,2,184,441
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 108","Clarington",0,0,68,1,0,79,7,0,0,3,158,409
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 109","Clarington",0,1,41,1,0,59,8,0,0,1,111,348
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 110","Clarington",1,2,75,0,0,89,13,1,0,1,182,452
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 111","Clarington",0,0,50,0,0,58,8,0,0,0,116,365
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 112","Clarington",0,1,69,0,0,70,5,0,1,0,146,448
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 113","Clarington",0,1,69,1,0,86,6,0,0,0,163,391
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 114","Clarington",1,5,70,0,0,117,14,1,0,0,208,559
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 115","Clarington",0,3,75,0,0,126,8,0,1,0,213,463
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 116","Clarington",0,1,75,0,1,83,6,0,3,0,169,414
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 117","Oshawa",0,0,70,0,0,74,3,0,0,0,147,474
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 118","Oshawa",1,0,81,0,0,84,6,1,0,0,173,489
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 119","Oshawa",0,1,104,0,0,95,5,0,0,1,206,508
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 120","Oshawa",0,0,96,0,0,91,4,0,0,0,191,548
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 121","Oshawa",0,1,57,3,0,61,3,0,1,2,128,404
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 122","Oshawa",1,1,80,1,1,95,6,1,1,0,187,531
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 123","Oshawa",0,1,72,0,0,92,5,1,1,9,181,495
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 124","Clarington",1,1,40,0,0,80,6,0,2,0,130,315
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 125","Clarington",0,0,80,0,0,117,8,0,1,1,207,452
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 126","Clarington",0,2,55,0,0,103,6,0,0,2,168,410
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 127","Clarington",1,2,75,0,0,104,3,0,0,0,185,419
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 128","Clarington",1,1,55,0,0,74,4,0,0,1,136,417
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 129","Clarington",0,0,88,0,1,99,8,0,2,0,198,584
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 130","Clarington",0,1,66,1,0,95,7,0,0,0,170,360
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 131","Clarington",2,1,67,0,0,77,5,1,0,0,153,482
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 132","Clarington",0,1,39,0,0,70,1,0,0,0,111,340
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 133","Clarington",2,0,68,0,0,85,8,0,0,0,163,443
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 134","Clarington",0,0,124,0,0,139,5,1,0,0,269,600
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 135","Clarington",1,2,66,0,0,100,4,0,0,0,173,474
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 136","Clarington",1,1,67,2,0,120,8,0,0,0,199,469
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 137","Clarington",0,2,71,0,1,117,4,0,0,0,195,487
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 138","Clarington",1,1,86,1,0,128,2,0,2,0,221,587
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 139","Clarington",0,0,59,1,0,78,1,0,0,0,139,359
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 140","Clarington",0,1,41,2,1,59,3,0,2,0,109,346
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 141","Clarington",2,1,84,0,0,72,5,0,0,0,164,434
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 142","Clarington",2,1,86,0,0,86,7,0,0,1,183,481
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 143","Clarington",0,3,81,2,0,109,9,1,0,0,205,663
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 144","Clarington",0,0,70,0,0,96,4,1,0,1,172,469
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 145","Clarington",0,2,55,0,0,52,6,0,0,0,115,316
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 146","Clarington",0,0,67,1,0,71,3,0,0,0,142,474
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 147","Clarington",1,0,61,0,0,84,7,0,0,0,153,456
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 148","Clarington",0,0,54,0,0,67,3,1,0,0,125,365
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 149","Clarington",0,2,64,1,0,92,2,0,0,0,161,410
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 150","Clarington",1,0,53,0,3,86,3,0,1,0,147,373
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 151","Clarington",0,0,64,1,0,84,4,0,0,0,153,431
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 152","Clarington",0,0,54,0,0,94,1,0,0,0,149,462
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 153","Clarington",0,0,80,0,0,100,6,0,0,1,187,537
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 154","Oshawa",0,1,79,0,1,104,10,0,0,1,196,586
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 155","Oshawa",1,5,106,0,0,92,15,0,1,2,222,562
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 156","Oshawa",0,0,93,1,0,90,9,0,1,0,194,572
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 157","Oshawa",0,2,147,0,2,132,6,0,0,5,294,634
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 158","Oshawa",1,5,77,1,0,94,13,2,0,1,194,498
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 159","Oshawa",0,1,69,1,1,85,8,1,0,0,166,382
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 160","Clarington",0,3,42,0,0,76,8,0,1,1,131,366
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 161","Clarington",1,2,54,2,0,68,15,0,0,0,142,444
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 162","Clarington",0,2,74,0,1,91,5,1,3,1,178,547
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 163","Clarington",0,0,49,0,0,58,4,0,1,0,112,343
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 164","Clarington",0,1,84,0,0,95,3,0,1,0,184,497
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 165","Clarington",0,0,175,1,1,88,4,0,0,0,269,415
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 166","Clarington",1,3,128,0,0,93,9,0,0,1,235,393
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 167","Clarington",1,1,162,0,0,68,5,0,0,0,237,378
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 168","Clarington",0,3,150,2,0,80,3,0,1,0,239,402
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 169A","Clarington",2,1,54,0,0,67,3,0,0,0,127,337
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 169B","Clarington",0,1,63,2,0,70,2,0,0,0,138,390
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 170","Clarington",0,3,50,1,0,65,4,1,0,1,125,371
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 171","Clarington",0,7,56,0,0,78,7,0,0,0,148,356
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 172","Clarington",0,0,64,1,0,97,14,0,1,0,177,490
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 173","Clarington",2,0,54,1,0,83,1,0,0,0,141,392
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 174","Clarington",0,2,73,0,0,79,7,0,0,0,161,366
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 175","Clarington",0,1,71,1,0,90,4,0,0,1,168,423
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 176","Clarington",0,0,75,0,0,69,5,0,0,1,150,442
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 177","Clarington",0,4,53,0,0,106,14,0,2,0,179,406
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 178","Clarington",0,2,58,0,0,84,11,1,0,0,156,429
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 179","Clarington",0,0,56,0,1,107,3,0,0,0,167,455
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 180","Clarington",0,1,54,1,0,46,7,0,0,1,110,354
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 181","Clarington",0,0,46,0,0,48,3,0,0,0,97,363
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 182","Clarington",0,4,41,1,0,87,12,0,0,1,146,385
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 183","Clarington",0,2,86,0,0,59,9,0,1,0,157,502
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 184","Clarington",1,1,61,2,0,58,4,0,0,1,128,353
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 185","Clarington",1,5,72,0,0,58,4,0,0,0,140,388
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 186","Clarington",0,1,45,0,0,80,8,0,0,0,134,401
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 187","Clarington",0,1,83,1,0,97,1,0,0,0,183,534
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 188","Clarington",2,1,76,2,0,102,3,0,0,3,189,543
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 189","Clarington",0,2,77,0,0,92,5,1,0,1,178,585
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 190","Clarington",0,2,64,1,0,90,5,0,0,1,163,369
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 191","Clarington",2,2,67,0,0,111,4,0,2,0,188,512
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 192","Clarington",0,1,77,0,0,87,2,0,0,1,168,352
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 193","Clarington",1,2,74,1,0,121,10,0,0,0,209,497
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 194","Clarington",0,1,73,0,0,83,3,0,1,0,161,366
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 195","Clarington",0,1,62,0,1,65,6,0,0,0,135,356
