Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Rosemarie Falk,Larry Ingram,Darrell Patan,William Petryk,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 77","Lashburn--Lone Rock",262,14,2,5,1,284,493
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 78","Maidstone",152,14,1,4,0,171,470
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 79","Maidstone",108,10,1,5,0,124,411
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 80","Maidstone",116,7,1,7,1,132,402
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 81","Edam",385,25,2,7,1,420,568
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 82","Medstead",237,25,2,12,0,276,400
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 83","Laventure",Combined with No./Résultats combinés à ceux du n°84,,,,,,282
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 84","Spiritwood",170,21,2,4,4,201,241
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 85","Spiritwood",80,16,0,4,0,100,380
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 86","Spiritwood",70,8,0,11,1,90,208
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 87","Paynton",132,35,1,5,1,174,540
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 88","Shell Lake",115,25,1,9,0,150,328
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 89","Shell Lake",99,14,2,4,0,119,241
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 90","Shell Lake",Combined with No./Résultats combinés à ceux du n°88,,,,,,16
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 91","Saulteaux 159",1,135,1,5,0,142,180
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 92","Moosomin 112B",11,136,0,3,0,150,244
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 93","Cochin",115,44,0,5,1,165,630
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 94A","Meota",142,15,2,6,0,165,341
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 94B","Meota",122,16,0,8,1,147,317
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 95","Prince",171,13,0,3,1,188,374
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 96A","Rabbit Lake",118,12,1,4,2,137,242
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 96B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,18
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 97","Little Pine 116",15,95,0,13,0,123,226
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 98","Baldwinton",117,6,0,5,0,128,340
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 99","Freemont",243,13,2,4,0,262,368
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 100","Poundmaker 114",4,38,0,4,0,46,180
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 101","Delmas",137,12,1,1,6,157,330
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 102","Cut Knife",257,50,1,13,2,323,629
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 103","Marsden",279,24,5,8,1,317,492
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 104","Macklin",32,0,1,0,1,34,192
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 105","North Battleford",194,17,0,2,0,213,530
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 106","North Battleford",104,35,0,8,1,148,449
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 107","North Battleford",73,40,1,9,3,126,396
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 108","North Battleford",103,37,1,6,1,148,457
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 109","North Battleford",141,42,2,10,0,195,552
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 110","North Battleford",87,36,1,12,0,136,522
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 111","North Battleford",86,41,0,14,0,141,399
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 112","North Battleford",100,31,1,6,0,138,491
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 113","Gallivan",50,126,2,19,3,200,241
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 113-1","Sweet Grass 113",Combined with No./Résultats combinés à ceux du n°113,,,,,,199
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 114","North Battleford",109,20,0,12,0,141,466
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 115","North Battleford",84,28,1,2,0,115,409
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 116","North Battleford",94,24,0,13,1,132,461
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 117","North Battleford",112,41,0,15,1,169,529
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 118","North Battleford",74,22,0,10,0,106,469
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 119","North Battleford",94,23,1,6,1,125,344
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 120","North Battleford",78,36,2,17,0,133,449
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 121","North Battleford",44,18,2,9,1,74,313
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 122","Battleford",95,26,0,5,0,126,516
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 123","Battleford",135,27,0,4,0,166,449
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 124","Battleford",93,18,1,5,1,118,359
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 125","Battleford",122,44,2,11,0,179,597
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 126","Battleford",124,21,0,4,2,151,463
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 127","North Battleford",94,28,0,9,2,133,372
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 128","North Battleford",66,19,2,13,3,103,502
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 129","North Battleford",72,17,0,10,1,100,433
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 130","North Battleford",60,35,1,4,0,100,490
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 131","North Battleford",99,41,1,8,0,149,589
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 132","North Battleford",87,36,3,9,1,136,501
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 133","North Battleford",63,34,12,3,0,112,381
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 134","Unity",104,8,2,3,3,120,300
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 135","Unity",86,10,0,5,2,103,322
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 136","Unity",121,19,0,5,0,145,490
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 137","Unity",127,31,3,11,2,174,494
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 138","Unity",123,28,0,16,1,168,479
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 139","Swarthmore",109,2,0,2,0,113,277
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 140","Wilkie",74,14,1,6,1,96,288
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 141","Wilkie",105,19,2,8,0,134,357
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 142","Wilkie",73,8,1,9,0,91,251
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 143","Battleford",134,36,1,16,0,187,505
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 144","Battleford",81,19,0,9,1,110,445
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 145","Denholm",136,28,0,11,0,175,497
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 145-1","Poundmaker 114-18B",Combined with No./Résultats combinés à ceux du n°145,,,,,,5
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 146","Porter",93,7,0,3,0,103,291
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 147","Red Pheasant",Void/Supprimé,,,,,,
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 147-1","Mosquito 109",7,111,1,11,1,131,196
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 147-2","Red Pheasant 108",1,6,0,0,0,7,68
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 148","Buffalo No. 409",25,0,0,1,0,26,74
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,11
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 501","Mobile poll/Bureau itinérant",22,10,1,5,1,39,20
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,18
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,28
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,18
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 505","Mobile poll/Bureau itinérant",24,3,1,4,0,32,56
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,3
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 507","Mobile poll/Bureau itinérant",23,7,1,3,0,34,187
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,24
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,33
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 510","Mobile poll/Bureau itinérant",23,7,1,4,4,39,47
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°519,,,,,,30
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°516,,,,,,57
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°517,,,,,,104
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°517,,,,,,101
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 515","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°516,,,,,,39
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 516","Mobile poll/Bureau itinérant",41,28,4,16,0,89,165
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 517","Mobile poll/Bureau itinérant",85,48,8,43,1,185,126
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 518","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°519,,,,,,1
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 519","Mobile poll/Bureau itinérant",29,11,0,3,7,50,38
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 520","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°519,,,,,,23
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 600","Goodsoil",391,62,2,10,0,465,
