Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Lisa Marie Barron,Michelle Corfield,Tamara Kronis,Paul Manly,Stephen Welton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 88","Nanaimo",33,43,93,57,0,1,227,658
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 89","Nanaimo",45,36,47,43,0,1,172,659
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 90","Nanaimo",38,45,50,47,1,0,181,551
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 91","Nanaimo",50,36,72,70,1,1,230,629
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 92","Nanaimo",49,52,47,62,0,0,210,610
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 93","Nanaimo",40,40,48,58,1,0,187,601
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 94","Nanaimo",112,40,26,69,0,0,247,349
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 95","Nanaimo",46,38,46,31,0,0,161,645
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 96","Nanaimo",40,33,54,71,0,0,198,588
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 97","Nanaimo",47,38,65,64,4,0,218,585
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 98","Nanaimo",53,27,54,70,2,0,206,723
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 99","Nanaimo",34,40,75,42,0,0,191,590
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 100","Nanaimo",33,46,49,42,1,0,171,614
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 101","Nanaimo",41,46,59,30,2,2,180,590
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 102","Nanaimo",46,43,45,98,0,0,232,627
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 103","Nanaimo",43,31,59,53,0,0,186,611
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 104","Nanaimo",41,43,70,50,0,1,205,587
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 105","Nanaimo",52,36,68,62,1,0,219,593
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 106","Nanaimo",39,25,59,50,1,0,174,578
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 107","Nanaimo",23,40,75,33,0,0,171,616
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 108","Nanaimo",48,28,64,59,0,0,199,593
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 109","Nanaimo",47,64,37,41,0,0,189,643
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 110","Nanaimo",53,37,74,67,0,2,233,615
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 111","Nanaimo",51,31,42,82,0,0,206,613
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 112","Nanaimo",52,33,50,70,2,0,207,701
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 113","Nanaimo",37,43,61,52,4,2,199,622
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 114","Nanaimo",37,42,57,55,0,0,191,607
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 115","Nanaimo",37,29,70,54,2,1,193,653
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 116","Nanaimo",38,22,46,63,4,0,173,612
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 117","Nanaimo",44,34,91,60,1,1,231,659
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 118","Nanaimo",Combined with No./Résultats combinés à ceux du n°118-1,,,,,,,281
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 118-1","Nanaimo Town 1",87,18,25,33,0,0,163,316
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 119","Nanaimo",36,32,41,40,0,2,151,631
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 120","Nanaimo",25,31,56,28,0,0,140,560
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 121","Nanaimo",35,68,110,63,0,0,276,715
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 122","Nanaimo",38,56,110,59,0,1,264,624
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 123","Nanaimo",42,45,91,59,4,1,242,624
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 124","Nanaimo",64,46,111,60,1,0,282,754
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 125","Nanaimo",34,36,44,27,2,0,143,634
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 126","Extension",37,40,108,53,1,0,239,556
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 127","Nanaimo",47,41,77,22,2,0,189,312
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 127-1","Nanaimo River",Combined with No./Résultats combinés à ceux du n°127,,,,,,,243
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 128","Nanaimo",13,34,76,31,2,0,156,449
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 129","Nanaimo",52,51,138,59,4,0,304,649
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 130","Gabriola",40,39,25,40,1,0,145,482
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 131","Gabriola",34,34,26,60,2,0,156,495
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 132","Gabriola",32,21,35,41,1,0,130,404
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 133","Gabriola",52,29,31,68,1,1,182,531
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 134","Gabriola Island",44,38,37,69,0,0,188,517
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 135","Gabriola",35,38,35,35,2,0,145,497
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 136","Gabriola Island 5",25,29,16,38,0,0,108,426
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 136-1","Lyacksun 3",Combined with No./Résultats combinés à ceux du n°136,,,,,,,3
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 137","Gabriola",40,25,22,46,0,1,134,514
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 138","Gabriola",20,32,22,48,2,0,124,418
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 139","Nanaimo",36,51,77,44,1,0,209,626
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 140","South Wellington",20,22,56,31,0,1,130,473
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 141","Cassidy",33,43,74,28,1,0,179,480
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 142","South Wellington",40,46,94,34,0,1,215,527
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 143","Cassidy",28,26,49,22,1,1,127,457
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 144","Nanaimo A",26,42,103,38,2,1,212,504
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 145","Nanaimo A",25,64,118,30,3,1,241,598
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 146","Cedar",24,46,63,45,0,0,178,482
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 147","Nanaimo A",27,29,122,35,1,0,214,578
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 148","Cedar",29,46,85,30,1,0,191,461
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 149","Cedar Land District",34,20,64,33,0,0,151,450
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 150","Boat Harbour",14,46,67,29,1,1,158,447
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 151","Cedar Land District",30,37,98,44,0,0,209,755
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 152","Cassidy",35,41,72,36,0,2,186,513
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 153","Cassidy",16,14,55,17,2,0,104,317
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 154","Yellow Point",41,36,69,47,1,0,194,484
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 155","Cassidy",44,59,76,35,1,0,215,477
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 156","Ladysmith",28,27,91,22,4,0,172,447
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 157","Ladysmith",26,38,39,31,1,0,135,365
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 158","Ladysmith",51,68,83,17,1,0,220,573
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 159","Ladysmith",55,72,95,43,0,1,266,666
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 160","Ladysmith",82,57,105,101,1,1,347,687
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 161","Ladysmith",58,64,96,50,3,0,271,642
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 162","Ladysmith",38,49,43,33,0,1,164,448
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 163","Ladysmith",40,70,62,58,0,0,230,565
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 164","Ladysmith",24,33,68,35,1,0,161,573
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 165A","Chemainus 13--Oyster Bay 12",84,10,22,9,0,0,125,320
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 165B","Chemainus 13--Oyster Bay 12",67,11,35,12,0,0,125,305
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 166A","Sharpe Point",Combined with No./Résultats combinés à ceux du n°165A,,,,,,,102
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 166B","Sharpe Point",Combined with No./Résultats combinés à ceux du n°165B,,,,,,,98
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 167","Ladysmith",49,76,97,52,1,0,275,615
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 168","Ladysmith",47,54,79,50,0,1,231,621
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 169","Ladysmith",43,67,58,38,1,0,207,569
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 170","Ladysmith",31,52,89,34,0,0,206,576
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 171","Ladysmith",50,69,93,34,0,1,247,724
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 172","Saltair",36,32,54,18,3,1,144,454
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 173","Saltair",18,19,44,18,0,1,100,444
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 174","Ladysmith",24,39,41,29,0,1,134,474
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 175","Saltair",19,58,72,23,0,0,172,626
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 176","Saltair",33,45,76,40,0,0,194,500
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,15
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 501","Mobile poll/Bureau itinérant",40,76,50,24,0,1,191,190
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 502","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 503","Mobile poll/Bureau itinérant",45,52,35,13,3,2,150,136
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 504","Mobile poll/Bureau itinérant",30,91,34,10,0,2,167,145
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 505","Mobile poll/Bureau itinérant",38,69,45,15,2,3,172,97
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,34
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,30
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,47
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,30
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,44
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,38
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,64
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,54
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,34
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 515","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,68
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 516","Mobile poll/Bureau itinérant",46,34,16,16,4,5,121,77
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 517","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°516,,,,,,,61
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 518","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°516,,,,,,,32
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 600","Nanaimo",187,299,606,155,3,2,1252,
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 601","Nanaimo",264,550,753,264,6,2,1839,
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 602","Nanaimo",263,640,669,169,2,2,1745,
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 603","Nanaimo",229,616,620,159,6,5,1635,
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 604","Nanaimo",304,799,691,263,8,4,2069,
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 605","Nanaimo",281,628,680,282,7,7,1885,
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 606","Nanaimo",203,696,622,222,6,3,1752,
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 607","Nanaimo",214,577,545,306,3,3,1648,
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 608","Nanaimo",241,529,536,262,3,2,1573,
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 609","Nanaimo",257,338,376,141,2,3,1117,
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 610","Nanaimo",376,454,507,245,9,8,1599,
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 611","Nanaimo",289,489,357,270,3,6,1414,
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 612","Nanaimo",294,354,437,313,5,1,1404,
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 613","Nanaimo",292,305,514,225,5,3,1344,
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 614","Nanaimo",270,263,347,277,4,1,1162,
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 615","Nanaimo Town 1",Combined with No./Résultats combinés à ceux du n°614,,,,,,,
