Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Brian Adeba,Kelly DeRidder,Margaretha Dyck,Mike Morrice,Ellen Papenburg,Wasai Rahimi,Heather Zaleski,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35048,"Kitchener Centre/Kitchener-Centre"," 108B","Mobile poll/Bureau itinérant",47,32,1,11,1,1,18,0,111,97
35048,"Kitchener Centre/Kitchener-Centre"," 109","Kitchener",36,39,0,68,0,0,2,0,145,494
35048,"Kitchener Centre/Kitchener-Centre"," 110","Kitchener",38,28,0,58,0,1,0,0,125,410
35048,"Kitchener Centre/Kitchener-Centre"," 111","Kitchener",38,45,3,83,0,0,4,1,174,424
35048,"Kitchener Centre/Kitchener-Centre"," 112","Kitchener",34,45,0,70,0,0,4,0,153,419
35048,"Kitchener Centre/Kitchener-Centre"," 113","Kitchener",53,45,0,66,0,1,1,2,168,491
35048,"Kitchener Centre/Kitchener-Centre"," 114","Kitchener",39,56,0,71,0,0,3,0,169,473
35048,"Kitchener Centre/Kitchener-Centre"," 115","Kitchener",92,123,3,140,0,3,9,1,371,807
35048,"Kitchener Centre/Kitchener-Centre"," 116","Kitchener",101,66,1,108,0,1,6,5,288,806
35048,"Kitchener Centre/Kitchener-Centre"," 117","Kitchener",82,55,1,88,1,1,3,2,233,566
35048,"Kitchener Centre/Kitchener-Centre"," 118","Kitchener",27,32,0,44,0,0,4,0,107,311
35048,"Kitchener Centre/Kitchener-Centre"," 119","Kitchener",57,37,2,57,0,2,0,0,155,348
35048,"Kitchener Centre/Kitchener-Centre"," 120","Kitchener",102,70,0,138,0,0,4,1,315,716
35048,"Kitchener Centre/Kitchener-Centre"," 121","Kitchener",60,49,0,102,0,4,5,1,221,462
35048,"Kitchener Centre/Kitchener-Centre"," 122","Kitchener",74,65,0,181,2,1,5,1,329,631
35048,"Kitchener Centre/Kitchener-Centre"," 123","Kitchener",92,48,0,76,1,1,4,0,222,343
35048,"Kitchener Centre/Kitchener-Centre"," 124","Kitchener",120,103,0,109,1,3,9,1,346,849
35048,"Kitchener Centre/Kitchener-Centre"," 125","Kitchener",55,57,0,32,3,0,5,0,152,608
35048,"Kitchener Centre/Kitchener-Centre"," 126","Kitchener",36,59,0,40,0,0,4,0,139,391
35048,"Kitchener Centre/Kitchener-Centre"," 127","Kitchener",28,40,0,37,1,2,3,1,112,320
35048,"Kitchener Centre/Kitchener-Centre"," 128","Kitchener",48,46,0,22,0,1,1,3,121,360
35048,"Kitchener Centre/Kitchener-Centre"," 129","Kitchener",20,26,0,58,0,2,5,0,111,399
35048,"Kitchener Centre/Kitchener-Centre"," 130","Kitchener",40,42,0,53,1,1,9,1,147,418
35048,"Kitchener Centre/Kitchener-Centre"," 131","Kitchener",35,54,1,83,1,1,6,1,182,508
35048,"Kitchener Centre/Kitchener-Centre"," 132","Kitchener",44,71,0,56,1,1,4,0,177,496
35048,"Kitchener Centre/Kitchener-Centre"," 133","Kitchener",39,49,0,53,0,0,6,0,147,396
35048,"Kitchener Centre/Kitchener-Centre"," 134","Kitchener",53,57,0,37,0,0,5,2,154,514
35048,"Kitchener Centre/Kitchener-Centre"," 135","Kitchener",61,106,0,51,0,3,12,1,234,472
