Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Andrew Bascombe,Syl Carle,Sean Carscadden,Michael Chong,Liam Stiles,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 115","Halton Hills",6,2,33,89,7,1,138,483
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 116","Halton Hills",2,2,54,98,0,1,157,495
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 117","Halton Hills",5,1,42,79,3,0,130,442
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 118","Halton Hills",7,0,45,112,6,0,170,493
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 119","Halton Hills",2,5,59,91,7,0,164,532
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 120","Halton Hills",9,5,55,116,3,1,189,471
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 121A","Halton Hills",5,2,51,92,5,2,157,268
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 121B","Halton Hills",5,2,45,95,1,2,150,267
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 122","Halton Hills",1,2,57,82,4,3,149,434
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 123A","Halton Hills",Combined with No./Résultats combinés à ceux du n°121A,,,,,,,147
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 123B","Halton Hills",Combined with No./Résultats combinés à ceux du n°121B,,,,,,,154
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 124","Guelph/Eramosa",7,3,93,112,5,0,220,372
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 125","Guelph/Eramosa",Combined with No./Résultats combinés à ceux du n°124,,,,,,,255
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 126","Guelph/Eramosa",6,1,59,128,4,0,198,436
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 127","Guelph/Eramosa",5,1,54,118,6,1,185,440
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 128","Guelph/Eramosa",4,2,50,53,2,1,112,387
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 129","Guelph/Eramosa",8,1,48,100,6,0,163,359
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 130","Guelph/Eramosa",6,0,61,97,2,2,168,549
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 131","Guelph/Eramosa",2,1,60,81,1,0,145,532
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 132","Guelph/Eramosa",2,6,90,117,4,0,219,571
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 133","Centre Wellington",Combined with No./Résultats combinés à ceux du n°134,,,,,,,242
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 134","Centre Wellington",1,5,77,125,6,0,214,384
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 135","Centre Wellington",1,6,68,89,7,1,172,466
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 136","Guelph/Eramosa",1,4,36,74,4,1,120,311
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 137","Guelph/Eramosa",0,1,69,83,4,1,158,361
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 138","Guelph/Eramosa",1,2,88,80,7,0,178,375
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 139","Guelph/Eramosa",10,0,92,102,7,1,212,449
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 140","Guelph/Eramosa",5,1,73,130,6,0,215,394
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 141","Guelph/Eramosa",6,2,80,103,4,1,196,333
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 142","Guelph/Eramosa",4,5,73,84,5,0,171,512
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 143","Guelph/Eramosa",9,0,68,65,5,1,148,282
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 144","Guelph/Eramosa",2,3,48,99,5,0,157,382
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 145","Guelph/Eramosa",0,1,55,114,3,0,173,425
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 146","Guelph",2,3,79,84,7,0,175,453
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 147","Guelph",1,1,83,98,6,6,195,517
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 148","Guelph",2,1,99,81,5,2,190,487
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 149","Guelph",2,1,105,84,6,1,199,543
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 150","Guelph",0,2,90,49,1,2,144,388
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 151","Guelph",4,0,48,63,7,1,123,379
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 152","Guelph",9,1,81,85,5,1,182,492
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 153","Guelph",3,1,89,92,4,2,191,485
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 154","Guelph",7,2,117,111,6,1,244,599
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 155","Guelph",1,0,63,55,2,0,121,369
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 156","Guelph",2,0,137,97,10,1,247,596
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 157","Guelph",4,1,86,63,3,2,159,446
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 158","Guelph",1,4,102,67,9,1,184,524
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 159","Guelph",5,2,53,51,2,1,114,417
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 160","Guelph",1,1,62,49,5,1,119,396
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 161","Guelph",1,1,111,84,4,2,203,466
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 162","Guelph",7,1,87,56,5,0,156,440
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 163","Guelph",2,1,90,57,7,1,158,386
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 164","Guelph",0,0,76,45,6,0,127,449
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 165","Guelph/Eramosa",9,5,76,153,9,0,252,515
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 166","Guelph/Eramosa",3,5,84,99,1,1,193,454
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 167","Guelph",11,3,83,88,8,0,193,485
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 168","Guelph",2,2,84,69,4,0,161,411
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 169","Guelph",12,1,92,73,11,0,189,482
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 170","Guelph",4,3,88,60,9,2,166,460
